# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 249.69761198
0.00100000 1664582.08974199 599.24956654
0.00200000 1664376.06088735 1048.55695156
0.00300000 1664032.83613506 1497.62960587
0.00400000 1663552.27934798 1621.96353400
0.00500000 1662934.83648224 1795.96969449
0.00600000 1662180.28954407 1745.28937508
0.00700000 1661289.21365730 3189.67542279
0.00800000 1660261.11822346 3362.02890635
0.00900000 1659097.31985707 2737.51069479
0.01000000 1657797.03927747 3282.43827950
0.01100000 1656361.44865018 3279.59581112
0.01200000 1654790.07668472 3549.52487011
0.01300000 1653084.25262596 3818.62479199
0.01400000 1651243.24374070 4829.88670206
0.01500000 1649268.82631937 4749.89443131
0.01600000 1647159.92396051 4620.28379325
0.01700000 1644918.54551051 5329.53632653
0.01800000 1642544.34670238 7021.87739812
0.01900000 1640038.05521689 4920.11438766
0.02000000 1637400.12943807 8252.49702568
0.02100000 1634632.37340430 7012.57319984
0.02200000 1631732.97238106 6192.42691152
0.02300000 1628704.83374769 7036.00520206
0.02400000 1625547.75809228 8534.12611912
0.02500000 1622263.10041952 6959.50901864
0.02600000 1618851.10693335 6556.34728296
0.02700000 1615312.79772320 8819.60827952
0.02800000 1611647.99646579 8412.80292736
0.02900000 1607859.35794655 7958.90418726
0.03000000 1603947.16403516 12679.20291450
0.03100000 1599911.56024812 9215.49101106
0.03200000 1595753.56778761 8688.87857680
0.03300000 1591476.20751805 8928.18193577
0.03400000 1587077.19988301 9165.37125222
0.03500000 1582560.12835813 11109.57261409
0.03600000 1577924.55346646 9633.22984410
0.03700000 1573172.29893404 8967.08251863
0.03800000 1568304.88472490 11009.50080028
0.03900000 1563323.15629395 11255.92724658
0.04000000 1558226.58797714 15332.95033621
0.04100000 1553018.75588897 11740.82233890
0.04200000 1547699.95710165 16970.53081693
0.04300000 1542270.51765615 10178.98588902
0.04400000 1536733.84548178 12447.54472649
0.04500000 1531089.72041816 13733.87543029
0.04600000 1525338.49820038 10753.63691222
0.04700000 1519483.28037169 14222.36416573
0.04800000 1513524.35835000 13349.28546176
0.04900000 1507464.33436997 14697.77794425
0.05000000 1501302.84888749 11484.96732880
0.05100000 1495043.22031834 15159.73896023
0.05200000 1488683.59626786 14202.04217023
0.05300000 1482229.58156785 13206.66618744
0.05400000 1475679.34953267 13391.79072152
0.05500000 1469037.00539116 18509.86713140
0.05600000 1462300.81903049 15003.20710336
0.05700000 1455476.16301907 16461.43617214
0.05800000 1448561.16020168 14101.74355301
0.05900000 1441558.24420086 14271.42728415
0.06000000 1434470.00325778 18375.56160022
0.06100000 1427298.01542991 17256.03381295
0.06200000 1420042.39795352 17445.22167431
0.06300000 1412706.78979004 18986.78014251
0.06400000 1405289.17853387 16441.88415778
0.06500000 1397795.82477360 15221.99724384
0.06600000 1390224.48975521 25149.16219636
0.06700000 1382578.06338004 19743.21566903
0.06800000 1374859.97216644 19921.72192921
0.06900000 1367070.19623811 14354.23773255
0.07000000 1359208.96672384 21713.36426022
0.07100000 1351280.93531966 16053.21826349
0.07200000 1343284.89514734 16179.86732002
0.07300000 1335225.64111605 14821.00531084
0.07400000 1327102.69987878 14929.90607331
0.07500000 1318918.13625301 21049.93444126
0.07600000 1310672.29511472 16652.09229009
0.07700000 1302370.61492775 21332.83167278
0.07800000 1294011.45214432 16867.44006972
0.07900000 1285596.59740129 21598.02384937
0.08000000 1277130.42175017 26379.13009872
0.08100000 1268612.52837416 21845.50876356
0.08200000 1260043.95520114 25100.07676543
0.08300000 1251428.19395085 20498.39477895
0.08400000 1242765.50365276 15845.26091533
0.08500000 1234059.74844374 28654.86870407
0.08600000 1225310.47042137 20787.39310670
0.08700000 1216520.81194526 24087.11320759
0.08800000 1207689.72042071 19347.19022976
0.08900000 1198823.05378243 19420.93438347
0.09000000 1189920.04419290 21115.13217610
0.09100000 1180982.64138550 19557.07346016
0.09200000 1172012.28015356 17984.52928399
0.09300000 1163012.40369509 21318.01836151
0.09400000 1153980.96233183 16444.22948607
0.09500000 1144922.81413489 26379.02287755
0.09600000 1135838.48652088 19831.74090690
0.09700000 1126731.39354362 19875.54271651
0.09800000 1117602.01561694 21575.30792591
0.09900000 1108452.56869453 18289.46824348
0.10000000 1099282.02572289 18319.53582019
0.10100000 1090094.40439792 16678.44517171
0.10200000 1080891.08228359 21709.69840881
0.10300000 1071673.04208563 16718.10024297
0.10400000 1062443.07861706 18406.82720299
0.10500000 1053203.95023592 18420.53795630
0.10600001 1043951.88384791 20106.51422899
0.10700001 1034694.64641247 16762.05406067
0.10800001 1025429.34949404 23472.07891455
0.10900001 1016160.29054630 16766.64558315
0.11000001 1006887.71695483 20117.61753168
0.11100001 997613.51317895 21787.88015346
0.11200001 988340.33802965 23453.31732556
0.11300001 979066.91246107 18416.24949044
0.11400001 969797.78103302 20074.81501259
0.11500001 960532.87867379 25069.90931388
0.11600001 951273.64291304 16694.85321931
0.11700001 942022.78285278 18341.18444592
0.11800001 932779.05863323 16650.10698080
0.11900001 923545.96445456 18286.21095751
0.12000001 914324.32487856 18254.48600608
0.12100001 905117.07891829 18220.00765694
0.12200001 895922.97352290 18182.75760426
0.12300001 886745.76411308 18142.81918854
0.12400001 877584.50134327 19745.65221059
0.12500001 868441.86173588 29544.39352840
0.12600001 859320.41888877 16370.05475124
0.12700001 850220.13081189 19589.07273707
0.12800001 841140.65848972 19531.28701063
0.12900001 832085.66228809 22715.93965111
0.13000001 823055.23922956 19407.64345581
0.13100001 814050.10885918 17730.01220670
0.13200001 805073.27202134 22485.69754754
0.13300001 796126.22081732 19202.56535138
0.13400001 787207.14660335 17535.04001729
0.13500001 778319.76888422 23816.58605077
0.13600001 769463.31860769 17393.71913725
0.13700001 760640.95944691 31490.53720598
0.13800001 751851.36451135 18811.32202714
0.13900001 743099.20536790 24968.13447781
0.14000001 734382.16655398 21745.05697717
0.14100001 725702.57488287 15457.46557402
0.14200001 717060.44302468 16919.04195116
0.14300001 708460.12874602 18363.28740325
0.14400001 699896.34720615 16745.02089677
0.14500001 691377.31670771 18169.39674017
0.14600001 682898.23922602 21081.06963939
0.14700001 674465.29495015 17967.75630513
0.14800001 666073.64804296 16375.42140971
0.14900001 657726.71018339 17758.62201282
0.15000001 649426.33081269 17651.40850433
0.15100001 641172.44408574 17542.47889793
0.15200001 632966.76871278 24695.19964662
0.15300001 624809.18267712 15876.40208102
