# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 299.63713438
0.00100000 1664582.13187411 549.31211656
0.00200000 1664376.22905215 1123.45399018
0.00300000 1664033.21538019 1297.94595423
0.00400000 1663552.94763512 1372.43123395
0.00500000 1662935.88369185 1646.30659002
0.00600000 1662181.78098347 1919.82003520
0.00700000 1661291.24317457 2192.90453213
0.00800000 1660263.77361538 3362.03428352
0.00900000 1659100.68029518 3235.24646487
0.01000000 1657801.18097285 4376.59530675
0.01100000 1656366.45101725 4174.04363830
0.01200000 1654796.01004864 4194.90806939
0.01300000 1653091.21161307 4512.93920675
0.01400000 1651251.32890536 4458.37878569
0.01500000 1649278.09277427 4354.09435881
0.01600000 1647170.41862477 4620.31323079
0.01700000 1644930.39027270 5773.70592886
0.01800000 1642557.59618531 7021.93403966
0.01900000 1640052.71471649 5904.19003939
0.02000000 1637416.39204665 7221.00661557
0.02100000 1634650.27866388 5394.34616416
0.02200000 1631752.60312324 8444.32010481
0.02300000 1628726.18152160 6449.75597241
0.02400000 1625570.94830404 7315.06960092
0.02500000 1622288.19499769 9490.38637417
0.02600000 1618878.19209380 9834.68546679
0.02700000 1615341.88405310 7462.87984613
0.02800000 1611679.20126785 7711.88533173
0.02900000 1607892.64850173 11576.82760075
0.03000000 1603982.67498141 8950.22373780
0.03100000 1599949.28931159 10751.65971889
0.03200000 1595793.67193087 10268.93275184
0.03300000 1591518.73655682 10551.76970981
0.03400000 1587122.11514368 10832.10893565
0.03500000 1582607.55868509 10255.29745385
0.03600000 1577974.53734105 9633.53499567
0.03700000 1573224.82032902 13451.07283589
0.03800000 1568360.03361882 14679.85059405
0.03900000 1563381.13497467 10318.31596867
0.04000000 1558287.16842776 9583.46652992
0.04100000 1553082.07575373 11741.30103710
0.04200000 1547766.03531100 10981.40052999
0.04300000 1542339.42533687 10179.44067973
0.04400000 1536805.67293253 12448.12652887
0.04500000 1531164.46215483 11621.53880775
0.04600000 1525416.12864401 13980.43946893
0.04700000 1519563.88548271 13129.03258117
0.04800000 1513607.95738592 13350.02280530
0.04900000 1507550.93420695 11306.63253285
0.05000000 1501392.45705207 14931.34868068
0.05100000 1495135.86540189 13994.47235208
0.05200000 1488779.32368244 16570.11464477
0.05300000 1482328.33752564 14408.23211243
0.05400000 1475781.23226775 12175.19573399
0.05500000 1469141.99618595 20979.34868421
0.05600000 1462408.89689590 20005.75464309
0.05700000 1455587.25026007 12663.60966838
0.05800000 1448675.43252021 14102.85599408
0.05900000 1441675.60618162 12975.08106165
0.06000000 1434590.55023013 23627.70746615
0.06100000 1427421.61951379 18585.03035457
0.06200000 1420169.30955036 17446.78078335
0.06300000 1412836.67303259 14919.55596479
0.06400000 1405422.13861333 16443.43979078
0.06500000 1397931.82998723 15223.47834068
0.06600000 1390363.55493625 15370.46981898
0.06700000 1382720.15777636 18334.87015017
0.06800000 1375004.97548621 19923.82302741
0.06900000 1367218.39122571 18662.53191399
0.07000000 1359359.98658067 17372.62144203
0.07100000 1351434.94248865 20433.69728750
0.07200000 1343441.76952692 16181.75687202
0.07300000 1335385.52573989 22234.17004536
0.07400000 1327265.39281558 17918.08364273
0.07500000 1319083.62994372 16541.30949483
0.07600000 1310840.61492161 21196.29373698
0.07700000 1302541.66892222 19811.65971325
0.07800000 1294185.15514864 16869.70428849
0.07900000 1285772.88674235 20058.05797398
0.08000000 1277309.14060881 20175.09882235
0.08100000 1268793.83821058 20288.01442486
0.08200000 1260227.90194801 17258.82192705
0.08300000 1251614.45031558 20501.44565834
0.08400000 1242954.21738194 17432.43371704
0.08500000 1234250.92661102 25474.94032118
0.08600000 1225503.80531547 23989.23811538
0.08700000 1216716.27627329 17666.72116108
0.08800000 1207887.36249507 17737.82675128
0.08900000 1199022.87043936 17805.49046234
0.09000000 1190121.77114025 25992.26070270
0.09100000 1181186.35901779 16300.37252026
0.09200000 1172217.87106197 19622.92808359
0.09300000 1163219.67160613 36083.07590884
0.09400000 1154190.07277221 19736.65117198
0.09500000 1145133.47336735 18138.91507072
0.09600000 1136050.68159084 18182.49201358
0.09700000 1126945.14890815 19879.31336132
0.09800000 1117817.31226256 24899.38180136
0.09900000 1108669.01540343 19956.04321564
0.10000000 1099499.92213588 16657.42460371
0.10100000 1090313.22794545 18349.97248935
0.10200000 1081110.98877801 26725.06489964
0.10300000 1071893.94713070 21738.01027038
0.10400000 1062664.82803518 25105.45774342
0.10500000 1053426.69341229 25124.22781996
0.10600001 1044175.26427832 18434.91515826
0.10700001 1034918.50934908 18442.24870445
0.10800001 1025653.75160485 16769.43962794
0.10900001 1016385.21790768 20124.42826174
0.11000001 1007112.84423927 21798.95853963
0.11100001 997838.89579352 18440.06366230
0.11200001 988565.69738416 20107.42723139
0.11300001 979292.37406105 23444.26053880
