# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 299.63713438
0.00100000 1664582.18861085 749.06200266
0.00200000 1664376.46371643 1048.55720534
0.00300000 1664033.73427566 1198.10433136
0.00400000 1663553.87401145 1372.43199821
0.00500000 1662937.34150675 1795.97239991
0.00600000 1662183.88157025 2443.41040538
0.00700000 1661294.09719705 2790.97419928
0.00800000 1660267.51065281 2241.36123401
0.00900000 1659105.38089993 2737.52399551
0.01000000 1657806.99939599 3008.91983383
0.01100000 1656373.48486134 3577.76688307
0.01200000 1654804.36992797 3872.24239541
0.01300000 1653101.03664449 3818.66356307
0.01400000 1651262.67630418 4086.87530503
0.01500000 1649291.11510623 3958.29885251
0.01600000 1647185.24053812 5040.38706137
0.01700000 1644947.07562920 5329.62876412
0.01800000 1642576.28075286 6085.74539403
0.01900000 1640073.54450176 6396.28711217
0.02000000 1637439.38721619 5673.72773336
0.02100000 1634675.58882468 8091.64453154
0.02200000 1631780.32261259 7318.53507942
0.02300000 1628756.42770558 6449.87574730
0.02400000 1625603.84465354 6705.61616496
0.02500000 1622323.86266745 7592.47602404
0.02600000 1618916.60714337 7867.93507058
0.02700000 1615383.31871671 8819.99332416
0.02800000 1611723.69444138 8413.19807081
0.02900000 1607940.26147746 9406.45096153
0.03000000 1604033.52194085 7458.75621987
0.03100000 1600003.54432815 10752.02431262
0.03200000 1595851.24601783 9479.35683795
0.03300000 1591579.83112126 9740.46901550
0.03400000 1587186.82464655 12499.09682080
0.03500000 1582675.96156206 10255.74070451
0.03600000 1578046.61743569 15764.68643673
0.03700000 1573300.80570188 12554.94101014
0.03800000 1568439.99412690 12845.52414638
0.03900000 1563465.08365330 10318.87002998
0.04000000 1558375.26628630 12459.21083131
0.04100000 1553174.35899085 12720.49858994
0.04200000 1547862.70265662 9983.71489531
0.04300000 1542440.40910969 16288.17147626
0.04400000 1536911.03370900 13486.39494713
0.04500000 1531274.20905777 12678.95104012
0.04600000 1525530.46319198 10754.99026547
0.04700000 1519682.80797312 10941.71672628
0.04800000 1513731.62561680 13351.11355914
0.04900000 1507679.26589184 13569.11402463
0.05000000 1501525.63950130 14932.67318020
0.05100000 1495273.91082255 11663.13704773
0.05200000 1488922.33159258 13020.62639655
0.05300000 1482476.25686635 15610.47571253
0.05400000 1475934.23280614 21917.62437927
0.05500000 1469300.05368835 16044.75733475
