# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 429.09690250
0.00100000 1682663.47127188 605.75886404
0.00200000 1682454.97435237 908.52571492
0.00300000 1682107.63240468 1312.04400001
0.00400000 1681621.31451462 1639.58084395
0.00500000 1680996.48880771 2571.92472968
0.00600000 1680232.86228029 2646.36686583
0.00700000 1679331.11657152 2015.19742364
0.00800000 1678290.69336865 2265.69253171
0.00900000 1677112.99241124 3773.50439423
0.01000000 1675797.09384583 3594.58492151
0.01100000 1674344.32781710 3917.96589768
0.01200000 1672754.10284131 4566.61890097
0.01300000 1671027.81875990 4912.82200383
0.01400000 1669164.75769416 4131.18295843
0.01500000 1667166.75445151 6001.80058328
0.01600000 1665032.53640811 4245.83315764
0.01700000 1662764.33389785 5387.35668350
0.01800000 1660361.64480947 7098.04635096
0.01900000 1657825.27311406 6465.51885689
0.02000000 1655155.81282574 5213.74104625
0.02100000 1652354.96076447 6543.32594129
0.02200000 1649420.85166821 6828.60263615
0.02300000 1646356.46300419 7704.94859758
0.02400000 1643161.54369052 6778.04167679
0.02500000 1639837.63085165 10232.58728384
0.02600000 1636384.85249734 8615.56664246
0.02700000 1632804.18850927 9600.88906817
0.02800000 1629095.52907099 9212.53563938
0.02900000 1625261.55860868 11701.88375927
0.03000000 1621302.50719910 9046.86840601
0.03100000 1617218.64144974 7762.64983614
0.03200000 1613011.06876296 9581.28618975
0.03300000 1608682.47094502 9024.70907804
0.03400000 1604230.95073381 10106.65545595
0.03500000 1599659.84308187 10365.79626184
0.03600000 1594968.89136052 10622.49330737
0.03700000 1590159.96179731 11783.08586186
0.03800000 1585234.28791854 10200.98311485
0.03900000 1580193.15593128 11377.39124959
0.04000000 1575035.72462339 11623.76418635
0.04100000 1569765.67975793 11867.42908922
0.04200000 1564383.43624018 12108.32835824
0.04300000 1558889.24348699 13375.27032997
0.04400000 1553286.46398044 16775.49459008
0.04500000 1547575.13862888 10678.26895270
0.04600000 1541755.30296221 13043.25046940
0.04700000 1535830.30528179 17692.76593970
0.04800000 1529800.35194975 11244.03310999
0.04900000 1523668.13839514 15998.51619784
0.05000000 1517433.29299027 15090.87480151
0.05100000 1511099.05395499 12965.23048691
0.05200000 1504663.84146569 13158.28590681
0.05300000 1498133.03731175 19415.80506868
0.05400000 1491504.83769751 13535.40703331
0.05500000 1484783.47400211 13719.39993978
0.05600000 1477967.29703675 17691.26937108
0.05700000 1471061.41861649 14078.05843330
0.05800000 1464064.42013517 16844.06194014
0.05900000 1456978.28290143 17046.64670612
0.06000000 1449805.75870541 14592.29564310
0.06100000 1442548.51840864 18781.98258739
0.06200000 1435207.08475557 16275.24910189
0.06300000 1427784.57700149 13706.73258008
0.06400000 1420278.94936321 15232.49244429
0.06500000 1412696.63099709 19579.97622153
0.06600000 1405035.63208123 19768.85226834
0.06700000 1397298.87880651 18528.18400007
0.06800000 1389489.20945518 21571.82098655
0.06900000 1381607.59571681 17408.25652107
0.07000000 1373653.29100744 16092.34905773
0.07100000 1365631.50199380 22123.23136850
0.07200000 1357540.99362578 25270.62678019
0.07300000 1349386.57572855 19471.64920012
0.07400000 1341167.64593032 22632.20508571
0.07500000 1332886.49764935 21272.86949960
0.07600000 1324543.42666540 18358.17275422
0.07700000 1316143.95778438 15398.88502811
0.07800000 1307686.23766464 17045.69090734
0.07900000 1299172.17656503 28062.12033002
0.08000000 1290606.39030195 17248.95521555
0.08100000 1281988.31429034 15768.45700560
0.08200000 1273318.91993101 17438.10342674
0.08300000 1264601.97397734 20714.18130591
0.08400000 1255837.45766119 19214.31400411
0.08500000 1247029.74249493 17695.35287671
0.08600000 1238177.65125464 22621.50675054
0.08700000 1229285.04854191 19471.87608326
0.08800000 1220350.47171058 17920.84751870
0.08900000 1211380.00105357 17988.99386058
0.09000000 1202372.65764631 21336.10381221
0.09100000 1193330.80561500 18114.76248029
0.09200000 1184255.67610181 28084.62467836
0.09300000 1175150.61359495 31482.28641763
0.09400000 1166013.75486709 16615.69678775
0.09500000 1156849.94866365 16658.64004376
0.09600000 1147659.74674199 23377.83014007
0.09700000 1138446.58714595 18408.68217959
0.09800000 1129211.00381280 16768.78419505
0.09900000 1119954.87695637 20159.18873315
0.10000000 1110678.11973523 20192.12916637
0.10100000 1101383.61112460 23591.63805985
0.10200000 1092073.39509529 20247.04169741
0.10300000 1082748.41454447 20269.05127374
0.10400000 1073411.68931768 20287.48188253
0.10500000 1064065.58304600 23686.10099302
0.10600001 1054706.41392102 18620.84261395
0.10700001 1045342.11089883 32175.63168758
0.10800001 1035969.71865212 27100.96911536
0.10900001 1026593.83613493 18632.67900281
0.11000001 1017214.47191940 18630.28393012
0.11100001 1007833.56791424 22011.08615938
0.11200001 998453.48744185 25385.68111329
0.11300001 989073.20354583 16913.15257692
0.11400001 979697.73055071 30419.61596589
0.11500001 970326.52163278 16883.68227143
0.11600001 960961.14011561 23610.81632451
0.11700001 951604.56870232 21896.42215705
0.11800001 942254.66289952 20183.09582990
0.11900001 932916.43949160 23509.49538252
0.12000001 923589.45171506 18439.46427208
0.12100001 914277.44169459 25096.91695679
0.12200001 904978.79868175 25045.28943343
0.12300001 895696.72347923 19991.95180997
0.12400001 886431.36947861 18282.64785693
0.12500001 877184.87406717 18236.67439118
0.12600001 867960.13564792 18188.10549959
0.12700001 858756.46246351 21434.56231322
0.12800001 849574.41128879 18083.19219653
0.12900001 840416.91185020 16388.13055349
0.13000001 831284.83369698 27769.07117854
0.13100001 822178.15278466 21162.86665024
0.13200001 813100.49470277 21087.76232420
0.13300001 804052.49429366 22626.03825608
0.13400001 795033.31358410 20929.25296682
0.13500001 786046.22606066 22449.48127475
0.13600001 777090.59851364 19163.05506290
0.13700001 768169.76570885 22261.56085995
0.13800001 759281.80098259 17414.12892671
0.13900001 750432.11657915 23638.61278700
0.14000001 741617.91432708 15685.21962774
0.14100001 732841.95036823 17170.48770694
0.14200001 724103.71936520 20191.63316684
0.14300001 715408.32739229 21633.94884076
0.14400001 706749.52214061 16908.98311481
0.14500001 698136.58215754 19875.94943162
0.14600001 689564.01580596 18245.86471896
0.14700001 681037.73984502 19654.75009917
0.14800001 672553.91579634 16534.73879994
0.14900001 664115.38077751 16436.85644975
0.15000001 655724.12020145 16337.36722566
0.15100001 647379.85868752 23616.41835926
0.15200001 639084.62820415 16133.69220031
0.15300001 630838.02764824 23315.77460213
0.15400001 622639.16540926 20266.90579049
0.15500001 614492.68114630 20130.78118438
0.15600001 606395.34571134 25705.09991785
0.15700001 598353.28587152 17017.16825334
0.15800001 590359.28447604 19712.09743904
0.15900001 582421.40465603 18171.54868298
0.16000001 574534.91733878 15262.52079953
0.16100001 566706.39636422 15148.06268987
0.16200001 558930.30724234 17765.60065434
0.16300001 551211.42771000 20339.70264269
0.16400001 543548.03881595 13452.81459580
0.16500001 535941.95851698 14679.45093682
0.16600001 528392.52858135 14559.85681247
0.16700001 520900.92214710 15752.04462946
0.16800001 513466.53414882 22127.84133394
0.16900001 506093.04739629 15486.44798157
0.17000001 498777.82702795 17911.11261433
0.17100001 491522.22543513 19021.91102258
0.17200001 484326.66326106 16338.76075668
0.17300001 477191.47757469 16191.10759873
0.17400001 470118.22149963 14808.72467660
0.17500001 463105.30554152 13448.57870807
0.17600001 456152.08642165 13321.92231313
0.17700001 449263.15250423 13194.85941225
0.17800001 442435.17648124 13067.32355457
0.17900001 435669.47559659 16468.30695541
0.18000001 428967.07267757 12811.10223065
0.18100001 422328.53286001 13835.48339003
0.18200001 415750.13574098 21683.44935385
0.18300001 409237.63704690 11294.95931606
0.18400001 402787.15975795 13412.81305357
0.18500001 396401.23979853 13271.51413543
0.18600001 390078.68139065 10941.70752993
0.18700001 383819.85815611 14070.83666478
0.18800001 377624.44009736 10705.65338256
0.18900001 371495.21872251 22233.98989104
0.19000001 365426.01606649 10469.45585497
0.19100001 359426.00247145 14492.05710440
0.19200001 353486.85532157 11256.78943961
0.19300001 347614.39628792 14161.81117395
0.19400001 341805.13450975 12997.14085390
0.19500001 336060.57802856 11856.21775311
0.19600001 330379.44161720 10738.98425725
0.19700001 324763.28291950 10610.01695438
0.19800001 319211.45470066 13339.84732237
0.19900001 313724.63600358 11294.08742989
0.20000001 308299.83541186 10224.76452467
0.20100001 302941.19779427 12850.76621779
0.20200001 297644.93382632 14501.26186140
0.20300001 292413.47633858 9842.63807877
0.20400001 287245.73607723 9716.08748205
0.20500001 282140.70855735 10461.77796780
0.20600001 277099.78959019 9464.34376081
0.20700001 272121.73158542 9339.21826947
0.20800001 267206.68170356 9214.62285412
0.20900001 262356.75370916 9090.66194575
0.21000001 257567.10990850 9782.39929676
0.21100001 252840.14109713 10452.41192708
0.21200001 248175.46768580 12686.73050786
0.21300001 243572.64975251 10946.15539736
0.21400001 239032.50898860 8479.67865726
0.21500001 234554.55263411 11399.35179695
0.21600001 230136.17150555 8989.11928400
0.21700001 225779.50222463 10336.18610053
0.21800001 221483.74064433 11641.18595867
0.21900001 217247.30125075 9319.90966432
0.22000001 213070.57790687 7769.61899074
0.22100001 208956.24777531 11133.18940788
