# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 280.65061764
0.00100000 1700842.77568492 561.27812931
0.00200000 1700632.54840589 918.34160522
0.00300000 1700282.31558640 1326.22025340
0.00400000 1699791.94987847 1529.81281302
0.00500000 1699161.93126241 2752.64243760
0.00600000 1698391.94603646 1783.31161594
0.00700000 1697482.69384282 2444.37518072
0.00800000 1696433.61928010 4122.33386890
0.00900000 1695246.12462843 3305.73008434
0.01000000 1693919.26732791 2794.96691178
0.01100000 1692454.37607409 4569.62701436
0.01200000 1690850.93370709 4616.02325140
0.01300000 1689110.27482691 4611.27125366
0.01400000 1687231.66197001 6453.66139313
0.01500000 1685217.01496293 4044.52101601
0.01600000 1683064.99953116 5579.36072286
0.01700000 1680777.85337968 4991.91044847
0.01800000 1678355.09425358 5739.97468063
0.01900000 1675797.52608437 6535.61064663
0.02000000 1673105.73094150 5270.28329087
0.02100000 1670281.48527241 6063.12206643
0.02200000 1667322.82964239 6902.71682833
0.02300000 1664232.74801720 7788.60961525
0.02400000 1661011.05076287 6851.67089682
0.02500000 1657659.32889764 9050.82034914
0.02600000 1654177.50733179 8039.30305334
0.02700000 1650566.87338321 11785.04801572
0.02800000 1646827.03689023 10745.54690850
0.02900000 1642960.80238077 8871.98874021
0.03000000 1638968.43701138 7621.20358241
0.03100000 1634850.20610677 10986.19389055
0.03200000 1630607.13569867 12107.25854020
0.03300000 1626242.03568604 9123.21824078
0.03400000 1621752.95617398 12771.30511914
0.03500000 1617143.20915658 9605.83110597
0.03600000 1612412.50900444 10738.66780624
0.03700000 1607562.94826454 9163.10922888
0.03800000 1602595.42711345 10312.70205074
0.03900000 1597511.56451174 13419.09776334
0.04000000 1592310.41324680 11751.25139430
0.04100000 1586995.48949057 13997.30086631
0.04200000 1581567.40583477 11221.22126498
0.04300000 1576026.47837790 10401.77524012
0.04400000 1570375.84533110 18020.06366206
0.04500000 1564615.70100462 12955.01860627
0.04600000 1558746.12617902 13186.99284050
0.04700000 1552770.31417775 14533.93081665
0.04800000 1546688.76861295 14778.61187172
0.04900000 1540503.81782813 15019.91292296
0.05000000 1534215.44629422 12910.42358175
0.05100000 1527826.63959438 13108.75317838
0.05200000 1521335.95220869 18141.93207553
0.05300000 1514748.67495513 19631.14374258
0.05400000 1508063.29372178 17418.13185476
0.05500000 1501283.66836397 13871.86174280
0.05600000 1494408.43449033 17888.06979558
0.05700000 1487442.60419789 15528.90151269
0.05800000 1480384.73890668 13101.40555106
0.05900000 1473236.85457211 17236.87200356
0.06000000 1466001.78929236 18779.48379819
0.06100000 1458681.23324242 20348.60415465
0.06200000 1451275.52142957 15086.00975043
0.06300000 1443787.88740043 16632.43724051
0.06400000 1436216.35776462 16803.73217170
0.06500000 1428567.30162840 21214.22542154
0.06600000 1420838.76056767 27130.91740246
0.06700000 1413033.71243319 18736.82790373
0.06800000 1405155.06365162 21815.03338433
0.06900000 1397203.56989117 17604.76580486
0.07000000 1389178.70660730 25151.08166091
0.07100000 1381085.54404043 14915.72457426
0.07200000 1372922.94143236 22550.26036943
0.07300000 1364695.77462619 18177.74856975
0.07400000 1356403.28336371 21363.35271415
0.07500000 1348048.08223251 16904.52374355
0.07600000 1339630.05555677 21661.81901387
0.07700000 1331154.98976430 23361.77116576
0.07800000 1322620.96963421 15673.05922517
0.07900000 1314030.08434984 17345.19792697
0.08000000 1305386.68638798 15860.44898364
0.08100000 1296690.60468961 22329.01326039
0.08200000 1287942.36239300 24052.32474635
0.08300000 1279146.05319028 22564.13743726
0.08400000 1270301.48962012 22674.88265405
0.08500000 1261413.15445617 19526.67654766
0.08600000 1252479.89265656 24517.29504988
0.08700000 1243505.50066100 22979.98273130
0.08800000 1234488.72345073 16480.42523205
0.08900000 1225435.32898259 16543.37771830
0.09000000 1216344.63734398 21584.03660359
0.09100000 1207218.83298129 28321.35515231
0.09200000 1198059.34238460 20055.51433386
0.09300000 1188869.48081564 23468.28465413
0.09400000 1179647.38211962 18490.97358375
0.09500000 1170397.64805233 28651.33577101
0.09600000 1161121.01341773 18583.74269333
0.09700000 1151821.35864872 27090.83962903
0.09800000 1142498.57715354 22055.93606897
0.09900000 1133154.87359361 16997.32390316
0.10000000 1123790.06570382 25538.13044411
0.10100000 1114407.20865696 20460.51731324
0.10200000 1105008.32513874 20486.85531170
0.10300000 1095594.35652911 22218.65459559
0.10400000 1086168.11942614 20528.57842292
0.10500000 1076732.17123247 18832.04656089
0.10600001 1067283.02068404 25694.83993200
0.10700001 1057828.05347717 30846.26749095
0.10800001 1048364.83058796 18854.84236547
0.10900001 1038898.02264556 20570.18181653
0.11000001 1029427.37273553 18853.96321910
0.11100001 1019954.83528402 20562.29044726
0.11200001 1010482.85234260 25691.52773029
0.11300001 1001010.44126035 22252.46315688
0.11400001 991542.56381017 20524.93203728
0.11500001 982078.87621170 25632.25987610
0.11600001 972620.66843471 20483.39224183
0.11700001 963171.16564822 27277.00869577
0.11800001 953728.26436465 18726.45535278
0.11900001 944296.74868675 25496.01341545
0.12000001 934876.29790636 18664.80616690
0.12100001 925470.73233985 16936.11519965
0.12200001 916078.18616414 27042.62932958
0.12300001 906702.43438920 18551.13268163
0.12400001 897343.09646433 18507.70223661
0.12500001 888002.55684447 21818.22384975
0.12600001 878683.71975478 16738.92565012
0.12700001 869385.79195344 25038.31198822
0.12800001 860109.49185944 23300.36723260
0.12900001 850857.68247903 19910.07070841
0.13000001 841631.38502975 19845.66899442
0.13100001 832430.11745907 19778.54052314
0.13200001 823258.14743441 27920.80138643
0.13300001 814115.78060876 21272.84635017
0.13400001 805002.21343597 17931.42514967
0.13500001 795920.83321061 16236.78576303
0.13600001 786870.91159108 19404.23759476
0.13700001 777855.75215422 19321.93779460
0.13800001 768873.75025076 19237.22213842
0.13900001 759929.88703231 22341.93973236
