# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097189 328.13292544
0.00100000 1682663.52305332 605.75888269
0.00200000 1682455.18403450 832.81534247
0.00300000 1682108.10354295 1211.11787769
0.00400000 1681622.15855459 1891.82500026
0.00500000 1680997.79488833 1815.47769034
0.00600000 1680234.75152521 2999.21915358
0.00700000 1679333.69000298 2619.76066528
0.00800000 1678294.05684277 2492.26677963
0.00900000 1677117.22705550 3270.37873256
0.01000000 1675802.33319481 3041.58136608
0.01100000 1674350.63872952 3315.21440903
0.01200000 1672761.62627168 3914.26237709
0.01300000 1671036.65262163 5263.76568792
0.01400000 1669174.97946293 4882.33703137
0.01500000 1667178.47145970 4401.35136064
0.01600000 1665045.86584547 4670.45386248
0.01700000 1662779.32122705 4489.50436871
0.01800000 1660378.47949574 4732.07887949
0.01900000 1657843.99598957 6465.59187610
0.02000000 1655176.50429562 6256.56746926
0.02100000 1652377.76374472 6543.41624110
0.02200000 1649445.80609701 6259.64711853
0.02300000 1646383.65394885 8890.47213600
0.02400000 1643191.15140944 8626.75393826
0.02500000 1639869.71116077 7674.59059874
0.02600000 1636419.36484285 9941.24809612
0.02700000 1632841.46449069 7543.72791146
0.02800000 1629135.51013655 9212.76173232
0.02900000 1625304.33711027 8045.25683809
0.03000000 1621348.20512173 9801.05035047
0.03100000 1617267.36051132 11644.32553147
0.03200000 1613062.77647752 7984.66111132
0.03300000 1608737.36858684 9025.01705383
0.03400000 1604289.05875182 10949.27333118
0.03500000 1599721.28440364 8638.49533469
0.03600000 1595033.63546636 9737.68079454
0.03700000 1590228.21368411 16315.74222696
0.03800000 1585306.07203884 12983.65733088
0.03900000 1580268.58137592 14222.41789102
0.04000000 1575114.88724873 12593.04410710
0.04100000 1569848.53875827 12857.06012857
0.04200000 1564470.13470812 12108.99940441
0.04300000 1558979.90854770 11318.19466142
0.04400000 1553381.02309898 15727.98358932
0.04500000 1547673.60942321 13882.63292158
0.04600000 1541857.87914671 16305.14782995
0.04700000 1535936.99780622 14376.37096808
0.04800000 1529911.34456926 13493.81868694
0.04900000 1523783.28518958 12571.21268797
0.05000000 1517552.71291198 11609.27879438
0.05100000 1511222.82375265 12966.29243182
0.05200000 1504792.02013511 16748.33596460
0.05300000 1498265.54656880 13349.54664226
0.05400000 1491641.97041528 14767.25619577
0.05500000 1484925.06881509 13720.70827591
0.05600000 1478113.52957174 13901.65839433
0.05700000 1471212.21073033 14079.50151390
0.05800000 1464219.87472932 15550.01579569
0.05900000 1457138.40199663 18359.94472267
0.06000000 1449970.62047111 14593.95497685
0.06100000 1442718.23696258 21467.64836922
0.06200000 1435381.49824718 16277.22695098
0.06300000 1427963.70734988 13708.45223150
0.06400000 1420462.84431703 13849.51337979
0.06500000 1412885.51867490 20981.35093378
0.06600000 1405229.32897979 15534.81095872
0.06700000 1397497.41477436 14254.47429779
0.06800000 1389692.74210263 18698.31672024
0.06900000 1381815.92282946 20312.69501661
0.07000000 1373866.55968838 20484.35136420
0.07100000 1365849.69074901 19176.53055630
0.07200000 1357764.18339926 20814.52590660
0.07300000 1349614.65552548 17976.86805392
0.07400000 1341400.63549450 16599.83364218
0.07500000 1333124.58274132 19756.90724228
0.07600000 1324786.35047408 18361.53967837
0.07700000 1316391.73858194 15401.78406358
0.07800000 1307938.95293019 21698.70824670
0.07900000 1299430.03234179 18711.79334337
0.08000000 1290868.96032361 18820.87032443
0.08100000 1282255.89971862 17348.92313717
0.08200000 1273591.34990707 15856.21305040
0.08300000 1264879.21551768 17531.22674985
0.08400000 1256119.72220094 19218.63265177
0.08500000 1247316.59969651 20917.50035889
0.08600000 1238469.33145874 24243.03830155
0.08700000 1229581.51394632 22722.66744473
0.08800000 1220651.74617174 19554.84189204
0.08900000 1211685.95712468 17993.53730845
0.09000000 1202683.29478080 18058.29051943
0.09100000 1193646.04400974 18119.54779935
0.09200000 1184575.43422052 18177.31089221
0.09300000 1175474.86469059 18231.61600809
0.09400000 1166342.73051996 18282.42316013
0.09500000 1157183.29633112 21662.47232551
0.09600000 1147997.48156077 16703.36414190
0.09700000 1138788.73034592 18414.21463540
0.09800000 1129557.44101520 20128.71454530
0.09900000 1120305.64069801 16804.58540066
0.10000000 1111032.93687390 18515.36476373
0.10100000 1101742.66802231 20227.99633625
0.10200000 1092436.61010307 20253.77570397
0.10300000 1083115.84659624 20275.92960208
0.10400000 1073783.00476127 30441.74961712
0.10500000 1064440.65277825 22001.98932811
0.10600001 1055085.62021241 23707.77500171
0.10700001 1045724.98686304 18634.82014281
0.10800001 1036356.27534785 16944.42589937
0.10900001 1026984.12152026 23723.33432367
0.11000001 1017608.22474956 20331.81328751
0.11100001 1008230.78338579 16938.27795822
0.11200001 998854.25388570 16930.58040041
0.11300001 989477.41859023 18612.07111995
0.11400001 980105.03541519 23669.53771974
0.11500001 970737.17027695 25336.24133726
0.11600001 961374.72851835 23620.97819204
0.11700001 952021.24012244 20220.93209250
0.11800001 942674.53308879 20192.08944978
0.11900001 933338.96671048 20160.12263052
0.12000001 924014.77583836 23479.21656004
0.12100001 914705.32036450 23434.75141171
0.12200001 905409.26120597 20045.76198748
0.12300001 896129.84839510 18334.81756200
0.12400001 886866.88527900 19954.50585898
0.12500001 877622.63981741 18245.77554155
0.12600001 868400.19153528 23160.23419964
0.12700001 859198.62387399 18146.27579139
0.12800001 850018.62971566 18092.64738619
0.12900001 840863.14405092 18036.51528999
0.13000001 831732.81685715 19612.26074591
0.13100001 822627.84078140 17916.83521678
0.13200001 813551.62486014 22722.49795349
0.13300001 804505.31211807 19404.66904308
0.13400001 795487.51950384 20941.20993822
0.13500001 786501.77649137 17649.10069659
0.13600001 777547.39364512 17576.45966209
0.13700001 768627.47485947 15910.58947983
0.13800001 759740.76426756 26929.01265932
0.13900001 750891.90206876 15768.73068707
0.14000001 742078.34781950 20403.44513554
0.14100001 733303.12485942 15619.35729616
0.14200001 724565.62777926 32638.06024270
0.14300001 715870.69667780 17009.08855534
0.14400001 707212.13766085 18458.23766362
0.14500001 698599.39954924 15299.32757183
0.14600001 690026.93629825 19779.62306208
0.14700001 681500.88509639 19668.11647176
0.14800001 673017.08284456 18050.31901348
0.14900001 664578.19885761 19438.91323373
0.15000001 656186.63552533 17835.15359509
0.15100001 647841.98890688 16247.87784844
0.15200001 639546.20712230 19080.86198986
0.15300001 631299.05419303 18957.91149202
0.15400001 623099.43059132 17384.47493389
0.15500001 614952.08485440 20145.83125057
0.15600001 606853.82831308 17149.68999751
0.15700001 598810.72512020 19868.54079722
0.15800001 590815.51665236 25363.71132702
0.15900001 582876.31211542 20983.54822659
0.16000001 574988.56706116 13885.97454998
0.16100001 567158.35557700 15160.14356020
0.16200001 559380.71747997 19147.60286322
0.16300001 551660.13143001 20356.25981074
0.16400001 543994.93639686 14810.26284259
0.16500001 536387.01033155 17362.84834416
0.16600001 528835.69909794 19871.00233178
0.16700001 521341.84820721 18392.94127317
0.16800001 513905.12983121 15632.99478760
0.16900001 506529.24667495 14208.14604011
0.17000001 499211.74193781 12804.78178534
0.17100001 491953.46399226 20307.83995256
0.17200001 484755.22278464 12579.39862530
0.17300001 477617.38697157 14958.97726638
0.17400001 470541.25556522 20997.90452125
0.17500001 463525.46487798 14684.48742085
0.17600001 456569.16698309 14546.29434709
0.17700001 449676.97046121 13207.01324622
0.17800001 442845.83005395 15457.53442812
0.17900001 436076.78056364 16483.70308389
0.18000001 429370.99475944 12823.16536419
0.18100001 422728.93884922 16156.70080600
0.18200001 416146.92157627 11423.23353688
0.18300001 409630.79247815 11305.81040648
0.18400001 403176.40286176 16782.21856192
0.18500001 396786.81013564 13284.42303093
0.18600001 390460.20427557 16428.61387104
0.18700001 384197.31535886 13001.23776598
0.18800001 377997.83811359 16074.35882523
0.18900001 371864.26729175 12717.75854226
0.19000001 365790.96675737 11527.90286204
0.19100001 359786.54855270 14506.59432308
0.19200001 353842.89724765 16390.00377496
0.19300001 347965.92090561 11138.38965451
0.19400001 342152.12158070 11008.74503206
0.19500001 336403.03157203 14835.37439337
0.19600001 330717.00260726 10749.95667775
0.19700001 325096.06660696 12551.95972487
0.19800001 319539.31846667 11445.89892840
0.19900001 314047.63485501 14132.14423636
0.20000001 308617.94544547 10235.31464443
0.20100001 303254.17759700 11026.32241856
0.20200001 297952.83312488 9979.93061720
0.20300001 292716.21360232 9852.82821554
0.20400001 287543.12380940 11494.53691758
0.20500001 282432.83153336 10472.60988826
0.20600001 277386.52277978 10335.42232731
0.20700001 272403.23382204 13598.37007518
0.20800001 267482.62565813 9224.13878185
0.20900001 262627.23661402 14890.96501993
0.21000001 257832.08732046 8976.42454440
0.21100001 253099.54036561 8853.42234052
0.21200001 248429.24162925 11905.97196793
0.21300001 243820.74840877 8609.31103332
0.21400001 239275.00395029 8488.28116643
0.21500001 234791.18103244 9128.68155012
0.21600001 230367.05283374 8248.29271668
0.21700001 226004.61256751 10346.49165252
0.21800001 221703.10685234 8011.24214489
0.21900001 217460.66684981 9329.06304895
0.22000001 213278.15067913 8484.20523517
0.22100001 209157.86404571 7661.45292225
0.22200001 205095.51909560 8918.57906958
0.22300001 201092.48914428 6756.70795474
0.22400001 197146.54737627 7984.43554629
0.22500001 193262.13941976 7861.90420336
0.22600001 189433.85957507 7095.24554591
0.22700001 185664.38319188 7619.66664652
0.22800001 181951.53443249 6875.03905365
0.22900001 178295.19952122 9841.89547900
0.23000001 174696.01152729 6053.21708569
0.23100001 171154.26483003 6551.78556755
0.23200001 167666.50617493 7031.93360154
0.23300001 164235.39235890 7494.06130776
0.23400001 160859.14879420 6804.34231581
0.23500001 157536.26034908 6692.14065614
0.23600001 154268.64673377 5484.25065077
0.23700001 151054.50263136 7010.43979870
0.23800001 147893.75722859 5832.19059216
0.23900001 144785.90901639 5212.29297113
0.24000001 141730.41126731 5635.91007063
0.24100001 138728.09393104 8057.32807664
0.24200001 135776.73543923 6928.68713720
0.24300001 132876.53043069 7294.92186572
0.24400001 130026.53758482 5734.17057874
0.24500001 127227.21079366 5633.62116044
0.24600001 124477.76781268 5995.47197031
0.24700001 121778.33171186 5436.18498478
0.24800001 119126.77410280 5784.20079019
0.24900001 116523.50522865 4369.63165279
0.25000001 113968.79516886 4290.92534110
0.25100001 111460.90598347 5477.18917915
0.25200001 109001.20025932 4550.25532010
0.25300001 106587.96712497 4873.20208751
0.25400001 104220.09561597 4385.06073050
0.25500001 101897.82888730 5478.02754016
0.25600001 99621.27571261  4224.44039646
0.25700001 97389.01269235  6407.22344818
0.25800001 95200.81624371  3698.55188606
0.25900001 93056.61672514  5443.81233599
0.26000001 90956.04280009  4629.20801734
0.26100001 88896.26160795  5589.79719440
0.26200001 86880.97709522  5141.18206287
0.26300001 84906.23571718  4707.20193089
0.26400001 82972.45490256  3957.78628613
0.26500001 81080.35524123  4529.14885809
0.26600001 79227.79655770  5394.22478388
0.26700001 77416.03749193  3112.12485444
0.26800001 75643.40597998  3052.21157573
0.26900001 73908.94302600  2993.31233420
0.27000001 72213.55710667  3816.12560589
0.27100001 70556.05445043  4030.16202093
0.27200001 68936.05633693  3105.22480465
0.27300001 67352.61595887  3321.83117629
0.27400001 65804.48819910  3800.20937334
0.27500001 64294.71537729  3460.34174537
0.27600001 62818.37826626  3915.15561073
0.27700001 61378.64088998  2815.43839087
0.27800001 59972.46166260  3011.81716724
0.27900001 58600.90369800  2953.48568616
0.28000001 57262.72227399  3137.71101551
0.28100001 55957.44876686  2840.40023384
0.28200001 54685.45328152  3249.95664234
0.28300001 53445.58067416  2959.81639782
0.28400001 52237.54596011  2456.47071504
0.28500001 51061.04441678  2409.57080008
0.28600001 49914.68807759  2578.59290814
0.28700001 48799.24853842  2108.12763664
0.28800001 47713.04682539  3102.54101667
0.28900001 46657.93747081  2435.54445126
0.29000001 45630.38701961  1991.76648768
0.29100001 44632.67778302  2345.89365532
0.29200001 43662.56148434  1918.96966807
0.29300001 42720.14234246  2637.54171307
0.29400001 41804.98357568  2774.80591618
0.29500001 40917.69833341  2361.76965960
0.29600001 40055.77270340  2676.72713761
0.29700001 39219.65330698  1928.43044439
0.29800001 38409.90568916  2411.75809239
0.29900001 37625.03245057  2201.06450255
0.30000001 36864.80311242  2330.22431505
0.30100001 36129.90160836  2127.69000644
0.30200001 35417.65176856  1609.73234909
0.30300001 34729.53820211  1900.40042039
0.30400001 34065.19888498  1870.17950732
0.30500001 33422.32262203  1534.08468098
0.30600001 32802.15709348  1812.64728680
0.30700001 32204.31691018  1934.19136520
0.30800001 31627.88736198  2052.33370808
0.30900001 31072.43430323  2456.27604796
0.31000001 30538.54055280  2706.78367005
0.31100001 30023.61944779  1405.10545668
0.31200001 29529.69467467  1940.98692286
0.31300001 29054.75479000  2052.71852310
0.31400001 28600.65994899  1486.51937123
0.31500001 28164.29592392  1468.48645900
0.31600002 27746.68179254  2242.90312890
0.31700002 27346.76408312  1434.88477938
0.31800002 26965.20308591  1548.34203450
0.31900002 26601.34865053  1787.61071396
0.32000002 26254.24981393  1516.97062608
0.32100002 25924.30902786  1502.57302240
0.32200002 25610.88701128  1613.10179479
0.32300002 25312.83158551  1722.28514263
0.32400002 25030.99503731  1220.26106585
0.32500002 24764.11097055  1332.06159218
0.32600002 24512.90333577  1563.06535522
0.32700002 24276.24365509  1433.26949327
0.32800002 24054.72468944  1305.81079160
0.32900002 23846.15158033  1652.53838277
0.33000002 23653.13070232  1291.81579448
0.33100002 23471.10435444  1402.63326264
0.33200002 23304.79760169  1629.70457346
