# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 306.16431016
0.00100000 1700842.71957215 510.25282799
0.00200000 1700632.31966399 1071.39839531
0.00300000 1700281.80938413 1326.21985856
0.00400000 1699791.04609559 1529.81199962
0.00500000 1699160.52351858 2599.71570388
0.00600000 1698389.92173991 2139.97138852
0.00700000 1697479.92381131 2444.37119188
0.00800000 1696430.01943489 2519.19868522
0.00900000 1695241.54706806 3305.72115809
0.01000000 1693913.62646592 3074.45336479
0.01100000 1692447.56471268 3655.68689895
0.01200000 1690842.82516799 4945.71548046
0.01300000 1689100.81528096 5675.37898966
0.01400000 1687220.69228487 4555.49607112
0.01500000 1685204.42149620 5662.28710836
0.01600000 1683050.68483352 4720.95738200
0.01700000 1680761.74081120 4538.05690376
0.01800000 1678337.08568131 5739.91309131
0.01900000 1675777.53094694 7540.99922953
0.02000000 1673083.56705417 5797.23482208
0.02100000 1670257.11513113 6063.03360281
0.02200000 1667296.14624288 6327.38916246
0.02300000 1664203.63628028 7788.47337231
0.02400000 1660979.49138204 7474.40805203
0.02500000 1657625.11637010 7757.68589891
0.02600000 1654140.58544839 6699.26967748
0.02700000 1650527.20485247 9011.87895125
0.02800000 1646784.49314444 10745.26931054
0.02900000 1642915.33616843 10350.36709309
0.03000000 1638919.93263358 7620.97803705
0.03100000 1634798.60893180 8631.73705233
0.03200000 1630552.30579256 12106.85142813
0.03300000 1626183.91523070 9122.89218501
0.03400000 1621691.47819287 10216.65678402
0.03500000 1617078.35057956 10478.66819564
0.03600000 1612344.14078601 12527.91455287
0.03700000 1607490.98925299 12827.77868749
0.03800000 1602519.85784411 12187.16408292
0.03900000 1597432.29998925 11501.51309256
0.04000000 1592227.44936527 13709.07897430
0.04100000 1586908.71709403 12996.78299562
0.04200000 1581476.78430040 15300.78859795
0.04300000 1575931.91762607 11441.26625305
0.04400000 1570277.25841582 11659.30918522
0.04500000 1564513.18424186 11874.65562015
0.04600000 1558639.47338955 12087.24967803
0.04700000 1552659.56990243 13414.97930786
0.04800000 1546573.85047650 13640.78199588
0.04900000 1540384.70929248 15018.75161469
0.05000000 1534092.15114285 12909.38605301
0.05100000 1527699.11654510 16682.47512981
0.05200000 1521204.08683270 14512.28766468
0.05300000 1514612.56338610 18402.54350303
0.05400000 1507922.78990066 14928.43631619
0.05500000 1501138.88248342 17653.39408152
0.05600000 1494259.21581917 21719.05871543
0.05700000 1487289.07944215 12939.41559514
0.05800000 1480226.71149073 17030.00911087
0.05900000 1473074.39650514 19886.50528164
0.06000000 1465834.97283403 18777.34687926
0.06100000 1458510.06839648 14920.55869695
0.06200000 1451099.82380886 16455.47277118
0.06300000 1443607.80524698 16630.36269400
0.06400000 1436031.89734351 16801.57398467
0.06500000 1428378.51739223 16969.13758040
0.06600000 1420645.57045852 14277.48865113
0.06700000 1412836.01932822 18734.20649303
0.06800000 1404953.17229857 20357.77241953
0.06900000 1396997.15893085 14668.47085554
0.07000000 1388968.10572143 20709.51542610
0.07100000 1380870.61392735 25352.78565917
0.07200000 1372703.80736631 22546.66109223
0.07300000 1364472.37067926 16660.20842662
0.07400000 1356175.79795860 18308.37413045
0.07500000 1347816.46518514 19974.64095030
0.07600000 1339394.28653974 18564.00568173
0.07700000 1330915.07489303 17128.87781702
0.07800000 1322377.12188464 15670.16962920
0.07900000 1313782.30275495 22071.54372152
0.08000000 1305134.89556025 19028.86766993
0.08100000 1296435.18309166 17540.76885021
0.08200000 1287683.11043600 19237.98657266
0.08300000 1278883.04869660 22559.49803777
0.08400000 1270034.72447468 19431.53219655
0.08500000 1261142.83051238 21149.36626055
0.08600000 1252206.02593339 22877.80516795
0.08700000 1243228.15699338 18051.67368721
0.08800000 1234208.03808837 21419.68150697
0.08900000 1225151.39468396 21501.40798662
0.09000000 1216057.46303934 16599.18515024
0.09100000 1206928.40340288 18321.17402441
0.09200000 1197765.78886324 20050.60024768
0.09300000 1188573.05950983 23462.43329727
0.09400000 1179348.02786126 18486.28120553
0.09500000 1170095.55133843 20219.25207749
0.09600000 1160816.19255502 21956.83931432
0.09700000 1151513.94206576 18619.98131858
0.09800000 1142188.74661658 22049.95479017
0.09900000 1132842.71804403 18691.90572667
0.10000000 1123475.43228083 20424.78431939
0.10100000 1114090.37909624 28977.49212316
0.10200000 1104689.49376102 18774.19882954
0.10300000 1095273.50819031 22212.14779098
0.10400000 1085845.37761191 22232.68515254
0.10500000 1076407.60368746 17114.88170387
0.10600001 1066956.86280896 17124.65845386
0.10700001 1057500.35530217 17131.50656206
0.10800001 1048035.78540155 18848.92448751
0.10900001 1038567.57385086 18850.00235258
0.11000001 1029095.77959636 23988.22375151
0.11100001 1019622.05580990 17129.65134396
0.11200001 1010149.33987583 22258.64175204
0.11300001 1000676.04569907 18822.71730579
0.11400001 991207.44427168 17098.32921875
0.11500001 981743.17698752 18790.56529235
0.11600001 972284.51526181 20476.31285567
0.11700001 962834.59003407 18746.39035082
0.11800001 953391.82039238 20421.65375463
0.11900001 943959.96563904 23787.79225455
0.12000001 934539.61359551 23746.65270005
0.12100001 925134.10270079 16929.95487696
0.12200001 915741.81875215 18584.98108714
0.12300001 906366.72567889 18544.26408109
0.12400001 897008.08105024 25228.35346823
0.12500001 887668.22078843 16776.93016344
0.12600001 878350.11115654 18405.82744663
0.12700001 869053.32258126 23360.15441186
0.12800001 859778.06362681 28282.40073593
0.12900001 850527.60788885 18243.81804909
0.13000001 841302.64545261 24797.39664354
0.13100001 832102.89781181 19770.76578396
0.13200001 822932.46158257 16417.50338250
0.13300001 813792.05531366 19628.66529952
0.13400001 804680.35833061 16294.77802442
0.13500001 795601.02435135 17853.28782819
0.13600001 786553.29269789 22629.13929790
0.13700001 777540.29692570 16095.08490530
0.13800001 768560.78598022 19229.39177200
0.13900001 759619.55093267 17547.21245404
0.14000001 750713.84056332 19053.11817205
0.14100001 741846.89264573 20541.74142617
0.14200001 733017.82096449 22012.52620179
0.14300001 724231.96746828 21900.77572925
0.14400001 715482.71052994 17117.92465688
0.14500001 706779.42722588 27861.24633552
0.14600001 698117.06954803 20011.52674262
0.14700001 689501.41509543 18368.31856470
0.14800001 680928.39846635 15218.75042372
0.14900001 672400.66224673 16641.91717579
0.15000001 663920.97916259 21052.93524258
0.15100001 655488.15601110 22417.69599336
0.15200001 647104.95004086 16336.16523464
0.15300001 638770.78049975 22133.40858877
0.15400001 630484.55885957 14658.76668525
0.15500001 622251.10548648 21841.01483332
0.15600001 614067.22839129 15907.41230223
0.15700001 605938.96522609 15796.82956900
