# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 306.16431016
0.00100000 1700842.64914382 561.27808755
0.00200000 1700632.03803260 918.34132962
0.00300000 1700281.17252218 1020.16873985
0.00400000 1699789.91436826 1402.32673264
0.00500000 1699158.75191861 1988.01581843
0.00600000 1698387.37305254 1961.63749574
0.00700000 1697476.47765622 2240.66904363
0.00800000 1696425.50135649 3206.24433293
0.00900000 1695235.85567787 3305.71005988
0.01000000 1693906.59357747 2794.94600009
0.01100000 1692439.06250603 3351.02948966
0.01200000 1690832.70919388 3626.83632024
0.01300000 1689088.92940633 4256.50428984
0.01400000 1687206.92460715 4555.45889839
0.01500000 1685188.62249337 5662.23402371
0.01600000 1683032.76159542 5579.25385410
0.01700000 1680741.54421494 5899.40308483
0.01800000 1678314.41804784 5261.51593734
0.01900000 1675752.30923611 5027.25715455
0.02000000 1673055.71747305 5797.13832328
0.02100000 1670226.42961929 5511.74746764
0.02200000 1667262.53787070 6327.26161868
0.02300000 1664166.96013605 7788.30172795
0.02400000 1660939.59441562 8097.08089198
0.02500000 1657581.91097637 7757.48369766
0.02600000 1654093.98511822 6699.08094613
0.02700000 1650476.99581423 11091.20591986
0.02800000 1646730.62953837 10744.91785050
0.02900000 1642857.64872534 8132.14573457
0.03000000 1638858.36013475 7620.69172491
0.03100000 1634732.92723762 13339.42130005
0.03200000 1630482.59070729 8070.88919573
0.03300000 1626109.92890362 9951.79322367
0.03400000 1621613.10465844 8513.46919227
0.03500000 1616995.48284368 8731.77601057
0.03600000 1612256.76009258 12527.23560485
0.03700000 1607398.93486682 11910.82665821
0.03800000 1602422.98468682 9374.17489425
0.03900000 1597330.53943876 14375.97552070
0.04000000 1592120.60600171 10770.69639870
0.04100000 1586796.88281137 10996.50290775
0.04200000 1581359.77315361 12239.72521204
0.04300000 1575809.58752773 14560.48126462
0.04400000 1570149.64346577 14837.91481985
0.04500000 1564380.08628097 12953.06771627
0.04600000 1558500.86400532 12086.17476221
0.04700000 1552515.45795461 14531.54536229
0.04800000 1546423.95722334 11366.21661444
0.04900000 1540229.09973999 15017.23442148
0.05000000 1533930.73594865 14081.48481173
0.05100000 1527531.73953865 14297.69774813
0.05200000 1521030.77496157 18138.29283668
0.05300000 1514433.20147149 15946.98235491
0.05400000 1507737.29494177 13682.71658967
0.05500000 1500947.19682883 13868.75274567
0.05600000 1494061.32990714 15329.06996017
0.05700000 1487084.92144272 18112.69518865
0.05800000 1480016.19601570 18337.40152485
0.05900000 1472857.54225024 15906.86219925
0.06000000 1465611.59195064 17433.45070072
0.06100000 1458280.17049585 14918.20684132
0.06200000 1450863.45111248 17823.85833007
0.06300000 1443364.87881119 16627.56418133
0.06400000 1435782.37197401 13998.87878143
0.06500000 1428122.30484343 16966.09377518
0.06600000 1420382.73221219 15702.33183929
0.06700000 1412566.57795453 17289.81572331
0.06800000 1404676.92385469 18899.92889515
0.06900000 1396714.22438124 23464.80006820
0.07000000 1388678.35175856 17747.31016655
0.07100000 1380574.03476769 17892.24032862
0.07200000 1372400.45273582 22541.67849219
0.07300000 1364162.30401481 15142.20228406
0.07400000 1355858.76907830 18304.09424036
0.07500000 1347492.60473236 23042.12462096
0.07600000 1339063.63499922 18559.42285117
0.07700000 1330577.70969416 17124.53592671
0.07800000 1322032.86151639 17232.69915801
0.07900000 1313431.16548200 18913.40967005
0.08000000 1304777.10405633 26950.17234854
0.08100000 1296070.37467690 19129.99962778
0.08200000 1287311.50013523 16027.02892876
0.08300000 1278504.85985366 19330.99438823
0.08400000 1269649.73153478 22663.24877168
0.08500000 1260751.13115117 24395.53553303
0.08600000 1251807.73129254 17969.70082641
0.08700000 1242823.08523664 18045.79204502
0.08800000 1233796.19362381 18118.29795427
0.08900000 1224733.04970540 21494.06603190
0.09000000 1215632.52077230 19912.06162563
0.09100000 1206497.09957673 24974.49113457
0.09200000 1197328.14926983 16702.72846712
0.09300000 1188128.90122639 26804.18927125
0.09400000 1178897.43273649 16799.28920602
0.09500000 1169638.61971896 18527.07660717
0.09600000 1160353.15610475 16883.13921496
0.09700000 1151044.49413210 25380.53228882
0.09800000 1141713.23853911 22040.77510630
