# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 280.65061764
0.00100000 1700842.67206309 612.30337648
0.00200000 1700632.12767010 765.28448168
0.00300000 1700281.37322054 1326.21951836
0.00400000 1699790.28923387 1784.77987151
0.00500000 1699159.32311835 1835.09214160
0.00600000 1698388.21425324 2496.63077660
0.00700000 1697477.61800014 2240.67054888
0.00800000 1696426.99430710 2977.22950071
0.00900000 1695237.69552976 3051.42798240
0.01000000 1693908.89968649 3353.93976620
0.01100000 1692441.83126374 5178.87222915
0.01200000 1690836.03850584 5934.83475536
0.01300000 1689092.83299923 4611.22363746
0.01400000 1687211.45656625 4555.47113468
0.01500000 1685193.79436697 4448.91181523
0.01600000 1683038.64915050 7295.97287022
0.01700000 1680748.19060764 6807.03047732
0.01800000 1678321.90980946 7653.14825310
0.01900000 1675760.62318546 6032.73851568
0.02000000 1673064.90904709 10013.29393360
0.02100000 1670236.58015019 7716.49335015
0.02200000 1667273.65987716 7477.72270428
0.02300000 1664179.08864856 7189.25399021
0.02400000 1660952.82361034 7474.28804706
0.02500000 1657596.20116895 7111.08802778
0.02600000 1654109.40585768 10048.71510020
0.02700000 1650493.65295217 9011.69575786
0.02800000 1646748.52834625 8596.02771218
0.02900000 1642876.85569680 8871.53542809
0.03000000 1638878.89682987 9144.94466466
0.03100000 1634754.83974935 7846.82359185
0.03200000 1630505.80936641 10492.30536653
0.03300000 1626134.61378633 10781.27298643
0.03400000 1621639.27418353 9364.96724051
0.03500000 1617023.25269838 9605.11856457
0.03600000 1612286.05639454 11632.64443447
0.03700000 1607429.81650642 11911.05549117
0.03800000 1602455.56592708 9374.36549451
0.03900000 1597364.85559061 12459.44645060
0.04000000 1592156.74063099 10770.94084948
0.04100000 1586834.76196208 9997.05946389
0.04200000 1581399.40196341 10200.02661587
0.04300000 1575851.11919712 12480.74144337
0.04400000 1570193.13818239 19077.84751493
0.04500000 1564425.36044581 16191.80323296
0.04600000 1558548.16996740 13185.31813087
0.04700000 1552564.75285367 12296.31341448
0.04800000 1546475.29032931 15913.23147790
0.04900000 1540282.52885769 13862.54340499
0.05000000 1533986.21982515 15255.49366655
0.05100000 1527589.44303279 19064.31713714
0.05200000 1521090.64886142 18139.00683297
0.05300000 1514495.22472659 13494.15308138
0.05400000 1507801.62192627 18659.04594148
0.05500000 1501013.82859549 12608.51674838
0.05600000 1494130.17955510 12774.81363132
0.05700000 1487156.12228109 15525.91064134
0.05800000 1480089.87180609 20958.07356336
0.05900000 1472933.51068899 13256.40221535
0.06000000 1465690.08750496 17434.38440539
0.06100000 1458361.19174388 13562.75971702
0.06200000 1450946.88704359 13711.44872348
0.06300000 1443450.83984763 19399.98019460
0.06400000 1435870.88152589 15399.71592456
0.06500000 1428213.49609868 15553.24570006
0.06600000 1420476.48342513 21413.68398955
0.06700000 1412662.87246044 14409.16197343
0.06800000 1404775.97671942 17447.31844755
0.06900000 1396815.77277940 16133.22293094
0.07000000 1388782.74267917 19227.69797280
0.07100000 1380681.19215642 19384.76484582
0.07200000 1372510.41057598 19537.68660983
0.07300000 1364274.98572190 18172.14366128
0.07400000 1355974.36360502 18305.65476655
0.07500000 1347610.93115795 19971.59493588
0.07600000 1339185.00338058 24748.14002268
0.07700000 1330701.81888138 20239.97561421
0.07800000 1322159.96082446 17234.35589757
0.07900000 1313561.17905024 20491.55535431
0.08000000 1304909.93399281 19025.58773013
0.08100000 1296206.22667964 17537.67106981
0.08200000 1287450.47517401 20837.38691849
0.08300000 1278646.54043511 22555.32603184
0.08400000 1269794.60175475 19427.85831877
0.08500000 1260898.93304107 21145.27609977
0.08600000 1251958.55505561 16338.05991057
0.08700000 1242976.98549747 21329.48607272
0.08800000 1233953.21550993 23062.58668099
0.08900000 1224893.25867247 24804.08965316
0.09000000 1215795.91220981 18255.17647938
0.09100000 1206663.47101557 16651.95668234
0.09200000 1197497.46345542 23387.12656017
0.09300000 1188301.33948697 18430.55464153
0.09400000 1179073.10516394 16801.79253823
0.09500000 1169817.58242339 23583.52357014
0.09600000 1160535.16431632 27017.25989531
0.09700000 1151229.65296197 21999.99970238
0.09800000 1141901.46888312 22044.40889327
0.09900000 1132552.46091904 16988.28771262
0.10000000 1123182.46520726 23822.70120736
0.10100000 1113794.67493286 22153.37712633
0.10200000 1104391.02811618 18769.12640566
0.10300000 1094972.43386365 18789.72784898
0.10400000 1085541.66686349 18807.01026319
0.10500000 1076101.57470032 18821.01742703
0.10600001 1066648.34750056 22255.61881781
0.10700001 1057189.51651397 18839.11807080
0.10800001 1047722.84872234 22269.35019763
0.10900001 1038252.42139693 22270.51548714
0.11000001 1028778.55101724 20554.99641684
0.11100001 1019302.98897264 23974.00742917
0.11200001 1009828.42877715 20539.91120829
0.11300001 1000353.28682140 17106.04201001
0.11400001 990883.13556543 18802.00838264
0.11500001 981417.22477827 18784.32656677
0.11600001 971957.17612563 17057.84924428
0.11700001 962505.83274942 20443.62485039
0.11800001 953061.79372678 22115.79996505
0.11900001 943628.71599440 28875.04006949
0.12000001 934207.22949694 18651.44821548
0.12100001 924800.76582835 22001.01125548
0.12200001 915407.67333775 20267.12684251
0.12300001 906031.76939169 16852.19170467
0.12400001 896672.34287047 18493.86794309
0.12500001 887332.08648609 26832.92355972
0.12600001 878013.45062619 21744.00412941
0.12700001 868716.28995425 20015.22426379
0.12800001 859440.74818989 16630.17926124
0.12900001 850190.01483015 19894.44728469
0.13000001 840965.11258270 23134.95133761
0.13100001 831765.46531115 21409.64408631
0.13200001 822595.39335898 22975.09041957
0.13300001 813455.17324922 21255.58467905
0.13400001 804343.99325053 29318.33993621
0.13500001 795265.09424298 25957.45389994
0.13600001 786218.02234015 16156.78112089
0.13700001 777205.89165598 24132.24407383
0.13800001 768227.12811233 17619.29001411
0.13900001 759286.81887509 20728.53113281
0.14000001 750382.28540153 17457.64469318
0.14100001 741516.61478421 18953.16556777
0.14200001 732688.95092422 17287.79661244
0.14300001 723904.26851883 18763.59952504
0.14400001 715156.50173012 20221.05104024
0.14500001 706454.94007219 23207.04587610
0.14600001 697794.44442603 20002.27869307
0.14700001 689180.69732306 15299.81220236
0.14800001 680609.64718143 16732.78896539
0.14900001 672084.18126898 15121.89479202
0.15000001 663606.56191484 16533.75827022
0.15100001 655176.14247574 17925.62010396
0.15200001 646795.39999763 16328.35064343
0.15300001 638463.83598873 16223.36683804
0.15400001 630180.13531845 17582.02660510
0.15500001 621949.41708409 20375.06386523
0.15600001 613768.52516842 14454.24944988
0.15700001 605643.14703967 18659.86624098
0.15800001 597566.30509858 14251.95704928
0.15900001 589546.34764558 21223.66951701
0.16000001 581578.18308214 14045.11378440
0.16100001 573668.30961517 16728.16869802
0.16200001 565811.50839655 16600.91044002
0.16300001 558012.35695871 15099.81509213
0.16400001 550269.25817700 16342.99773940
0.16500001 542584.18152878 14861.38143370
0.16600001 534956.25276036 29481.44048153
0.16700001 527386.45886857 15948.16726917
0.16800001 519874.52968144 17132.46593459
0.16900001 512424.17705751 14373.49884515
0.17000001 505032.50358453 20726.53492581
0.17100001 497701.16524191 16692.89787047
0.17200001 490430.25177292 16544.66532485
0.17300001 483220.46048863 20179.28738296
0.17400001 476073.24153072 13746.61549840
0.17500001 468986.58343186 18571.86958101
0.17600001 461960.58587646 17171.07578800
0.17700001 454999.16520183 18222.71742700
0.17800001 448099.51594637 14437.76708572
0.17900001 441262.54521790 17871.13392544
0.18000001 434489.61659101 16514.95110671
0.18100001 427781.14017243 16349.79594970
0.18200001 421133.25691960 11560.10844852
0.18300001 414552.10473634 12585.80249434
0.18400001 408033.44432279 14719.80719932
0.18500001 401580.16964404 15685.72216732
0.18600001 395190.56466007 16627.64379362
0.18700001 388865.38037550 12062.60466914
0.18800001 382604.11065813 11931.50975459
0.18900001 376409.82134861 15018.75258141
0.19000001 370276.22327819 10608.41429815
0.19100001 364212.35996488 11538.24810887
0.19200001 358209.92803102 14518.24906910
0.19300001 352274.79786934 10251.19710239
0.19400001 346403.51711896 15198.45503178
0.19500001 340597.66973560 12016.28635610
0.19600001 334855.60523458 12863.47868297
0.19700001 329179.37522909 11731.95348759
0.19800001 323567.98163904 11590.20565005
0.19900001 318022.13081935 11448.79725057
0.20000001 312539.14865464 13192.27808819
0.20100001 307122.65990933 10236.39873857
0.20200001 301769.35586860 13783.31598075
0.20300001 296481.50256731 9072.33440736
0.20400001 291257.85626604 11643.03335455
0.20500001 286097.68711301 10608.50273958
0.20600001 281002.09176764 10470.13843416
0.20700001 275970.11908129 10332.32174680
0.20800001 271001.64809457 9345.49227630
0.20900001 266098.81035145 9220.32421453
0.21000001 261256.93600158 8268.78241533
0.21100001 256478.44569498 9787.21795040
0.21200001 251762.75851851 9652.58461792
0.21300001 247109.47996426 9518.65761822
0.21400001 242519.55331750 8603.38156068
0.21500001 237992.26520483 10024.23468435
0.21600001 233525.31054064 7601.24921747
0.21700001 229120.68226101 9739.92066341
0.21800001 224777.45552771 7383.93976320
0.21900001 220493.93860439 10186.82044517
0.22000001 216271.02997167 8603.26197906
0.22100001 212111.05459855 9888.61783295
0.22200001 208009.43046910 8349.49893383
0.22300001 203967.73777130 8223.97957581
0.22400001 199983.59688430 8774.28072820
0.22500001 196061.65332365 7311.13939816
0.22600001 192196.67085651 7198.72664735
0.22700001 188390.81719557 7731.55950332
0.22800001 184642.22297214 8245.19885674
0.22900001 180950.64874598 6867.07744466
0.23000001 177316.70251293 9830.43845222
0.23100001 173740.85404592 7860.03660876
0.23200001 170219.46228754 5949.17048831
0.23300001 166755.21226726 8779.66234110
0.23400001 163346.60620669 6333.76495522
