# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 299.63713438
0.00100000 1664581.88390033 599.24949244
0.00200000 1664375.23465598 1123.45331897
0.00300000 1664030.98345059 1198.10235076
0.00400000 1663548.98483685 1621.96032185
0.00500000 1662929.71463214 1795.96416289
0.00600000 1662172.86795746 1919.80974065
0.00700000 1661279.12572645 2192.88853710
0.00800000 1660247.95871379 3586.13574223
0.00900000 1659080.67934242 2488.62112540
0.01000000 1657776.48894811 3282.39758985
0.01100000 1656336.65173120 3279.54671322
0.01200000 1654760.53223755 3872.13981521
0.01300000 1653049.64279166 3818.54484326
0.01400000 1651203.15537200 4086.72799071
0.01500000 1649222.89709935 5541.38918101
0.01600000 1647107.68184570 5040.14973176
0.01700000 1644859.68400142 4441.12134603
0.01800000 1642478.40851669 5617.27640989
0.01900000 1639964.64875107 6395.86241873
0.02000000 1637318.96827986 5157.55498339
0.02100000 1634543.13950463 7012.19038640
0.02200000 1631635.17813637 8443.71243047
0.02300000 1628598.10935093 8208.13484475
0.02400000 1625431.80445776 6704.90649912
0.02500000 1622137.56841320 9489.50520861
0.02600000 1618715.58093036 6555.79840262
0.02700000 1615166.97292266 11532.29271486
0.02800000 1611491.54792815 9112.98512145
0.02900000 1607691.90167215 7958.07527867
0.03000000 1603768.35070120 11186.28476032
0.03100000 1599721.14812957 8446.52805078
0.03200000 1595551.19695556 11057.17030417
0.03300000 1591261.52076231 8926.97754301
0.03400000 1586849.98609632 9997.15537368
0.03500000 1582320.03609183 10253.43430736
0.03600000 1577671.28513257 12258.50645199
0.03700000 1572905.59333484 10758.67475597
0.03800000 1568024.39648733 14676.70903035
0.03900000 1563028.72579846 13129.44190473
0.04000000 1557917.85933838 13413.67339048
0.04100000 1552695.44538527 12716.57628733
0.04200000 1547361.89651823 12974.63010424
0.04300000 1541917.40196538 12211.98639042
0.04400000 1536365.43241405 11407.51386546
0.04500000 1530705.92010466 16898.99414317
0.04600000 1524938.80630808 11825.90099267
0.04700000 1519067.76803508 13124.74612623
0.04800000 1513092.58922677 14457.60036275
0.04900000 1507016.18175421 15823.67064497
0.05000000 1500838.14186500 13777.69478389
0.05100000 1494561.74024972 16320.61496381
0.05200000 1488185.34964664 14197.28889724
0.05300000 1481714.28850093 15602.45218527
0.05400000 1475146.58434363 14603.95186604
0.05500000 1468486.97650711 13568.82029590
0.05600000 1461733.25280083 16247.16586304
0.05700000 1454890.78797004 13923.30549079
0.05800000 1447958.15827620 14095.87332899
0.05900000 1440937.30469762 14265.27998278
0.06000000 1433830.90621936 17055.41942629
0.06100000 1426640.71854756 17248.08709327
0.06200000 1419367.10417281 18778.22766597
0.06300000 1412013.25521308 14910.86067221
0.06400000 1404577.29891136 19172.48102677
0.06500000 1397065.41699060 24895.70689534
0.06600000 1389475.61508942 13964.23058501
0.06700000 1381810.62637916 18322.80976328
0.06800000 1374073.76969072 19910.32985480
0.06900000 1366265.62600584 17214.94769366
0.07000000 1358385.64937200 23146.89254923
0.07100000 1350438.94177364 14584.74125427
0.07200000 1342424.33413061 19109.41129156
0.07300000 1334346.51913566 16292.37176204
0.07400000 1326204.80527485 23871.68761367
0.07500000 1318001.70465054 16527.74215101
0.07600000 1309737.24591474 16640.21248945
0.07700000 1301417.11628859 21317.21336434
0.07800000 1293039.41191014 16854.76952467
0.07900000 1284606.09994076 16956.80131456
0.08000000 1276121.39117151 20156.33831911
0.08100000 1267585.31121916 17150.43006546
0.08200000 1258998.53137684 25079.25192188
0.08300000 1250364.64109020 18905.51426056
0.08400000 1241683.80549813 22164.05696849
0.08500000 1232960.26716694 15905.18819312
0.08600000 1224193.02837972 17573.29174748
0.08700000 1215385.91540154 22460.33277131
0.08800000 1206537.18479890 20939.45382558
0.08900000 1197653.43532686 16168.32213633
0.09000000 1188732.83974714 21094.06523222
0.09100000 1179778.46720784 22793.32105731
0.09200000 1170791.17058093 31031.82143433
0.09300000 1161774.56968885 19657.22664287
0.09400000 1152726.47803380 21354.25900917
0.09500000 1143652.00895420 18115.44867331
0.09600000 1134551.57780378 23110.81672625
0.09700000 1125428.36578317 24815.69663217
0.09800000 1116283.39574368 16576.80920620
0.09900000 1107118.23698916 18267.45176930
0.10000000 1097932.62400955 23287.15205037
0.10100000 1088729.71658260 18323.32199186
0.10200000 1079511.53679409 20014.14483355
0.10300000 1070278.76526475 21705.25438060
0.10400000 1061034.53930586 18382.42425828
0.10500000 1051781.34277340 20067.98896430
0.10600001 1042515.26236284 16732.37074824
0.10700001 1033244.59104229 21760.13211133
0.10800001 1023966.00119917 20090.21388901
0.10900001 1014683.99905776 20090.74412693
0.11000001 1005398.63712801 20087.86571534
0.11100001 996111.90491415 20081.61694838
0.11200001 986826.67084160 18399.38414403
0.11300001 977541.26334357 18387.55202919
0.11400001 968260.71555873 23383.49738174
0.11500001 958984.56699187 21692.23192680
0.11600001 949714.40425426 16667.48857956
0.11700001 940453.23458639 16646.02303612
0.11800001 931198.98816183 24932.85408233
0.11900001 921956.18228459 19914.25447534
0.12000001 912724.85386724 19879.14825363
0.12100001 903508.52450104 19841.04813272
0.12200001 894305.64335381 26399.90383554
0.12300001 885119.49595302 21402.19042050
0.12400001 875950.10834613 18066.47183589
0.12500001 866799.78331939 24573.77501503
0.12600001 857670.82015092 19606.35587257
0.12700001 848563.07484338 26067.85888767
0.12800001 839476.84396225 22741.42877472
0.12900001 830415.51154388 19431.72388598
0.13000001 821379.20271649 17754.11230355
0.13100001 812368.42364021 19301.87465554
0.13200001 803386.37477164 16027.55893224
0.13300001 794434.20901642 25549.00536642
