# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 399.51617917
0.00100000 1664581.98796046 649.18699072
0.00200000 1664375.64820818 823.86597195
0.00300000 1664031.91694084 1297.94494145
0.00400000 1663550.64691970 1372.42933586
0.00500000 1662932.28616777 1646.30302847
0.00600000 1662176.60486852 1745.28550617
0.00700000 1661284.19474667 2591.60345151
0.00800000 1660254.59955430 2689.61256483
0.00900000 1659089.05085024 2737.49705092
0.01000000 1657786.83313231 3282.41807134
0.01100000 1656349.13565405 2981.42857399
0.01200000 1654775.39304650 4517.53702108
0.01300000 1653067.05600693 3818.58506779
0.01400000 1651223.35794013 5572.87908010
0.01500000 1649246.02040794 6333.10500037
0.01600000 1647133.97820429 5880.26856506
0.01700000 1644889.31365277 5329.44161531
0.01800000 1642511.60530654 5617.38994292
0.01900000 1640001.61861180 5904.00609341
0.02000000 1637359.85732199 7220.75729743
0.02100000 1634588.04910455 5933.55488727
0.02200000 1631684.43237445 7318.10501168
0.02300000 1628651.85385520 7035.77632891
0.02400000 1625490.20994359 8533.82399133
0.02500000 1622200.77499126 10122.53329825
0.02600000 1618783.83258856 8522.89726840
0.02700000 1615240.42297954 6784.01008723
0.02800000 1611570.29577507 9113.43044055
0.02900000 1607776.34272088 8681.99264932
0.03000000 1603858.43289224 7457.94205576
0.03100000 1599817.07570350 7679.12231672
0.03200000 1595653.09715530 11057.87647259
0.03300000 1591369.67771312 10550.78144963
0.03400000 1586964.46108620 10831.03294666
0.03500000 1582440.98952918 14526.80895470
0.03600000 1577798.88967040 13135.17636353
0.03700000 1573039.92728145 9862.96080019
0.03800000 1568165.79251985 11925.90140404
0.03900000 1563177.16993327 12192.78249013
0.04000000 1558073.49932592 10540.36771137
0.04100000 1552858.40806568 9783.00842442
0.04200000 1547532.29928821 10979.74217283
0.04300000 1542095.44467485 14248.96257020
0.04400000 1536551.12026034 13483.23670647
0.04500000 1530899.39463725 12675.84757658
0.04600000 1525140.40672149 16128.36055084
0.04700000 1519277.20566135 13126.55566740
0.04800000 1513310.30033711 11122.83122500
0.04900000 1507242.13867181 12434.74822285
0.05000000 1501072.39366739 11483.20434628
0.05100000 1494804.55572678 11659.47607781
0.05200000 1488436.57830207 15382.99275362
0.05300000 1481974.12218912 13204.39004427
0.05400000 1475415.21982340 15823.82897053
0.05500000 1468764.30880745 13571.38284648
0.05600000 1462019.43366560 13750.29341527
0.05700000 1455186.00018156 17724.16630955
0.05800000 1448262.31674752 17943.97094235
0.05900000 1441250.49735993 16862.63160669
0.06000000 1434153.30912635 15747.00406989
0.06100000 1426972.19074170 15925.01039287
0.06200000 1419707.72536257 13416.23863180
0.06300000 1412362.98389058 23049.76497479
0.06400000 1404936.30130648 13698.12957835
0.06500000 1397433.87100334 19368.43435812
0.06600000 1389853.30784030 16761.63167681
0.06700000 1382197.85543056 16918.10254222
0.06800000 1374470.46144548 18493.50092441
0.06900000 1366671.50036573 15785.05656826
0.07000000 1358800.99368735 15918.35438648
0.07100000 1350863.80859793 18966.12876105
0.07200000 1342858.64916310 22056.45434578
0.07300000 1334790.04489001 17779.40423100
0.07400000 1326657.91179980 16417.39242791
0.07500000 1318464.08464791 19539.63865035
0.07600000 1310209.00833345 18159.49770683
0.07700000 1301898.10233576 19801.87106501
0.07800000 1293529.88332306 18393.99580346
0.07900000 1285105.92006900 18505.52611697
0.08000000 1276630.49778436 23266.59191358
0.08100000 1268103.64575353 17157.44313204
0.08200000 1259526.02243541 20385.42962971
0.08300000 1250901.22701890 20489.76306020
0.08400000 1242229.49643097 23757.64023439
0.08500000 1233515.02074390 20686.04786898
0.08600000 1224756.92293741 22376.31003267
0.08700000 1215958.53878469 16050.65346566
0.08800000 1207118.66138630 22561.04884086
0.08900000 1198243.37711931 22646.80089127
0.09000000 1189331.89748729 25975.00986131
0.09100000 1180385.90616677 16289.32627039
0.09200000 1171407.22404672 17975.24469759
0.09300000 1162398.94094820 16389.82583756
0.09400000 1153359.18784031 18078.90611906
0.09500000 1144293.01440586 18125.60220014
0.09600000 1135200.51168973 16517.16822152
0.09700000 1126085.50887384 18208.80353454
0.09800000 1116948.23681618 19904.01851591
