# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097189 328.13292544
0.00100000 1682663.55050056 605.75889257
0.00200000 1682455.28578009 757.10490257
0.00300000 1682108.33768898 1110.19154242
0.00400000 1681622.56230135 1765.70375751
0.00500000 1680998.43150891 2420.63783718
0.00600000 1680235.67265826 2469.94653936
0.00700000 1679334.91888472 2418.24238370
0.00800000 1678295.68860773 2945.40905786
0.00900000 1677119.26559141 2767.24690652
0.01000000 1675804.84414348 4147.61716835
0.01100000 1674353.70410479 3013.83679861
0.01200000 1672765.23589640 3588.08158831
0.01300000 1671040.89940286 4561.94185657
0.01400000 1669179.93297609 4506.78601883
0.01500000 1667184.10627238 6001.86304984
0.01600000 1665052.26117232 5944.23683811
0.01700000 1662786.58006451 6734.28595135
0.01800000 1660386.56441309 5205.31211366
0.01900000 1657853.03292020 6962.98305245
0.02000000 1655186.49539304 5213.83769634
0.02100000 1652388.67267769 6543.45944047
0.02200000 1649457.83177022 9674.07062285
0.02300000 1646396.74967015 5927.02856860
0.02400000 1643205.38618386 9243.03071874
0.02500000 1639885.07005133 7035.10727182
0.02600000 1636436.01260426 7953.07938502
0.02700000 1632859.26787705 9601.21293486
0.02800000 1629154.65750369 7795.50539365
0.02900000 1625324.87890456 7313.96229089
0.03000000 1621370.03386041 9801.18230520
0.03100000 1617290.58685214 13197.09179595
0.03200000 1613087.40934023 8783.26134840
0.03300000 1608763.54059324 9845.63332232
0.03400000 1604316.73956908 9264.92959850
0.03500000 1599750.50655476 9502.51844774
0.03600000 1595064.51185665 11508.39098489
0.03700000 1590260.60999926 10877.38307545
0.03800000 1585340.18677337 13911.36078275
0.03900000 1580304.39542237 14222.74021746
0.04000000 1575152.33612985 11624.62477931
0.04100000 1569887.78410702 15824.46959752
0.04200000 1564511.07039501 14127.53562108
0.04300000 1559022.59536600 10289.54960704
0.04400000 1553425.56694360 12582.74767661
0.04500000 1547720.02640452 11747.19554624
0.04600000 1541906.21012336 11957.48321537
0.04700000 1535987.11066697 15482.75079559
0.04800000 1529963.26548908 12369.75357702
0.04900000 1523837.19300941 14857.41332342
0.05000000 1517608.53501852 12770.67641686
0.05100000 1511280.71446358 14145.58814634
0.05200000 1504851.89174927 13159.93040662
0.05300000 1498327.44266973 13350.09813654
0.05400000 1491705.72970906 14767.88741280
0.05500000 1484990.95694430 14968.70954428
0.05600000 1478181.22506763 15166.14007691
0.05700000 1471282.09286680 17920.21672761
0.05800000 1464291.71470759 12958.98228025
0.05900000 1457212.29251512 18360.87574325
0.06000000 1450046.59158498 15921.51231944
0.06100000 1442796.17586508 29519.61113769
0.06200000 1435461.52178811 17634.64561947
0.06300000 1428045.64889309 16451.08664442
0.06400000 1420547.09256064 15235.36828022
0.06500000 1412971.80273573 19583.79010200
0.06600000 1405317.60669569 15535.78686892
0.06700000 1397587.72433645 15680.93500091
0.06800000 1389785.16761705 17261.13258978
0.06900000 1381910.32460819 24667.10044914
0.07000000 1373963.01573262 16095.97748306
0.07100000 1365948.29646189 16227.46652203
0.07200000 1357864.73361094 17842.34343550
0.07300000 1349717.17585966 22472.79203104
0.07400000 1341505.31508459 15091.93550197
0.07500000 1333231.03474009 16718.71795929
0.07600000 1324894.86561878 21423.55098140
0.07700000 1316502.14648945 16943.38341977
0.07800000 1308051.36030645 24800.65495447
0.07900000 1299544.23222571 18713.43782178
0.08000000 1290985.06531965 20391.11006329
0.08100000 1282373.94227756 15773.20023006
0.08200000 1273711.27426324 17443.47671957
0.08300000 1265001.01941899 30284.12582619
0.08400000 1256243.14131357 17618.81088393
0.08500000 1247441.98022542 24138.00345052
0.08600000 1238596.54158849 19396.42275197
0.08700000 1229710.34602699 17855.39506276
0.08800000 1220782.14710272 27705.65212966
0.08900000 1211818.10470118 17995.49970006
0.09000000 1202817.12042629 21343.99080461
0.09100000 1193781.47203214 23063.85912323
0.09200000 1184712.46535063 19832.08760181
0.09300000 1175613.45624248 23206.61071676
0.09400000 1166482.72117254 24933.56933688
0.09500000 1157324.88787615 18332.02708561
0.09600000 1148140.44293123 28399.25519089
0.09700000 1138933.08069171 26787.70731723
0.09800000 1129703.14938220 18453.70181281
0.09900000 1120452.64260541 21848.82755819
0.10000000 1111181.23814330 18517.83620450
0.10100000 1101892.16711752 16858.95094980
0.10200000 1092587.35496564 23632.66559950
0.10300000 1083267.51270152 20278.76879170
0.10400000 1073935.81327587 27063.18376774
0.10500000 1064594.69270907 27083.29025677
0.10600001 1055240.54962602 18630.27278027
0.10700001 1045880.78376168 20331.92339310
0.10800001 1036513.15891493 20336.38913498
0.10900001 1027141.78530406 20337.40830621
0.11000001 1017766.77101449 18640.39928853
0.11100001 1008390.10991998 16940.95464412
0.11200001 999014.28224860 23706.61003380
0.11300001 989637.92090408 21999.65201746
0.11400001 980266.32574165 16909.59491522
0.11500001 970898.81296766 23651.09619757
0.11600001 961537.13523673 20249.97302169
0.11700001 952183.88469413 26965.84888449
0.11800001 942837.54379361 25244.47642405
0.11900001 933502.32499552 18483.34690551
0.12000001 924178.35785099 20128.60558215
0.12100001 914869.24026652 18416.31867412
0.12200001 905573.28587292 21720.17628493
0.12300001 896293.99102354 16671.06901849
0.12400001 887031.13942296 16631.83464783
0.12500001 877786.95152730 23226.24383184
0.12600001 868564.34125314 19855.38177670
0.12700001 859362.78768549 23099.67282159
0.12800001 850182.66834134 18096.13894850
0.12900001 841026.80067856 19680.02806344
0.13000001 831896.12710515 24520.13950218
0.13100001 822790.83823192 22807.76311089
0.13200001 813714.48662724 17856.96525082
0.13300001 804667.61228215 19408.58372322
0.13400001 795649.32857158 16111.89966318
0.13500001 786662.97572806 22467.09564608
0.13600001 777707.94474180 22374.65862520
0.13700001 768787.49714957 20688.07252381
0.13800001 759899.88687741 23765.87008279
0.13900001 751050.15628746 20503.67023356
0.14000001 742235.88246211 26687.09241250
0.14100001 733459.63744553 21871.76742016
0.14200001 724721.03841808 17099.79370799
0.14300001 716025.02207887 17012.75532704
0.14400001 707365.58144969 20000.76275892
0.14500001 698751.68741180 18363.19521141
0.14600001 690178.04015162 24349.48240522
0.14700001 681650.60283611 18159.17291624
0.14800001 673165.40166713 16549.77218078
0.14900001 664725.33280224 20938.84897118
0.15000001 656332.22401776 20812.29580559
0.15100001 647986.11327066 22161.12611953
0.15200001 639688.90661337 17617.03331943
0.15300001 631440.13481181 16044.89458271
0.15400001 623238.79204705 17388.36311869
0.15500001 615089.85141410 14393.10320234
0.15600001 606989.73934189 15724.06993975
0.15700001 598944.68204201 19872.98548810
0.15800001 590947.64273405 23959.97330553
0.15900001 583006.70499301 15391.37773830
0.16000001 575116.95231876 23611.42759196
0.16100001 567284.75435059 16542.02421772
0.16200001 559505.05522634 16415.87909527
0.16300001 551782.35470051 16288.61587971
0.16400001 544115.12643396 18853.59002101
0.16500001 536504.73220325 16030.76215507
0.16600001 528951.14211337 19875.34010329
0.16700001 521454.94399846 21025.06433471
0.16800001 514016.10174765 20848.49407128
0.16900001 506637.89987177 16795.04717378
0.17000001 499317.75893904 14088.25123371
0.17100001 492057.22058780 19042.61533596
0.17200001 484856.37229871 18873.03518297
0.17300001 477715.80467829 16208.89801819
0.17400001 470637.20666960 16060.49543607
0.17500001 463618.61755429 23255.11095481
0.17600001 456659.78522379 12124.31787031
0.17700001 449764.96827774 12008.72522020
0.17800001 442931.02805296 15460.50826442
0.17900001 436159.14889370 15309.18684928
0.18000001 429450.52455827 12825.54052175
0.18100001 422805.59285292 18468.14916819
0.18200001 416220.62799001 12567.78245583
0.18300001 409701.60572064 13569.31782247
0.18400001 403244.31406563 11190.03024395
0.18500001 396851.55318090 15501.02239955
0.18600001 390522.17334986 16431.22121996
0.18700001 384256.25501628 16254.04035511
0.18800001 378053.46281685 18220.28750130
0.18900001 371916.94484775 13779.52345766
0.19000001 365840.35985930 13625.72484676
0.19100001 359832.86439393 11399.50568263
0.19200001 353885.88715229 10244.99691715
0.19300001 348005.83908022 15190.45559364
0.19400001 342188.75249974 14012.63007702
0.19500001 336436.40330199 13847.72301429
0.19600001 330747.20512051 10750.93841049
0.19700001 325122.90724870 14484.22620242
0.19800001 319562.79724909 11446.73993842
0.19900001 314067.86089817 14133.05440835
0.20000001 308634.71265469 9305.33702632
0.20100001 303267.64760997 10107.91117256
0.20200001 297962.86468761 10887.56359027
0.20300001 292722.79595239 9853.04977746
0.20400001 287546.37861132 10610.46187227
0.20500001 282432.78025774 9599.89065472
0.20600001 277383.12809753 11196.57049490
0.20700001 272396.21797838 11048.39112345
0.20800001 267472.26624251 10900.83272600
0.20900001 262613.36254725 9926.78557354
0.21000001 257814.76357705 11423.77271413
0.21100001 253078.66142731 9657.48217661
0.21200001 248405.03891134 8730.19550525
0.21300001 243793.02333080 9390.90770266
0.21400001 239243.74699046 10801.85568729
0.21500001 234756.48709618 9127.33264982
0.21600001 230328.92067692 11245.81008374
0.21700001 225963.02472934 8866.78950960
0.21800001 221657.92808052 8009.60960989
0.21900001 217412.04871473 7174.59794681
0.22000001 213226.01827002 8482.13140784
0.22100001 209102.30451459 9052.03919045
0.22200001 205036.57930049 8916.01607247
0.22300001 201029.96875519 6754.60726957
0.22400001 197080.60958019 7316.61797664
0.22500001 193192.60006410 6549.22945187
0.22600001 189360.97773323 9671.61239508
0.22700001 185588.07732195 7616.53505347
0.22800001 181871.77784582 8121.48462377
0.22900001 178212.17128384 7377.98424006
0.23000001 174609.48338793 6050.21888552
0.23100001 171064.26616627 8334.25144177
0.23200001 167573.11860850 5856.68077235
0.23300001 164138.52186348 5761.26238988
0.23400001 160759.18649698 8500.14238805
0.23500001 157432.74478152 6687.74331462
0.23600001 154161.85206410 8220.68115013
0.23700001 150944.39553519 6466.45821058
0.23800001 147780.29221337 11125.63982551
0.23900001 144669.27346436 5728.90350016
0.24000001 141610.51875686 6143.06459424
0.24100001 138604.88836802 5534.49345432
0.24200001 135650.31290379 5933.34496707
0.24300001 132746.91104310 5830.24460880
0.24400001 129893.64660943 6205.66926032
0.24500001 127091.15860296 5627.59676915
0.24600001 124338.49875597 6449.43823556
0.24700001 121636.01701865 6334.80406601
0.24800001 118981.27367854 4888.34586033
0.24900001 116374.95156876 6109.68524639
0.25000001 113817.13073269 6427.82276222
0.25100001 111306.20865899 5469.58735226
0.25200001 108843.58230264 6195.92121570
0.25300001 106427.35560439 4865.85892844
0.25400001 104056.45318436 5174.20737939
0.25500001 101731.31525257 5078.42749768
0.25600001 99451.76130428  5750.79836951
0.25700001 97216.62412532  4514.74023799
0.25800001 95025.56789108  4799.26653341
0.25900001 92878.41876762  4708.93605432
0.26000001 90775.10274888  4975.38361708
0.26100001 88712.45135976  4532.31935442
0.26200001 86694.33390780  3762.10079794
0.26300001 84716.95270347  3354.79148580
0.26400001 82780.48613975  3619.57692773
0.26500001 80885.70162842  4518.27550676
0.26600001 79030.47643398  3165.17073096
0.26700001 77216.01998944  4035.30939560
0.26800001 75440.71845868  5174.85632755
0.26900001 73703.81426207  3582.00554264
0.27000001 72005.93619638  4097.85802286
0.27100001 70345.80741401  3157.11998614
0.27200001 68723.43001002  3377.06951051
0.27300001 67137.46848153  3587.15511073
0.27400001 65586.98852182  2976.00974502
0.27500001 64074.75896390  3713.77320530
0.27600001 62595.98962993  3121.03619065
0.27700001 61153.88531344  3315.15227974
0.27800001 59745.52321671  3500.49037094
0.27900001 58371.64240456  3187.09182613
0.28000001 57031.24981198  3365.41421068
0.28100001 55723.77643889  3535.67378239
0.28200001 54449.52913758  2311.38262129
0.28300001 53207.57677733  2266.64287800
0.28400001 51997.38331646  2445.17706619
0.28500001 50818.78433236  3052.17633146
0.28600001 49670.38401027  3207.46519928
0.28700001 48552.84438116  2097.48297655
0.28800001 47464.64194456  2674.87002340
0.28900001 46407.46960668  2220.59752579
0.29000001 45378.05926949  2574.97809513
0.29100001 44378.60587823  2526.91793832
0.29200001 43406.46090889  2480.02826142
0.29300001 42462.18592759  1872.58248805
0.29400001 41545.14423027  1838.37271921
0.29500001 40656.16542655  2346.67397950
0.29600001 39792.37694451  2836.40076287
0.29700001 38954.51439948  2089.52025130
0.29800001 38143.09308670  2223.93314770
0.29900001 37356.53680688  1849.14865948
0.30000001 36594.70040625  1982.70096187
0.30100001 35858.02400989  3086.30027264
0.30200001 35144.34918574  1916.77289533
0.30300001 34454.60902044  2513.80839314
0.30400001 33788.70528008  2782.50001154
0.30500001 33144.44513544  2129.86214524
0.30600001 32522.71407421  1946.97237023
0.30700001 31923.47471573  2359.78336271
0.30800001 31345.63749194  1598.15740319
0.30900001 30788.78327272  1431.67848996
0.31000001 30253.69357444  1975.86882089
0.31100001 29737.29669012  1948.38777138
0.31200001 29242.08978146  1922.08265234
0.31300001 28765.82143251  1625.84430434
0.31400001 28310.56005809  1605.20883129
0.31500001 27872.98096825  2246.00491276
0.31600002 27454.18811034  1566.53604775
0.31700002 27053.12890581  1419.47774090
0.31800002 26670.41665673  1914.26924617
0.31900002 26305.40036101  1262.65927711
0.32000002 25957.28714635  1499.81212233
0.32100002 25626.30884081  1485.30093074
0.32200002 25311.92138991  1716.90770917
0.32300002 25012.87837082  1701.87632494
0.32400002 24730.08717245  1205.59180674
0.32500002 24462.34999945  1315.82986878
0.32600002 24210.16284405  1543.76110685
0.32700002 23972.80732405  1297.40839381
0.32800002 23750.32954336  1758.11822770
0.32900002 23540.99696616  1281.80734551
0.33000002 23347.10940026  1391.02084394
0.33100002 23164.40144043  1384.30469563
