# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097189 277.65093691
0.00100000 1682663.43787133 555.27894768
0.00200000 1682454.83851478 908.52564157
0.00300000 1682107.33555155 1211.11732474
0.00400000 1681620.78003660 1639.58032284
0.00500000 1680995.64869605 1664.18575808
0.00600000 1680231.66714912 2822.78931573
0.00700000 1679329.48536271 2015.19546619
0.00800000 1678288.59525595 2945.39660903
0.00900000 1677110.27534115 3270.36517672
0.01000000 1675793.75767028 3041.56580150
0.01100000 1674340.30624433 3616.57521895
0.01200000 1672749.29875838 4240.41965827
0.01300000 1671022.23614855 4210.97622082
0.01400000 1669158.30444087 4131.16698663
0.01500000 1667159.28454161 4001.18246107
0.01600000 1665024.06600751 5094.97386975
0.01700000 1662754.80012385 4938.38197790
0.01800000 1660350.97512131 5678.40059043
0.01900000 1657813.41892344 6465.47262554
0.02000000 1655142.74186106 6256.43984725
0.02100000 1652340.50919435 5997.99632032
0.02200000 1649405.04056496 6828.53717818
0.02300000 1646339.17421693 7704.86768605
0.02400000 1643142.82271284 7394.14303936
0.02500000 1639817.34586299 8313.87432323
0.02600000 1636362.87040381 9278.17789956
0.02700000 1632780.60070239 7543.44672074
0.02800000 1629070.22692283 7795.10139331
0.02900000 1625234.53340905 8044.91130975
0.03000000 1621273.63526472 8292.81502556
0.03100000 1617187.88517028 12420.00352959
0.03200000 1612978.28272344 11976.36430083
0.03300000 1608647.82526075 13126.56685927
0.03400000 1604194.24363427 10948.62621798
0.03500000 1599621.08631143 8637.95426497
0.03600000 1594927.98755850 8851.85074003
0.03700000 1590116.84613412 11782.76637478
0.03800000 1585189.04069139 10200.69194893
0.03900000 1580145.73917073 12325.13733631
0.04000000 1574985.90257406 15497.86199948
0.04100000 1569713.60909450 9889.19619582
0.04200000 1564328.98925144 11098.91469365
0.04300000 1558832.36423568 11317.12348967
0.04400000 1553227.15710492 10484.28379737
0.04500000 1547513.28977370 17084.54751293
0.04600000 1541690.98918632 11955.81417693
0.04700000 1535763.38510242 15480.49564180
0.04800000 1529730.80911727 17989.63515224
0.04900000 1523596.03101087 18283.15322317
0.05000000 1517358.48385864 12768.57223625
0.05100000 1511021.68675458 18857.55152916
