# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 306.16431016
0.00100000 1700842.70525997 561.27810607
0.00200000 1700632.26008298 1300.98372016
0.00300000 1700281.67781407 1122.18594733
0.00400000 1699790.80971061 1274.84315572
0.00500000 1699160.14448350 1835.09302868
0.00600000 1698389.38729257 1961.63982219
0.00700000 1697479.21758639 2648.06768949
0.00800000 1696429.10842702 2519.19733237
0.00900000 1695240.34745052 4068.57700780
0.01000000 1693912.16926584 3633.44175997
0.01100000 1692445.80506918 3960.32335629
0.01200000 1690840.71353500 3626.85348955
0.01300000 1689098.35019000 4256.52803021
0.01400000 1687217.86096151 4175.86439100
0.01500000 1685201.11834344 4853.37943694
0.01600000 1683046.95612006 6008.47790195
0.01700000 1680757.51763249 5445.65460141
0.01800000 1678332.35277582 5261.57216271
0.01900000 1675772.25355335 6032.78038501
0.02000000 1673077.80996924 6851.25394175
0.02100000 1670250.69964091 6614.19307046
0.02200000 1667289.14771267 6327.36260304
0.02300000 1664195.93739829 8986.65847101
0.02400000 1660971.12054445 7474.37038326
0.02500000 1657616.07655885 7757.64359259
0.02600000 1654130.77019055 7369.15291825
0.02700000 1650516.62035423 7625.38713529
0.02800000 1646773.16363223 8596.15630838
0.02900000 1642903.25613144 9610.98448965
0.03000000 1638906.95755966 8383.00947324
0.03100000 1634784.76090195 10201.05737741
0.03200000 1630537.49415867 8071.16096783
0.03300000 1626168.23822407 9952.15007673
0.03400000 1621674.84383060 9365.17265523
0.03500000 1617060.80816251 11351.76739750
0.03600000 1612325.59813661 11632.92972816
0.03700000 1607471.34759613 10078.84581555
0.03800000 1602499.25664986 11249.54530231
0.03900000 1597410.74164341 10542.91138309
0.04000000 1592204.61965563 10771.26475110
0.04100000 1586884.85958955 17995.27514212
0.04200000 1581451.81782410 15300.54704728
0.04300000 1575905.67317617 14561.36909606
0.04400000 1570249.93361418 11659.10629856
0.04500000 1564484.50321099 14033.42664586
0.04600000 1558609.69796868 14284.65854593
0.04700000 1552628.46206398 17886.28071483
0.04800000 1546541.39207150 12503.78773668
0.04900000 1540350.99908007 18484.21284935
0.05000000 1534057.01446682 14082.64404858
0.05100000 1527662.71522829 14298.92368064
0.05200000 1521166.40018866 13302.60078957
0.05300000 1514573.39202455 13494.84955204
0.05400000 1507882.30901345 14928.03555539
0.05500000 1501096.89394136 16391.97884651
0.05600000 1494215.71257901 16608.20842032
0.05700000 1487244.11941153 14232.92688714
0.05800000 1480180.31297369 17029.47529591
0.05900000 1473026.49619747 15908.68690196
0.06000000 1465785.53766294 14753.13212583
0.06100000 1458459.05358371 13563.66983218
0.06200000 1451047.21138728 17826.11582515
0.06300000 1443553.54367023 19401.36053404
0.06400000 1435976.21884783 16800.92254624
0.06500000 1428321.16501332 22624.60831214
0.06600000 1420586.58837320 18559.96464549
0.06700000 1412775.35717562 23056.49490813
0.06800000 1404890.80172791 20356.86866992
0.06900000 1396933.12490687 17601.35819790
0.07000000 1388902.33098181 14791.81051763
0.07100000 1380803.22155917 20877.74568784
0.07200000 1372634.66493184 19539.45537067
0.07300000 1364401.61752918 15144.85866420
0.07400000 1356103.30311970 15256.16287506
0.07500000 1347742.02971506 19973.53781659
0.07600000 1339318.20727968 20109.86382507
0.07700000 1330837.22470872 24913.27401469
0.07800000 1322297.39070042 15669.22481463
0.07900000 1313700.79746524 17340.85133989
0.08000000 1305051.54183303 20613.29007024
0.08100000 1296349.94702653 22323.14713516
0.08200000 1287596.09042863 20839.74370150
0.08300000 1278794.24710016 32225.61653934
0.08400000 1269944.06616072 24287.68140535
0.08500000 1261050.21282939 24401.32276377
0.08600000 1252111.72433718 22876.08227771
0.08700000 1243132.00342170 24614.01482357
0.08800000 1234109.81028752 18122.90341519
0.08900000 1225051.53233066 19845.83575591
0.09000000 1215955.71328635 21577.13514586
0.09100000 1206824.86021899 16654.18385346
0.09200000 1197660.22813538 16707.36096751
0.09300000 1188465.66038448 20108.83991866
0.09400000 1179238.70122128 21845.39796680
0.09500000 1169984.45414714 20217.33231793
0.09600000 1160703.29981287 16888.23380616
0.09700000 1151398.99127056 22003.23575761
0.09800000 1142071.91786899 22047.69941109
0.09900000 1132723.92287355 18689.94560626
0.10000000 1123354.86957597 28932.00602652
0.10100000 1113967.97518173 20452.45298625
0.10200000 1104565.20328526 18772.08651280
0.10300000 1095147.28651782 22209.58801534
0.10400000 1085717.37800499 29070.08416369
0.10500000 1076277.69554935 18824.09778082
0.10600001 1066825.16262624 22259.30806558
0.10700001 1057366.80743614 27406.94893845
0.10800001 1047900.43820252 27413.07675348
0.10900001 1038430.31347964 20560.92117461
0.11000001 1028956.77994199 17132.13119244
0.11100001 1019481.26098913 23978.20038720
0.11200001 1010006.70932473 20543.53743480
0.11300001 1000531.64850885 27374.54719202
0.11400001 991061.35060449 20514.97092345
0.11500001 981595.24384110 18787.73385180
0.11600001 972134.82857727 20473.16045395
0.11700001 962683.34010157 22151.34469895
0.11800001 953238.68056752 22119.90462438
0.11900001 943805.09568976 22085.04027938
0.12000001 934383.01829801 23742.67361335
0.12100001 924975.97536462 20312.47337589
0.12200001 915582.06729914 20270.98792500
0.12300001 906205.28835746 25283.12873637
0.12400001 896844.97599664 18497.42850148
0.12500001 887503.65249715 20128.58378710
0.12600001 878183.94389722 21748.22639547
0.12700001 868885.58662735 16682.60404944
0.12800001 859608.76238819 18296.77336975
0.12900001 850356.71148354 21556.54365211
0.13000001 841130.35160387 24792.31828211
0.13100001 831929.25380970 18119.42000208
0.13200001 822757.38160226 19696.81264407
0.13300001 813615.45788579 24530.50721170
0.13400001 804502.43883562 17920.29266993
0.13500001 795421.61550312 22717.24240985
0.13600001 786372.63622608 16159.95843640
0.13700001 777358.44841718 17700.45270509
0.13800001 768377.51404272 20826.87350023
0.13900001 759434.88773387 15948.13339450
0.14000001 750528.12443445 19048.40469648
0.14100001 741659.97784193 15797.35827308
0.14200001 732829.75491524 20434.95867963
0.14300001 724042.56519536 17203.25216048
0.14400001 715292.28006381 17113.36860776
0.14500001 706587.94446909 18569.13205659
0.14600001 697924.61965239 16928.16244824
0.14700001 689307.92732626 19893.42772114
0.14800001 680733.85489716 22821.60356212
0.14900001 672205.36545879 18149.54572370
0.15000001 663724.74517564 15033.36618755
0.15100001 655291.03856443 14940.63638424
0.15200001 646906.99297581 16331.16780829
0.15300001 638572.09739035 17701.21937496
0.15400001 630285.03732403 20515.77893306
0.15500001 622050.94033321 16011.59195981
0.15600001 613866.26867950 18793.51670258
