# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1719190.39626458 335.24212727
0.00100000 1719119.68497426 928.32465193
0.00200000 1718907.49629238 1005.56091717
0.00300000 1718554.00522429 1134.24568385
0.00400000 1718059.06370466 1675.10765076
0.00500000 1717423.17086211 2318.52137243
0.00600000 1716646.00777730 2162.97405786
0.00700000 1715728.29424570 2676.53625026
0.00800000 1714669.47349708 2314.80388695
0.00900000 1713470.84637429 2827.22701738
0.01000000 1712131.63706573 3672.52252008
0.01100000 1710653.09490801 3079.17570490
0.01200000 1709034.68753141 3665.87956548
0.01300000 1707277.82898547 3943.81195890
0.01400000 1705381.71907506 4220.81994182
0.01500000 1703348.21478232 5314.44666677
0.01600000 1701176.10758745 5205.59912193
0.01700000 1698867.61506120 5045.63704307
0.01800000 1696422.25578387 5318.28401119
0.01900000 1693840.79561129 6605.97940096
0.02000000 1691123.94434798 5859.74473224
0.02100000 1688273.24052892 6128.43214097
0.02200000 1685286.98124545 7558.51245429
0.02300000 1682167.92169387 9083.70719062
0.02400000 1678916.15163290 6925.52944127
0.02500000 1675533.11822214 9801.86918926
0.02600000 1672018.61154081 8126.01082376
0.02700000 1668374.23302527 9109.32372954
0.02800000 1664599.42306069 7965.10860462
0.02900000 1660697.02332647 11957.01911695
0.03000000 1656667.18046828 8473.85301760
0.03100000 1652510.40920812 8725.25536210
0.03200000 1648227.43641775 11422.21666046
0.03300000 1643821.40746315 14251.93225973
0.03400000 1639290.21429084 10327.52882655
0.03500000 1634637.27247154 8827.04167896
0.03600000 1629862.05471840 10854.88178607
0.03700000 1624966.91922223 14819.69898868
0.03800000 1619952.74236246 14215.08597210
0.03900000 1614821.21143221 10657.82048902
0.04000000 1609571.00893919 10888.74838005
0.04100000 1604206.10395990 14149.09849297
0.04200000 1598726.92879375 11342.96808602
0.04300000 1593133.75375674 13669.08824172
0.04400000 1587429.87750288 13929.69782201
0.04500000 1581615.26808347 14187.08961391
0.04600000 1575690.41394081 12219.47972816
0.04700000 1569658.01214520 11301.53821306
0.04800000 1563518.91418348 14939.42392013
0.04900000 1557275.51944924 12847.52363348
0.05000000 1550927.63380217 15423.97603640
0.05100000 1544478.44874444 16865.70544596
0.05200000 1537926.32010598 13449.16629608
0.05300000 1531276.43535298 17364.67558641
0.05400000 1524527.79516169 16350.56136560
0.05500000 1517683.76600066 15298.25307494
0.05600000 1510743.10954817 14208.53960833
0.05700000 1503711.12015273 13082.28735599
0.05800000 1496586.18027558 18542.70363942
0.05900000 1489370.02840726 16085.19705807
0.06000000 1482066.19651075 17629.17823111
0.06100000 1474675.99458358 17828.83360768
0.06200000 1467199.39318296 19411.04887915
0.06300000 1459640.16849874 14012.54627275
0.06400000 1451996.59808568 14156.96749341
0.06500000 1444274.33262773 14298.31656186
0.06600000 1436471.70367592 20211.15781637
0.06700000 1428591.74294996 14571.63646003
0.06800000 1420637.82595025 19114.68284290
0.06900000 1412609.76407885 17798.88386072
0.07000000 1404507.90613970 23932.81584136
0.07100000 1396336.94432396 19604.57161654
0.07200000 1388095.82044800 21279.50992434
0.07300000 1379789.55854092 16847.23129917
0.07400000 1371417.18691097 16971.28848337
0.07500000 1362981.32724807 17091.78664483
0.07600000 1354482.12812262 15644.26931323
0.07700000 1345924.94808887 22046.25168341
0.07800000 1337308.37264047 15847.10495896
0.07900000 1328634.43685796 23915.42098517
0.08000000 1319907.03584186 22451.61973290
0.08100000 1311126.87162912 30641.03642760
0.08200000 1302293.62095362 27563.04578088
0.08300000 1293411.79747037 17926.68835427
0.08400000 1284481.14974616 21290.27605638
0.08500000 1275506.08917158 23035.64105185
0.08600000 1266485.84175503 19833.16921308
0.08700000 1257423.85424134 19917.59478647
0.08800000 1248318.87580941 18331.56355218
0.08900000 1239177.17952477 25093.33906400
0.09000000 1229997.38593602 18468.41161739
0.09100000 1220782.04228589 23585.51016504
0.09200000 1211532.49055699 20281.05484486
0.09300000 1202252.43133427 16951.76007841
0.09400000 1192939.75586188 22099.21001595
0.09500000 1183598.99237918 23861.35680791
0.09600000 1174230.97906072 20502.07385816
0.09700000 1164839.46586671 20547.76914390
0.09800000 1155424.58669936 18873.86151114
0.09900000 1145988.38422302 18908.80922882
0.10000000 1136530.69023193 18940.28484342
0.10100000 1127054.77917834 17243.93893244
0.10200000 1117562.80974771 24172.88471185
0.10300000 1108055.14496380 20742.79328948
0.10400000 1098535.17657234 24222.70178298
0.10500000 1089005.11266200 19046.70031659
0.10600001 1079462.04778029 20790.44001851
0.10700001 1069912.27800999 19065.83769133
0.10800001 1060354.53442418 19070.47719911
0.10900001 1050792.73943018 17338.08101663
0.11000001 1041227.36986153 19070.08017663
0.11100001 1031659.65039493 20798.25953101
0.11200001 1022092.39156844 22521.80690847
0.11300001 1012524.71562802 19045.59079764
0.11400001 1002961.36851355 19031.19286362
0.11500001 993402.08640893 20742.23654093
0.11600001 983848.37130026 24173.15562120
0.11700001 974303.27723672 22418.71946502
0.11800001 964764.87094830 20665.26450901
0.11900001 955237.41519287 20633.12914002
0.12000001 945721.12729361 20597.80712271
0.12100001 936219.98265233 22272.67443652
0.12200001 926731.54978049 17098.19789897
0.12300001 917260.37166733 18767.14808852
0.12400001 907805.26759236 25532.02435404
0.12500001 898369.39309218 23770.85526131
0.12600001 888954.94756947 23708.42956890
0.12700001 879561.60096628 20265.10024128
0.12800001 870189.93820749 18521.99370767
0.12900001 860842.86265254 21822.36759678
0.13000001 851521.62281115 28445.08115076
0.13100001 842225.28188178 23346.48591426
0.13200001 832958.56308602 21602.78135200
0.13300001 823721.55459372 19868.16483345
0.13400001 814513.50107141 18143.28909174
0.13500001 805337.64814671 16428.88879679
0.13600001 796193.57305756 17997.95656758
0.13700001 787084.46903027 21180.44406033
0.13800001 778008.83520124 19465.78197466
0.13900001 768971.33470367 20992.91842740
0.14000001 759969.78167829 19288.03396863
0.14100001 751007.08196568 19195.74192037
0.14200001 742082.50258892 27060.03973320
0.14300001 733200.90607350 23755.71047728
0.14400001 724356.34686330 15754.75128743
0.14500001 715557.78887593 17237.78794716
0.14600001 706800.64875951 18701.94604843
0.14700001 698090.13447271 21696.64240298
0.14800001 689422.53224033 18490.31318703
0.14900001 680800.53776969 18381.61538704
0.15000001 672226.72517490 19793.71685670
0.15100001 663699.79304576 22698.53399319
0.15200001 655222.96447976 22556.05161657
0.15300001 646795.48956504 20917.36711960
0.15400001 638416.03957056 16327.49098253
0.15500001 630089.76762652 19167.33163576
0.15600001 621813.45680614 16108.07835878
0.15700001 613592.84991697 15996.36635231
0.15800001 605420.81659327 21658.93073590
0.15900001 597305.93273026 20069.48028703
0.16000001 589243.38260891 22768.36537873
0.16100001 581239.03047478 15536.52001798
0.16200001 573288.31387537 16820.27992312
0.16300001 565395.23281503 13908.72338385
0.16400001 557558.71931860 15179.53685007
0.16500001 549780.36810104 19165.34453682
0.16600001 542059.25830005 14936.44356765
0.16700001 534396.81631666 18853.52056982
0.16800001 526792.45054832 14689.60817713
0.16900001 519250.21045891 13240.88099191
0.17000001 511766.73566176 17064.86260644
0.17100001 504344.11687071 19518.11824457
0.17200001 496982.05375166 19345.02735581
0.17300001 489681.55928321 12780.68930085
0.17400001 482444.14537483 16463.40723842
0.17500001 475267.61847723 13801.77229240
0.17600001 468152.03864775 13672.38093444
0.17700001 461101.46914116 13542.55078830
0.17800001 454113.40053540 14631.53445633
0.17900001 447188.08067215 18111.11812267
0.18000001 440327.31037774 15541.35315388
0.18100001 433531.47659652 16569.57381821
0.18200001 426796.63146423 16401.79532196
0.18300001 420129.17702908 19712.46191741
0.18400001 413524.41592108 17212.95462587
0.18500001 406985.58877219 18167.83754108
0.18600001 400511.03630212 14604.63562873
0.18700001 394101.37707930 11113.65935870
0.18800001 387755.84203012 15390.03009730
0.18900001 381478.09914870 15220.97687519
0.19000001 375261.45607914 18277.11008191
0.19100001 369114.96298626 11693.56257993
0.19200001 363030.74216792 14713.63667530
0.19300001 357014.19089412 13505.84747971
0.19400001 351061.95077636 14375.98756361
0.19500001 345175.80902933 12177.80311802
0.19600001 339354.09325240 12033.49671539
0.19700001 333598.41518223 10898.66073905
0.19800001 327908.33171167 12724.48341341
0.19900001 322284.71233698 10635.39600975
0.20000001 316724.10908412 10504.15557421
0.20100001 311230.89105929 13202.41502271
0.20200001 305801.16803698 11173.97520819
0.20300001 300437.75174458 10112.73520170
0.20400001 295139.13879732 9075.52894698
0.20500001 289904.73909305 11645.47391981
0.20600001 284735.14251178 8841.02659289
0.20700001 279630.15094337 8724.46112183
0.20800001 274588.95397389 10330.03693680
0.20900001 269614.19210274 9342.13219797
0.21000001 264701.28069726 10891.13470914
0.21100001 259852.19283425 9915.96014732
0.21200001 255066.67627429 11409.13296911
0.21300001 250344.00916972 8839.64738168
0.21400001 245685.61431587 11092.70601079
0.21500001 241090.43343743 14841.52778408
0.21600001 236556.04436565 8469.88956896
0.21700001 232084.94939958 9107.01384502
0.21800001 227675.80463638 11218.72580389
0.21900001 223327.06140254 10317.71072463
0.22000001 219039.59075621 13070.09299841
0.22100001 214815.86544846 7868.70552344
0.22200001 210651.13038462 9864.79290236
0.22300001 206547.15285041 11103.97546229
0.22400001 202501.33021769 9568.18830523
0.22500001 198518.19720961 8075.72064437
0.22600001 194593.01971744 6625.89263471
