# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 306.16431016
0.00100000 1700842.72248800 510.25282886
0.00200000 1700632.32454578 1071.39839839
0.00300000 1700281.82337544 1734.28752162
0.00400000 1699791.07147897 1529.81202246
0.00500000 1699160.55095673 1988.01792331
0.00600000 1698389.98515877 1961.64051272
0.00700000 1697480.01995332 2444.37133032
0.00800000 1696430.15741409 3435.27121380
0.00900000 1695241.67818729 2797.14888858
0.01000000 1693913.79616891 3633.44524967
0.01100000 1692447.76469683 4874.24977455
0.01200000 1690843.06715396 3956.57295061
0.01300000 1689101.09334705 4965.95743346
0.01400000 1687221.03200895 3796.24749031
0.01500000 1685204.74098368 5257.83902599
0.01600000 1683051.10097192 5150.13659920
0.01700000 1680762.21232132 5899.47562989
0.01800000 1678337.59027251 6218.24105177
0.01900000 1675778.09815214 5530.06797343
0.02000000 1673084.20592827 5797.23703578
0.02100000 1670257.76406251 7165.40613270
0.02200000 1667296.87414410 6902.60937256
0.02300000 1664204.37960229 8986.70405891
0.02400000 1660980.32375309 11211.61769656
0.02500000 1657625.97024970 7757.68989507
0.02600000 1654141.46665834 8039.12789566
0.02700000 1650528.15278462 9011.88412696
0.02800000 1646785.48668249 10028.92407382
0.02900000 1642916.42203755 12568.31120565
0.03000000 1638921.09400912 7620.98343744
0.03100000 1634799.74256550 8631.74303792
0.03200000 1630553.43319287 8071.23986605
0.03300000 1626185.14062483 10781.60797938
0.03400000 1621692.66476629 9365.27557114
0.03500000 1617079.60183808 12225.12235443
0.03600000 1612345.49460909 8948.51790862
0.03700000 1607492.27764987 16492.87153144
0.03800000 1602521.23830835 13124.64954915
0.03900000 1597433.72713328 9584.60280666
0.04000000 1592228.81715863 11750.64921514
0.04100000 1586910.15647281 14996.30167399
0.04200000 1581478.13729051 12240.64135051
0.04300000 1575933.23677002 10401.15984548
0.04400000 1570278.64142845 10599.38132190
0.04500000 1564514.37345594 11874.66464629
0.04600000 1558640.72946849 12087.25941893
0.04700000 1552660.79860940 13414.98992389
0.04800000 1546574.96258594 13640.79180469
0.04900000 1540385.76567448 12708.18315835
0.05000000 1534093.08834217 16430.13774123
0.05100000 1527700.00761084 11916.06061446
0.05200000 1521204.92381994 14512.29564953
0.05300000 1514613.19311410 18402.55115422
0.05400000 1507923.34387991 14928.44180058
0.05500000 1501139.32496482 16392.44219331
0.05600000 1494259.34884876 16608.69343748
0.05700000 1487289.11885001 12939.41593799
0.05800000 1480226.57205859 18340.00808415
0.05900000 1473074.03184260 15909.20028695
0.06000000 1465834.32226593 17436.10007795
0.06100000 1458509.25554137 13564.13671041
0.06200000 1451098.63759436 19198.03587276
0.06300000 1443606.25073353 16630.34478601
0.06400000 1436030.21710356 15401.42479871
0.06500000 1428376.52198768 18383.20669791
0.06600000 1420643.26950240 15705.21207917
0.06700000 1412833.35269047 18734.17113342
0.06800000 1404950.24373672 15995.35927367
0.06900000 1396993.70741515 20535.80846047
0.07000000 1388964.20138850 20709.45721249
0.07100000 1380866.45966600 19387.36600177
0.07200000 1372699.15139638 16534.16205314
0.07300000 1364467.30072374 21203.82284676
0.07400000 1356170.26504170 15256.91619672
0.07500000 1347810.29348631 18438.04567913
0.07600000 1339387.63868233 15469.92795202
0.07700000 1330907.84229501 28028.92047297
0.07800000 1322369.34935947 18804.09302973
0.07900000 1313773.92005303 18918.34533610
0.08000000 1305125.86601635 15857.28001598
0.08100000 1296425.41131064 27108.25662238
0.08200000 1287672.65105502 16031.52525792
0.08300000 1278872.09755068 20947.92594101
0.08400000 1270022.95699126 24289.19019256
0.08500000 1261130.27130738 16268.58126360
0.08600000 1252192.89210168 19609.34161100
0.08700000 1243213.93221756 18051.46714345
0.08800000 1234192.89313612 21419.41866631
0.08900000 1225135.60155240 18193.26453759
0.09000000 1216040.77722545 21578.64460553
0.09100000 1206910.84532578 19986.44453758
0.09200000 1197747.38003677 21721.14975757
0.09300000 1188553.57602249 20110.32745133
0.09400000 1179327.53674130 23527.58546373
0.09500000 1170074.13327968 20218.88197341
0.09600000 1160793.74488721 21956.41471666
0.09700000 1151490.24667858 27083.05187513
0.09800000 1142163.98193540 25441.70389382
0.09900000 1132816.74419333 16992.25196192
0.10000000 1123448.35452608 17020.24337148
0.10100000 1114062.18765572 22158.69795464
0.10200000 1104660.02297883 22187.09760513
0.10300000 1095242.83222682 25628.68347970
0.10400000 1085813.41003897 18811.71821392
0.10500000 1076374.34560558 20537.22348042
0.10600001 1066922.25665085 17124.10302500
0.10700001 1057464.31775303 18844.01502911
0.10800001 1047998.54903888 17134.77708318
0.10900001 1038528.87290122 22276.44537219
0.11000001 1029055.56260391 18847.15351622
0.11100001 1019580.46653256 23980.53370169
0.11200001 1010106.10459900 18833.42920687
0.11300001 1000631.40006903 18821.87752145
0.11400001 991161.27851801 18807.28614541
0.11500001 981695.43285750 30746.70240490
0.11600001 972235.15238700 20475.27327348
0.11700001 962783.69320097 22153.65382388
0.11800001 953339.22228860 20420.52710319
0.11900001 943905.53464751 18689.33046632
0.12000001 934483.48954537 18656.96374761
0.12100001 925076.35679096 23700.45737747
0.12200001 915682.24498233 16894.33821584
0.12300001 906305.42178609 18543.00980339
0.12400001 896944.83226188 21863.03131651
0.12500001 887603.26921225 18453.27283645
0.12600001 878283.21383650 20077.55521443
0.12700001 868984.63383555 20021.40690711
0.12800001 859707.41446329 18298.87317926
0.12900001 850454.95441609 19900.64687130
0.13000001 841228.04423036 16530.13184827
0.13100001 832026.34838185 21416.35921687
0.13200001 822854.09360394 16415.93994125
0.13300001 813711.57566758 21262.28447456
0.13400001 804597.81842215 17922.41725032
0.13500001 795516.50609275 17851.39123838
0.13600001 786466.70151569 21010.45892165
0.13700001 777451.73652078 20921.22721628
0.13800001 768470.05041288 17624.86143733
0.13900001 759526.65223318 19140.07253889
0.14000001 750618.87243521 20638.26687092
0.14100001 741749.71616097 26858.75848893
0.14200001 732918.43672240 15721.10120919
0.14300001 724130.29936238 20333.57976518
0.14400001 715378.93976022 18671.39120847
0.14500001 706673.50936646 15476.15058517
0.14600001 698008.87541896 16930.20607196
0.14700001 689391.03022020 15304.48159290
