# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 353.37391970
0.00100000 1682663.54219650 706.71870451
0.00200000 1682455.25350375 832.81537686
0.00300000 1682108.27219834 1211.11799913
0.00400000 1681622.44171063 1261.21687921
0.00500000 1680998.23591663 1815.47816665
0.00600000 1680235.40658449 2469.94614824
0.00700000 1679334.58434017 3224.32253594
0.00800000 1678295.24672858 3171.97815024
0.00900000 1677118.66770158 3018.81373091
0.01000000 1675804.14304638 3594.60004205
0.01100000 1674352.81619710 3315.21872041
0.01200000 1672764.21575647 3588.07940011
0.01300000 1671039.71627910 4211.02027075
0.01400000 1669178.54447796 4506.78226988
0.01500000 1667182.48197987 4801.48576191
0.01600000 1665050.46422746 5519.64253566
0.01700000 1662784.54485932 4938.47031977
0.01800000 1660384.28214548 7098.14312557
0.01900000 1657850.48697125 6962.97235947
0.02000000 1655183.70532397 5213.82890762
0.02100000 1652385.64888532 11996.32035480
0.02200000 1649454.49928629 6828.74193729
0.02300000 1646393.08455192 7705.11998643
0.02400000 1643201.42483385 7394.40674892
0.02500000 1639880.83670941 8314.19622183
0.02600000 1636431.31580613 8615.81127179
0.02700000 1632854.31686296 6857.98844493
0.02800000 1629149.33772312 7795.47993850
0.02900000 1625319.22963946 9508.11792995
0.03000000 1621364.12480044 8293.27787956
0.03100000 1617284.26380053 8539.26130579
0.03200000 1613080.65150015 8783.22455196
0.03300000 1608756.42684947 10666.05560172
0.03400000 1604309.18805577 10107.14835110
0.03500000 1599742.64545980 10366.33282128
0.03600000 1595056.21652132 8852.56241080
0.03700000 1590251.88876171 9064.43618515
0.03800000 1585331.12225803 12983.86249218
0.03900000 1580294.94814409 9481.77012797
0.04000000 1575142.47073049 10655.83930827
0.04100000 1569877.49128007 13846.32011510
0.04200000 1564500.40391369 20182.05614679
0.04300000 1559011.52918803 11318.42422728
0.04400000 1553414.06246213 11534.09994945
0.04500000 1547707.97236547 12815.02260663
0.04600000 1541893.77330752 14131.45708929
0.04700000 1535974.36089585 13270.81909534
0.04800000 1529950.10596084 12369.64718223
0.04900000 1523823.56056633 17143.01585434
0.05000000 1517594.57495714 19736.31836636
0.05100000 1511266.31197464 16503.02889554
0.05200000 1504837.07357756 11963.45529245
0.05300000 1498312.19840312 12136.32937284
0.05400000 1491690.19894838 12306.44471522
0.05500000 1484974.93716543 13721.16905949
0.05600000 1478164.90211489 12638.31050284
0.05700000 1471265.35293568 15360.01100163
0.05800000 1464274.67506179 15550.59777525
0.05900000 1457194.83775708 13114.75415235
0.06000000 1450028.81580349 13267.76428446
0.06100000 1442778.24836858 20126.75750529
0.06200000 1435443.08742708 18990.91293436
0.06300000 1428027.01866994 15079.96602222
0.06400000 1420528.16166416 15235.16524635
0.06500000 1412952.53814689 13988.23078199
0.06600000 1405298.16919795 14123.24726125
0.06700000 1397567.89096549 17106.23178597
0.06800000 1389765.07660547 14384.06921617
0.06900000 1381889.92216468 18862.79832068
0.07000000 1373942.42447242 16095.73625643
0.07100000 1365927.44771377 17702.42055151
0.07200000 1357843.79658542 22302.58540372
0.07300000 1349696.29617236 17977.95550738
0.07400000 1341484.09428819 15091.69676800
0.07500000 1333209.82797020 16718.45202638
0.07600000 1324873.53687509 21423.20609560
0.07700000 1316480.71543877 23104.23763927
0.07800000 1308029.76124265 18600.18407715
0.07900000 1299522.75749554 24950.83811420
0.08000000 1290963.44318608 20390.76854168
0.08100000 1282352.32005211 15772.93427668
0.08200000 1273689.76431296 17443.18214079
0.08300000 1264979.57172427 17532.61768694
0.08400000 1256221.74430210 17618.51079083
0.08500000 1247420.53211113 19310.07074359
0.08600000 1238575.34790708 17779.74995399
0.08700000 1229689.19016064 19478.27768680
0.08800000 1220761.05621399 22816.02521217
0.08900000 1211797.43543067 27810.75244940
0.09000000 1202796.73981157 19701.81152362
0.09100000 1193761.13125479 19768.68526234
0.09200000 1184692.46081599 19831.75272589
0.09300000 1175593.77485483 19891.04760527
0.09400000 1166463.35824532 24933.15545429
0.09500000 1157305.86619491 18331.72578217
0.09600000 1148121.91656954 23387.24453990
0.09700000 1138914.89453764 23438.86963151
0.09800000 1129685.47607443 18453.41311931
0.09900000 1120435.43889009 21848.49208573
0.10000000 1111164.56120430 21884.38706208
0.10100000 1101876.08066224 20230.44579243
0.10200000 1092571.88598836 20256.28371900
0.10300000 1083252.67569002 18588.61678926
0.10400000 1073921.59430733 23679.97226850
0.10500000 1064581.12464453 23697.57694954
0.10600001 1055227.70317085 20323.68651937
0.10700001 1045868.72191776 16943.07409237
0.10800001 1036501.90053545 18641.48755843
0.10900001 1027131.18963740 23726.73159734
0.11000001 1017757.12510772 20334.78831680
0.11100001 1008381.17615693 16940.80455690
0.11200001 999006.29426129 25399.73622734
0.11300001 989631.04183926 18614.96077340
0.11400001 980260.46454144 18600.44319047
0.11500001 970893.87707282 16893.55425655
0.11600001 961533.14576591 21937.37975371
0.11700001 952181.21825205 23595.05169949
0.11800001 942836.04583977 21878.51147415
0.11900001 933501.68942924 21843.94056153
0.12000001 924178.99123153 16773.84948098
0.12100001 914871.01135370 28461.63850399
0.12200001 905576.17763401 20049.45751737
0.12300001 896298.45386318 23339.61283823
0.12400001 887036.68055832 18295.13239854
0.12500001 877794.11983356 21567.40254058
0.12600001 868572.69558064 23164.83488274
0.12700001 859372.59431175 21449.94096488
0.12800001 850193.75310700 18096.37488775
0.12900001 841039.50762190 16400.27117161
0.13000001 831910.35445927 19616.44708277
0.13100001 822806.65099847 17920.72970349
0.13200001 813731.64838575 21104.13129574
0.13300001 804686.51084020 17791.61959343
0.13400001 795669.86737129 24168.47336084
0.13500001 786685.19797848 19258.05455450
0.13600001 777731.88881251 23973.58660302
0.13700001 768813.07593734 22280.20399125
0.13800001 759927.26598904 22182.27794024
0.13900001 751079.28245318 20504.46537793
0.14000001 742266.90606307 28258.10244649
0.14100001 733492.55413583 15623.39213994
0.14200001 724755.86484075 20209.81824429
0.14300001 716061.61992360 15466.93171989
0.14400001 707404.13555271 20001.85287624
0.14500001 698792.02505238 18364.25528466
0.14600001 690220.35303854 16741.29545271
0.14700001 681695.19808010 21187.08775586
0.14800001 673212.05467504 16550.91914504
0.14900001 664773.85727658 16453.15374387
0.15000001 656383.01488900 17840.49118645
0.15100001 648038.81169519 22162.92840573
0.15200001 639743.72347094 20554.96680505
0.15300001 631497.19518996 16046.34448699
0.15400001 623297.84654005 17390.01073912
0.15500001 615151.12006586 14394.53688886
0.15600001 607053.19062364 14296.10331389
0.15700001 599010.62972694 15616.20785402
0.15800001 591015.73638085 15505.29857578
0.15900001 583077.01913003 18192.00385553
0.16000001 575189.55672821 15279.91129573
0.16100001 567359.56980011 16544.20583633
0.16200001 559582.23967678 23259.03689013
0.16300001 551861.74391044 16290.95944930
0.16400001 544196.79835172 14815.75853457
0.16500001 536588.89087800 14697.17041502
0.16600001 529037.69025374 21203.83162647
0.16700001 521543.85146611 21028.64908398
0.16800001 514107.32241659 20852.19398178
0.16900001 506731.42590302 16798.14756186
0.17000001 499413.77638021 12809.96396903
0.17100001 492155.73569348 13967.38043854
0.17200001 484957.04763585 21393.88116674
0.17300001 477819.16114100 12471.08069472
0.17400001 470743.07597992 14828.40759365
0.17500001 463726.78270601 14690.86516994
0.17600001 456770.25630127 14552.70105307
0.17700001 449877.81157768 13212.91195009
0.17800001 443046.31351772 14274.95289578
0.17900001 436276.86970408 14135.37124608
0.18000001 429570.76225643 16327.98544462
0.18100001 422928.27304748 17318.91359938
0.18200001 416345.72243610 16000.16686903
0.18300001 409829.17159837 15835.79993863
0.18400001 403374.27403638 17909.81861329
0.18500001 396983.91710118 12183.43699141
0.18600001 390656.84466764 10957.92501062
0.18700001 384393.25204867 14091.85728587
0.18800001 378193.07336623 15010.48379109
0.18900001 372058.77486170 14845.14581838
0.19000001 365984.73708825 13631.10217690
0.19100001 359979.42433507 11404.14870178
0.19200001 354034.80592661 12299.16973904
0.19300001 348156.98174984 13170.77924195
0.19400001 342342.35209468 13017.56855353
0.19500001 336592.46297254 10885.40076692
0.19600001 330905.20333243 9778.24922056
0.19700001 325283.23714627 12559.18637973
0.19800001 319725.50322788 11452.56806686
0.19900001 314232.73864607 10369.68086539
0.20000001 308801.84288919 15827.63920532
0.20100001 303436.98432040 11032.96927133
0.20200001 298134.29644611 9986.00873144
0.20300001 292896.50061764 9858.89667677
0.20400001 287722.16597951 13271.18553308
0.20500001 282610.64249342 11352.47004556
0.20600001 277562.92476051 8618.32922119
0.20700001 272578.09444195 10205.32433830
0.20800001 267656.15606229 9230.12297812
0.20900001 262799.19275981 10761.62745223
0.21000001 258002.62074462 9798.93999910
0.21100001 253268.54892119 10470.12230736
0.21200001 248596.64500040 11119.72845655
0.21300001 243986.39823237 10964.74925493
0.21400001 239438.98959658 7721.90777955
0.21500001 234953.45425390 10657.48918882
0.21600001 230527.73735909 8254.04602638
0.21700001 226163.50705210 10353.76584237
0.21800001 221860.25340821 8016.92063595
0.21900001 217615.89778795 8617.58995986
0.22000001 213431.44209234 9905.35369586
0.22100001 209309.26414437 11848.99800347
0.22200001 205244.98883509 7551.98972128
0.22300001 201239.87672188 8113.99221310
0.22400001 197291.85648128 7324.46051821
0.22500001 193405.42214471 11145.95500526
0.22600001 189575.11991388 6455.03313831
0.22700001 185803.43524037 6354.47778572
0.22800001 182088.39340058 6880.21027001
0.22900001 178430.00158115 6771.41888023
0.23000001 174828.44161354 6663.58636723
0.23100001 171284.40030551 7152.83689504
0.23200001 167794.32686803 6450.85320153
0.23300001 164360.78342770 9230.50203385
0.23400001 160982.32250961 7377.01527790
0.23500001 157656.96712812 6139.16259033
0.23600001 154386.88249706 7134.99011207
0.23700001 151170.09140066 7015.80427374
0.23800001 148006.92560086 5836.65338714
0.23900001 144896.51095804 9389.29435419
0.24000001 141838.41793254 5640.20495587
0.24100001 138833.44924459 6047.58533515
0.24200001 135879.43579847 4952.80566913
0.24300001 132976.51012992 6327.02265127
0.24400001 130123.75036708 5260.25285742
0.24500001 127321.63143267 7047.25263316
0.24600001 124569.42196936 5999.88649298
0.24700001 121867.16567349 5893.49641077
0.24800001 119212.78500277 7124.15636879
0.24900001 116606.49023800 6996.38974526
0.25000001 114048.92172346 6440.91315904
0.25100001 111537.99793696 5480.97747792
0.25200001 109075.40080152 4553.35282188
0.25300001 106659.02961466 4876.45106469
0.25400001 104288.04918364 3989.01807000
0.25500001 101962.74118934 5089.98028099
0.25600001 99683.05209881  4611.33820827
0.25700001 97447.48969739  4902.58343863
0.25800001 95256.25804974  5551.05870049
0.25900001 93108.64794958  4720.60867440
0.26000001 91004.88188341  3919.12542374
0.26100001 88941.76475967  4544.03497658
0.26200001 86923.17848087  5486.59128532
0.26300001 84945.09112338  5718.50380501
0.26400001 83007.95293216  3629.52291370
0.26500001 81112.50767525  4207.30597220
0.26600001 79256.44742651  3809.06504356
0.26700001 77441.18276505  3113.13569447
0.26800001 75665.05540106  3053.08512991
0.26900001 73927.10043318  4790.47633476
0.27000001 72228.19308639  3816.89904427
0.27100001 70566.98041261  3167.04623079
0.27200001 68943.45783428  3105.55820511
0.27300001 67356.38885233  2768.34771284
0.27400001 65804.66671759  3800.21968279
0.27500001 64291.04096252  2661.64922181
0.27600001 62811.03626264  2870.77854825
0.27700001 61367.45191737  2814.92515267
0.27800001 59957.68848836  2760.15232019
0.27900001 58582.20868050  3198.58874534
0.28000001 57240.25771132  3619.01546508
0.28100001 55931.16295728  2365.88830507
0.28200001 54655.32061405  2320.11846988
0.28300001 53411.45552112  2957.92654676
0.28400001 52199.60372470  3124.14643079
0.28500001 51019.19480070  2407.59591660
0.28600001 49868.91011267  3005.59935475
0.28700001 48749.38004104  2316.57064920
0.28800001 47659.25693790  2685.83755186
0.28900001 46600.08608781  2837.94537708
0.29000001 45568.57069558  2386.88184602
0.29100001 44566.85557043  2147.23120302
0.29200001 43592.66551574  2299.07728813
0.29300001 42646.08071776  1880.69224868
0.29400001 41726.86802542  2400.33819679
0.29500001 40835.42181630  2175.71137736
0.29600001 39969.39945559  1958.70051304
0.29700001 39129.10470656  1923.97816950
0.29800001 38315.12697554  2233.96358406
0.29900001 37526.12407582  1857.54322969
0.30000001 36761.78538471  1825.77415756
0.30100001 36022.59658195  1795.00607265
0.30200001 35306.28603845  2246.53908698
0.30300001 34613.83417084  1736.23000420
0.30400001 33945.21944557  2018.89202210
0.30500001 33298.22805439  1834.06648806
0.30600001 32673.67448586  2106.47189383
0.30700001 32071.60269170  1629.87892596
0.30800001 31490.96070709  1605.56670766
0.30900001 30931.21630196  1725.96195136
0.31000001 30393.18419071  1843.19474251
0.31100001 29873.84844553  1537.90579079
0.31200001 29375.65996169  1655.02476060
0.31300001 28896.41266067  1633.22532091
0.31400001 28437.99868546  1612.43460181
0.31500001 27997.33571939  1592.48853112
0.31600002 27575.51463774  1442.33736142
0.31700002 27171.29124152  1555.28478430
0.31800002 26785.44266712  1409.85184154
0.31900002 26417.18252831  1394.82730354
0.32000002 26065.85579489  1757.09942233
0.32100002 25731.68378452  1491.40846277
0.32200002 25413.98809930  1231.30778171
0.32300002 25111.62869572  1220.42521240
0.32400002 24825.56872463  1210.24653263
0.32500002 24554.48382228  1320.78574734
0.32600002 24298.98616384  1430.23839333
0.32700002 24058.11957914  1420.39144721
0.32800002 23832.32420272  1646.57535714
0.32900002 23619.55631538  1169.16809298
0.33000002 23422.36048477  1976.96443033
0.33100002 23236.21387657  1504.31255760
0.33200002 23065.71206059  1267.34560918
0.33300002 22906.85743246  1606.68705640
0.33400002 22761.48422677  1258.14110021
0.33500002 22627.78463168  1368.52847933
0.33600002 22506.19529452  1478.99469382
0.33700002 22395.62368704  1362.54980965
0.33800002 22297.97776376  1360.62266758
0.33900002 22210.32216665  1245.99913256
0.34000002 22134.17009473  1471.81171015
0.34100002 22068.40629350  1245.32022612
0.34200002 22014.03970705  1132.62239657
0.34300002 21968.24029627  1473.62962886
0.34400002 21933.37960129  1475.56818256
0.34500002 21907.45775336  1250.69682237
0.34600002 21892.19425241  1823.18202369
0.34700002 21883.84316815  1485.03766772
0.34800002 21885.87790882  1374.87091535
0.34900002 21896.08875873  1264.49918571
0.35000002 21914.66924202  1269.18812926
0.35100002 21941.38179136  1390.20601614
0.35200002 21975.27185661  1279.94976991
0.35300002 22017.18838994  1402.93531065
0.35400002 22066.90928316  1410.07556998
0.35500002 22123.38691969  1535.80559271
0.35600002 22186.45133525  1425.70143033
0.35700002 22256.31288442  1673.22968190
0.35800002 22333.35452203  1443.18143757
0.35900002 22416.10342873  1210.46964249
0.36000002 22505.67538064  1218.68237959
0.36100002 22600.15543681  2086.22044719
0.36200002 22701.62718542  1359.71402468
0.36300002 22806.70896969  1369.77100560
0.36400002 22917.85278660  1882.12874925
0.36500002 23033.57485799  1770.36064744
0.36600002 23154.82101825  1784.54214041
0.36700002 23280.21705548  1927.60206350
0.36800002 23411.39085954  1814.14876364
0.36900002 23545.91395104  1698.83777204
0.37000002 23683.78972498  1449.80325669
