# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 374.54641798
0.00100000 1664582.19067492 699.12453669
0.00200000 1664376.47536975 973.66026892
0.00300000 1664033.76811309 1397.78841501
0.00400000 1663553.93362108 1372.43204739
0.00500000 1662937.42942334 1646.30812029
0.00600000 1662184.00192528 1919.82260038
0.00700000 1661294.26994818 2591.61916883
0.00800000 1660267.74213952 2913.77001047
0.00900000 1659105.69524330 2737.52451417
0.01000000 1657807.35010398 3282.45869494
0.01100000 1656373.92931883 2981.47320259
0.01200000 1654804.87824015 3549.55661945
0.01300000 1653101.61950114 5207.27033109
0.01400000 1651263.40975705 4086.87712032
0.01500000 1649291.94460621 4354.13092764
0.01600000 1647186.14844028 6720.51978607
0.01700000 1644948.13143694 5329.63218494
0.01800000 1642577.44687767 7490.15349480
0.01900000 1640074.83361186 5412.24719513
0.02000000 1637440.84011956 5673.73276767
0.02100000 1634677.24344987 5933.87866276
0.02200000 1631782.11619820 6192.61341232
0.02300000 1628758.41145639 6449.88360296
0.02400000 1625605.98651586 6096.02272740
0.02500000 1622326.26732406 8225.19455098
0.02600000 1618919.20934938 7867.94771730
0.02700000 1615386.08392466 6784.62186323
0.02800000 1611726.61965347 7712.11222872
0.02900000 1607943.50895622 9406.46995928
0.03000000 1604036.98522838 8204.64955657
0.03100000 1600007.22074048 8448.03851423
0.03200000 1595855.22833770 10269.32886734
0.03300000 1591584.02309606 8928.78678119
0.03400000 1587191.33355090 10832.58135130
0.03500000 1582680.71625366 9401.12388867
0.03600000 1578051.69342466 9634.00603358
0.03700000 1573306.27438012 12554.98465019
0.03800000 1568445.81511300 11010.49013165
0.03900000 1563471.11299528 10318.90982364
0.04000000 1558381.69271523 12459.26221061
0.04100000 1553181.09858537 11742.04964974
0.04200000 1547869.79581537 12978.88884004
0.04300000 1542447.90957558 13234.20367846
0.04400000 1536918.94404693 13486.46436035
0.04500000 1531282.54699235 13735.60508474
0.04600000 1525539.22153485 12906.06241415
0.04700000 1519691.90462030 16412.67333322
0.04800000 1513741.16928124 14463.79754546
0.04900000 1507689.31869269 16961.50562481
0.05000000 1501536.10085708 12635.42687710
0.05100000 1495284.90243271 18661.15645167
0.05200000 1488933.76710585 17755.53600017
0.05300000 1482488.29450338 13208.97131980
0.05400000 1475946.63948192 13394.21637792
0.05500000 1469313.05045158 16044.89925941
0.05600000 1462585.71502219 16256.64098107
0.05700000 1455769.78678852 13931.71750988
0.05800000 1448863.87256474 14104.69045800
0.05900000 1441869.75383739 14274.51122969
0.06000000 1434790.58686081 13128.33448312
0.06100000 1427627.60486807 17260.01854944
0.06200000 1420381.23074731 22818.42553857
0.06300000 1413054.80759637 13565.32678718
0.06400000 1405646.33597322 15075.55765835
0.06500000 1398162.24250848 16610.16821799
0.06600000 1390600.01962703 16770.63702138
0.06700000 1382963.02424800 18338.09055973
0.06800000 1375253.97671645 15657.26725782
0.06900000 1367473.65419208 21537.71106190
0.07000000 1359621.71511994 15927.96913851
0.07100000 1351702.89769659 16058.23117677
0.07200000 1343716.20917671 23541.90908764
0.07300000 1335666.26897696 17791.07553638
0.07400000 1327552.53761133 16428.46342285
0.07500000 1319377.32996381 21057.26317323
0.07600000 1311140.59996255 24229.87942322
0.07700000 1302848.10989950 21340.65304079
0.07800000 1294498.17320598 16873.78447906
0.07900000 1286092.54847695 15433.11130559
0.08000000 1277635.33029957 23284.90498703
0.08100000 1269126.64303513 24976.41350678
0.08200000 1260567.05501373 20402.27874278
0.08300000 1251960.05197270 20507.10661375
0.08400000 1243306.33710349 17437.37219636
0.08500000 1234609.53208900 20704.40282510
0.08600000 1225868.80444120 27195.90070342
0.08700000 1217087.96517647 19278.67427368
0.08800000 1208265.46382003 16130.34469954
0.08900000 1199407.40235313 21049.60089999
0.09000000 1190512.76455294 19500.59999943
0.09100000 1181583.86115987 17936.44385508
0.09200000 1172621.73369352 21265.49613973
0.09300000 1163629.96044495 18047.90153461
0.09400000 1154606.69798863 19743.77546351
0.09500000 1145556.50119841 18145.61583188
0.09600000 1136479.98720090 21496.51996841
0.09700000 1127380.73808385 16572.49762895
0.09800000 1118258.98161010 21587.99065500
0.09900000 1109116.91945836 21627.78094643
0.10000000 1099953.78769807 21663.59086749
0.10100000 1090773.30560857 18357.71559679
0.10200000 1081577.17657988 16710.36816415
0.10300000 1072366.00110072 16728.91040411
0.10400000 1063143.07118378 16744.50415889
0.10500000 1053910.69277545 18432.89888390
0.10600001 1044665.08777690 20120.25053731
0.10700001 1035414.16465247 16773.71025670
0.10800001 1026155.13220738 35233.03812247
0.10900001 1016892.25618704 18456.59531847
0.11000001 1007625.73305402 23487.75694305
0.11100001 998357.08221277 23481.35967899
0.11200001 989089.58125301 16765.06919149
0.11300001 979821.45547431 23456.92674843
0.11400001 970557.65650948 20090.54443570
0.11500001 961297.84435514 20071.89993528
0.11600001 952043.56968797 20050.03852181
0.11700001 942797.46936428 18356.26759301
0.11800001 933558.09510270 19996.81533892
0.11900001 924329.48881017 23293.10421516
0.12000001 915111.84937982 19931.13701835
0.12100001 905908.74300423 18235.94385574
0.12200001 896718.52630923 21507.79486679
0.12300001 887544.81782025 26413.33502278
0.12400001 878386.88799204 21410.68140362
0.12500001 869247.52633351 24643.16853275
0.12600001 860129.14026583 18024.00698362
0.12700001 851031.34741621 17973.78290447
0.12800001 841954.68729992 19550.18876049
