# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 252.40994265
0.00100000 1682663.75273044 757.19870671
0.00200000 1682456.11046655 1059.94738316
0.00300000 1682110.18748855 1312.04599298
0.00400000 1681625.85057179 1513.46332302
0.00500000 1681003.56347550 1815.48392041
0.00600000 1680243.05186513 2293.53185917
0.00700000 1679344.98851698 2015.21406997
0.00800000 1678308.80652350 2945.43207980
0.00900000 1677135.88253125 2515.70393134
0.01000000 1675825.33486159 2765.11192192
0.01100000 1674378.44535609 3315.26946615
0.01200000 1672794.67763355 4892.92464660
0.01300000 1671075.40745061 3509.25851042
0.01400000 1669219.90841932 5633.61744066
0.01500000 1667229.93589392 6402.16323891
0.01600000 1665104.35965518 5519.82119901
0.01700000 1662845.31329777 4938.65080204
0.01800000 1660452.28482408 5205.51814716
0.01900000 1657926.10397891 4973.77853637
0.02000000 1655267.35027071 7299.72934490
0.02100000 1652477.74637291 6543.81217232
0.02200000 1649555.38128410 5690.96632398
0.02300000 1646503.15493039 9483.85860409
0.02400000 1643320.98930228 6778.69938996
0.02500000 1640010.35364039 7035.64473844
0.02600000 1636571.15775885 9279.35888891
0.02700000 1633004.70902542 7544.48210124
0.02800000 1629310.71476404 8505.00232110
0.02900000 1625491.82424709 7314.71354496
0.03000000 1621548.35267867 7540.20018654
0.03100000 1617480.44998516 10869.46912404
0.03200000 1613289.24614550 8784.36034985
0.03300000 1608977.59583462 11488.10056387
0.03400000 1604543.31018750 15162.93498090
0.03500000 1599989.93269728 10367.93524265
0.03600000 1595316.99998424 13281.01463863
0.03700000 1590526.57625898 17225.40361752
0.03800000 1585619.84672702 12058.63949243
0.03900000 1580597.97188527 11380.30592460
0.04000000 1575460.14003470 14533.62046529
0.04100000 1570210.04104175 10881.55608896
0.04200000 1564848.12419312 13121.25213009
0.04300000 1559374.62509283 12350.24760401
0.04400000 1553792.90711423 14683.34365415
0.04500000 1548102.68384562 12818.29081784
0.04600000 1542304.52643333 15222.54638355
0.04700000 1536401.35371049 12168.29928731
0.04800000 1530393.70365719 14622.91251882
0.04900000 1524283.87968068 16004.98148164
0.05000000 1518071.76495073 16258.54935972
0.05100000 1511760.55305973 24762.63901266
0.05200000 1505348.51071046 14361.02546142
0.05300000 1498841.08141964 12140.61332547
0.05400000 1492236.52978135 14773.14233376
0.05500000 1485539.07883056 18717.79326644
0.05600000 1478746.96009833 16436.27322848
0.05700000 1471865.29189271 17927.32009207
0.05800000 1464892.69225817 12964.30093182
0.05900000 1457831.02637900 14432.52783524
0.06000000 1450683.34668117 17255.87921495
0.06100000 1443451.02009383 17451.32364846
0.06200000 1436134.49819424 17642.91313501
0.06300000 1428736.96599557 23316.98837524
0.06400000 1421256.50450997 19400.15219384
0.06500000 1413699.65958583 13995.62728458
0.06600000 1406063.79677929 15544.03600068
0.06700000 1398352.41446794 17115.83435409
0.06800000 1390568.22750678 21588.57274258
0.06900000 1382711.96747356 14518.47633821
0.07000000 1374783.19319347 17569.73003178
0.07100000 1366786.85853105 16237.42863987
0.07200000 1358721.88766398 14878.00536691
0.07300000 1350593.10239724 23986.53462248
0.07400000 1342399.55550430 24163.19313146
0.07500000 1334143.94739045 16730.16588446
0.07600000 1325826.09759799 21438.60900321
0.07700000 1317451.87436056 18497.02518332
0.07800000 1309019.37514569 18614.25638751
0.07900000 1300530.63901223 17167.00524016
0.08000000 1291989.81203859 26686.05081953
0.08100000 1283396.75756879 20521.51511636
0.08200000 1274752.21283671 19044.79895346
0.08300000 1266059.84966531 19142.82582535
0.08400000 1257319.95801273 20840.07928227
0.08500000 1248536.54211341 17716.73436430
0.08600000 1239708.65864145 27502.93788326
0.08700000 1230839.90557925 21121.21377154
0.08800000 1221929.11378035 21206.58076560
0.08900000 1212982.36830097 18012.78901532
0.09000000 1203998.42153161 24651.86883889
0.09100000 1194979.78406175 19788.86615377
0.09200000 1185927.56127895 29778.64246292
0.09300000 1176845.11852466 19912.22034116
0.09400000 1167730.87866059 23296.23212414
0.09500000 1158589.09971750 21688.78896614
0.09600000 1149420.70034248 20068.88637137
0.09700000 1140229.19095482 26818.19183206
0.09800000 1131014.92134741 18475.12960887
0.09900000 1121779.77013030 23557.37628046
0.10000000 1112523.39575047 25282.09535737
0.10100000 1103249.26335107 28695.51468936
0.10200000 1093959.09982842 21972.16955354
0.10300000 1084653.80473666 18612.66016483
0.10400000 1075336.34466809 16936.54822530
0.10500000 1066009.19692598 27119.27524574
0.10600001 1056668.51446908 18655.48350076
0.10700001 1047322.13848479 16966.61944186
0.10800001 1037967.67160678 20364.92667533
0.10900001 1028609.08273553 18669.25573033
0.11000001 1019246.73544365 27152.73431029
0.11100001 1009882.22600747 25449.03329336
0.11200001 1000518.16104056 20350.54035361
0.11300001 991153.69343487 22033.34764240
0.11400001 981793.23527966 22016.71433779
0.11500001 972436.92929973 20304.48403988
0.11600001 963085.81403869 21972.80388202
0.11700001 953742.96719803 23633.75184020
0.11800001 944406.56992687 20229.18968059
0.11900001 935081.11660834 20197.75307009
0.12000001 925766.45406922 21843.46051270
0.12100001 916466.51607299 20125.60564104
0.12200001 907179.16700775 20084.94770378
0.12300001 897908.30643843 21711.42387260
0.12400001 888653.24020774 19994.69884677
0.12500001 879416.77686682 19945.17343917
0.12600001 870201.42256224 18235.07166909
0.12700001 861006.62722949 28103.25763718
0.12800001 851833.03823607 21427.86108671
0.12900001 842683.40407560 21362.02530015
0.13000001 833558.60798347 18017.37016081
0.13100001 824458.70355985 16324.28309997
0.13200001 815387.26799650 24400.46514504
0.13300001 806345.09761412 17828.29094873
0.13400001 797331.18200071 24218.93579509
0.13500001 788348.81243134 17690.54818504
0.13600001 779397.26975600 17618.27611355
0.13700001 770479.90117952 17543.82817711
0.13800001 761595.11925241 15879.25898521
0.13900001 752748.01718116 15807.70910627
0.14000001 743935.62675163 17307.66317262
0.14100001 735161.10580870 15658.93229225
0.14200001 726423.74744675 17139.96912942
0.14300001 717728.83673295 15502.94360467
0.14400001 709069.80754565 16964.49594574
0.14500001 700455.94823367 23009.97898491
0.14600001 691881.88868170 16781.59600164
0.14700001 683354.00616800 16687.50561788
0.14800001 674867.80169676 16591.62568749
0.14900001 666426.23852263 17993.50928906
0.15000001 658031.45928526 22356.61988407
0.15100001 649683.11930425 16294.05340098
0.15200001 641383.42267541 19135.67531848
0.15300001 633131.83621656 19012.94993879
0.15400001 624927.14901019 17435.46828018
0.15500001 616774.52034517 20205.53424007
0.15600001 608670.49156849 15767.60982823
0.15700001 600621.15968708 17081.66658770
0.15800001 592619.45928830 15547.37224824
0.15900001 584673.25335457 15435.37461712
0.16000001 576778.05146568 23679.62402066
0.16100001 568940.17094971 17972.82084869
0.16200001 561154.23083686 19208.31022829
0.16300001 553424.99970534 17698.53232609
0.16400001 545750.85225323 33768.33557736
0.16500001 538133.51441799 20099.28771243
0.16600001 530572.29923739 17278.08774042
0.16700001 523068.45205740 13181.32561420
0.16800001 515621.26243268 13070.99961983
0.16900001 508234.53758735 16847.97571655
0.17000001 500905.70806273 12848.23201850
0.17100001 493635.99680561 19103.71397848
0.17200001 486425.70175956 13885.02231242
0.17300001 479275.57599306 16261.82106140
0.17400001 472186.88350943 16113.37816073
0.17500001 465158.05021406 17192.24234786
0.17600001 458188.32410270 14597.88069536
0.17700001 451282.60915554 13254.17085690
0.17800001 444437.51011722 16706.40679439
0.17900001 437654.16406849 15361.66188439
0.18000001 430933.78866340 16379.79408080
0.18100001 424276.86063218 19690.69003206
0.18200001 417679.67641001 12611.83842496
0.18300001 411148.08080630 18156.30010610
0.18400001 404678.01902862 12352.79711440
0.18500001 398272.22820572 14445.33439945
0.18600001 391929.46577484 14291.70864467
0.18700001 385650.10805516 19575.60040973
0.18800001 379433.68739844 15059.72376436
0.18900001 373283.14276051 15957.85510698
0.19000001 367192.52162924 16832.10598678
0.19100001 361170.58458343 13522.22732573
0.19200001 355209.14923718 10283.30535632
0.19300001 349314.22157258 13214.55762651
0.19400001 343482.25071880 11051.54193911
0.19500001 337714.79827389 13900.34175382
0.19600001 332010.23187217 12754.17366008
0.19700001 326370.43727334 10662.52268960
0.19800001 320794.81203044 10533.29815081
0.19900001 315284.01679288 13241.92933111
0.20000001 309834.91077332 14946.43680209
0.20100001 304451.80218449 11069.86805062
0.20200001 299130.88334002 11841.09657667
0.20300001 293874.52628545 12589.58530111
0.20400001 288681.60386724 10652.35168619
0.20500001 283551.28893182 13142.60286320
0.20600001 278484.85897814 10376.34633599
0.20700001 273481.26197350 11092.40050997
0.20800001 268540.31365168 10944.36100022
0.20900001 263664.53153323 8305.43313591
0.21000001 258848.84246403 9831.07950152
0.21100001 254095.72329731 10504.31769769
0.21200001 249404.79187754 10359.02852035
0.21300001 244775.44237441 11000.20890035
0.21400001 240208.91959436 10845.43323242
0.21500001 235704.18655223 7636.81600534
0.21600001 231259.18060415 9785.73268992
0.21700001 226875.75052598 7418.83739296
0.21800001 222553.23810159 9504.13648249
0.21900001 218289.82564000 7203.56458672
0.22000001 214086.24965970 7806.65546296
0.22100001 209944.94449910 11884.98387006
0.22200001 205861.62777339 7574.67895209
0.22300001 201837.50659052 10172.61081318
0.22400001 197870.56879676 6678.13201267
0.22500001 193965.11235462 7232.95938173
0.22600001 190115.92914913 9062.82677110
0.22700001 186325.51477133 7646.79948783
0.22800001 182591.68546332 6899.22716150
0.22900001 178914.65229013 8641.57811428
0.23000001 175294.57907442 6681.35319740
0.23100001 171732.12724200 6573.90614172
0.23200001 168223.62970036 5879.41613609
0.23300001 164771.88004405 9253.58922092
0.23400001 161375.24980513 6257.32560714
0.23500001 158031.83274130 6153.75985800
0.23600001 154743.94307620 6601.37692386
0.23700001 151509.49301034 5408.88915630
0.23800001 148328.66773717 6381.09958787
0.23900001 145200.79208026 5749.95163835
0.24000001 142125.46487043 5651.61937790
0.24100001 139103.26711739 5049.44883521
0.24200001 136132.13495231 6946.82317522
0.24300001 133212.44486295 8776.03628270
0.24400001 130343.06201712 5748.12930686
0.24500001 127524.47321167 5176.21861252
0.24600001 124755.96983624 5084.42979120
0.24700001 122037.51425231 5447.75489393
0.24800001 119367.17917274 4904.20078831
0.24900001 116745.28809678 5691.33306396
0.25000001 114172.06922186 6447.86791434
0.25100001 111645.81895539 6330.31823425
0.25200001 109168.04763804 4142.92760386
0.25300001 106736.90908783 5286.67935724
0.25400001 104351.23236985 5588.00875778
0.25500001 102011.42198464 4700.68654745
0.25600001 99717.41267418  3844.10644046
0.25700001 97467.92829803  5280.81260504
0.25800001 95262.74949935  4811.24539110
0.25900001 93101.74729175  4357.16197941
0.26000001 90984.52762483  4274.45331006
0.26100001 88908.33591958  4192.91732036
0.26200001 86876.99277113  3427.29752699
0.26300001 84886.25143747  4369.94443078
0.26400001 82936.76351924  3626.41015647
0.26500001 81029.12955727  4526.28739125
0.26600001 79161.23521085  4438.57066830
0.26700001 77334.40637561  4041.49626843
