# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420645 280.65061764
0.00100000 1700842.90201257 867.42990063
0.00200000 1700633.05613066 1071.39885929
0.00300000 1700283.45217204 1122.18711841
0.00400000 1699793.97080140 1529.81463185
0.00500000 1699165.08450844 2293.87295488
0.00600000 1698396.51147440 2318.31133255
0.00700000 1697488.91355993 2036.98678093
0.00800000 1696441.73435682 3206.27501330
0.00900000 1695256.34015790 3051.46154273
0.01000000 1693931.89041022 2794.98773986
0.01100000 1692469.62838172 3351.09001010
0.01200000 1690869.05720883 4945.79220918
0.01300000 1689131.56136323 4966.04700943
0.01400000 1687256.34359142 4175.95963551
0.01500000 1685245.22632627 6066.88308493
0.01600000 1683097.08237224 5579.46707749
0.01700000 1680814.07608105 4992.01802990
0.01800000 1678395.63658344 6696.79889131
0.01900000 1675842.56923882 7038.53910840
0.02000000 1673155.62811124 6324.52856035
0.02100000 1670336.43056361 5512.11047077
0.02200000 1667383.00612883 6902.96595899
0.02300000 1664298.34372207 8987.21146518
0.02400000 1661082.40393309 6851.96522866
0.02500000 1657736.58256466 9051.24215418
0.02600000 1654260.80294648 7369.73221421
0.02700000 1650656.53505225 9012.58509417
0.02800000 1646923.30824743 7880.52839136
0.02900000 1643063.73932135 8872.54459971
0.03000000 1639078.46401033 7621.71520798
0.03100000 1634967.31681366 7847.84348181
0.03200000 1630731.55542109 8072.12157112
0.03300000 1626374.00670876 9953.40937991
0.03400000 1621892.60287940 8514.93655800
0.03500000 1617290.87841583 13100.05672010
0.03600000 1612568.28938285 14319.60707148
0.03700000 1607726.96734133 12829.66179272
0.03800000 1602768.02092023 14064.29003446
0.03900000 1597692.79285508 10544.77292117
0.04000000 1592500.31049041 12732.04057236
0.04100000 1587194.45233006 11999.19061598
0.04200000 1581775.49858339 12242.94292702
0.04300000 1576243.74172449 14564.49284959
0.04400000 1570602.70130942 11661.72559882
0.04500000 1564851.91200451 11877.22656399
0.04600000 1558992.02814948 12089.98374032
0.04700000 1553026.11556322 13418.14626252
0.04800000 1546954.37828150 14781.14977222
0.04900000 1540779.65623367 17333.77193947
0.05000000 1534501.43807311 16434.51116705
0.05100000 1528123.05294206 14303.23244184
0.05200000 1521642.75509107 13306.76651338
0.05300000 1515065.96823626 14726.44189777
0.05400000 1508391.24076784 13688.65114832
0.05500000 1501622.44560171 13874.99204462
0.05600000 1494757.88692721 15336.21663552
0.05700000 1487802.87937409 12943.88565476
0.05800000 1480756.12502653 13104.69231837
0.05900000 1473619.04119839 15915.08638827
0.06000000 1466395.33048775 13417.51790081
0.06100000 1459086.00888576 20354.25077514
0.06200000 1451691.46568217 15090.33349114
0.06300000 1444215.17860229 18023.80627167
