# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097189 302.89193117
0.00100000 1682663.62665620 706.71873998
0.00200000 1682455.60041986 1135.65756624
0.00300000 1682109.04063345 1110.19200637
0.00400000 1681623.81105881 1765.70506870
0.00500000 1681000.37317800 1664.19043532
0.00600000 1680238.47763548 1940.67552068
0.00700000 1679338.76387377 2619.76858052
0.00800000 1678300.66869162 2718.84719807
0.00900000 1677125.59365557 3270.39504743
0.01000000 1675812.64885930 4147.63648502
0.01100000 1674363.09455026 3013.85370141
0.01200000 1672776.42381664 4566.67983724
0.01300000 1671054.04196980 5614.74182866
0.01400000 1669195.11845806 3755.68918302
0.01500000 1667201.50376927 4801.54054466
0.01600000 1665072.07997860 5095.12079250
0.01700000 1662808.92155495 4938.54271855
0.01800000 1660411.56128640 8044.69437642
0.01900000 1657880.81688525 7460.46401262
0.02000000 1655217.24823947 5213.93456781
0.02100000 1652422.58945136 5452.99479242
0.02200000 1649494.96260349 9674.28839520
0.02300000 1646437.22330813 6519.89170108
0.02400000 1643249.40513738 6778.40410527
0.02500000 1639932.77726556 6395.73812343
0.02600000 1636487.45052527 9278.88426888
0.02700000 1632914.65754134 7544.06606337
0.02800000 1629214.11726112 7087.08173510
0.02900000 1625388.42723889 7314.24825840
0.03000000 1621438.05096562 10555.56219698
0.03100000 1617362.97260694 10092.34541345
0.03200000 1613164.41784051 11179.22993053
0.03300000 1608845.17476488 9025.62184652
0.03400000 1604403.14425857 9265.42858560
0.03500000 1599841.86217974 9503.06110018
0.03600000 1595160.86676036 12394.40050752
0.03700000 1590362.18433922 10878.07784396
0.03800000 1585446.98556632 13912.29794220
0.03900000 1580416.50837629 13275.49928515
0.04000000 1575269.89220237 9687.91028597
0.04100000 1570010.95820021 11869.28339433
0.04200000 1564639.97604102 10091.92831366
0.04300000 1559157.24298615 12348.52593764
0.04400000 1553566.09383796 10486.57162042
0.04500000 1547866.46780976 10680.27912415
0.04600000 1542058.59735497 10871.51361674
0.04700000 1536145.83331545 11060.25051426
0.04800000 1530128.20650292 13495.73140929
0.04900000 1524008.38620040 13716.07611425
0.05000000 1517786.24094486 16255.49139747
0.05100000 1511464.79169334 12968.36851685
0.05200000 1505042.41265168 14358.10528580
0.05300000 1498524.58880235 15779.46465569
0.05400000 1491909.61816578 17231.55689339
0.05500000 1485201.49463399 12475.69313691
0.05600000 1478398.73314737 13904.34073409
0.05700000 1471506.39189214 20483.36993127
0.05800000 1464522.92365049 20737.64556718
0.05900000 1457450.44119809 14428.76004177
0.06000000 1450291.78483700 14597.18749635
0.06100000 1443048.50497647 14762.38689578
0.06200000 1435720.90740488 21708.10113467
0.06300000 1428312.34160533 16454.15894461
0.06400000 1420820.85334820 15238.30436480
0.06500000 1413252.85814146 13991.20395008
0.06600000 1405605.94784621 15538.97448049
0.06700000 1397883.38631712 14258.41120771
0.06800000 1390088.09021040 15826.15364785
0.06900000 1382220.54302886 17415.97965756
0.07000000 1374280.69826564 21954.13518287
0.07100000 1366273.13737802 19182.47574725
0.07200000 1358197.12236538 16359.48510528
0.07300000 1350057.12740023 14985.63481630
0.07400000 1341852.51005307 15095.84144555
0.07500000 1333585.86000385 22804.31927496
0.07600000 1325256.96794072 19898.73430649
0.07700000 1316871.70646583 18488.87962570
0.07800000 1308428.24023501 20156.33798608
0.07900000 1299928.64847741 18718.97341606
0.08000000 1291376.98142878 17259.25416645
0.08100000 1282773.15119070 15778.11049993
0.08200000 1274117.86067922 17449.04492080
0.08300000 1265415.01672158 20727.49894668
0.08400000 1256664.53088219 20829.21557707
0.08500000 1247870.66013235 17707.28549855
0.08600000 1239032.42912121 22637.12354289
0.08700000 1230153.33730737 19485.62977795
0.08800000 1221232.41527179 21194.48956242
0.08900000 1212275.67011661 22912.01124137
0.09000000 1203281.72061052 24637.19438684
0.09100000 1194253.21542203 19776.83417653
0.09200000 1185191.33863170 24800.12992615
0.09300000 1176099.40666784 19899.60289595
0.09400000 1166975.61570847 19955.28396646
0.09500000 1157824.59921946 20007.21001490
0.09600000 1148647.16233223 18384.09869732
0.09700000 1139446.45690462 20099.83644475
0.09800000 1130223.50301514 23497.34773248
0.09900000 1120979.64598870 23540.57367270
0.10000000 1111714.79726260 20210.97596470
0.10100000 1102432.37554625 18553.93775307
0.10200000 1093133.88819118 25333.37905042
0.10300000 1083820.78300068 23670.64701422
0.10400000 1074495.39618038 20307.96394320
0.10500000 1065160.39855361 22016.86647398
0.10600001 1055812.36166210 20334.94704244
0.10700001 1046458.88059470 28819.47892776
0.10800001 1037097.30498025 22043.50425476
0.10900001 1027731.81152852 27132.12110134
0.11000001 1018362.76987611 22042.46319150
0.11100001 1008991.92702782 20341.27820641
0.11200001 999621.61573420 20332.30462122
0.11300001 990251.12761503 23706.61311123
0.11400001 980884.92052970 21996.34537856
0.11500001 971523.04469158 18594.95195100
0.11600001 962166.40362345 21951.82753241
0.11700001 952818.55803791 18551.37819867
0.11800001 943477.36860715 21893.39336967
0.11900001 934146.94313725 16814.64576847
0.12000001 924828.06632088 20142.75623329
0.12100001 915523.77996971 21780.31175151
0.12200001 906232.54208493 23407.98766483
0.12300001 896958.01706423 20020.10388411
0.12400001 887699.58148990 19973.24152461
0.12500001 878459.81537824 26564.62606878
0.12600001 869241.53828165 19870.86250150
0.12700001 860044.10210758 23117.98655412
0.12800001 850867.98711849 18110.72595936
0.12900001 841716.28877926 24620.20260719
0.13000001 832589.49887164 17996.42286637
0.13100001 823488.05220514 16305.06420224
0.13200001 814414.98935902 17872.33778399
0.13300001 805371.71222943 17806.76939686
0.13400001 796356.82676625 17738.84915253
0.13500001 787373.79968406 20881.15415213
0.13600001 778422.05466625 22395.20356870
0.13700001 769504.46026463 22300.24031000
0.13800001 760619.83397833 17444.81671492
0.13900001 751773.15375987 17365.96067080
0.14000001 742961.43333313 25141.81608970
0.14100001 734187.89820471 17202.02326623
0.14200001 725451.66429804 20229.22061307
0.14300001 716758.24379555 20126.57243510
0.14400001 708100.87765490 16941.31429701
0.14500001 699489.11393707 16850.69354963
0.14600001 690917.33854822 16758.20083704
0.14700001 682391.94633441 16664.01211564
0.14800001 673908.52955208 22592.78451913
0.14900001 665470.10179816 19465.00139597
0.15000001 657078.54465129 19347.67866014
0.15100001 648733.69905593 20707.58065095
0.15200001 640437.88833105 19107.46529998
0.15300001 632190.39313597 17524.31852468
0.15400001 623990.03057890 17409.32267471
0.15500001 615841.98319227 15851.77339546
0.15600001 607742.84182783 20037.28244072
0.15700001 599698.55338944 22740.57021781
0.15800001 591702.24001533 21168.14863566
0.15900001 583761.61772837 14010.27948677
0.16000001 575872.33542681 15298.04931272
0.16100001 568040.33968042 22085.40944930
0.16200001 560260.83413639 16438.05364954
0.16300001 552538.06421885 16310.92442574
0.16400001 544870.71466820 16182.66098962
0.16500001 537260.37166143 21404.45421752
0.16600001 529706.50049353 15922.97815661
0.16700001 522210.02996980 14475.66271423
0.16800001 514770.66663827 19574.15552314
0.16900001 507391.74004962 16820.03697685
0.17000001 500071.12091640 17957.55480006
0.17100001 492809.71543368 16528.83863616
0.17200001 485607.87502187 12601.52495190
0.17300001 478466.64679571 16234.37409244
0.17400001 471386.85567067 17323.46776402
0.17500001 464367.15092765 12259.29336347
0.17600001 457406.87601425 13358.56844491
0.17700001 450510.70192124 15637.22720224
0.17800001 443675.27282729 13103.94980188
0.17900001 436901.88276112 15335.25680925
0.18000001 430191.69856682 11679.70516778
0.18100001 423545.03156969 16187.89187125
0.18200001 416958.24836867 13734.60535006
0.18300001 410437.27855682 13593.68330796
0.18400001 403978.01767695 14573.50767616
0.18500001 397583.24464178 13311.08765945
0.18600001 391251.59391449 10974.60772778
0.18700001 384983.40515000 15199.14555340
0.18800001 378778.53710093 10738.37203416
0.18900001 372639.45395238 10620.22493942
0.19000001 366560.62847772 13652.55125272
0.19100001 360550.49108305 11422.24009721
0.19200001 354600.97326953 12318.83839347
0.19300001 348718.11577521 13192.00694313
0.19400001 342898.49209843 11032.75950461
0.19500001 337143.27643468 12885.61663424
0.19600001 331451.02790961 18609.31884139
0.19700001 325823.86793852 9676.96933508
0.19800001 320260.84933252 15295.65888698
0.19900001 314762.80224097 10387.17296485
0.20000001 309326.59134489 11191.43660378
0.20100001 303956.35370590 9209.87795257
0.20200001 298648.36896471 9093.84326478
0.20300001 293405.04349555 11671.65318191
0.20400001 288225.26005440 10635.51259870
0.20500001 283108.18862385 10497.65213036
0.20600001 278054.95271013 9496.96735872
0.20700001 273064.74935774 11927.46881575
0.20800001 268137.11860338 9246.70897213
0.20900001 263274.68979016 12439.72968063
0.21000001 258472.47442968 9816.78504290
0.21100001 253732.86106944 8068.70536344
0.21200001 249055.41581283 10344.51718482
0.21300001 244439.59934457 8631.16266090
0.21400001 239886.66470653 10830.88342355
0.21500001 235395.47096854 9914.85770595
0.21600001 230964.11589448 10525.03525892
0.21700001 226594.26673167 7409.63287245
0.21800001 222285.34849245 8762.48885187
0.21900001 218035.52442490 7914.68991084
0.22000001 213845.51806433 11342.36681443
0.22100001 209717.84403162 7681.96499011
0.22200001 205647.95499489 8254.70930381
0.22300001 201637.29961141 9485.01902222
0.22400001 197683.87864580 8673.38058572
0.22500001 193791.91862436 6569.54635202
0.22600001 189956.12987979 7114.80718109
0.22700001 186178.99888652 7004.05426933
0.22800001 182458.59210245 7520.94352213
0.22900001 178794.78391013 8018.94643759
0.23000001 175187.88461585 9105.39073352
0.23100001 171638.57249286 8362.23164732
0.23200001 168143.20949206 6464.26599464
0.23300001 164704.47951522 9249.80400704
0.23400001 161320.69392229 7392.52114862
0.23500001 157990.16893996 7829.99314299
0.23600001 154715.04419659 6050.13208946
0.23700001 151493.25470120 7030.80228322
0.23800001 148324.99607911 5849.19649704
0.23900001 145209.63165503 6273.05638421
0.24000001 142146.56627902 5652.45847545
0.24100001 139136.67804448 5555.72781711
0.24200001 136177.79420830 7445.52125053
0.24300001 133270.09589247 4877.68574039
0.24400001 130412.58132293 5271.92884936
0.24500001 127605.86847660 4708.65676953
0.24600001 124849.07048933 5088.22410849
0.24700001 122142.17643454 4998.05809614
0.24800001 119483.24702940 5355.23938520
0.24900001 116872.62427379 5259.26834112
0.25000001 114310.57746377 5594.93147865
0.25100001 111795.34425945 5071.03705551
0.25200001 109328.41717554 4978.81635372
0.25300001 106907.91168790 5702.46827922
0.25400001 104532.79606470 4798.05556637
0.25500001 102203.45659362 4317.07421076
0.25600001 99919.68603680  5777.85611844
0.25700001 97680.25132354  4914.29367660
0.25800001 95485.03924892  5193.43153047
0.25900001 93333.78656549  4004.01963311
0.26000001 91226.15938341  4642.95560150
0.26100001 89159.35770576  4204.75550836
0.26200001 87137.25481704  3781.32135171
0.26300001 85155.66002310  5395.46287436
0.26400001 83214.99772616  3969.35557936
0.26500001 81316.07881614  4217.86520778
0.26600001 79456.74931230  4136.91584870
0.26700001 77638.24077651  3745.26891229
0.26800001 75858.89029332  3979.17827863
0.26900001 74117.82286620  4202.48075538
0.27000001 72415.78282032  3238.07188204
0.27100001 70751.68341713  2886.66882002
0.27200001 69125.23881005  3679.88226220
0.27300001 67535.24809998  3053.26871109
0.27400001 65980.76872763  3810.38957435
0.27500001 64464.53468119  3202.59823453
0.27600001 62981.86952674  3140.27616322
0.27700001 61535.79877101  2822.64722321
0.27800001 60123.36388514  2516.16289768
0.27900001 58745.52234464  5181.35531602
0.28000001 57401.22271592  2903.35398238
0.28100001 56089.78077814  3321.63697489
0.28200001 54811.71977012  2559.43337580
0.28300001 53565.74120484  2281.90068333
0.28400001 52351.71144296  2238.03577011
0.28500001 51169.27748640  2634.19452968
0.28600001 50016.97281922  2799.20001632
0.28700001 48895.65620848  2745.98018264
0.28800001 47803.62471237  2901.20212112
0.28900001 46742.75479012  2236.64092258
0.29000001 45709.44538295  1995.21738541
0.29100001 44705.99344615  2153.93486619
0.29200001 43730.25260146  2690.72256993
