# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 274.66737318
0.00100000 1664582.16144636 649.18705838
0.00200000 1664376.35600894 748.96938392
0.00300000 1664033.50275013 1397.78819210
0.00400000 1663553.45654589 1247.66513982
0.00500000 1662936.69088924 1945.63600535
0.00600000 1662182.92629104 3141.52585859
0.00700000 1661292.81661475 2790.97204791
0.00800000 1660265.83521605 3362.03845826
0.00900000 1659103.27163571 2488.65501384
0.01000000 1657804.37084747 3555.99052901
0.01100000 1656370.32065121 3875.90671908
0.01200000 1654800.60309835 3872.23358102
0.01300000 1653096.62648399 3471.50306873
0.01400000 1651257.60264810 4458.39572479
0.01500000 1649285.26888381 4749.94178589
0.01600000 1647178.59137056 5040.36671492
0.01700000 1644939.60793087 4885.47085471
0.01800000 1642567.87387221 4681.31865118
0.01900000 1640064.19919079 5412.21210154
0.02000000 1637429.06228389 8252.64284722
0.02100000 1634664.30768358 5394.39245993
0.02200000 1631767.95415999 5629.59969762
0.02300000 1628742.85186731 7036.16944034
0.02400000 1625589.14034543 7315.15146511
0.02500000 1622308.05466992 6327.00170217
0.02600000 1618899.47807934 10490.46909777
0.02700000 1615364.87166257 9498.34588041
0.02800000 1611703.93243681 7712.00367038
0.02900000 1607919.12498233 8682.76367357
0.03000000 1604010.96896724 8950.38161824
0.03100000 1599979.52845619 9983.87271696
0.03200000 1595825.71830831 9479.20520335
0.03300000 1591552.72770017 8928.61121401
0.03400000 1587158.23073885 9165.83920543
0.03500000 1582645.72955761 11110.17353454
0.03600000 1578014.76817293 8757.98236810
0.03700000 1573267.36985223 15244.96151891
0.03800000 1568404.82139707 9175.16862980
0.03900000 1563428.14672052 10318.62624621
0.04000000 1558336.59292211 12458.90163774
0.04100000 1553133.88267688 11741.69269746
0.04200000 1547820.37882939 13976.81866925
0.04300000 1542396.24282536 13233.76037773
0.04400000 1536865.04609953 15560.75931443
0.04500000 1531226.35672107 12678.55482276
0.04600000 1525480.64482525 10754.63904597
0.04700000 1519631.03715155 14223.74716926
0.04800000 1513677.84764796 11125.53269786
0.04900000 1507623.59305132 12437.89522163
0.05000000 1501467.88405601 12634.85283269
0.05100000 1495214.21108105 18660.27422356
0.05200000 1488860.61817504 14203.73095930
0.05300000 1482412.60309095 14409.05117376
0.05400000 1475868.32895109 13393.50570982
0.05500000 1469232.15581263 13575.70575301
0.05600000 1462502.11325757 15005.27238223
0.05700000 1455683.57017406 16463.78194717
0.05800000 1448774.97335028 19232.48866924
0.05900000 1441778.19807368 15571.20526646
0.06000000 1434696.23947773 18378.45968633
0.06100000 1427530.65542368 21241.65714536
0.06200000 1420281.45535831 14763.82641856
0.06300000 1412952.25136618 13564.34224732
0.06400000 1405541.08845552 17815.23412933
0.06500000 1398054.15452839 22145.17884363
0.06600000 1390489.17315069 15371.85852841
0.06700000 1382849.17696543 18336.58094469
0.06800000 1375137.31168194 18502.47339476
0.06900000 1367354.13014081 20100.10665414
0.07000000 1359499.31029155 15926.53516588
0.07100000 1351577.70272848 20435.85582242
0.07200000 1343588.12494243 20597.20692028
0.07300000 1335535.43270507 14824.44399763
0.07400000 1327418.68591901 20906.84528301
0.07500000 1319240.69325169 18047.21352960
0.07600000 1311001.19340759 16656.27094310
0.07700000 1302705.72822747 19814.15505540
0.07800000 1294352.84372121 19939.50649261
0.07900000 1285944.40325148 20060.73363165
0.08000000 1277484.21027121 18625.72065951
0.08100000 1268972.61861563 18730.03672955
0.08200000 1260410.27316816 17261.31950103
0.08300000 1251800.43878304 28390.83528404
0.08400000 1243143.83662279 19020.10159311
0.08500000 1234444.09118639 17516.76247626
0.08600000 1225700.63456901 15995.39403213
0.08700000 1216917.03430444 17669.63616783
0.08800000 1208091.69281130 16128.02485646
0.08900000 1199230.93216671 21046.50384807
0.09000000 1190333.41583596 24372.07783413
0.09100000 1181401.73377056 16303.34469198
0.09200000 1172436.81581268 16355.49434908
0.09300000 1163442.39921205 18044.99245975
0.09400000 1154416.49383885 19740.52297240
0.09500000 1145363.53242726 24739.85346327
0.09600000 1136284.48255715 21492.82199790
0.09700000 1127182.48667840 23197.41666642
0.09800000 1118058.23323696 24904.74831632
0.09900000 1108913.57561085 21623.81574122
0.10000000 1099747.94317108 18327.30033483
0.10100000 1090564.88306825 18354.20784527
0.10200000 1081366.31776672 25060.66559300
0.10300000 1072152.60830183 21743.25591918
0.10400000 1062927.25707126 16741.10508646
0.10500000 1053692.48069612 18429.08235445
0.10600001 1044444.47092845 21792.33491133
0.10700001 1035191.20039280 16770.09823552
0.10800001 1025929.94532151 21806.14201404
0.10900001 1016664.86952995 20129.96536412
0.11000001 1007396.01992579 23482.40232978
0.11100001 998125.20241969 16768.50419000
0.11200001 988855.45486423 21789.43097372
0.11300001 979585.31662122 21776.18261373
0.11400001 970319.40019401 21759.41357388
0.11500001 961057.62053575 21739.12440017
0.11600001 951801.29330586 20044.93618097
0.11700001 942553.42696711 23356.47502022
0.11800001 933312.12832768 19991.54673035
0.11900001 924081.62428197 21623.51102670
0.12000001 914862.20347401 19925.69973026
0.12100001 905657.39364750 23202.94351830
0.12200001 896465.24109764 18193.76292521
0.12300001 887289.94450345 19804.31249439
0.12400001 878130.37285852 21404.42884695
0.12500001 868989.60670705 16423.90434067
0.12600001 859869.54212958 19656.61865937
0.12700001 850770.31896099 22868.70725139
0.12800001 841692.00888444 22801.43759529
0.12900001 832638.09199468 19483.73227098
0.13000001 823608.68586710 19420.69372814
0.13100001 814604.30426503 17742.08258321
0.13200001 805627.90008608 19286.73283724
0.13300001 796681.18295548 16013.29253232
0.13400001 787762.34928256 17547.40715755
0.13500001 778875.01473048 23833.57657446
0.13600001 770018.60502219 18988.65969518
0.13700001 761195.69508851 20483.77712071
0.13800001 752405.57649227 18825.18841155
0.13900001 743653.17028356 21863.40423738
0.14000001 734935.08820921 20207.04120329
0.14100001 726254.71901619 17016.14886908
0.14200001 717611.48527323 16932.04379363
0.14300001 709010.12782446 18377.54338003
0.14400001 700444.85417216 21328.54681561
0.14500001 691924.16613332 16668.45394844
0.14600001 683443.40155499 15069.92771520
0.14700001 675008.61915194 25474.82648861
0.14800001 666615.03461948 17878.61607198
0.14900001 658265.75471617 14810.98017991
0.15000001 649963.01817273 23554.66088996
0.15100001 641706.59387120 17557.09323675
0.15200001 633498.26837221 15992.66453970
0.15300001 625337.97871679 21667.96198503
0.15400001 617224.44786878 18655.60981721
0.15500001 609162.32539632 17105.27890438
0.15600001 601148.25543778 15572.74629207
0.15700001 593189.14634378 22493.73349099
0.15800001 585276.80508362 13958.85246008
0.15900001 577419.93481209 18015.50281648
0.16000001 569613.56126335 13756.16815383
0.16100001 561863.95186551 19114.61254476
0.16200001 554166.14775216 23033.91701866
0.16300001 546524.40814639 21511.20172014
0.16400001 538937.52981136 14672.57494180
0.16500001 531406.83420548 21171.24927427
0.16600001 523932.25147264 15749.40422284
0.16700001 516514.03775721 16921.00067585
0.16800001 509152.38586216 15488.41630923
0.16900001 501850.71151487 16636.35187225
0.17000001 494606.30549221 12686.65233493
0.17100001 487420.72508492 16348.09189133
0.17200001 480294.27862454 16202.72825454
0.17300001 473227.11729967 13586.35117928
0.17400001 466220.92755258 12238.29992622
0.17500001 459274.19973345 16974.77522383
0.17600001 452386.09969544 19217.36242268
0.17700001 445561.45060579 11896.49129305
0.17800001 438796.89035181 11781.69706242
0.17900001 432093.60127173 17499.79167808
0.18000001 425452.58312418 12706.14199518
0.18100001 418874.76857877 14865.86623907
0.18200001 412355.99437312 12451.08983826
0.18300001 405902.21566471 15684.06235419
0.18400001 399509.50501948 11086.38928802
0.18500001 393180.36696972 14260.65258369
0.18600001 386913.70188490 19535.27373108
0.18700001 380709.80734123 12883.22048909
0.18800001 374568.41551232 13804.71960593
0.18900001 368492.52670457 14702.85251018
0.19000001 362475.58148490 13500.40367028
0.19100001 356526.82125104 13348.36481835
0.19200001 350637.86597980 12181.16003971
0.19300001 344814.95293128 13044.35028577
0.19400001 339054.22627835 11900.80390473
0.19500001 333357.76519585 17641.29376781
0.19600001 327723.18480548 12589.48673924
0.19700001 322153.02233506 14351.91782326
0.19800001 316646.24075234 15123.02517303
0.19900001 311203.49639285 12136.93693291
0.20000001 305822.23015730 10142.59474252
0.20100001 300505.98316615 10015.86489230
0.20200001 295251.28999936 13485.60330810
0.20300001 290060.70844922 14201.37295690
0.20400001 284932.73204917 8761.68192464
0.20500001 279866.72296308 12107.03500764
0.20600001 274864.07725919 11094.88900300
0.20700001 269923.48711936 11790.25847469
0.20800001 265045.05057731 13294.66036540
0.20900001 260230.94485873 9836.73018065
0.21000001 255476.25935689 8894.40638997
0.21100001 250783.59062331 10367.39412647
0.21200001 246152.28356024 11010.39216416
0.21300001 241582.21071048 9305.74719650
0.21400001 237073.87066770 12233.01230479
