# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 252.40994265
0.00100000 1682663.75090832 706.71879217
0.00200000 1682456.09640079 1135.65790103
0.00300000 1682110.16634573 1110.19274934
0.00400000 1681625.80640018 1513.46328327
0.00500000 1681003.50184570 1966.77417501
0.00600000 1680242.96656189 1940.68070539
0.00700000 1679344.88110621 2418.25672930
0.00800000 1678308.68248044 2945.43186211
0.00900000 1677135.67261221 2767.27397810
0.01000000 1675825.09711723 2765.11152964
0.01100000 1674378.16049983 5123.59739421
0.01200000 1672794.34795196 3914.33894583
0.01300000 1671075.04572664 4211.10930096
0.01400000 1669219.48969545 4131.31842014
0.01500000 1667229.40805815 5601.89106052
0.01600000 1665103.78180259 5519.81928343
0.01700000 1662844.67902310 6734.52125215
0.01800000 1660451.58033087 4732.28721688
0.01900000 1657925.32206018 5968.53142873
0.02000000 1655266.48950079 5735.49864557
0.02100000 1652476.84146239 5998.49120647
0.02200000 1649554.37479916 5690.96285161
0.02300000 1646501.98969141 8298.37040577
0.02400000 1643319.80188190 6162.44953805
0.02500000 1640009.12843709 7675.24307162
0.02600000 1636569.73322074 6628.10772270
0.02700000 1633003.26487964 7544.47542929
0.02800000 1629309.18029017 10631.24288894
0.02900000 1625490.17667211 10972.05919631
0.03000000 1621546.70849088 10556.26955750
0.03100000 1617478.71467824 8540.28800647
0.03200000 1613287.33278559 12777.23626416
0.03300000 1608975.55311617 9026.35326910
0.03400000 1604541.19448715 10950.99415766
0.03500000 1599987.80455623 10367.92145230
0.03600000 1595314.79242193 9739.39725783
0.03700000 1590524.26741509 11785.78536661
0.03800000 1585617.51236864 13913.79431496
0.03900000 1580595.58581712 10431.93134950
0.04000000 1575457.68639010 9689.06522028
0.04100000 1570207.55748007 10881.53887788
0.04200000 1564845.63675797 13121.23127295
0.04300000 1559372.02188137 14408.59815100
0.04400000 1553790.30182473 11536.89352684
0.04500000 1548099.99711933 17091.02476233
0.04600000 1542301.77995219 11960.55085954
0.04700000 1536398.67021555 11062.07094003
0.04800000 1530390.91202596 13498.04847211
0.04900000 1524281.13400604 21721.00717064
0.05000000 1518068.96681294 16258.51939166
0.05100000 1511757.85192162 14150.05415315
