# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 274.66737318
0.00100000 1664582.11508997 549.31211103
0.00200000 1664376.16414172 898.76315710
0.00300000 1664033.07388822 998.41987990
0.00400000 1663552.69299328 1497.19748058
0.00500000 1662935.48537035 1646.30619568
0.00600000 1662181.21274229 1919.81937888
0.00700000 1661290.49893428 2591.61328605
0.00800000 1660262.79440550 2241.35486708
0.00900000 1659099.42157927 3484.10893425
0.01000000 1657799.62297953 3555.98034484
0.01100000 1656364.56585828 3875.89325286
0.01200000 1654793.78088878 4840.27202132
0.01300000 1653088.62533469 3818.63489294
0.01400000 1651248.32328042 5944.49422733
0.01500000 1649274.61054949 5145.73701405
0.01600000 1647166.49696067 7140.46708353
0.01700000 1644926.00534345 6217.82057912
0.01800000 1642552.65424788 5617.53033030
0.01900000 1640047.19305473 5904.17016141
0.02000000 1637410.31987031 6705.19556318
0.02100000 1634643.68919647 5933.75686081
0.02200000 1631745.33425655 6192.47382484
0.02300000 1628718.20009594 9967.75583830
0.02400000 1625562.37311851 9143.78876573
0.02500000 1622278.98438764 6326.88832806
0.02600000 1618868.13477069 6556.41624570
0.02700000 1615331.19864379 10176.58701755
0.02800000 1611667.71895749 7711.83038887
0.02900000 1607880.41388988 10853.19329207
0.03000000 1603969.73994913 8950.15156031
0.03100000 1599935.53316859 8447.66000383
0.03200000 1595779.04944034 10268.83865611
0.03300000 1591503.19133235 8116.66664998
0.03400000 1587105.70164421 11665.22744532
0.03500000 1582590.32360188 11109.78458471
0.03600000 1577956.38075628 9633.42414971
0.03700000 1573205.84528678 13450.91059927
0.03800000 1568340.19319679 11927.22772125
0.03900000 1563360.31010161 15008.25967201
0.04000000 1558265.46130730 10541.66633423
0.04100000 1553059.45318048 10762.70250957
0.04200000 1547742.50591869 16970.99736473
0.04300000 1542314.98562194 10179.27937761
0.04400000 1536780.30356579 18671.88155548
0.04500000 1531138.00708344 12677.82328772
0.04600000 1525388.70763558 10753.99088875
0.04700000 1519535.58793544 16410.98511294
0.04800000 1513578.61564487 15574.72467965
0.04900000 1507520.65178261 14698.32703905
0.05000000 1501361.21081570 12633.95517733
0.05100000 1495103.75087047 13994.17176005
0.05200000 1488746.23837652 13019.08646131
0.05300000 1482294.35008522 12006.58479541
0.05400000 1475746.27195318 15827.37950479
0.05500000 1469106.04383759 14808.58961269
0.05600000 1462372.11323296 16254.26679708
0.05700000 1455549.47460865 13929.60912222
0.05800000 1448636.94334507 15384.52505667
0.05900000 1441636.09702464 14272.19802714
0.06000000 1434550.16551298 22314.42886706
0.06100000 1427380.38403695 19911.95728783
0.06200000 1420127.11227703 18788.28257366
0.06300000 1412793.83411340 17631.66787411
0.06400000 1405378.43030315 16442.92840353
0.06500000 1397887.43567490 19374.72076476
0.06600000 1390318.32363785 15369.96978695
0.06700000 1382674.26437845 19744.58941935
0.06800000 1374958.27721767 17076.98260240
0.06900000 1367170.88937233 18661.88351366
0.07000000 1359311.94424128 15924.34017250
0.07100000 1351386.18471842 14594.97147855
0.07200000 1343392.55458772 26478.26849135
0.07300000 1335335.77358671 16304.45055945
0.07400000 1327214.93086596 17917.40240637
0.07500000 1319032.76698727 16540.67167332
0.07600000 1310789.24031215 15139.61643536
0.07700000 1302489.76535131 22858.69645373
0.07800000 1294132.78819469 21469.66396300
0.07900000 1285720.24481986 21600.10112610
0.08000000 1277256.14352623 18622.39544621
0.08100000 1268740.45220960 26529.36410041
0.08200000 1260174.36159717 21964.84015334
0.08300000 1251560.66022175 23654.49758834
0.08400000 1242900.15515272 17431.67549424
0.08500000 1234196.64708552 23881.70624224
0.08600000 1225449.47480698 20789.75131621
0.08700000 1216661.88592925 17665.93141324
0.08800000 1207832.80341889 25799.30989266
0.08900000 1198968.52344283 21041.89857475
0.09000000 1190067.54073593 21117.74950238
0.09100000 1181132.13625413 17929.58667069
0.09200000 1172163.85355259 17986.85517791
0.09300000 1163165.85578394 18040.70327098
0.09400000 1154136.48385098 26314.31306851
0.09500000 1145080.34363268 19786.98926801
0.09600000 1135998.02767483 19834.52649558
0.09700000 1126892.58713351 18221.85399061
0.09800000 1117765.21386261 21578.45846819
0.09900000 1108617.32742451 29932.66924797
0.10000000 1099449.00562740 24984.97982786
0.10100000 1090262.76916769 23353.42961393
0.10200000 1081061.26690820 18372.63709529
0.10300000 1071844.86595739 20064.93683459
0.10400000 1062616.70573400 25104.32085400
0.10500000 1053379.29499247 16748.73157840
0.10600001 1044128.62901396 18434.09181263
0.10700001 1034872.85578795 18441.43515795
0.10800001 1025609.26346723 20122.45469622
0.10900001 1016341.70126567 18446.60274617
0.11000001 1007070.50835237 21798.04217931
0.11100001 997797.58553392 21791.90029388
0.11200001 988525.78236204 25133.26919976
0.11300001 979253.51959549 21768.80676550
0.11400001 969985.80756212 16732.25596828
0.11500001 960722.11720166 20059.87875175
0.11600001 951464.03476563 18368.01405613
0.11700001 942214.68589354 21680.36094345
0.11800001 932971.81170940 19984.25714804
0.11900001 923739.66734953 16627.31479547
0.12000001 914519.01649006 19918.22511740
0.12100001 905312.77107758 18223.94694029
0.12200001 896119.61482792 18186.74843973
0.12300001 886943.14029242 26395.42909871
0.12400001 877782.58896337 18104.26675040
0.12500001 868640.91684369 22984.23974271
0.12600001 859520.10275968 24560.78809375
0.12700001 850420.18263740 17960.87510373
0.12800001 841341.38007885 17907.95211897
0.12900001 832286.80371508 16229.59343738
0.13000001 823257.07597191 16177.00230535
0.13100001 814252.31426487 16122.19658241
0.13200001 805276.11311458 22491.36289954
0.13300001 796329.23213982 19207.46198471
0.13400001 787410.39521142 15945.06125477
0.13500001 778523.34320698 19058.25234027
0.13600001 769667.15028617 15816.66068415
0.13700001 760844.78604238 18899.38537646
0.13800001 752055.16348431 18816.42107768
0.13900001 743303.21162505 15609.36818024
0.14000001 734585.85824048 17090.14079795
0.14100001 725906.46461176 18554.17011055
0.14200001 717264.07593107 15385.31515437
0.14300001 708663.66043779 16837.84936620
0.14400001 700099.41765822 21318.02827326
0.14500001 691580.12745854 22718.40825869
0.14600001 683100.64422299 18074.84389881
0.14700001 674667.31753568 19470.89970265
0.14800001 666275.35571063 16380.38039295
0.14900001 657927.82851352 22205.06525998
0.15000001 649626.85862313 14714.04904207
0.15100001 641372.35003921 17547.94832507
0.15200001 633166.04589409 15984.27758285
0.15300001 625007.94647373 17325.22109381
0.15400001 616896.29179907 18645.69129954
0.15500001 608836.51745140 14246.77518071
0.15600001 600825.02915590 15564.37311484
0.15700001 592868.40384246 15456.08001765
0.15800001 584958.74025055 15346.39327480
0.15900001 577104.62522719 19390.71632289
0.16000001 569301.07809456 13748.62168495
0.16100001 561554.33238408 15010.34801318
0.16200001 553859.65672935 14896.05617092
0.16300001 546220.94410398 14780.73944522
0.16400001 538637.30815319 13331.27400616
0.16500001 531109.89517312 17192.02811841
0.16600001 523638.90028505 13117.15507144
0.16700001 516224.16526816 15610.61949476
0.16800001 508866.18765949 12899.75846625
0.16900001 501567.91413516 16626.97713867
0.17000001 494327.48829358 15215.40080814
0.17100001 487145.83700365 12568.36318819
0.17200001 480023.06292462 14947.91888536
0.17300001 472960.33087355 13578.69174063
0.17400001 465958.30498168 18347.10912511
0.17500001 459015.56644529 16965.21613704
0.17600001 452131.82959734 15605.33083558
0.17700001 445311.69150756 13078.80499730
0.17800001 438551.44204926 12952.61745270
0.17900001 431852.82798358 19822.04574071
0.18000001 425216.54872337 13853.55581178
