# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1628779.37420969 268.74859674
0.00100000 1628712.34735918 537.47508739
0.00200000 1628511.20726418 1025.96209306
0.00300000 1628176.13972106 1074.59629050
0.00400000 1627706.98305737 1342.85831205
0.00500000 1627104.19752226 2050.15137003
0.00600000 1626367.56080440 1878.45460920
0.00700000 1625497.62581160 2535.77640165
0.00800000 1624493.96172123 2850.98702319
0.00900000 1623357.80703516 2922.04417757
0.01000000 1622088.37606301 2676.44593607
0.01100000 1620686.89569370 3500.68384712
0.01200000 1619152.76234142 4736.02203749
0.01300000 1617487.43326680 3736.39613564
0.01400000 1615690.20354320 3635.30311913
0.01500000 1613762.62764015 5422.24267032
0.01600000 1611703.70527240 5753.78248504
0.01700000 1609515.50589285 4780.26126694
0.01800000 1607197.69916222 6412.71910821
0.01900000 1604750.80496036 5295.67789532
0.02000000 1602175.50729426 7065.59430678
0.02100000 1599473.34885077 6861.74097767
0.02200000 1596642.66808139 6610.10094617
0.02300000 1593686.42928922 6884.72568791
0.02400000 1590604.30247143 5964.76640625
0.02500000 1587397.43961911 6190.85029725
0.02600000 1584066.41085878 8340.11003463
0.02700000 1580611.91270958 7302.42737118
0.02800000 1577033.85301213 9604.13660529
0.02900000 1573335.10095512 9204.01076318
0.03000000 1569515.53835706 8028.07234771
0.03100000 1565575.61972555 12023.62131274
0.03200000 1561516.20633026 10821.30780828
0.03300000 1557340.08836063 11119.40874350
0.03400000 1553045.19151354 9784.18515798
0.03500000 1548634.98824939 11707.68105180
0.03600000 1544109.20067021 13711.69033562
0.03700000 1539469.43351357 14039.96188296
0.03800000 1534717.27942421 12569.33510019
0.03900000 1529853.51860885 18358.24307348
0.04000000 1524877.36779010 14066.99436971
0.04100000 1519792.73479332 13404.57254240
0.04200000 1514599.77970549 10746.08593555
0.04300000 1509298.60334429 10957.50836890
0.04400000 1503892.91172793 10151.27762561
0.04500000 1498382.18974348 12406.60510755
0.04600000 1492766.77982904 11576.40691573
0.04700000 1487049.86386639 14989.46332490
0.04800000 1481231.54967284 11975.75763631
0.04900000 1475314.74256731 12171.34719273
0.05000000 1469298.54654302 13488.16128536
0.05100000 1463186.66254828 12554.14214949
0.05200000 1456976.94753968 12741.26399999
0.05300000 1450675.32607478 12925.51775789
0.05400000 1444279.44647751 13106.83658801
0.05500000 1437793.57354203 16908.45321362
0.05600000 1431216.30712911 15907.96999607
0.05700000 1424552.27177508 14872.32641155
0.05800000 1417800.19773288 17566.54527013
0.05900000 1410962.27285018 19047.99157313
0.06000000 1404040.85871195 16701.06679463
0.06100000 1397037.30867323 12992.44757782
0.06200000 1389952.53371434 15762.06246909
0.06300000 1382789.47229776 18584.69137661
0.06400000 1375546.01979084 16093.88918421
0.06500000 1368228.89337232 16254.56001362
0.06600000 1360835.22832638 13676.39468458
0.06700000 1353368.67248898 15184.79721596
0.06800000 1345831.33077706 15322.29041812
0.06900000 1338224.51925958 16861.62973211
0.07000000 1330547.70617454 18421.43385463
0.07100000 1322805.58409936 17143.56117289
0.07200000 1314996.83363482 20158.90240400
0.07300000 1307126.37608744 15960.01379984
0.07400000 1299193.65279548 17539.11513469
0.07500000 1291200.52235302 16191.65530925
0.07600000 1283147.60619589 16302.39110098
0.07700000 1275040.03395251 16409.76600640
0.07800000 1266876.27923606 22518.72691946
0.07900000 1258658.01520822 18124.67626911
0.08000000 1250389.42530245 22788.34834516
0.08100000 1242070.30595443 19860.70512404
0.08200000 1233701.88094356 24575.34262160
0.08300000 1225286.55028271 20070.19463557
0.08400000 1216825.88120325 15514.53071357
0.08500000 1208323.21005827 20263.58118395
0.08600000 1199777.44123628 17222.80597758
0.08700000 1191192.39506902 18868.48842391
0.08800000 1182566.52884238 17365.99029162
0.08900000 1173906.04316816 25356.37172341
0.09000000 1165209.80035630 17495.62597422
0.09100000 1156480.16176300 20747.25507676
0.09200000 1147717.84097956 24015.99695093
0.09300000 1138926.55338524 19270.63818885
0.09400000 1130104.39295896 17714.38719216
0.09500000 1121256.02972340 16146.08758693
0.09600000 1112382.19142206 24277.74246903
0.09700000 1103485.82177695 21087.61504554
0.09800000 1094567.27427771 17879.75726599
0.09900000 1085629.20152285 24426.65818287
