# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 321.09991309
0.00100000 1646598.61845118 493.97959727
0.00200000 1646395.75496829 889.05373583
0.00300000 1646057.80942404 987.63472084
0.00400000 1645584.63615509 1234.18852401
0.00500000 1644976.68450261 1924.62279705
0.00600000 1644233.70575470 2071.73455360
0.00700000 1643356.31741082 2366.43319542
0.00800000 1642344.04221993 2438.88100567
0.00900000 1641198.14168270 3200.33651309
0.01000000 1639917.80496661 2705.86449503
0.01100000 1638504.28672240 3244.23862896
0.01200000 1636956.98600545 3830.47951520
0.01300000 1635277.33470913 5151.12383152
0.01400000 1633464.64912167 3675.29562345
0.01500000 1631520.50947858 4698.77927653
0.01600000 1629443.87525198 4155.08206764
0.01700000 1627236.84578267 4832.89364877
0.01800000 1624899.03845592 6020.25120838
0.01900000 1622431.05903123 4867.29339672
0.02000000 1619833.61020164 5102.47610295
0.02100000 1617108.12888732 5336.45706727
0.02200000 1614253.07554874 7796.84270913
0.02300000 1611271.27877763 6380.63455440
0.02400000 1608162.46393087 6030.60951472
0.02500000 1604927.93912703 7511.06309815
0.02600000 1601568.02602976 7783.62096251
0.02700000 1598083.65025989 12752.70811316
0.02800000 1594474.64795766 8323.15804404
0.02900000 1590743.78150006 10021.68628359
0.03000000 1586891.04068480 11806.46988538
0.03100000 1582916.87922499 12156.80219182
0.03200000 1578822.22385017 10159.72147841
0.03300000 1574609.75344330 13651.86719171
0.03400000 1570277.55982800 9068.35332642
0.03500000 1565828.84643001 9301.02377730
0.03600000 1561263.57652157 10398.01590016
0.03700000 1556583.30006489 10647.03026484
0.03800000 1551789.52323610 10893.56295727
0.03900000 1546883.25839241 12065.68997422
0.04000000 1541863.49373845 10430.70701849
0.04100000 1536734.27920777 16458.42489344
0.04200000 1531495.70712044 10865.96254612
0.04300000 1526147.93871363 12087.09223567
0.04400000 1520694.63893204 12317.62714740
0.04500000 1515135.30376581 12545.32089810
0.04600000 1509470.39225359 12770.12011211
0.04700000 1503702.97744362 16239.99291168
0.04800000 1497833.27175245 16513.61258942
0.04900000 1491864.04875798 11188.98088650
0.05000000 1485794.52240279 12502.96148823
0.05100000 1479628.29355026 12695.21135006
0.05200000 1473363.51000720 17569.86067561
0.05300000 1467005.68846824 15447.57061970
0.05400000 1460552.73990497 12049.56066613
0.05500000 1454008.98012524 14656.41120337
0.05600000 1447372.92162433 13612.54296309
0.05700000 1440649.13628997 12533.64807078
0.05800000 1433836.52888639 19034.18080972
0.05900000 1426937.07203162 20547.89479696
0.06000000 1419953.32932393 19488.86035547
0.06100000 1412886.76355361 17081.80176962
0.06200000 1405737.96807742 18597.91418700
0.06300000 1398510.14949404 20138.54709430
0.06400000 1391201.15243305 14920.63305763
0.06500000 1383817.56149466 13699.79449964
0.06600000 1376356.76626124 13832.38614812
0.06700000 1368822.08197334 16754.38306744
0.06800000 1361216.05721900 22541.73896270
0.06900000 1353539.75274303 17054.60168304
0.07000000 1345792.56770431 20065.76812412
0.07100000 1337979.47398981 17340.21479508
0.07200000 1330098.87424770 14564.58335532
0.07300000 1322156.04443368 17611.11933704
0.07400000 1314150.07314163 25133.12132668
0.07500000 1306083.07646384 14889.34776959
0.07600000 1297955.53434464 20987.94197428
0.07700000 1289772.74312338 21126.47852295
0.07800000 1281532.94728216 16704.78275121
0.07900000 1273238.09098521 16806.74358930
0.08000000 1264892.33153589 18442.13105893
0.08100000 1256495.40372883 23182.34128647
0.08200000 1248048.38435516 18645.84373723
0.08300000 1239554.19374160 17180.22193156
0.08400000 1231013.76004272 18834.51141272
0.08500000 1222430.76291941 20500.16485654
0.08600000 1213804.19942934 17424.16010090
0.08700000 1205137.60071009 17498.59878400
0.08800000 1196429.85100055 15972.33926098
0.08900000 1187686.88486504 16033.77369878
0.09000000 1178907.54348694 19310.50646944
0.09100000 1170094.31218125 17762.03249339
0.09200000 1161248.00589481 19439.29253207
0.09300000 1152372.10374245 16248.44742632
0.09400000 1143465.05166186 19553.25330237
0.09500000 1134531.02797507 17970.97232781
0.09600000 1125571.24424375 22927.88732303
0.09700000 1116588.51164696 16413.85189287
0.09800000 1107583.22511016 21381.89516608
0.09900000 1098557.87881659 23069.71653994
0.10000000 1089511.67085294 18156.71284862
0.10100000 1080447.82821856 18183.93780414
0.10200000 1071368.24016457 21518.43211585
0.10300000 1062273.73353876 21542.91232956
0.10400000 1053167.23602706 18246.12322256
0.10500000 1044051.13033007 19920.49650394
0.10600001 1034921.82900761 21593.64497830
0.10700001 1025787.30383561 16617.75510413
0.10800001 1016644.18869870 18284.34659424
0.10900001 1007496.90707170 18286.06972400
0.11000001 998345.80226812 18284.70422919
0.11100001 989192.67187613 16618.43766980
0.11200001 980040.35899535 18272.85335370
0.11300001 970887.02143379 29883.90392669
0.11400001 961737.64701812 16589.97519219
0.11500001 952592.03514003 19890.12263031
0.11600001 943451.62116476 18213.33440428
0.11700001 934318.99048555 18191.19160147
0.11800001 925192.51423019 16514.68715682
0.11900001 916076.66255629 18138.31877296
0.12000001 906971.44981444 23046.14562537
0.12100001 897879.95224614 19717.44468018
0.12200001 888801.11039736 19678.05751126
0.12300001 879738.01423018 19635.75340274
0.12400001 870690.51870996 21223.08239353
0.12500001 861660.85095668 17913.92993550
0.12600001 852651.86599449 24364.52821893
0.12700001 843662.79519918 19437.99171743
0.12800001 834694.17554576 22611.86628122
0.12900001 825749.16085032 20932.74221416
0.13000001 816827.61459988 17655.72972178
0.13100001 807931.01867023 20796.14540085
0.13200001 799061.72839218 20723.66690277
0.13300001 790221.11519529 20648.47871348
0.13400001 781407.62784245 22152.90729375
0.13500001 772625.11040177 22066.17419345
0.13600001 763872.53002277 18837.09747854
0.13700001 755153.21903405 18758.00684531
0.13800001 746465.57567350 20232.95038273
0.13900001 737814.46669103 20142.33589054
0.14000001 729197.56110297 21591.54080253
0.14100001 720617.15385049 16884.06071102
0.14200001 712073.09955209 16801.36557637
0.14300001 703570.03311737 16716.82477536
0.14400001 695102.31806509 24189.56180968
0.14500001 686678.54749951 15038.26089963
0.14600001 678293.26987747 17947.64076763
0.14700001 669953.26996352 19334.85228330
0.14800001 661653.63567823 25139.53107364
0.14900001 653397.63203702 16171.59215590
0.15000001 645187.06043415 14613.48760834
0.15100001 637022.10526058 18881.33609084
0.15200001 628904.03599761 20206.68763010
0.15300001 620832.92191758 22945.98587687
0.15400001 612807.88693133 18522.11925658
0.15500001 604833.30502641 22644.96000887
0.15600001 596905.85736010 19679.98704596
0.15700001 589032.24864838 15356.07144702
0.15800001 581204.55004352 15247.90209007
0.15900001 573431.34134751 17891.05869451
0.16000001 565707.66331055 15028.02478520
0.16100001 558039.67169863 20340.54699358
0.16200001 550422.57193123 18840.96552661
0.16300001 542860.68112229 14689.81072464
0.16400001 535352.49375785 15899.96981524
0.16500001 527899.45034260 15773.63632093
0.16600001 520501.75670791 20861.71139380
0.16700001 513159.18731705 12931.61213095
0.16800001 505872.23771669 17953.40656426
0.16900001 498644.19719392 16530.05591750
0.17000001 491472.30469541 15127.51825284
0.17100001 484358.38634682 19994.31513255
0.17200001 477302.56918612 13624.60248081
0.17300001 470305.08255664 14729.95588129
0.17400001 463367.43809426 14596.07498928
0.17500001 456488.42806549 16871.81309812
0.17600001 449666.98980204 13132.52505741
0.17700001 442908.04197907 15373.33886319
0.17800001 436208.06269513 15225.84314752
0.17900001 429568.32159482 17397.51784634
0.18000001 422990.07314674 17226.27154258
0.18100001 416473.61884292 15917.62246407
0.18200001 410015.40260702 12380.41566654
0.18300001 403621.25890608 11139.94727205
0.18400001 397287.22360820 13229.66517113
0.18500001 391015.58477842 12000.26886377
0.18600001 384805.78046476 11873.18291717
0.18700001 378657.26489493 13881.57598688
0.18800001 372570.82612126 12674.86010348
0.18900001 366548.38876850 12535.95548817
0.19000001 360584.25537813 10330.73940470
0.19100001 354687.43049521 12257.99817711
0.19200001 348849.13614023 11109.10126531
0.19300001 343075.97614875 10981.86251544
0.19400001 337364.33651889 14801.86096421
0.19500001 331715.68765848 11702.93001361
0.19600001 326128.24933362 9637.09022322
0.19700001 320604.29304194 9521.94795333
0.19800001 315142.63320011 11288.40965470
0.19900001 309744.22386637 15796.95616375
0.20000001 304406.25226400 10095.63383347
0.20100001 299132.54651515 15408.31819923
0.20200001 293919.37613556 8949.84542633
0.20300001 288769.39253731 13254.51574393
0.20400001 283681.24214265 10467.83832983
0.20500001 278654.34541263 9471.46164826
0.20600001 273689.79319783 12747.10272072
0.20700001 268786.45024887 8386.13764417
0.20800001 263944.39888462 13239.45167388
0.20900001 259165.99177255 8980.10203942
0.21000001 254445.86937625 9663.85457574
0.21100001 249787.12524588 9531.87714999
0.21200001 245188.85379562 8617.16267402
0.21300001 240651.09469273 9269.88060580
