# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 299.63713438
0.00100000 1664582.51729405 749.06215057
0.00200000 1664377.77106628 823.86702277
0.00300000 1664036.68824568 1098.26425337
0.00400000 1663559.11587170 1497.20326118
0.00500000 1662945.53236991 2244.97655756
0.00600000 1662195.65809279 2443.42771687
0.00700000 1661310.11771790 2990.35833617
0.00800000 1660288.43161301 3586.22316369
0.00900000 1659131.89965864 2986.43754705
0.01000000 1657839.64807446 3008.97909118
0.01100000 1656413.00682345 4174.16095894
0.01200000 1654851.34126649 4195.04833404
0.01300000 1653156.07677673 4513.11628865
0.01400000 1651326.50543438 5201.67872271
0.01500000 1649364.29888901 4354.32194296
0.01600000 1647268.37898417 5460.69492044
0.01700000 1645040.84968857 4885.77154274
0.01800000 1642681.24648740 5149.80593947
0.01900000 1640190.25089109 5904.68516964
0.02000000 1637568.59343614 7221.67782373
0.02100000 1634817.77241450 7013.36856163
0.02200000 1631936.10388019 8445.26972127
0.02300000 1628926.48565506 5864.13561528
0.02400000 1625788.63965992 7925.71997974
0.02500000 1622523.98842146 6960.62822822
0.02600000 1619132.69583720 6557.48771807
0.02700000 1615615.80700145 8142.70404023
0.02800000 1611973.13071857 9816.91681628
0.02900000 1608207.32498097 9408.01328310
0.03000000 1604318.55912655 7460.08164284
0.03100000 1600307.21420952 11522.21247248
0.03200000 1596174.18614400 9481.27510239
0.03300000 1591922.28921355 9742.56485912
0.03400000 1587549.48167802 9168.09867971
0.03500000 1583059.05972538 10258.22318073
0.03600000 1578450.94137108 10512.48375535
0.03700000 1573726.72655117 13455.36413429
0.03800000 1568887.83442355 11013.59310736
0.03900000 1563935.44423882 10321.97440999
0.04000000 1558868.51977470 13421.85857722
0.04100000 1553690.98471220 12724.72975479
0.04200000 1548403.03945819 11984.64008141
0.04300000 1543004.89431619 14257.36588528
0.04400000 1537500.12254537 18680.62735649
0.04500000 1531888.27542026 12684.03550984
0.04600000 1526169.82973907 13987.34713979
0.04700000 1520347.83932249 16419.75742833
0.04800000 1514422.59859704 12244.10727935
0.04900000 1508396.80258004 12444.27420054
0.05000000 1502269.79396548 14940.07379669
0.05100000 1496045.12522385 18670.64403255
