# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 274.66737318
0.00100000 1664582.53505935 699.12468133
0.00200000 1664377.84463844 898.76406456
0.00300000 1664036.84849125 1098.26435913
0.00400000 1663559.40428970 1372.43656069
0.00500000 1662945.98254808 1646.31658789
0.00600000 1662196.29478701 1919.83679864
0.00700000 1661311.00499112 2392.28794661
0.00800000 1660289.58597383 2913.80834640
0.00900000 1659133.35465527 3484.18019372
0.01000000 1657841.46489426 2735.43853519
0.01100000 1656415.18485781 2981.54746256
0.01200000 1654853.92851544 3549.66183230
0.01300000 1653159.12127119 3818.79773856
0.01400000 1651330.02339803 4458.59126083
0.01500000 1649368.34678902 4750.18105027
0.01600000 1647272.97486429 5880.76478316
0.01700000 1645046.00149470 6662.43660492
0.01800000 1642687.02541613 7022.48734965
0.01900000 1640196.73651113 5904.70851788
0.02000000 1637575.74883352 6190.03661060
0.02100000 1634825.64465598 8092.38730794
0.02200000 1631944.75473872 6193.23062561
0.02300000 1628935.91080036 7037.00345497
0.02400000 1625798.91230450 7925.77005888
0.02500000 1622535.11425713 11390.19702228
0.02600000 1619144.66073009 7869.04341106
0.02700000 1615628.74164071 6785.64102568
0.02800000 1611987.00989944 7713.35819610
0.02900000 1608222.21030090 9408.10036223
0.03000000 1604334.44943667 9698.20219263
0.03100000 1600324.17276007 8449.71202097
0.03200000 1596192.22833714 7901.15189418
0.03300000 1591941.46829163 9742.68223509
0.03400000 1587569.79716955 11668.63854759
0.03500000 1583080.57027816 9403.49902169
0.03600000 1578473.63436796 14892.89942852
0.03700000 1573750.63356238 10764.45483140
0.03800000 1568913.05043766 9178.14176982
0.03900000 1563961.97942742 10322.14954224
0.04000000 1558896.29834931 10545.93394702
0.04100000 1553720.15825505 12724.96868612
0.04200000 1548433.65249350 11984.87702631
0.04300000 1543036.88577141 15276.06587822
0.04400000 1537533.53072581 14529.69254015
0.04500000 1531923.11959614 10570.27001636
0.04600000 1526206.15845251 11835.72930901
0.04700000 1520385.72944119 14230.81108941
0.04800000 1514462.04052064 13357.55581889
0.04900000 1508437.87553496 19232.58380830
0.05000000 1502312.38144645 14940.49732921
0.05100000 1496089.28391725 11669.49695817
0.05200000 1489766.69869548 11843.64580656
0.05300000 1483350.02893367 15619.67653283
0.05400000 1476837.41821841 12183.90926848
0.05500000 1470233.04601398 18524.93724395
0.05600000 1463535.39003211 16267.19661930
0.05700000 1456749.27834747 17743.20703850
0.05800000 1449873.36150717 14114.51783331
0.05900000 1442909.76026965 14284.80729385
0.06000000 1435860.96475019 14451.94128539
0.06100000 1428728.64645872 17273.33014289
0.06200000 1421513.13720423 16119.95972940
0.06300000 1414217.80713786 17649.43905829
0.06400000 1406840.47787632 21946.71248125
0.06500000 1399387.73332573 18010.12097038
0.06600000 1391857.06467625 13988.16415448
0.06700000 1384251.65862528 19767.11461025
0.06800000 1376574.23334334 21371.31597303
0.06900000 1368825.70581628 24433.53999277
0.07000000 1361005.61350271 15944.18150883
0.07100000 1353118.79801606 21920.52555457
0.07200000 1345163.79643728 16202.49868712
0.07300000 1337145.99932214 19295.01767430
0.07400000 1329064.17462625 16447.16993178
0.07500000 1320920.72045208 15058.49691898
0.07600000 1312716.13783911 15161.87210284
0.07700000 1304455.56784484 15262.13085940
0.07800000 1296137.27353201 15359.22741164
0.07900000 1287763.47748550 18543.79494556
0.08000000 1279338.21634649 20207.14807513
0.08100000 1270860.98265931 21884.22714816
0.08200000 1262333.13132700 20430.86268925
0.08300000 1253757.75741036 20536.55303020
0.08400000 1245135.32025449 25400.76172547
0.08500000 1236469.67925309 17545.50557228
0.08600000 1227760.29041322 20828.95430481
0.08700000 1219009.99600716 19309.11924347
0.08800000 1210218.22632251 24234.62112026
