# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 249.69761198
0.00100000 1664582.54324352 549.31225232
0.00200000 1664377.87689824 898.76408198
0.00300000 1664036.92314309 1098.26440840
0.00400000 1663559.53365177 1247.66969765
0.00500000 1662946.17907427 2244.97743061
0.00600000 1662196.59813788 2094.36779892
0.00700000 1661311.40854551 2990.36065966
0.00800000 1660290.11926408 2465.53093120
0.00900000 1659134.01748616 2737.57124588
0.01000000 1657842.27774645 3008.98386404
0.01100000 1656416.17804578 3577.85910036
0.01200000 1654855.10494459 3226.96759612
0.01300000 1653160.50739889 3818.80094052
0.01400000 1651331.63722319 4087.04598331
0.01500000 1649370.18474651 4750.18634359
0.01600000 1647275.05907194 5460.71706494
0.01700000 1645048.38110935 5774.12007671
0.01800000 1642689.70943003 5149.83247079
0.01900000 1640199.67391893 6396.77901692
0.02000000 1637579.01723587 6190.04896516
0.02100000 1634829.24907161 5934.43044319
0.02200000 1631948.67491401 6193.24550267
0.02300000 1628940.21639171 7037.02205513
0.02400000 1625803.61369298 6706.44021228
0.02500000 1622540.19123564 6960.69773830
0.02600000 1619150.16979277 9180.58188263
0.02700000 1615634.67375144 10178.49891082
0.02800000 1611993.35864893 7713.38857487
0.02900000 1608229.01992380 7960.73401413
0.03000000 1604341.74920846 8206.20842440
0.03100000 1600331.96805012 9217.91256011
0.03200000 1596200.50273548 7901.19285245
0.03300000 1591950.29663087 13802.20970808
0.03400000 1587579.07552947 11668.70674354
0.03500000 1583090.44364140 8548.68879043
0.03600000 1578484.05156854 8760.58689106
0.03700000 1573761.64938225 11661.57436124
0.03800000 1568924.66313603 9178.20970411
0.03900000 1563974.22461667 11260.61493872
0.04000000 1558909.20123807 9587.29203188
0.04100000 1553733.67365197 10767.37485765
0.04200000 1548447.79859726 12983.73539359
0.04300000 1543051.73193126 13239.38447452
0.04400000 1537549.05207431 13491.99355855
0.04500000 1531939.35551644 13741.49665748
0.04600000 1526223.08211139 15063.82252071
0.04700000 1520403.40759762 13136.28605258
0.04800000 1514480.41079000 14470.86099840
0.04900000 1508456.99010688 11313.42795241
0.05000000 1502332.25130241 12642.12648340
0.05100000 1496110.02341127 12836.62459885
0.05200000 1489788.12559909 21318.86907081
0.05300000 1483372.21030357 12015.31546359
0.05400000 1476860.56893319 14620.92031427
0.05500000 1470257.03072577 14820.19156107
0.05600000 1463560.16456661 13764.78399007
0.05700000 1456774.92239417 15208.73089972
0.05800000 1449899.89525035 15397.93760653
0.05900000 1442937.11453111 19479.65195598
0.06000000 1435889.34741663 19707.58221401
0.06100000 1428757.87959539 15944.93868141
0.06200000 1421543.31074198 16120.30189733
0.06300000 1414248.84809305 21722.86332237
0.06400000 1406872.40464802 15088.70724550
0.06500000 1399420.61961920 16625.11773876
0.06600000 1391890.88828365 18185.05530628
0.06700000 1384286.49127034 24003.52888197
0.06800000 1376610.13291421 17097.49865111
0.06900000 1368862.54021588 17247.66881424
0.07000000 1361043.50712074 15944.62543258
0.07100000 1353157.61439219 16075.51321192
0.07200000 1345203.71547148 16202.97951191
0.07300000 1337186.86468861 19295.60736156
0.07400000 1329106.17566381 14952.44517695
0.07500000 1320963.79837868 16564.88680811
0.07600000 1312760.32624166 25776.05021415
0.07700000 1304500.76076752 16788.92557829
0.07800000 1296183.59730110 15359.77634833
0.07900000 1287810.94876916 20089.85174309
0.08000000 1279386.60054590 23316.82188877
0.08100000 1270910.54203673 20321.86052063
0.08200000 1262383.90564094 20431.68447156
0.08300000 1253809.60429766 20537.40228226
0.08400000 1245188.30756103 22226.61233325
0.08500000 1236523.92103091 20736.50712917
0.08600000 1227815.62136261 24034.49191663
0.08700000 1219066.49481303 19310.01418459
0.08800000 1210275.88464107 19388.62058251
0.08900000 1201449.65763398 16219.57113989
0.09000000 1192586.48208123 19534.56749414
0.09100000 1183688.98190380 19601.89046125
0.09200000 1174757.94390209 16387.87408745
0.09300000 1165796.87222434 23012.83133913
0.09400000 1156804.36552360 18132.90928178
0.09500000 1147784.33463795 19833.71423478
0.09600000 1138738.11669560 18225.50441445
0.09700000 1129668.59266011 23248.58072993
0.09800000 1120576.33462800 19968.67122195
0.09900000 1111463.41525376 16671.95201276
0.10000000 1102329.50126973 26720.46836737
0.10100000 1093177.43247441 18398.17705384
0.10200000 1084009.54819878 16747.94830743
0.10300000 1074826.44678524 26827.66937375
0.10400000 1065630.92600749 23497.16302389
0.10500000 1056425.43733536 23516.03134150
0.10600001 1047206.90899905 16807.67168030
0.10700001 1037982.31438020 26904.50285480
0.10800001 1028749.38162796 18502.05849932
0.10900001 1019511.92369512 21868.53179252
0.11000001 1010270.43272025 28595.70594413
0.11100001 1001026.81806058 18498.97646857
0.11200001 991783.63986372 25216.10023064
0.11300001 982539.25923724 18481.56433638
0.11400001 973298.74723346 16789.40418030
0.11500001 964062.12332454 21807.08625645
0.11600001 954830.31489011 21784.45466008
0.11700001 945606.20729502 16737.23065736
0.11800001 936388.43362727 26743.25492396
0.11900001 927180.87132279 20027.10776388
0.12000001 917983.92297820 28324.39527771
0.12100001 908800.77649588 18294.16049267
0.12200001 899629.97657528 19917.80861973
0.12300001 890475.19462350 28156.82698059
0.12400001 881335.97497787 19830.06037134
0.12500001 872214.36064838 18133.33741233
0.12600001 863113.65452047 24663.47384015
0.12700001 854032.64207407 18037.17025063
0.12800001 844972.33637247 17985.23702732
0.12900001 835935.26599506 22821.03383727
0.13000001 826922.43616627 17873.92930022
0.13100001 817933.89003782 25912.14685784
0.13200001 808973.07155792 22594.61895373
0.13300001 800040.89155444 17688.90494618
0.13400001 791136.13856278 17622.55831731
0.13500001 782262.28236252 17553.96644385
0.13600001 773418.61677019 17483.12865643
0.13700001 764608.36916105 22158.35158313
0.13800001 755829.79575208 17334.95718302
0.13900001 747088.12744327 17257.73655778
