# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 345.79990640
0.00100000 1646598.61082509 543.37755448
0.00200000 1646395.72082252 963.14152718
0.00300000 1646057.73461937 1086.39814355
0.00400000 1645584.49836973 1234.18842067
0.00500000 1644976.46511332 1480.47887720
0.00600000 1644233.40728640 2417.02320711
0.00700000 1643355.91781319 2760.83805667
0.00800000 1642343.49171795 2438.88018817
0.00900000 1641197.44714598 2707.97590355
0.01000000 1639916.93950968 3517.62198714
0.01100000 1638503.24764562 2949.30597417
0.01200000 1636955.77769096 3830.47668774
0.01300000 1635275.92501242 3434.07959399
0.01400000 1633462.97430494 4410.35022614
0.01500000 1631518.57413333 5873.46712842
0.01600000 1629441.73012661 5817.10723660
0.01700000 1627234.43677314 5272.23981165
0.01800000 1624896.33072053 4630.95475094
0.01900000 1622428.01770885 6327.46955458
0.02000000 1619830.23828302 7653.69822211
0.02100000 1617104.44745919 6403.73390227
0.02200000 1614249.03384221 6682.99130373
0.02300000 1611266.80496862 8120.78506669
0.02400000 1608157.64488921 7236.70973198
0.02500000 1604922.72230982 6885.11879316
0.02600000 1601562.40478051 6486.32803603
0.02700000 1598077.63475070 9396.69692271
0.02800000 1594468.21426307 9016.71816516
0.02900000 1590736.83438981 8589.97930011
0.03000000 1586883.65161261 9592.71211493
0.03100000 1582909.05411054 9117.55657120
0.03200000 1578813.81222278 10159.66734959
0.03300000 1574600.89074914 8030.46491303
0.03400000 1570268.13266603 12365.86211531
0.03500000 1565818.97518521 9300.96514210
0.03600000 1561253.13519966 12130.93742112
0.03700000 1556572.32899819 10646.95522274
0.03800000 1551777.93698644 11801.27175694
0.03900000 1546871.11980365 11137.47257836
0.04000000 1541850.82622891 12327.09792693
0.04100000 1536720.98928023 9681.34268136
0.04200000 1531481.78362531 14817.08694398
0.04300000 1526133.46564226 10072.48134078
0.04400000 1520679.52626567 14370.42219060
0.04500000 1515119.56997150 15681.48827784
0.04600000 1509454.00709761 10641.65124474
0.04700000 1503685.97064520 14074.50133981
0.04800000 1497815.62620118 13210.73443776
0.04900000 1491845.75069678 16783.26547656
0.05000000 1485775.52340398 12502.80161165
0.05100000 1479608.70474374 13849.13812155
0.05200000 1473343.13399132 16398.30984551
0.05300000 1466984.65053946 13070.83384564
0.05400000 1460531.10043441 18074.07321074
0.05500000 1453986.63744506 13434.83715672
0.05600000 1447349.78208731 13612.32533574
0.05700000 1440625.36990626 12533.44130323
0.05800000 1433812.06958551 16496.00863082
0.05900000 1426911.90935929 12842.20778404
0.06000000 1419927.55930440 19488.50666193
0.06100000 1412860.34451177 13139.60181799
0.06200000 1405710.78370920 18597.55453779
0.06300000 1398482.22234359 16110.51595465
0.06400000 1391172.43846072 14920.32510027
0.06500000 1383788.16112068 15069.45377952
0.06600000 1376326.67907869 16598.50052631
0.06700000 1368791.23669298 18150.17264796
0.06800000 1361184.60863479 16905.91363059
0.06900000 1353507.40246766 15633.01123042
0.07000000 1345759.56613761 15765.57405558
0.07100000 1337945.68636971 15894.79549855
0.07200000 1330064.45063425 17477.04770008
0.07300000 1322120.91981935 17610.65147715
0.07400000 1314114.23922262 23654.05741453
0.07500000 1306046.64132535 19355.61213169
0.07600000 1297918.52180079 14990.95962958
0.07700000 1289734.98762509 16598.89006903
0.07800000 1281494.51540643 19741.42393563
0.07900000 1273199.04065422 24445.42272714
0.08000000 1264852.57152260 27662.32703687
0.08100000 1256454.83840799 16999.83476126
0.08200000 1248007.33710297 15537.69207604
0.08300000 1239512.51704145 20303.21598201
0.08400000 1230971.47174401 17264.37570158
0.08500000 1222387.68479002 18922.56224887
0.08600000 1213760.59670166 19007.49183678
0.08700000 1205093.43404008 17497.95748393
0.08800000 1196384.99846763 22360.43667149
0.08900000 1187641.42659173 20843.10801568
0.09000000 1178861.55645363 20918.89930195
0.09100000 1170047.82550544 19375.99290068
0.09200000 1161200.99307869 16198.75461457
0.09300000 1152324.48360020 19497.33117874
0.09400000 1143416.96750311 16293.69255268
0.09500000 1134482.38954029 19603.85661269
0.09600000 1125522.15033500 18013.98286291
0.09700000 1116538.78658931 18054.43302794
0.09800000 1107533.08803645 18091.55384370
0.09900000 1098507.14884511 19773.12960899
0.10000000 1089460.64050926 19806.39537590
0.10100000 1080396.22863813 16530.06307560
0.10200000 1071316.27691064 16551.83725681
0.10300000 1062221.41813734 21541.85137317
0.10400000 1053114.52933856 21562.52100262
0.10500000 1043997.99088603 19919.48260330
0.10600001 1034868.40399227 18270.60253218
0.10700001 1025733.40105539 18278.57006695
0.10800001 1016590.05335725 16621.24815462
0.10900001 1007442.55265286 19947.36348136
0.11000001 998291.07309053 19945.85657919
0.11100001 989137.73811775 21602.76921741
0.11200001 979985.14628437 19932.89881381
0.11300001 970831.54877528 16601.22026566
0.11400001 961681.84381501 18247.91384558
0.11500001 952536.15916441 24861.19492485
0.11600001 943395.46791070 19867.90948981
0.11700001 934262.73441692 19843.74141356
0.11800001 925136.18978160 21467.78629498
0.11900001 916020.14399928 19786.03604234
0.12000001 906914.92521251 21398.65866837
0.12100001 897823.34485683 18073.18478336
0.12200001 888744.22980544 24595.99771861
0.12300001 879681.14734081 17998.27712257
0.12400001 870633.67931390 17956.82048193
0.12500001 861604.01233470 21169.61158059
0.12600001 852595.05891871 16241.93663778
0.12700001 843606.08490936 17816.96135293
0.12800001 834637.48206405 25840.37766254
0.12900001 825692.42619796 24151.50460460
0.13000001 816771.30264941 22469.37959498
0.13100001 807874.59440344 19195.10126784
0.13200001 799005.39603650 19128.19008282
0.13300001 790164.98004637 30176.40201058
0.13400001 781351.83576327 17404.61296218
0.13500001 772569.56019416 22064.58767945
0.13600001 763817.26100464 17266.08999912
0.13700001 755098.11571521 20319.69125204
0.13800001 746410.81242727 18675.19940757
0.13900001 737760.07270288 23239.44338607
0.14000001 729143.35356648 18505.65918626
0.14100001 720563.26378723 21487.19753954
0.14200001 712019.65991083 16800.10466798
0.14300001 703516.98118905 21274.35451462
0.14400001 695049.60072017 18140.79543450
0.14500001 686626.22688299 15037.11507807
0.14600001 678241.39267093 19441.79043807
0.14700001 669901.99445670 16359.00747639
0.14800001 661602.84895766 20701.55412056
0.14900001 653347.45327555 22050.47758841
0.15000001 645137.18302849 16073.59367355
0.15100001 636972.98081541 17427.58157743
0.15200001 628855.34487252 20205.12318417
0.15300001 620785.03932084 21510.20262751
0.15400001 612760.58822102 17096.02121815
0.15500001 604786.67558503 14152.00887657
0.15600001 596859.74240765 23895.28091503
0.15700001 588986.81628013 13958.98820466
0.15800001 581159.92523950 19404.93081963
0.15900001 573387.42287076 16513.55855813
0.16000001 565664.47174874 19125.11669258
0.16100001 557997.20478825 16271.19925970
0.16200001 550380.95059315 18839.54082814
0.16300001 542819.77059682 18694.71378189
0.16400001 535312.37955341 15898.77842331
0.16500001 527860.24578655 18401.20903686
0.16600001 520463.49125081 13037.61107138
