# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097189 328.13292544
0.00100000 1682664.04946554 706.71891756
0.00200000 1682457.28649175 1135.65870434
0.00300000 1682112.83864675 1917.60870437
0.00400000 1681630.55763846 1387.34526277
0.00500000 1681010.93210467 1815.49187853
0.00600000 1680253.66064832 1940.69305706
0.00700000 1679359.41234950 2015.23137857
0.00800000 1678327.64888156 2718.89090598
0.00900000 1677159.69515989 2767.31361531
0.01000000 1675854.72399444 2765.16041399
0.01100000 1674414.00044680 3918.12893164
0.01200000 1672836.94902485 5871.65794851
0.01300000 1671124.98506266 3509.36262341
0.01400000 1669277.34875086 5258.22388167
0.01500000 1667295.81097042 5201.96316187
0.01600000 1665179.19518814 4246.20713755
0.01700000 1662929.70842981 6285.87457984
0.01800000 1660546.82886388 6152.32627778
0.01900000 1658031.27877904 6466.32227902
0.02000000 1655383.74562158 6778.79674496
0.02100000 1652605.79994664 6544.31926450
0.02200000 1649695.73313518 6829.74064547
0.02300000 1646656.33117152 7113.55567446
0.02400000 1643487.55666274 7395.69434221
0.02500000 1640190.67387145 9595.11588036
0.02600000 1636765.86052355 6628.90203831
0.02700000 1633214.28339224 9603.30042619
0.02800000 1629535.64531644 12050.41664974
0.02900000 1625732.61138598 10973.69563070
0.03000000 1621805.47410126 7541.39580121
0.03100000 1617754.51209830 10094.78861999
0.03200000 1613580.56541869 11182.11383338
0.03300000 1609286.69081892 9028.09875169
0.03400000 1604870.61193989 10110.68532173
0.03500000 1600335.94378320 10370.17739459
0.03600000 1595682.15498824 9741.64000640
0.03700000 1590911.23540512 10881.83335343
0.03800000 1586024.44665328 11133.89213078
0.03900000 1581023.16669887 10434.75338345
0.04000000 1575906.07571867 11630.18737773
0.04100000 1570677.27853367 10884.79404493
0.04200000 1565337.05556207 11106.06692446
0.04300000 1559885.52197509 12354.29390750
0.04400000 1554326.12794577 11540.87203598
0.04500000 1548658.66486169 12822.89434087
0.04600000 1542883.59063666 11965.06280161
0.04700000 1537003.93642826 13279.71462835
0.04800000 1531019.95229110 12378.29689021
0.04900000 1524934.45103571 11437.00891513
0.05000000 1518746.68224346 13942.09519222
0.05100000 1512460.28042464 11797.19073687
0.05200000 1506073.25176988 13170.61120049
0.05300000 1499591.10690207 19434.70165146
0.05400000 1493012.28726388 16012.55752763
0.05500000 1486340.66614655 12485.26217806
0.05600000 1479574.61580662 12650.36355547
0.05700000 1472719.41061456 14093.92541746
0.05800000 1465773.39056595 14269.30462343
0.05900000 1458738.55850469 15754.37716767
0.06000000 1451618.02770904 18595.22780370
0.06100000 1444412.96252511 16119.64941507
0.06200000 1437123.83033043 16296.98499773
0.06300000 1429753.89333004 20588.45702657
0.06400000 1422301.26229551 13867.43795592
0.06500000 1414772.28828819 23810.61872570
0.06600000 1407164.66682967 18384.60723232
0.06700000 1399481.48282489 17129.65415143
0.06800000 1391725.69276638 17285.23391326
0.06900000 1383897.76747091 17437.11268652
0.07000000 1375997.66918794 20516.12620833
0.07100000 1368029.97811190 20684.61423787
0.07200000 1359993.79987768 16381.12608693
0.07300000 1351893.80726062 21008.43074919
0.07400000 1343729.27838271 16628.65059927
0.07500000 1335502.46628725 18269.67459515
0.07600000 1327213.87520009 19928.11727037
0.07700000 1318868.44280409 16973.83765477
0.07800000 1310464.88951474 21740.61353660
0.07900000 1302005.28165053 20311.28334642
0.08000000 1293493.31912793 17287.53902112
0.08100000 1284929.17911703 17385.09260913
0.08200000 1276313.85012155 22246.15145152
0.08300000 1267650.45364425 22361.35505175
0.08400000 1258939.21376088 22472.06602044
0.08500000 1250184.66270055 20965.59777772
0.08600000 1241385.63638792 24300.12497322
0.08700000 1232545.34401793 17896.55923552
0.08800000 1223663.14104725 17969.49407019
0.08900000 1214744.96426483 19678.86934540
0.09000000 1205789.33919316 16459.02525316
0.09100000 1196798.83849873 24773.73712082
0.09200000 1187774.61849222 19883.34804781
0.09300000 1178720.09838623 21605.94041873
0.09400000 1169633.63553981 16667.28008976
0.09500000 1160519.37746636 23396.07174940
0.09600000 1151378.44784444 21778.32436473
0.09700000 1142214.16674826 16790.54904057
0.09800000 1133026.87864652 21873.08492069
0.09900000 1123818.53634254 23600.19037293
0.10000000 1114588.85041429 21951.82844124
0.10100000 1105341.03260171 20294.06231303
0.10200000 1096077.24953475 20321.27316221
0.10300000 1086797.81902256 16954.04677428
0.10400000 1077505.81300200 18667.78908849
0.10500000 1068203.93808431 16984.44341465
0.10600001 1058888.64636199 18694.67993117
0.10700001 1049567.04942944 18703.28570097
0.10800001 1040237.22172770 27212.60700107
0.10900001 1030902.69425375 20411.87430692
0.11000001 1021564.29521457 23812.66484230
0.11100001 1012223.48413359 28909.10406770
0.11200001 1002882.87659312 18698.75211436
0.11300001 993541.36609643 27183.29305621
0.11400001 984203.58403869 20373.01514885
0.11500001 974869.64877280 22051.55249360
0.11600001 965540.61364149 18639.76242412
0.11700001 956219.30918737 27080.13211152
0.11800001 946904.50714574 18592.47087348
0.11900001 937599.81716333 23627.51650541
0.12000001 928305.81205178 18533.62641064
0.12100001 919025.92880452 18499.99281833
0.12200001 909758.06527917 18463.54080468
0.12300001 900506.72084384 20099.31095620
0.12400001 891270.89142221 18382.46300172
0.12500001 882053.00597689 26673.28415760
0.12600001 872855.99664058 16627.90751957
0.12700001 863678.87521110 16582.63518553
0.12800001 854522.64246638 18188.51530211
0.12900001 845389.87212248 21430.63426838
0.13000001 836281.78497554 27935.99434387
0.13100001 827197.98132547 19654.22496275
0.13200001 818142.20312211 24482.90658256
0.13300001 809115.36859485 22768.50754563
0.13400001 800116.11968789 27543.99871883
0.13500001 791148.06509922 20981.24767566
0.13600001 782210.60515776 16074.42869391
0.13700001 773306.78450944 24011.17679122
0.13800001 764434.91047887 22313.85608910
0.13900001 755600.40227500 22214.65287449
0.14000001 746799.96445672 28430.67598767
0.14100001 738037.22269545 17292.21294331
0.14200001 729311.13534633 26594.33180473
