# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 349.57665678
0.00100000 1664582.18960392 499.37466874
0.00200000 1664376.45615503 1123.45414348
0.00300000 1664033.73306353 1397.78838557
0.00400000 1663553.86339868 1372.43198945
0.00500000 1662937.34070476 2244.96549881
0.00600000 1662183.85367815 2268.88105264
0.00700000 1661294.07832823 2790.97416759
0.00800000 1660267.46936703 3586.17788524
0.00900000 1659105.40974538 2986.38986520
0.01000000 1657806.96497756 3282.45793239
0.01100000 1656373.48175692 3279.61963667
0.01200000 1654804.35706968 3549.55550154
0.01300000 1653100.99331693 4165.81468689
0.01400000 1651262.64883426 5944.54579933
0.01500000 1649291.13154759 5145.78855956
0.01600000 1647185.23369089 5880.45154715
0.01700000 1644947.08993080 6662.03601307
0.01800000 1642576.28374087 7022.01392897
0.01900000 1640073.51069814 5412.24282952
0.02000000 1637439.42099606 5157.93440946
0.02100000 1634675.64467623 5933.87285921
0.02200000 1631780.38797825 11259.28518859
0.02300000 1628756.62190683 5863.52410576
0.02400000 1625604.02869743 6096.01538558
0.02500000 1622324.09095708 8857.88994117
0.02600000 1618916.96902504 7212.27542688
0.02700000 1615383.65867281 8819.99518032
0.02800000 1611724.04750193 8413.19991379
0.02900000 1607940.69656322 9406.45350678
0.03000000 1604034.03095818 9696.38616284
0.03100000 1600004.13978497 13056.03438139
0.03200000 1595852.11196943 8689.41514989
0.03300000 1591580.62404281 8928.76771250
0.03400000 1587187.87588285 9999.28407943
0.03500000 1582676.94218977 9401.10147073
0.03600000 1578047.89470730 11385.61608649
0.03700000 1573302.33410694 15245.30032255
0.03800000 1568441.48693001 11927.99806013
0.03900000 1563466.83690535 15009.28232937
0.04000000 1558377.19878752 13417.62830332
0.04100000 1553176.57099133 12720.51670623
0.04200000 1547865.09083853 10982.10332899
0.04300000 1542443.00664850 10180.12431642
0.04400000 1536913.98302897 13486.42082741
0.04500000 1531277.54902621 11622.39713714
0.04600000 1525534.04581897 13981.52017989
0.04700000 1519686.72648135 10941.74493954
0.04800000 1513735.71404063 12238.55381746
0.04900000 1507683.97476258 11307.63033706
0.05000000 1501530.71259103 12635.38153483
0.05100000 1495279.34779078 11663.17945609
0.05200000 1488928.23042028 11836.97998346
0.05300000 1482482.83905244 13208.92271173
0.05400000 1475941.22580973 15829.47038500
0.05500000 1469307.54875812 12342.18398532
0.05600000 1462580.20683204 16256.57975754
0.05700000 1455764.37609812 13931.66572957
0.05800000 1448858.43848272 15386.87733514
0.05900000 1441864.57701770 18167.49451895
0.06000000 1434785.28100132 14441.11452795
0.06100000 1427622.34622307 14604.57728435
0.06200000 1420376.26738059 13422.55635416
0.06300000 1413050.10160555 17634.86609256
0.06400000 1405641.75689459 19187.01087892
0.06500000 1398157.69919725 15225.93805649
0.06600000 1390595.75575454 15373.03679915
0.06700000 1382959.11303043 18338.03869698
0.06800000 1375250.26896284 15657.22504504
0.06900000 1367470.35937796 20101.81522400
0.07000000 1359618.80272301 15927.93501978
0.07100000 1351700.43438806 14598.36537515
0.07200000 1343713.92102626 16185.03493698
0.07300000 1335664.47030445 23721.40210409
0.07400000 1327551.11308913 20908.93101103
0.07500000 1319376.27406405 18049.06827520
0.07600000 1311140.32350483 22715.50716964
0.07700000 1302848.40368862 16767.65974168
0.07800000 1294498.85447050 19941.75578831
0.07900000 1286093.77390989 16976.43861187
0.08000000 1277637.36745955 17075.62421713
0.08100000 1269129.08529499 17171.31732969
0.08200000 1260570.54275706 26679.97678942
0.08300000 1251964.36190453 15774.75170034
0.08400000 1243311.43786539 20607.88804993
0.08500000 1234615.44341699 19111.84796130
0.08600000 1225875.75611369 17597.44730524
0.08700000 1217095.79635275 17672.23179289
0.08800000 1208274.33896443 19356.55581927
0.08900000 1199417.35356110 22668.98904706
0.09000000 1190523.63563381 19500.77806774
0.09100000 1181595.97271688 24459.03778435
0.09200000 1172635.07485872 21265.73808177
0.09300000 1163644.48137247 18048.12675421
0.09400000 1154622.53558691 16453.37190538
0.09500000 1145573.61698081 19795.51303187
0.09600000 1136498.75538173 23150.48073538
0.09700000 1127400.85633890 19887.35204078
0.09800000 1118280.49250813 16606.46609454
0.09900000 1109139.93766696 21628.22980152
0.10000000 1099978.87793568 19997.61694130
0.10100000 1090799.82674985 21696.00957446
0.10200000 1081605.34076658 21724.04429112
0.10300000 1072396.10815768 25094.07011133
0.10400000 1063174.88384459 23443.00729165
0.10500000 1053944.35778778 21785.03090045
0.10600001 1044700.79446115 21797.68310209
0.10700001 1035452.20214469 18451.75911052
0.10800001 1026195.05229427 26845.26383140
0.10900001 1016934.35892273 18457.35948316
0.11000001 1007669.94014407 18455.47582243
0.11100001 998403.89581890 25159.77935899
0.11200001 989138.72030814 18442.49230836
0.11300001 979872.98895235 20106.99467996
0.11400001 970611.56598380 18417.35533171
0.11500001 961354.64889937 26764.11468563
0.11600001 952102.96463688 18380.34859787
0.11700001 942859.65680316 26701.78673818
0.11800001 933622.86467128 18331.68581121
0.11900001 924397.51090325 19966.98717599
0.12000001 915182.88500583 21593.74118888
0.12100001 905982.78001766 19895.38278642
0.12200001 896795.67426484 21509.64526059
0.12300001 887624.74112838 19811.78515541
0.12400001 878470.20250477 21412.71219497
0.12500001 869334.23191482 18073.45953314
0.12600001 860219.27115093 26219.48462023
0.12700001 851124.93031762 17975.75937544
0.12800001 842051.66820502 17923.07060244
0.12900001 833002.69411011 24365.32995111
0.13000001 823978.34450281 21048.52780244
0.13100001 814979.06688777 22591.22079903
0.13200001 806008.15057243 19295.83603432
0.13300001 797066.25447949 17623.13571735
0.13400001 788152.54627758 15960.08981457
0.13500001 779270.45705600 19076.54168816
0.13600001 770419.27614799 22164.96361987
0.13700001 761601.92701865 23647.74094900
0.13800001 752817.04394724 20405.10693841
0.13900001 744069.74524862 15625.46538709
0.14000001 735357.06366053 27995.04473382
0.14100001 726682.10044838 17026.16241651
0.14200001 718044.22326251 20022.66411005
0.14300001 709448.32415810 19921.30988200
0.14400001 700888.40906735 22866.48542443
0.14500001 692373.46607458 19711.87350899
0.14600001 683898.13092695 22619.93174749
0.14700001 675468.62818859 16494.94467854
0.14800001 667080.54800100 17891.10114147
0.14900001 658737.15149856 16303.74526881
0.15000001 650440.02192414 20625.45406838
0.15100001 642189.33416897 17570.30101192
0.15200001 633986.59532945 17459.99165926
0.15300001 625831.86990878 15902.38856480
0.15400001 617724.14867586 18670.71327482
0.15500001 609667.77056660 18546.09445588
0.15600001 601659.65642560 21253.62836630
0.15700001 593706.21822907 23920.42466142
0.15800001 585799.68324922 15368.45541541
0.15900001 577948.71510115 15257.84679885
0.16000001 570148.14295955 24784.34094433
0.16100001 562404.58174670 15033.07517971
0.16200001 554712.77883895 20344.09212428
0.16300001 547077.01679518 14803.90477334
0.16400001 539496.00293265 18693.53738413
0.16500001 531971.42552288 19869.13368133
0.16600001 524502.86663238 15766.55691536
0.16700001 517090.74852452 15636.82497367
0.16800001 509735.08667643 12921.78505737
0.16900001 502439.50992166 17937.09135116
0.17000001 495201.23424283 15242.29470973
0.17100001 488021.68562126 15109.15210031
0.17200001 480901.52863140 13727.33478303
0.17300001 473840.67864105 17314.13921520
0.17400001 466840.54674094 18381.84739603
0.17500001 459900.08074956 18212.04405779
0.17600001 453018.21896439 16838.68799418
0.17700001 446199.97074320 11913.53978153
0.17800001 439441.65980572 14158.81094769
0.17900001 432744.67169122 14020.92802505
0.18000001 426110.06264250 17353.33312080
0.18100001 419538.41332129 12598.73914716
0.18200001 413026.10290459 13605.08047235
0.18300001 406578.66067908 12343.72872133
0.18400001 400192.31021106 14436.93827288
0.18500001 393869.60714559 13186.75507020
0.18600001 387609.43143597 19570.40111778
0.18700001 381411.83094299 11831.39555482
0.18800001 375277.01753959 12766.92473988
0.18900001 369207.43499976 11574.65363412
0.19000001 363196.98289868 12486.71286204
0.19100001 357254.83196038 12346.72757593
0.19200001 351372.47616360 11189.45703215
0.19300001 345555.86974369 12066.81154164
0.19400001 339801.64435135 11927.03828033
0.19500001 334111.40128689 11787.45079442
0.19600001 328483.65550458 9706.69247886
0.19700001 322919.97265042 12467.94073324
0.19800001 317419.69852960 13264.96982844
0.19900001 311983.53361084 11231.40774079
0.20000001 306608.71513496 12941.95447750
0.20100001 301298.84605486 10955.22656032
0.20200001 296050.90492999 11719.17562554
0.20300001 290866.61887759 9790.57085417
0.20400001 285745.32866137 13180.00390747
0.20500001 280685.76740381 9540.50968501
0.20600001 275689.62851078 10272.19604386
0.20700001 270755.45638913 12671.35595797
0.20800001 265883.67684353 10836.08976198
0.20900001 261075.95845426 8223.89308006
0.21000001 256327.69281602 11357.88060559
0.21100001 251641.40231628 8802.41666914
0.21200001 247016.54982079 9470.61496785
0.21300001 242452.96760142 8561.01469073
0.21400001 237951.12278535 9208.70888715
0.21500001 233510.72123056 10592.04681578
0.21600001 229128.99347616 9695.59381734
0.21700001 224808.47590900 9556.60876272
0.21800001 220547.82151465 7969.49590723
0.21900001 216345.83730338 7853.35426543
0.22000001 212203.06240845 7737.98503660
0.22100001 208121.53857360 6930.44756220
0.22200001 204097.66678713 7509.77400453
0.22300001 200132.09401817 8741.77028007
0.22400001 196222.92266274 9271.53353423
0.22500001 192374.66606917 8477.95193457
0.22600001 188581.80572972 8989.69510424
0.22700001 184847.18535129 8218.30624935
0.22800001 181168.50139321 9334.70747572
0.22900001 177545.71227398 7350.39283575
0.23000001 173979.19174035 6631.21720679
0.23100001 170469.77568789 8305.28786429
0.23200001 167013.46563005 8171.96925976
0.23300001 163613.23399357 7465.67222021
0.23400001 160267.23689723 7344.24647816
0.23500001 156974.02495971 6668.25689567
0.23600001 153735.37776750 7104.88081956
0.23700001 150549.70335122 6449.54959662
0.23800001 147416.65053199 5284.88717154
0.23900001 144336.20729156 8313.76593323
0.24000001 141307.17603676 5619.08012089
0.24100001 138331.00791429 6025.69898977
0.24200001 135404.87970400 5922.60971840
0.24300001 132529.66186094 4850.58585356
0.24400001 129703.90389712 4766.61869370
0.24500001 126928.33234092 5152.02125343
0.24600001 124202.18128304 5522.02924106
0.24700001 121525.27686584 6781.11076990
0.24800001 118895.76083476 7549.28669133
0.24900001 116314.10006502 5670.31264642
0.25000001 113780.35920514 5140.59687208
0.25100001 111292.95073959 4627.56111068
0.25200001 108853.19012664 4130.97876074
0.25300001 106459.53693143 4056.10854898
0.25400001 104110.49421705 4380.44925143
0.25500001 101806.91233798 4691.26274249
0.25600001 99548.12377358  5372.61249425
0.25700001 97333.32047862  5650.19952111
0.25800001 95162.09154567  4436.45691777
0.25900001 93034.44132208  3991.17772156
0.26000001 90949.96960326  3916.76062629
0.26100001 88905.67492501  4192.79182785
0.26200001 86905.65168810  4114.11374558
0.26300001 84945.50708765  5382.14758374
0.26400001 83025.95073515  3630.30986767
0.26500001 81147.75058529  3237.79540156
0.26600001 79308.46879904  3176.30432570
0.26700001 77509.63296860  3427.47613206
0.26800001 75749.43397320  4584.73470818
0.26900001 74027.04710492  3897.52421451
0.27000001 72343.27597961  3822.98060005
0.27100001 70696.91817663  3461.32127773
0.27200001 69087.92621279  3960.81099722
