# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 349.57665678
0.00100000 1664582.18339841 699.12453363
0.00200000 1664376.43191408 973.66024350
0.00300000 1664033.67835137 1397.78833961
0.00400000 1663553.77477705 1497.19845419
0.00500000 1662937.19286258 1646.30788610
0.00600000 1662183.63219831 2268.88075032
0.00700000 1661293.79513512 2990.32895552
0.00800000 1660267.08827711 2689.63279657
0.00900000 1659104.91665897 2488.65748137
0.01000000 1657806.37963023 3282.45677340
0.01100000 1656372.75104444 3577.76529803
0.01200000 1654803.51463470 3226.86699502
0.01300000 1653100.01450009 5207.26527534
0.01400000 1651261.48887743 5944.54162349
0.01500000 1649289.78495573 5541.61392421
0.01600000 1647183.74215036 5460.41434933
0.01700000 1644945.38878748 5329.62329875
0.01800000 1642574.37049230 5149.47088321
0.01900000 1640071.40139821 5412.23586883
0.02000000 1637437.07326144 6189.51241691
0.02100000 1634673.08500527 5394.42142509
0.02200000 1631777.58945974 5629.63293940
0.02300000 1628753.52247431 7036.21553737
0.02400000 1625600.68123363 7924.80368237
0.02500000 1622320.44854399 8225.16504977
0.02600000 1618913.01583101 11146.21662381
0.02700000 1615379.41533185 8819.97201168
0.02800000 1611719.51273248 8413.17624229
0.02900000 1607935.84343238 10853.56744150
0.03000000 1604028.83306577 8950.48129992
0.03100000 1599998.58775612 9215.99228953
0.03200000 1595846.17003331 10269.27057715
0.03300000 1591574.33417149 8928.73242632
0.03400000 1587181.24007478 12499.05284230
0.03500000 1582669.97042257 11964.98552891
0.03600000 1578040.49465112 9633.93766507
0.03700000 1573294.53042042 11658.11300957
0.03800000 1568433.24456034 9175.33490531
0.03900000 1563458.21373616 13133.04960358
0.04000000 1558368.16636324 13417.55053414
0.04100000 1553167.02014569 10763.44794867
0.04200000 1547855.10616324 12978.76566730
0.04300000 1542432.56466771 12216.06647921
0.04400000 1536903.09829575 11411.50603482
0.04500000 1531266.20553949 15848.60596374
0.04600000 1525522.22004712 13981.41179668
0.04700000 1519674.44921374 15318.31916050
0.04800000 1513722.96389454 13351.03716275
0.04900000 1507670.65749681 20353.55482361
0.05000000 1501516.87228968 13783.92552948
0.05100000 1495264.95061166 12829.37387389
0.05200000 1488913.38386893 16571.60673472
0.05300000 1482467.41272105 14409.58392339
0.05400000 1475925.18821671 18264.57505593
0.05500000 1469291.04250734 13576.24986609
0.05600000 1462563.09091824 15005.89801306
0.05700000 1455746.73409818 12664.99717784
0.05800000 1448840.22319632 17951.13120358
0.05900000 1441845.81369600 16869.59680815
0.06000000 1434765.93910794 22317.78522548
0.06100000 1427602.44346341 15932.04401358
0.06200000 1420355.76194933 14764.59883561
0.06300000 1413028.99045408 18991.11051964
0.06400000 1405620.04101748 16445.75524902
0.06500000 1398135.43489194 15225.69559820
0.06600000 1390572.92090948 13975.25850902
0.06700000 1382935.55035260 18337.72625586
0.06800000 1375226.08931676 14233.59069069
0.06900000 1367445.48493399 18665.63174325
0.07000000 1359593.37860100 17375.60419219
0.07100000 1351674.30904706 17517.69986574
0.07200000 1343687.21261213 16184.71323412
0.07300000 1335637.14955605 16308.13036021
0.07400000 1327523.13334338 20908.49033002
0.07500000 1319347.66984834 19552.73338364
0.07600000 1311111.11949574 18172.00096813
0.07700000 1302818.60328139 28961.65890891
0.07800000 1294468.34874303 15339.45065197
0.07900000 1286062.69756551 15432.75309464
0.08000000 1277605.52880478 15522.90790317
0.08100000 1269096.59034728 21853.84431112
0.08200000 1260537.40846555 25109.90635492
0.08300000 1251930.53362465 20506.62310319
0.08400000 1243276.95657641 15851.78194041
0.08500000 1234580.34435497 17518.69590881
0.08600000 1225839.95040686 27195.26057663
0.08700000 1217059.39356854 17671.70322444
0.08800000 1208237.23562436 16129.96785311
0.08900000 1199379.60626000 17810.78798953
0.09000000 1190485.18519889 17875.13589545
0.09100000 1181556.82320349 21197.13040414
0.09200000 1172595.26203314 21265.01607614
0.09300000 1163604.16116526 21328.86527645
0.09400000 1154581.49600397 27969.73805520
0.09500000 1145531.83711721 21444.35699878
0.09600000 1136456.32163880 23149.61635999
0.09700000 1127357.83081689 21543.80915975
0.09800000 1118236.80243561 19926.98075632
0.09900000 1109095.63117059 21627.36582480
0.10000000 1099933.88213838 18330.39900786
0.10100000 1090754.40801723 20026.25187307
0.10200000 1081559.12616750 16710.08928527
0.10300000 1072349.22435483 18401.51355555
0.10400000 1063127.36112454 18418.68239799
0.10500000 1053896.20088520 18432.64542073
0.10600001 1044651.97562803 21796.66449709
0.10700001 1035402.74561607 21805.58284879
0.10800001 1026145.09579475 30199.45159048
0.10900001 1016883.78037927 18456.44148255
0.11000001 1007618.68436607 16776.85188437
0.11100001 998352.05615594 21804.00993283
0.11200001 989086.31320945 21794.51793759
0.11300001 979820.04616669 20105.90829394
0.11400001 970557.91493119 18416.33730294
0.11500001 961300.48662010 18399.29218029
0.11600001 952048.19862449 25062.67000903
0.11700001 942804.23002923 25031.45348613
0.11800001 933567.04347694 23329.84151528
0.11900001 924341.06124949 18301.95387479
0.12000001 915125.94679691 24914.30507513
0.12100001 905925.26783399 19894.11981881
0.12200001 896737.55015908 19853.77029586
0.12300001 887566.11773312 19810.47668116
0.12400001 878411.13136208 18117.23043798
0.12500001 869274.71105630 18072.22209443
0.12600001 860159.12493795 21301.84173290
0.12700001 851064.33380762 17974.47957709
0.12800001 841990.44922162 17921.76755632
0.12900001 832941.06635903 22739.29218335
0.13000001 823916.27902447 22665.93790432
0.13100001 814916.53983592 17748.88307427
0.13200001 805945.05095650 16078.60452453
0.13300001 797002.82218156 16019.75748107
0.13400001 788088.65480022 25534.07361935
0.13500001 779206.11914070 17485.38613792
0.13600001 770354.55262256 22163.10152396
0.13700001 761536.71607080 15763.81076598
0.13800001 752751.44535093 20403.32888837
0.13900001 744003.72517728 21873.71055174
0.14000001 735290.67286063 17106.53831086
0.14100001 726615.41013190 18572.29075890
0.14200001 717977.15789826 18480.73291595
0.14300001 709380.99659953 19919.41932407
0.14400001 700820.62898818 16767.13433945
0.14500001 692305.35475313 18193.78558115
