# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682663.84919310 656.23891677
0.00200000 1682456.48224352 832.81598508
0.00300000 1682111.03728401 1211.11998999
0.00400000 1681627.35825130 1639.58673660
0.00500000 1681005.92771345 1664.19593431
0.00600000 1680246.45333593 2293.53650218
0.00700000 1679349.61072487 3224.35138660
0.00800000 1678314.86096164 3172.01522114
0.00900000 1677143.55209374 2515.71543568
0.01000000 1675834.77087295 3318.15298960
0.01100000 1674389.88150084 3013.90191792
0.01200000 1672808.28868405 3261.97630595
0.01300000 1671091.37586089 3509.29204408
0.01400000 1669238.38845163 4131.36519457
0.01500000 1667251.16358413 4801.68356494
0.01600000 1665128.47138864 4246.07779186
0.01700000 1662872.50472613 4938.73156058
0.01800000 1660482.79651291 8045.03951111
0.01900000 1657960.00968458 8455.59643093
0.02000000 1655304.89838474 7299.89493209
0.02100000 1652519.05127768 6543.97573975
0.02200000 1649600.64801294 6260.23474363
0.02300000 1646552.65445656 7113.10779103
0.02400000 1643374.85709046 9243.98399264
0.02500000 1640068.64787779 8954.77522638
0.02600000 1636634.13621488 7291.20541032
0.02700000 1633072.57861995 7544.79565878
0.02800000 1629383.55707785 9214.16443783
0.02900000 1625569.79299769 8778.07728523
0.03000000 1621631.68865301 9048.70523861
0.03100000 1617569.37045822 11646.50000319
0.03200000 1613383.87194918 9583.50064078
0.03300000 1609077.99378750 11488.81740528
0.03400000 1604649.71110757 9266.85250922
0.03500000 1600102.40348612 12096.77472896
0.03600000 1595435.87713062 12396.53733820
0.03700000 1590651.92928372 13600.07462435
0.03800000 1585751.69802892 10204.31264907
0.03900000 1580736.79940351 9484.42123564
0.04000000 1575605.79911852 14534.96417040
0.04100000 1570362.86373116 10882.61515025
0.04200000 1565008.14446486 14132.02420014
0.04300000 1559541.94390671 16468.76369210
0.04400000 1553967.75427223 12587.13939418
0.04500000 1548285.21877710 10683.16850595
0.04600000 1542494.69271823 15224.42332486
0.04700000 1536599.61138211 16595.27657474
0.04800000 1530599.81303185 15749.87280891
0.04900000 1524498.31685625 14863.85928122
0.05000000 1518294.43572126 15099.43886637
0.05100000 1511991.59775806 12972.88851309
0.05200000 1505588.15856869 14363.31170209
0.05300000 1499089.31407652 13356.88641109
0.05400000 1492493.77173851 18469.61128657
0.05500000 1485805.09135871 13728.83968459
0.05600000 1479021.92432293 13910.20184737
0.05700000 1472149.43249364 14088.47072659
0.05800000 1465186.05278612 22043.72519344
0.05900000 1458133.70674332 14435.52437098
0.06000000 1450995.42798008 19914.91317943
0.06100000 1443772.60802032 16112.50305847
0.06200000 1436465.76598850 23076.82360930
0.06300000 1429077.95942304 15091.06395709
0.06400000 1421607.28295231 19404.94031980
0.06500000 1414060.25820496 20998.79581662
0.06600000 1406434.53662580 15548.13452987
0.06700000 1398733.16609331 14267.07896184
0.06800000 1390959.11897348 15836.07031078
0.06900000 1383113.17136249 18879.49567302
0.07000000 1375194.78347417 14645.82512984
0.07100000 1367208.84073519 17719.02740585
0.07200000 1359154.19107985 16371.01299849
0.07300000 1351035.86009499 14996.49874972
0.07400000 1342852.95765556 31724.90261137
0.07500000 1334607.96275801 31950.51612603
0.07600000 1326301.06664728 16850.65584172
0.07700000 1317937.49967956 16961.85641619
0.07800000 1309515.64475381 18621.31334167
0.07900000 1301037.92553413 21857.43817417
0.08000000 1292507.88016165 25126.35436905
0.08100000 1283925.79744610 18950.74565944
0.08200000 1275292.46775313 17465.13116543
0.08300000 1266611.11610104 15959.30081188
0.08400000 1257882.34237848 17641.80067994
0.08500000 1249109.94551144 17724.87095890
0.08600000 1240293.38286869 21041.57822830
0.08700000 1231435.65082463 22756.93189585
0.08800000 1222536.22364876 24481.28902830
0.08900000 1213600.75280561 21298.69421213
0.09000000 1204627.87845116 21376.12270727
0.09100000 1195620.62602356 18149.52195572
0.09200000 1186579.57018589 18208.06436004
0.09300000 1177508.38671737 24904.30354938
0.09400000 1168405.52995227 21644.71345961
0.09500000 1159274.99397094 20032.27283739
0.09600000 1150118.03650068 18407.64003950
0.09700000 1140937.81125639 20126.14393675
0.09800000 1131734.85137485 20167.51599973
0.09900000 1122510.99010757 20205.19877203
0.10000000 1113266.11951842 20239.17900464
0.10100000 1104003.02126097 21958.62112563
0.10200000 1094724.26317351 18604.83972774
0.10300000 1085430.37932258 18625.98618536
0.10400000 1076124.03038957 18643.84970360
0.10500000 1066807.85981345 20354.69492292
0.10600001 1057478.72142007 25458.80141612
0.10700001 1048143.56678845 20375.91189721
0.10800001 1038800.25094470 16984.38490226
0.10900001 1029452.80056437 22081.76361140
0.11000001 1020101.23302323 20381.62359516
0.11100001 1010747.84499290 32263.07273090
0.11200001 1001395.12401781 23763.10741164
0.11300001 992041.43824314 18660.30033190
0.11400001 982691.91827298 22036.86730486
0.11500001 973346.84255519 16936.23585795
0.11600001 964006.55716025 20301.97904985
0.11700001 954674.52381633 18587.51385408
0.11800001 945348.99205217 20249.37636347
0.11900001 936034.27298040 25272.92656087
0.12000001 926730.30683176 20184.18703357
0.12100001 917440.75369582 16789.16658354
0.12200001 908163.92125745 23457.87519121
0.12300001 898903.45488867 25079.40757300
0.12400001 889659.11314492 23353.55282041
0.12500001 880432.86844684 21632.23659706
0.12600001 871227.99178997 18256.58342827
0.12700001 862043.31117879 23171.72529649
0.12800001 852879.78214048 26405.15929952
0.12900001 843740.32772619 18098.23088273
0.13000001 834625.64942630 22960.55269796
0.13100001 825535.60486395 22883.84804552
0.13200001 816474.11052930 19546.39112749
0.13300001 807441.65653286 27590.28270442
0.13400001 798437.39394454 16168.35798964
0.13500001 789464.61572018 20936.60259602
0.13600001 780522.78729068 20851.66724564
0.13700001 771614.83505041 20764.15619030
0.13800001 762739.41393467 20674.05278960
0.13900001 753901.64351254 17415.12878641
0.14000001 745098.10675172 22062.35598139
0.14100001 736332.92745520 17252.28130394
0.14200001 727604.62023778 17167.83182424
0.14300001 718918.61656798 23292.96427548
0.14400001 710268.20816354 16993.16768188
0.14500001 701662.97839718 21512.98793247
0.14600001 693097.69750092 18339.36594102
0.14700001 684578.24043230 22796.45648185
0.14800001 676100.62192696 19644.10449687
0.14900001 667667.24335857 15022.51368434
0.15000001 659280.56920011 16425.97615665
0.15100001 650940.46749146 22262.16503865
0.15200001 642648.61439449 22123.17959446
0.15300001 634404.85716281 20516.65404881
0.15400001 626208.12277099 16015.27349565
0.15500001 618062.84536633 14462.67126411
0.15600001 609966.55882722 14364.71313832
0.15700001 601924.72074074 18545.30152130
0.15800001 593929.91602100 24080.88958166
0.15900001 585991.18601025 15470.16804087
0.16000001 578103.14203719 18149.54900096
0.16100001 570272.17098369 15243.37584995
0.16200001 562493.19759973 16503.55119664
0.16300001 554770.60694127 13647.35757502
0.16400001 547103.03042241 17603.04083487
0.16500001 539492.17866831 17463.36264796
0.16600001 531937.53273243 15990.04298888
0.16700001 524439.92476414 13215.88672804
0.16800001 516998.67286135 17037.69206860
0.16900001 509617.95213237 15594.31007158
0.17000001 502294.92007595 21902.57102414
0.17100001 495030.97563737 16603.33970691
0.17200001 487826.43988773 12659.09671289
0.17300001 480681.90223680 13800.37806493
0.17400001 473598.42481687 17404.74293398
0.17500001 466574.78268300 14781.08981347
0.17600001 459610.33083966 14643.18583214
0.17700001 452709.50647698 14504.81327259
0.17800001 445869.33491571 13168.75142872
0.17900001 439090.88722410 13040.99996653
0.18000001 432375.05357646 14086.77991091
0.18100001 425722.55873614 13946.67168299
0.18200001 419129.82003558 17257.67115518
0.18300001 412602.57283915 15942.96416764
0.18400001 406136.57039691 14651.37746921
0.18500001 399734.80920152 12267.86187395
0.18600001 393395.91912252 13241.70726325
0.18700001 387120.01135488 17466.85573755
0.18800001 380907.20356095 17277.95156984
0.18900001 374760.26545517 14952.93529815
0.19000001 368673.03309599 10562.48289726
0.19100001 362654.30279840 10444.44441409
0.19200001 356696.04480801 15489.52647769
0.19300001 350803.94053155 11229.23466703
0.19400001 344974.65379637 14126.71274050
0.19500001 339209.95518199 13961.88241506
0.19600001 333507.99401710 12811.71019560
0.19700001 327870.71951906 9737.76082990
0.19800001 322297.29249347 13468.80448982
0.19900001 316788.67469939 11404.39282815
0.20000001 311341.73501827 14080.43063166
0.20100001 305960.32500053 10197.65811423
0.20200001 300641.23795621 10985.43135413
0.20300001 295386.40654847 12654.35425464
0.20400001 290195.01492694 13385.24569617
0.20500001 285066.18302382 8808.54547179
0.20600001 280000.89106072 8694.02807838
0.20700001 274998.58519090 8579.95626352
0.20800001 270058.61019759 9312.97161289
0.20900001 265183.62955473 9188.61319843
0.21000001 260368.65917963 9888.80214311
0.21100001 255616.21561239 10567.17485296
0.21200001 250925.59549996 8818.78047075
0.21300001 246296.74762464 8696.73856977
0.21400001 241730.50489192 9354.97098159
0.21500001 237225.92445407 8454.73234726
0.21600001 232780.59144837 9850.11119284
0.21700001 228397.37218299 8962.31330819
0.21800001 224074.27641290 7360.84032819
0.21900001 219810.50808218 7979.12182065
0.22000001 215606.55197040 11435.77205722
0.22100001 211464.44860170 7745.94311854
0.22200001 207380.52313978 6936.87882703
0.22300001 203355.47026679 8199.29294886
0.22400001 199387.46293502 7402.25991149
0.22500001 195480.81457505 7289.47992020
0.22600001 191630.40312931 7830.01864213
0.22700001 187838.65816939 7708.89889582
0.22800001 184103.36690101 6956.34604732
0.22900001 180424.51949838 6847.11083877
0.23000001 176802.69446084 8576.69911390
0.23100001 173238.43591370 6631.56764040
0.23200001 169727.86914669 5931.98930722
0.23300001 166274.07100833 8754.33025262
0.23400001 162875.11726682 9186.15704831
0.23500001 159529.55072579 7341.55027163
0.23600001 156238.92234732 8331.44092822
0.23700001 153002.05753214 8739.47793959
0.23800001 149818.42107107 6982.28784427
0.23900001 146687.88415570 6864.99330320
0.24000001 143609.48598416 7268.07642944
0.24100001 140584.29711750 7654.81534013
0.24200001 137610.09193425 7022.24332357
0.24300001 134687.14067173 5915.45949812
0.24400001 131814.30727835 4844.17602163
0.24500001 128992.14863647 5711.77261181
0.24600001 126219.77979944 5144.08736907
0.24700001 123497.82869966 5512.94333395
0.24800001 120823.54583086 6317.86351037
0.24900001 118197.88794737 7535.11571311
0.25000001 115620.53934690 4788.42486358
0.25100001 113090.21625387 4702.29141430
0.25200001 110608.04558232 5037.09063412
0.25300001 108172.53021114 4121.37359603
0.25400001 105782.34507073 4450.79237942
0.25500001 103438.07528608 3972.02227891
0.25600001 101139.31313723 5458.48898827
0.25700001 98885.07268548  4209.53774339
0.25800001 96674.89638918  4882.56587315
0.25900001 94508.89713427  5160.18602768
0.26000001 92386.69124814  4340.32696020
0.26100001 90305.20313198  4258.79358121
0.26200001 88268.61235668  4526.85599891
0.26300001 86272.41334110  4099.66527595
0.26400001 84317.44541177  4021.94233645
0.26500001 82404.31856288  3945.51895949
0.26600001 80530.57991848  3225.24987835
0.26700001 78698.08982002  3480.02969652
0.26800001 76904.62443264  3103.10174270
0.26900001 75149.61733121  4565.33946891
0.27000001 73433.72025260  3283.58895648
0.27100001 71755.75653775  3220.39850581
0.27200001 70115.75611255  3445.48841842
0.27300001 68512.29522699  3379.02656050
0.27400001 66944.31464465  3589.88904271
0.27500001 65414.83328646  3249.80907147
0.27600001 63918.79847834  3186.99144296
0.27700001 62459.71699144  2604.57032181
0.27800001 61034.26955893  2554.28430193
0.27900001 59643.65777474  3507.04724314
0.28000001 58286.45236826  2456.77408360
0.28100001 56962.47977231  2409.51300841
0.28200001 55671.74587225  3544.89858619
0.28300001 54413.38887045  2318.01047559
0.28400001 53187.07676333  2501.12240318
0.28500001 51992.57607393  2453.52978106
0.28600001 50828.12798973  2625.78121623
0.28700001 49694.99999989  3864.28338290
0.28800001 48591.14200310  3159.63915831
0.28900001 47518.62120640  3100.59018048
0.29000001 46473.83017049  3651.44900933
0.29100001 45459.03421573  2787.54811006
0.29200001 44472.03210631  2931.81885539
0.29300001 43512.95456441  2494.59780326
0.29400001 42581.08972830  2072.63464064
0.29500001 41677.48789559  1850.48055016
0.29600001 40799.23985522  2181.12746591
0.29700001 39947.21814590  2499.89702991
0.29800001 39121.46324321  1930.05748047
0.29900001 38320.97442819  1896.88832399
0.30000001 37545.26449599  1864.68564947
0.30100001 36795.05424713  1833.49763993
0.30200001 36067.59598606  1967.12677820
0.30300001 35364.51094578  1773.88395302
0.30400001 34685.35556223  1904.22611052
0.30500001 34027.80332280  2030.43912040
0.30600001 33393.13470081  1691.52931835
0.30700001 32781.17346291  1968.83737139
0.30800001 32190.44348162  1790.43255121
0.30900001 31621.19663347  1764.46285568
0.31000001 31073.55114731  1594.53935262
0.31100001 30544.84762908  2430.14819243
0.31200001 30037.54225371  1410.26267558
0.31300001 29549.38775657  1809.30909800
0.31400001 29082.11863468  1923.78223877
0.31500001 28632.87346241  1628.63791965
0.31600002 28202.45541484  1475.12950032
0.31700002 27790.04276151  1988.37765373
0.31800002 27395.89845365  1704.16194400
0.31900002 27019.64256213  1296.94290439
0.32000002 26660.44875010  1668.81086853
0.32100002 26318.52154117  1398.30311569
0.32200002 25993.32338695  1637.18955105
0.32300002 25683.66540316  1248.22619770
0.32400002 25390.30880071  1609.11089644
0.32500002 25112.11088551  1227.98228045
0.32600002 24849.67484999  1340.76427002
0.32700002 24601.91118294  1694.57972252
0.32800002 24369.56639471  1563.42960609
0.32900002 24150.27384699  1314.98247324
0.33000002 23946.51998391  1664.52268290
0.33100002 23754.09351066  1656.13547799
0.33200002 23577.49255084  1413.23497042
0.33300002 23412.56887013  1407.56370713
0.33400002 23261.18342566  1285.76197474
0.33500002 23121.75100419  1514.93719754
0.33600002 22994.42360076  1162.36816806
0.33700002 22878.42377785  1159.93614047
0.33800002 22775.15304412  1389.73990457
0.33900002 22682.14995846  1156.78970266
0.34000002 22600.65632146  1387.22835071
0.34100002 22529.81493139  1618.09138500
0.34200002 22470.46274615  1271.71589935
0.34300002 22419.79690686  1388.23389022
0.34400002 22379.94544939  1389.79467823
0.34500002 22349.26142547  1623.89741208
0.34600002 22329.28420970  1162.23929816
0.34700002 22316.24387623  1164.90798551
0.34800002 22313.94638773  1284.94866359
0.34900002 22319.66605538  1288.96077575
0.35000002 22333.84038429  1411.05210231
0.35100002 22356.37910774  1416.50024736
0.35200002 22385.92823851  1896.53593019
0.35300002 22423.78826613  1428.84385599
0.35400002 22469.38761177  1435.79393640
0.35500002 22521.92507646  1683.73919846
0.35600002 22581.00942370  1934.74097906
0.35700002 22647.07524734  1580.99239790
0.35800002 22720.21620266  1345.83207051
0.35900002 22799.24636179  1231.15936185
0.36000002 22885.05767116  1487.07111791
0.36100002 22975.98602129  1746.63454007
0.36200002 23073.68242206  1758.90689435
0.36300002 23175.24538099  1771.51584083
0.36400002 23282.87299678  1274.73735695
0.36500002 23395.12564208  1798.14944202
0.36600002 23512.85503617  1423.82100416
0.36700002 23634.83346632  1696.03572988
0.36800002 23762.77523479  1446.79663870
0.36900002 23893.93274699  1989.16999541
0.37000002 24028.36949435  1470.89670827
0.37100002 24167.28049826  1483.38774725
0.37200002 24310.48001923  2312.29141656
0.37300002 24456.57574227  1509.21536055
0.37400002 24607.21636336  1799.40278181
0.37500002 24759.91330442  1536.10509417
0.37600002 24916.84046488  2113.57109256
0.37700002 25075.41491391  2274.84174875
0.37800002 25237.66945645  1721.71389188
0.37900002 25402.41190898  1592.73130214
0.38000002 25569.66205817  1461.30625585
0.38100002 25738.66408605  1917.27317860
0.38200002 25910.16138885  2679.36991615
0.38300002 26083.43096209  2403.84911135
0.38400002 26259.09186556  1971.40141520
0.38500002 26435.55052232  1989.80398208
0.38600002 26614.59241081  2162.96802770
0.38700002 26794.11320262  2027.24270095
0.38800002 26974.92037951  1731.38534658
0.38900002 27157.02464915  2541.89762758
0.39000002 27340.87650381  1924.25097950
0.39100002 27524.69025610  2103.98742286
0.39200002 27709.86537292  2123.54563346
0.39300002 27895.24511565  1978.33087733
0.39400002 28082.06268117  1830.24852196
0.39500002 28268.31611985  1847.05186278
0.39600002 28454.97572581  2880.63960408
0.39700002 28641.37103915  2393.84590487
0.39800002 28829.07923063  2588.13071055
0.39900002 29015.78309162  2959.61001557
0.40000002 29202.13524525  2107.81022187
0.40100002 29388.30975968  1949.32667872
0.40200002 29575.17027778  1966.60104080
0.40300002 29760.44433582  2344.52791586
0.40400002 29945.33735462  1819.17933049
0.40500002 30129.56414523  2018.37959772
0.40600002 30313.35976481  2220.75684159
0.40700002 30496.02373826  2426.26376358
0.40800002 30678.02203655  2258.51608934
0.40900002 30858.24562804  2467.11685486
0.41000002 31038.29948410  2678.91575540
0.41100002 31216.70652870  1929.19255488
0.41200002 31393.27348352  2139.29472290
0.41300002 31569.05661068  4705.05242019
0.41400002 31743.10373268  3161.61328158
0.41500002 31916.24602154  2987.36076917
0.41600002 32086.57639978  2007.01544891
0.41700002 32256.01673071  2022.45234485
0.41800002 32424.66280739  2649.25720021
0.41900002 32589.47595186  2669.07820693
0.42000002 32753.17954314  2068.36338616
0.42100002 32915.55943047  3333.68801708
0.42200002 33075.79219524  2308.52502566
0.42300002 33233.39532824  2747.73725594
0.42400002 33389.02307893  3405.68051543
0.42500002 33542.80421330  2572.06234896
0.42600002 33693.11879130  2805.45766910
0.42700002 33842.37651152  2607.21680999
0.42800002 33988.83332477  3280.77229214
0.42900002 34133.39939997  2641.92523875
0.43000002 34275.56061600  2215.91509883
0.43100002 34413.85731823  2676.02167188
0.43200002 34550.54457473  2244.05797647
0.43300002 34684.29820360  2483.74271206
0.43400002 34815.83265551  2726.07982611
0.43500002 34944.18107214  2970.95441554
0.43600002 35070.89853525  2988.56676031
0.43700002 35193.82282921  3005.90455029
0.43800002 35313.31674033  3720.61122808
0.43900002 35431.03930504  2572.29357545
0.44000002 35545.22588935  3997.23856681
0.44100002 35657.20340972  3546.10904715
0.44200002 35766.00285330  3802.64160357
0.44300002 35872.08484004  3105.80525264
0.44400002 35974.64479624  2641.43841934
0.44500002 36073.39817899  3137.30358831
0.44600002 36170.10448437  2910.24674473
0.44700002 36263.86301418  3411.70439406
0.44800002 36353.44038559  3182.92562380
0.44900002 36441.43245295  2705.77648786
0.45000002 36525.91514648  3706.46741515
0.45100002 36605.94786685  4219.20175109
0.45200002 36683.88298897  3489.73795413
0.45300002 36757.94820958  2503.21639171
0.45400002 36829.53235705  3267.70041325
