# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 274.66737318
0.00100000 1664582.13160037 549.31211647
0.00200000 1664376.22956662 973.66012513
0.00300000 1664033.22481176 998.41997045
0.00400000 1663552.95862891 1372.43124302
0.00500000 1662935.91834331 1945.63510147
0.00600000 1662181.81006054 1919.82006878
0.00700000 1661291.29744545 2192.90460377
0.00800000 1660263.85203622 3137.89881283
0.00900000 1659100.80629543 2737.51644741
0.01000000 1657801.30564105 3555.98395415
0.01100000 1656366.63285088 3279.60607584
0.01200000 1654796.20101323 3226.85273345
0.01300000 1653091.47400124 4165.79069821
0.01400000 1651251.62327378 4086.84794878
0.01500000 1649278.46416218 3958.26849025
0.01600000 1647170.82894973 5040.34296191
0.01700000 1644930.88782504 5773.70767527
0.01800000 1642558.17040577 6085.67829519
0.01900000 1640053.35977696 6888.22442188
0.02000000 1637417.14937467 6189.43710462
0.02100000 1634651.12421406 6473.21874537
0.02200000 1631753.56076846 6192.50504446
0.02300000 1628727.32762209 7622.44424023
0.02400000 1625572.27360636 7924.66519518
0.02500000 1622289.66760216 9490.39498890
0.02600000 1618879.84893888 7212.11005689
0.02700000 1615343.75871962 7462.88850709
0.02800000 1611681.22680800 7711.89502394
0.02900000 1607894.95264267 12300.39695248
0.03000000 1603985.25277996 10441.94447556
0.03100000 1599952.21648412 12287.63358799
0.03200000 1595796.93554423 9479.03423372
0.03300000 1591522.17771438 8928.43982858
0.03400000 1587126.00596793 8332.41191579
0.03500000 1582611.80197420 9400.71453783
0.03600000 1577979.12637972 10509.34146736
0.03700000 1573229.92774512 12554.37540401
0.03800000 1568365.49274135 13762.40783572
0.03900000 1563387.24004726 14070.48581203
0.04000000 1558293.78748102 11500.20868452
0.04100000 1553089.34629971 12719.80233597
0.04200000 1547773.98118223 11979.77117013
0.04300000 1542347.96382719 15269.24555066
0.04400000 1536814.88293977 13485.55122409
0.04500000 1531174.44987387 14791.14587305
0.04600000 1525426.85161623 13980.53774497
0.04700000 1519575.46977649 12035.03828035
0.04800000 1513620.28294010 14462.64247641
