# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097189 302.89193117
0.00100000 1682663.73788175 605.75896002
0.00200000 1682456.03370533 832.81576306
0.00300000 1682110.03394499 1211.11926758
0.00400000 1681625.58347804 1513.46308264
0.00500000 1681003.14726318 1512.90289242
0.00600000 1680242.42470945 1764.25461777
0.00700000 1679344.16708455 3224.34093481
0.00800000 1678307.72180159 2265.71552009
0.00900000 1677134.51848168 3521.98263937
0.01000000 1675823.65725246 3041.62006925
0.01100000 1674376.42512927 3616.65323575
0.01200000 1672792.30468590 5871.50124688
0.01300000 1671072.61047111 4912.95369147
0.01400000 1669216.67246779 4131.31144750
0.01500000 1667226.21051898 6002.01462513
0.01600000 1665100.16656350 5944.40786037
0.01700000 1662840.57141286 4489.66974422
0.01800000 1660447.00445440 6151.95642833
0.01900000 1657920.23183847 7460.64137992
0.02000000 1655260.94181861 5214.07220259
0.02100000 1652470.61846655 7634.41460345
0.02200000 1649547.68735099 10243.69160384
0.02300000 1646494.70947219 7705.59559108
0.02400000 1643311.89152897 9243.62981134
0.02500000 1640000.50744417 7675.20272537
0.02600000 1636560.58714651 10604.91308976
0.02700000 1632993.36712591 10973.71592969
0.02800000 1629298.61247357 8504.93914715
0.02900000 1625478.90171707 8777.58647229
0.03000000 1621534.63338129 7540.13639181
0.03100000 1617465.91218244 9316.60408286
0.03200000 1613273.96062813 10381.41841479
0.03300000 1608961.28657194 9846.84352776
0.03400000 1604526.25854293 9266.13957063
0.03500000 1599971.98136637 10367.81891802
0.03600000 1595298.21872326 8853.90552309
0.03700000 1590506.87841666 12692.24547675
0.03800000 1585599.10054416 10203.33068421
0.03900000 1580576.56906623 13276.84379501
0.04000000 1575437.68269802 9688.94219757
0.04100000 1570186.82851445 11870.61297397
0.04200000 1564824.09372799 16148.98539647
0.04300000 1559349.54660227 12350.04898235
0.04400000 1553766.94514547 12585.51284017
0.04500000 1548075.86343892 13886.24114027
0.04600000 1542276.80110821 16309.57792990
0.04700000 1536372.83647891 14380.45041825
0.04800000 1530364.21941111 13497.81304323
0.04900000 1524253.64415796 13718.28343597
0.05000000 1518040.67360820 19742.11987959
0.05100000 1511728.57086574 17687.22510307
0.05200000 1505315.87785756 16754.16650132
0.05300000 1498807.71523537 14568.41167124
0.05400000 1492202.43706903 13541.73774790
0.05500000 1485504.16141071 12478.23553795
0.05600000 1478711.37490360 13907.28112994
0.05700000 1471829.08389450 19207.37044139
0.05800000 1464855.72554795 19445.96066463
0.05900000 1457793.44431070 19680.21241737
0.06000000 1450645.23576186 14600.74498007
0.06100000 1443412.40013109 17450.85673309
0.06200000 1436095.31812988 16285.32166883
0.06300000 1428697.40119767 17830.14440060
0.06400000 1421216.44422218 18013.91927297
0.06500000 1413659.17569213 19593.31709163
0.06600000 1406023.16275144 21195.80017020
0.06700000 1398311.28218984 21394.16361873
0.06800000 1390526.84067756 18709.53951709
0.06900000 1382670.34321754 15969.84321185
0.07000000 1374741.40739890 17569.19600930
0.07100000 1366745.08903939 22141.27147949
0.07200000 1358679.92809481 22316.31886441
0.07300000 1350551.19750104 22486.67849202
0.07400000 1342357.65749623 18121.82922546
0.07500000 1334102.09994930 21292.27051321
0.07600000 1325784.79197674 24500.50410433
0.07700000 1317410.76257201 16955.07730930
0.07800000 1308978.37269633 17062.53388826
0.07900000 1300490.06074981 15605.88146097
0.08000000 1291949.57802580 23545.78216408
0.08100000 1283357.02388556 17363.82134785
0.08200000 1274713.25988367 15870.18083026
0.08300000 1266021.58610660 15951.87273360
0.08400000 1257282.40123803 22442.49191552
0.08500000 1248499.65463458 20937.34019113
0.08600000 1239672.80885328 16177.73091510
0.08700000 1230805.11267615 19495.95390028
