# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 321.09991309
0.00100000 1646598.25686058 592.77538655
0.00200000 1646394.30424552 1259.49168263
0.00300000 1646054.54897835 1185.15931748
0.00400000 1645578.83179247 1727.85783904
0.00500000 1644967.63606233 1924.61221037
0.00600000 1644220.67344408 2071.71813288
0.00700000 1643338.60875849 3352.41090119
0.00800000 1642320.87098506 3103.98657721
0.00900000 1641168.85746154 2954.10406971
0.01000000 1639881.66005262 3517.54631270
0.01100000 1638460.58770491 3833.99794216
0.01200000 1636905.05576549 3830.35799843
0.01300000 1635216.49239398 5150.93217822
0.01400000 1633394.07610520 4042.65051757
0.01500000 1631439.61168362 5090.09181511
0.01600000 1629351.99527102 5401.30210578
0.01700000 1627133.28665038 5271.91208524
0.01800000 1624783.05918520 7409.01108327
0.01900000 1622302.02043157 5353.59690899
0.02000000 1619690.81654150 8673.44471493
0.02100000 1616951.11974283 5869.53283078
0.02200000 1614081.02081444 6125.43775228
0.02300000 1611083.46614269 6959.88089054
0.02400000 1607958.43841894 6029.84441902
0.02500000 1604706.99829011 11890.87940039
0.02600000 1601329.55754429 9079.53900656
0.02700000 1597827.09404897 12079.57338427
0.02800000 1594199.41397817 7628.24454571
0.02900000 1590449.09040634 7872.72335898
0.03000000 1586576.57774592 11804.13028101
0.03100000 1582581.93322866 10634.95108064
0.03200000 1578466.21209281 9376.08973168
0.03300000 1574232.16009408 11240.01814124
0.03400000 1569877.80676339 12362.78829869
0.03500000 1565406.54297399 10143.83486689
0.03600000 1560818.04787954 12127.55679248
0.03700000 1556114.20871538 9756.83653987
0.03800000 1551296.14366075 12705.11600457
0.03900000 1546365.27445863 13917.28811464
0.04000000 1541320.47551592 10427.03350004
0.04100000 1536165.66507844 12581.19738034
0.04200000 1530901.09019711 11849.17498784
0.04300000 1525526.88356875 12082.17347869
0.04400000 1520046.84730325 11286.34836539
0.04500000 1514460.28647193 10449.77646220
0.04600000 1508767.57088911 11700.49305616
0.04700000 1502972.23164702 15149.96079960
0.04800000 1497074.02787899 12103.84407857
0.04900000 1491076.10710211 13419.68558857
0.05000000 1484977.52086395 19312.13355813
0.05100000 1478781.91526332 11534.49947638
0.05200000 1472487.33780016 18730.03980966
0.05300000 1466099.59220958 14250.48870060
0.05400000 1459616.42781575 18062.75413656
0.05500000 1453042.11612244 13426.10977929
0.05600000 1446375.11564412 14839.80937900
0.05700000 1439620.47554252 16282.10833841
0.05800000 1432776.59172246 13948.08077169
0.05900000 1425845.71319967 15399.13442179
0.06000000 1418830.22037689 12982.29712297
0.06100000 1411731.95102355 14442.01853387
0.06200000 1404551.42870305 17254.91510817
0.06300000 1397291.41209347 20120.99727491
0.06400000 1389950.12130463 18972.82004310
0.06500000 1382534.27524361 21899.34394426
0.06600000 1375040.99574416 20728.74398071
0.06700000 1367473.80206940 15343.05677726
0.06800000 1359835.21753647 19704.01322443
0.06900000 1352126.23882083 15617.05878955
0.07000000 1344346.45425581 14317.29040828
0.07100000 1336500.51630026 20207.88875295
0.07200000 1328587.52762691 17457.64093085
0.07300000 1320612.07063022 20522.31253918
0.07400000 1312573.29083137 17719.74025664
0.07500000 1304473.90917667 20819.40456632
0.07600000 1296314.06373559 16469.67095187
0.07700000 1288098.75028636 22606.13412749
0.07800000 1279826.58582871 16682.54032863
0.07900000 1271499.63019340 18309.59553357
0.08000000 1263121.74761351 18416.31594413
0.08100000 1254692.66817666 23149.08081397
0.08200000 1246214.20276811 17066.90430778
0.08300000 1237688.39092868 21832.82424064
0.08400000 1229116.46698953 15671.23568970
0.08500000 1220501.97150046 17318.92378863
0.08600000 1211844.55929818 17396.02946550
0.08700000 1203147.28893262 19057.85395161
0.08800000 1194408.91437934 19134.43170698
0.08900000 1185635.92589566 16006.08575139
0.09000000 1176826.48450553 30520.99630939
0.09100000 1167983.61472863 16118.17464051
0.09200000 1159107.96906017 16169.55692814
0.09300000 1150203.06844649 19461.43683265
0.09400000 1141267.18880668 21141.97566626
0.09500000 1132304.99257790 26088.30825522
0.09600000 1123317.29483736 17978.69414901
0.09700000 1114306.64550321 16380.30845898
0.09800000 1105274.16152223 26261.31531251
0.09900000 1096221.99015796 18087.66368813
0.10000000 1087149.57930646 27999.53873178
0.10100000 1078059.28381468 16494.30781812
0.10200000 1068954.21387203 21469.94639549
0.10300000 1059834.66127633 19840.10579239
0.10400000 1050703.55285738 16548.58173603
0.10500000 1041563.25206221 18216.94213566
0.10600001 1032410.18326164 19884.22106524
0.10700001 1023252.54115397 23207.36872546
0.10800001 1014086.72062385 21554.41426125
0.10900001 1004917.38144540 19897.36508910
0.11000001 995744.55066019 23210.80656841
0.11100001 986570.41631882 21546.69890668
0.11200001 977397.33206319 19880.26267007
0.11300001 968224.25278065 26490.61680328
0.11400001 959055.12143203 26469.92259785
0.11500001 949890.95907692 18180.91381283
0.11600001 940732.03030142 18160.83270019
0.11700001 931581.93890925 18137.90120477
0.11800001 922438.29924961 18112.07685881
0.11900001 913305.94291735 27947.16316963
0.12000001 904184.94415522 16410.95750945
0.12100001 895078.09174099 24569.89477573
0.12200001 885984.73952043 22884.98689995
0.12300001 876907.40315273 22834.66985394
0.12400001 867846.62659736 19526.55001848
0.12500001 858804.46461840 19477.68617534
0.12600001 849783.34645757 17807.21086416
0.12700001 840782.74789519 17757.33247239
0.12800001 831803.45382292 19314.47710804
0.12900001 822848.40638219 19254.65361686
0.13000001 813917.75664904 15993.48467200
0.13100001 805012.39522005 19127.09541203
0.13200001 796135.22667824 20647.76807724
0.13300001 787287.19874573 17406.92078488
0.13400001 778467.15978863 18916.75287471
0.13500001 769678.93705280 17271.59616179
0.13600001 760921.23401605 17200.62530596
0.13700001 752197.14872747 21798.67439800
0.13800001 743505.64029825 15502.09333123
0.13900001 734851.68028442 24691.01762194
0.14000001 726232.06946242 15359.80899351
0.14100001 717650.14901950 15285.94889505
0.14200001 709105.11546111 16731.33598844
0.14300001 700601.82042426 16646.30003845
0.14400001 692134.33318682 15053.92245690
0.14500001 683711.64269902 17967.94281772
0.14600001 675328.19020968 22336.48094489
0.14700001 666990.91800512 19249.35880175
0.14800001 658694.57411027 16194.00686851
0.14900001 650442.47095965 21952.43443062
0.15000001 642236.45908633 17455.98778159
0.15100001 634076.81772747 18794.03776424
0.15200001 625964.74125330 15802.48063861
0.15300001 617900.60039770 17128.20545129
0.15400001 609882.95702946 14179.77942009
0.15500001 601916.28088110 15493.32580106
0.15600001 593997.68210281 18185.23989583
0.15700001 586133.65394447 19447.91555576
0.15800001 578316.12441377 20689.26032741
0.15900001 570553.82368553 16431.95089774
0.16000001 562841.52319941 14951.88576956
0.16100001 555185.72001088 18887.41908634
0.16200001 547581.49207487 16066.04173589
0.16300001 540032.80267696 15941.76908760
0.16400001 532538.79662315 14498.36942253
0.16500001 525100.60628937 16997.50742806
0.16600001 517718.32056250 15562.61345087
0.16700001 510391.88956019 12861.87622419
0.16800001 503121.36319680 15304.95259109
0.16900001 495910.49066948 16439.43354193
0.17000001 488756.75423844 12536.61133819
0.17100001 481661.11963596 18640.28621013
0.17200001 474624.51691052 13548.15747499
0.17300001 467646.95482476 18308.37914599
0.17400001 460729.36841995 16931.80508906
0.17500001 453871.02331874 13180.41513966
0.17600001 447070.87598234 16617.62524510
0.17700001 440333.95754005 15283.99238809
0.17800001 433656.12410682 15136.76772689
0.17900001 427039.52577285 18448.10838476
0.18000001 420484.66455869 14841.00693661
0.18100001 413992.33231260 11301.99120600
0.18200001 407558.84299777 12306.23984564
0.18300001 401189.55445932 15501.96511661
0.18400001 394880.95012141 14245.33094859
0.18500001 388635.40429741 18432.97809664
0.18600001 382452.02272918 15018.89164212
0.18700001 376330.34834697 14857.52285468
0.18800001 370271.36824697 11546.91316433
0.18900001 364276.67834489 12458.26298802
0.19000001 358340.64913556 11293.10609109
0.19100001 352472.51047661 11166.32965951
0.19200001 346663.30907865 15053.85490806
0.19300001 340919.45288463 11904.90785727
0.19400001 335237.50163845 16669.68555668
0.19500001 329619.04621387 12598.04054162
0.19600001 324062.16788871 11491.24501637
0.19700001 318569.00976827 10407.65004097
0.19800001 313138.47670470 12151.33916278
0.19900001 307771.57707463 10156.46252346
0.20000001 302465.40762274 10031.26571790
0.20100001 297223.61683528 10807.05121890
0.20200001 292043.21684791 13339.07455998
