# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 328.13292544
0.00100000 1682663.92388250 555.27910807
0.00200000 1682456.78679833 908.52669364
0.00300000 1682111.71670231 1312.04718577
0.00400000 1681628.56655337 1513.46576741
0.00500000 1681007.80541104 1512.90708475
0.00600000 1680249.17643879 2469.96638992
0.00700000 1679353.31312068 2418.26887140
0.00800000 1678319.69425878 2945.45118778
0.00900000 1677149.62524653 3773.58681812
0.01000000 1675842.29637246 3594.68188094
0.01100000 1674398.96546759 4822.26923051
0.01200000 1672819.09309146 4566.79632437
0.01300000 1671104.04717557 3860.25051923
0.01400000 1669253.07956621 4506.98351463
0.01500000 1667267.98005340 4801.73199637
0.01600000 1665147.58603657 4670.73918763
0.01700000 1662894.06315061 8081.66550945
0.01800000 1660506.93166420 5678.93396183
0.01900000 1657986.87954688 5471.35694939
0.02000000 1655334.63502140 6257.16520343
0.02100000 1652551.73675711 6544.10517426
0.02200000 1649636.48536469 6829.49535969
0.02300000 1646591.71076379 6520.50347143
0.02400000 1643417.30056200 6779.09667393
0.02500000 1640114.64011596 7036.09212744
0.02600000 1636683.72003888 8617.14018014
0.02700000 1633125.91977042 8916.86793035
0.02800000 1629440.79958491 8505.68136390
0.02900000 1625631.15270728 11704.54483690
0.03000000 1621697.13223550 10557.24881612
0.03100000 1617639.11303826 11647.00214979
0.03200000 1613457.86588772 7986.61680399
0.03300000 1609156.56551478 9027.36874870
0.03400000 1604732.83712912 9267.33256202
0.03500000 1600190.30141625 10369.23363201
0.03600000 1595528.50906188 12397.25708833
0.03700000 1590749.47847426 9973.99969131
0.03800000 1585854.35921947 12060.42296002
0.03900000 1580844.54424393 11382.08124566
0.04000000 1575718.72980216 12597.87182854
0.04100000 1570481.08567102 11872.83755818
0.04200000 1565131.74701129 12114.12028388
0.04300000 1559671.10030051 12352.59568776
0.04400000 1554102.45137034 17833.32645769
0.04500000 1548425.51606742 11752.55021303
0.04600000 1542640.82947558 14138.30385939
0.04700000 1536751.45288660 13277.53317045
0.04800000 1530757.55479866 15751.49597177
0.04900000 1524662.01153941 14865.45530446
0.05000000 1518464.14166209 12777.87634710
0.05100000 1512167.51902454 15333.37935720
0.05200000 1505770.10455543 14365.04746689
0.05300000 1499277.58328790 12144.14899077
0.05400000 1492688.20380674 12314.67825569
0.05500000 1486005.86698673 12482.44986499
0.05600000 1479229.05256120 17706.37258541
0.05700000 1472363.02482367 16652.42658807
0.05800000 1465406.05538781 12968.84419573
0.05900000 1458360.22515417 18375.33969518
0.06000000 1451228.54845107 18590.23857417
0.06100000 1444012.37599313 14772.24729674
0.06200000 1436711.98451181 13576.92888827
0.06300000 1429330.79334978 15093.73388349
0.06400000 1421866.82779072 20794.80332894
0.06500000 1414326.50133880 16802.19962187
0.06600000 1406707.38598586 18378.63285781
0.06700000 1399012.71034244 21404.89546997
0.06800000 1391245.53766566 21599.08798329
0.06900000 1383405.96187329 18883.49226368
0.07000000 1375494.41049774 20508.62262091
