# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 249.69761198
0.00100000 1664582.15810371 599.24959115
0.00200000 1664376.33685020 823.86631283
0.00300000 1664033.45988054 1198.10413379
0.00400000 1663553.37655978 1621.96460378
0.00500000 1662936.56728671 1945.63586074
0.00600000 1662182.75416147 2094.35035551
0.00700000 1661292.59103959 2192.90631131
0.00800000 1660265.53707454 2241.35856968
0.00900000 1659102.91432226 3235.25082123
0.01000000 1657803.91773528 3008.91424061
0.01100000 1656369.79150493 5366.63835814
0.01200000 1654799.94051134 3549.54602802
0.01300000 1653095.88490083 4860.10211596
0.01400000 1651256.67934991 5944.52430919
0.01500000 1649284.27079274 4354.11066878
0.01600000 1647177.44694991 4200.30267749
0.01700000 1644938.33998110 4885.46708890
0.01800000 1642566.49293203 5617.57765860
0.01900000 1640062.60873220 4920.18804821
0.02000000 1637427.38171733 6705.26543145
0.02100000 1634662.37463469 5933.82468895
0.02200000 1631765.86692742 6192.55174633
0.02300000 1628740.71916853 5863.46685590
0.02400000 1625586.83954767 6705.54601889
0.02500000 1622305.41008156 7592.38966593
0.02600000 1618896.81582172 6556.53240396
0.02700000 1615361.99042351 7462.97273757
0.02800000 1611700.81199371 9815.25839517
0.02900000 1607915.88332424 8682.74616861
0.03000000 1604007.51546798 9696.22587669
0.03100000 1599975.89315262 9215.86156861
0.03200000 1595822.02641204 10269.11521294
0.03300000 1591548.84222028 8928.58941647
0.03400000 1587154.14221817 9165.81559422
0.03500000 1582641.45246562 9400.89066176
0.03600000 1578010.31804899 9633.75343690
0.03700000 1573262.74842923 11657.87750501
0.03800000 1568400.02251386 13762.71083449
0.03900000 1563423.37539309 14070.81103016
0.04000000 1558331.52381117 10542.11324709
0.04100000 1553128.80266658 15655.53905677
0.04200000 1547815.15516043 10981.74903534
0.04300000 1542390.82244778 12215.73588082
0.04400000 1536859.55367731 12448.56296292
0.04500000 1531220.84901874 12678.50921898
0.04600000 1525475.06653362 11830.05969091
0.04700000 1519625.51021101 15317.82585533
0.04800000 1513672.10855800 16688.23577332
0.04900000 1507617.85757462 13568.56134975
0.05000000 1501462.26259204 12634.80552807
0.05100000 1495208.47257407 13995.15195524
0.05200000 1488854.85112662 13020.03627985
0.05300000 1482406.95695870 13208.24660224
0.05400000 1475862.83808070 13393.45588017
0.05500000 1469226.62964852 17278.10597068
0.05600000 1462496.79166886 13754.78296750
0.05700000 1455678.38076460 15197.28300457
0.05800000 1448769.82772223 17950.25900362
0.05900000 1441773.42212809 14273.55754573
0.06000000 1434691.57584586 18378.39994520
0.06100000 1427526.10908078 15931.19212183
0.06200000 1420277.32184879 13421.62131884
0.06300000 1412948.43934366 14920.73621709
0.06400000 1405537.54557778 16444.79005233
0.06500000 1398050.94062654 15224.77545560
0.06600000 1390486.26866693 22359.02024631
0.06700000 1382847.00657380 15515.54413987
0.06800000 1375135.54768227 19925.71501862
0.06900000 1367352.84696991 15792.92612191
0.07000000 1359498.72479535 18822.26072621
0.07100000 1351577.66016868 16056.74335487
0.07200000 1343588.67016037 17654.75595298
0.07300000 1335536.56617590 22236.68486874
0.07400000 1327420.65911623 16426.83142639
0.07500000 1319243.24990921 22559.06063085
0.07600000 1311004.56631629 21198.94483115
0.07700000 1302710.02988669 15241.70806434
0.07800000 1294357.93626813 21473.39916971
0.07900000 1285950.30031921 16974.54476038
0.08000000 1277491.15240411 23282.27734476
0.08100000 1268980.59655519 15608.46206995
0.08200000 1260419.46666971 23538.33464460
0.08300000 1251810.76842612 15772.81642242
0.08400000 1243155.37455463 19020.27812347
0.08500000 1234456.94587602 19109.39441925
0.08600000 1225714.91209744 23993.37053083
0.08700000 1216932.41288463 17669.85946482
0.08800000 1208108.52715276 17741.07455443
0.08900000 1199249.31317526 21046.82643479
0.09000000 1190353.38597812 21122.82182644
0.09100000 1181423.35819426 19564.37173085
0.09200000 1172460.24949472 16355.82124896
0.09300000 1163467.34713959 18045.37940213
0.09400000 1154443.08320405 23031.14059233
0.09500000 1145392.14317262 18143.01240062
0.09600000 1136315.04413563 19840.06160325
0.09700000 1127215.04406704 23198.08669751
0.09800000 1118092.78150887 18264.04644468
0.09900000 1108950.22875342 18297.67963483
0.10000000 1099787.08639023 28325.01774203
0.10100000 1090606.23666092 23360.78668798
0.10200000 1081409.83688067 20049.33931881
0.10300000 1072198.73023873 20071.56117425
0.10400000 1062975.77545989 21764.43002645
0.10500000 1053743.51274806 25131.78396148
0.10600001 1044498.12527985 26822.71311929
0.10700001 1035247.84603100 25156.52384236
0.10800001 1025989.16528551 23484.89309862
0.10900001 1016726.78007938 21808.79045915
0.11000001 1007460.99468345 18451.64898614
0.11100001 998193.36876272 23477.50913846
0.11200001 988926.95443280 20114.77520011
0.11300001 979659.69458039 21777.83603584
0.11400001 970397.04807755 16739.34986750
0.11500001 961138.75699167 28430.48577055
0.11600001 951885.75702579 21717.27456924
0.11700001 942641.52998830 21690.18262653
0.11800001 933403.77762157 18327.38403679
0.11900001 924177.06225020 18298.70669445
0.12000001 914961.47737145 19927.86191585
0.12100001 905760.46723831 16575.41733130
0.12200001 896572.42673406 16541.76205255
0.12300001 887400.91651188 24758.48673716
0.12400001 878245.60019279 18113.81635745
0.12500001 869108.83793364 18068.77359205
0.12600001 859993.17036354 18021.15773419
0.12700001 850898.29890443 21238.42254154
0.12800001 841824.60932913 17918.23765404
0.12900001 832774.96649734 16239.11261208
0.13000001 823750.37868056 25898.71312645
0.13100001 814750.68214497 17745.27069359
0.13200001 805779.31131486 24112.94702779
0.13300001 796837.36210129 20821.36125329
0.13400001 787923.54732791 23933.17887843
0.13500001 779041.21930905 17481.68578553
0.13600001 770190.08866525 26906.59201619
0.13700001 761372.58323469 18912.49585934
0.13800001 752587.87406766 17260.60370568
0.13900001 743840.67948836 21868.91700826
0.14000001 735128.12951613 17102.75673977
0.14100001 726453.47470613 18568.15168922
0.14200001 717815.86034458 16936.86602366
0.14300001 709220.22006628 18382.98897120
0.14400001 700660.70736811 16763.30821451
0.14500001 692146.31345721 18189.60597570
0.14600001 683671.44359926 15074.95604251
0.14700001 675242.65076471 16489.42630959
0.14800001 666855.24623442 20865.90163910
0.14900001 658512.48987332 16298.18489333
0.15000001 650216.08019570 19145.61338471
0.15100001 641966.18387544 14636.82968300
0.15200001 633764.27561283 15999.37989281
0.15300001 625610.66301556 15896.76769738
0.15400001 617503.78133665 18664.05267168
0.15500001 609448.52957497 21391.64439762
0.15600001 601441.46750758 18413.13139675
0.15700001 593488.98479930 18285.39648468
0.15800001 585583.89966681 19552.64733273
0.15900001 577734.10299864 18025.30486436
0.16000001 569934.90846952 19269.50016492
0.16100001 562192.58929161 16393.53667759
0.16200001 554502.07500988 16269.09164879
0.16300001 546867.75769101 16143.53696914
0.16400001 539288.31894340 16016.86382877
0.16500001 531765.30917467 18537.33955300
0.16600001 524298.29682502 22327.24402443
0.16700001 516887.73895606 14328.12880036
0.16800001 509533.83103453 15500.01987193
0.16900001 502239.96962043 17929.96776207
0.17000001 495003.49105856 17775.57620327
0.17100001 487825.65625833 13844.49277837
0.17200001 480707.27224231 17464.09602527
0.17300001 473648.30361666 12362.22130819
0.17400001 466650.13220249 14699.47985858
0.17500001 459711.52974425 15777.30044595
0.17600001 452831.79202815 19236.29543387
0.17700001 446015.48910897 11908.61412166
0.17800001 439259.34713002 12973.52543025
0.17900001 432564.26262208 12847.15920669
0.18000001 425931.96699895 16189.67483035
0.18100001 419362.38727005 13738.31245592
