# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682663.72037794 656.23886653
0.00200000 1682455.96769519 1059.94729321
0.00300000 1682109.87019387 1211.11914968
0.00400000 1681625.28002560 1387.34090874
0.00500000 1681002.69228689 1512.90248294
0.00600000 1680241.80152375 2646.38094514
0.00700000 1679343.28283749 2216.73322547
0.00800000 1678306.58322085 3171.99957621
0.00900000 1677133.06751661 3270.40962146
0.01000000 1675821.85077849 2765.10617318
0.01100000 1674374.25824144 3315.26117566
0.01200000 1672789.68843294 4240.52204610
0.01300000 1671069.59882798 3860.17094354
0.01400000 1669213.11189097 4131.30263507
0.01500000 1667222.16573914 4001.33337595
0.01600000 1665095.55712907 5095.19263259
0.01700000 1662835.40279024 4938.62136783
0.01800000 1660441.20413858 5205.48340921
0.01900000 1657913.76234661 7460.61226720
0.02000000 1655253.71794709 6778.26428161
0.02100000 1652462.67225567 7634.37789195
0.02200000 1649538.90774502 8536.36423541
0.02300000 1646485.22318342 6520.08178059
0.02400000 1643301.57944765 10476.04804666
0.02500000 1639989.29316634 9593.93780318
0.02600000 1636548.47788849 7953.62596632
0.02700000 1632980.33865792 6858.51773649
0.02800000 1629284.60702357 8504.86603869
0.02900000 1625463.84418805 10971.88145203
0.03000000 1621518.57003121 12064.09871556
0.03100000 1617448.77517830 10092.88082152
0.03200000 1613255.61680567 8784.17723809
0.03300000 1608941.96064297 13128.96700410
0.03400000 1604505.61897631 9266.02037713
0.03500000 1599950.10317019 10367.67714730
0.03600000 1595275.11431197 11509.91048168
0.03700000 1590482.52423113 9065.75080739
0.03800000 1585573.47500415 11130.72630965
0.03900000 1580549.52854994 13276.61665466
0.04000000 1575409.29089968 12595.39786440
0.04100000 1570157.06042665 10881.18893328
0.04200000 1564792.82048933 12111.49699247
0.04300000 1559316.78229252 11320.64036492
0.04400000 1553732.82534063 15731.54558718
0.04500000 1548040.16830600 13885.92095491
0.04600000 1542239.51744500 13047.34692411
0.04700000 1536333.97332578 11061.60512240
0.04800000 1530323.65414418 12372.66731943
0.04900000 1524211.43417959 12574.74491730
0.05000000 1517996.79233148 18580.28160335
0.05100000 1511683.06725482 12970.24132125
0.05200000 1505268.49415565 13163.57359483
0.05300000 1498758.52163774 13353.93905032
0.05400000 1492151.53392692 18465.37609346
0.05500000 1485451.47922745 12477.79300759
0.05600000 1478656.66765501 18963.77264760
0.05700000 1471772.55043285 12804.42178646
0.05800000 1464797.24120010 12963.45618992
0.05900000 1457733.16176182 14431.55897548
0.06000000 1450582.78267300 21236.53293048
0.06100000 1443348.03368195 20134.70601079
0.06200000 1436028.99066502 13570.47459612
0.06300000 1428628.86936486 21943.74045943
0.06400000 1421146.03688585 15241.79195841
0.06500000 1413586.48430417 13994.50684924
0.06600000 1405948.14926058 16955.73547342
0.06700000 1398234.43020671 17114.39022667
0.06800000 1390447.84562531 15830.24946344
0.06900000 1382589.00829993 23227.49642692
0.07000000 1374658.09184672 14640.10936374
0.07100000 1366659.47974977 17711.90768714
0.07200000 1358592.02722364 17851.90007402
0.07300000 1350460.87643221 20986.16300308
0.07400000 1342265.18973445 22650.72613828
0.07500000 1334007.35257050 15207.68453213
0.07600000 1325687.52536808 15311.69163582
0.07700000 1317311.16428984 16953.79547935
0.07800000 1308876.53563206 15510.18767461
0.07900000 1300385.72183849 18725.55527277
0.08000000 1291842.81423751 15695.89092930
0.08100000 1283247.77375756 23675.92253666
0.08200000 1274601.66090351 19042.54970747
0.08300000 1265907.48224319 17545.47852734
0.08400000 1257165.83338825 22440.41117930
0.08500000 1248380.62960866 24156.16631694
0.08600000 1239551.21619135 22646.60178311
0.08700000 1230680.94692750 21118.48604095
0.08800000 1221768.76152765 21203.79785212
0.08900000 1212820.72667916 26196.92892673
0.09000000 1203835.28451781 19718.82288670
0.09100000 1194815.50502453 24732.68211598
0.09200000 1185762.10894662 19849.65863644
0.09300000 1176678.46686363 19909.40059492
0.09400000 1167563.23011818 18301.55449223
0.09500000 1158420.66238967 25021.88748371
0.09600000 1149251.59233801 20065.93374548
0.09700000 1140059.17355696 25138.30595875
0.09800000 1130844.24491572 21830.94917454
0.09900000 1121608.56214070 21871.36799019
0.10000000 1112352.06297232 20222.56145585
0.10100000 1103077.32734819 21940.20907284
0.10200000 1093786.84595081 23658.61059073
0.10300000 1084481.46699840 20301.49401721
0.10400000 1075163.89340643 27094.13138849
0.10500000 1065836.64328769 16946.80342561
0.10600001 1056496.26579419 25435.14879581
0.10700001 1047150.26052000 20356.60202244
0.10800001 1037796.11089736 20361.56065406
0.10900001 1028438.04395564 18666.15137633
0.11000001 1019076.07925926 20361.14102199
0.11100001 1009712.47409198 16963.17036326
0.11200001 1000349.56369123 23738.29626392
0.11300001 990985.74998802 22029.61425941
0.11400001 981626.31522811 18626.36020846
0.11500001 972271.48924584 23684.53459329
0.11600001 962921.65385494 18589.20340306
0.11700001 953580.29104850 16878.37194644
0.11800001 944245.56220867 20225.74089511
0.11900001 934921.88250154 18511.45414545
0.12000001 925608.95960469 26879.68545309
0.12100001 916310.98301577 16768.49177912
0.12200001 907025.58959053 20081.54749960
0.12300001 897756.92117194 20037.93542463
0.12400001 888504.36620702 19991.34918160
0.12500001 879270.55470146 19941.85712030
0.12600001 870057.67189842 23204.43920300
0.12700001 860865.63540838 26445.79356604
0.12800001 851694.77537055 28016.50095621
0.12900001 842548.28767057 18072.66162234
0.13000001 833426.88475750 22927.57468037
0.13100001 824330.35206401 17953.91591426
0.13200001 815262.57465001 24396.73369647
0.13300001 806223.85135241 21066.63022898
0.13400001 797213.60921277 16143.57634766
0.13500001 788235.12854569 16079.99738048
0.13600001 779287.97600905 24021.55299311
0.13700001 770374.53913980 23920.13056820
0.13800001 761494.07880130 20640.29797922
0.13900001 752651.41070045 18966.81644409
0.14000001 743843.45803325 17305.51886728
0.14100001 735073.89196659 20354.19702852
0.14200001 726341.51580785 17138.02887381
0.14300001 717651.38971296 20151.65197365
0.14400001 708997.46493605 20046.90426668
0.14500001 700389.04091421 16872.37279153
0.14600001 691820.62826868 19831.03924484
0.14700001 683298.23346312 16686.14364836
0.14800001 674817.76896920 16590.39563282
0.14900001 666382.28388061 25489.12356103
0.15000001 657993.39278686 16393.90615480
0.15100001 649651.29478413 25180.48537397
0.15200001 641357.76587169 30910.23898475
0.15300001 633112.76514680 23399.84890404
0.15400001 624914.82161743 17435.12434591
0.15500001 616768.79845623 25978.30301697
0.15600001 608671.74157800 18634.48624786
0.15700001 600629.29215904 18505.38936482
0.15800001 592634.55957698 14134.33491303
0.15900001 584695.94479210 16839.24400483
0.16000001 576808.21389038 15322.91092528
0.16100001 568977.80846894 20739.24209767
0.16200001 561199.72246058 17837.73402046
0.16300001 553478.11680025 14977.11854765
0.16400001 545811.98462925 13508.84725732
0.16500001 538202.71005480 16081.49773567
0.16600001 530649.84061611 17280.61287553
0.16700001 523154.12964504 13183.48468951
0.16800001 515715.34112249 15688.06141768
0.16900001 508337.40635206 19443.90671107
0.17000001 501017.11007810 15421.30737639
0.17100001 493756.09616222 12738.90788253
0.17200001 486555.07838343 13888.71536832
