# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 328.13292544
0.00100000 1682663.71471246 656.23886432
0.00200000 1682455.94222119 984.23675737
0.00300000 1682109.81896054 1009.26592733
0.00400000 1681625.18687201 1765.70651331
0.00500000 1681002.54028330 1966.77304998
0.00600000 1680241.56998502 2646.38058047
0.00700000 1679342.99168273 2015.21167377
0.00800000 1678306.19534141 3625.14153499
0.00900000 1677132.58295174 2515.69898197
0.01000000 1675821.24801096 3041.61569648
0.01100000 1674373.52740779 3315.25972861
0.01200000 1672788.83428313 3261.93836987
0.01300000 1671068.57537720 3860.16857937
0.01400000 1669211.94180333 4131.29973911
0.01500000 1667220.80186276 4801.59612317
0.01600000 1665094.00751149 4245.98990896
0.01700000 1662833.66577152 5387.58131878
0.01800000 1660439.22527580 7098.37800746
0.01900000 1657911.58910995 6963.22898846
0.02000000 1655251.33585051 6778.25452693
0.02100000 1652460.05882723 5998.43028550
0.02200000 1649536.02265829 7967.25935141
0.02300000 1646482.07772394 6520.06932457
0.02400000 1643298.14528173 7394.84199095
0.02500000 1639985.59647217 7035.53853018
0.02600000 1636544.44666918 9279.20743703
0.02700000 1632976.00316395 8230.19943290
0.02800000 1629279.94267538 9213.57849836
0.02900000 1625458.85875793 7314.56520025
0.03000000 1621513.25303145 9802.04806513
0.03100000 1617443.06083648 8540.09975417
0.03200000 1613249.58105316 11978.37869102
0.03300000 1608935.55405894 11487.80038557
0.03400000 1604498.84009108 12635.42894872
0.03500000 1599942.94564418 10367.63076653
0.03600000 1595267.55765847 13280.60303125
0.03700000 1590474.57621939 12691.98770520
0.03800000 1585565.08796030 12985.77867137
0.03900000 1580540.70102719 17069.84036160
0.04000000 1575399.99393026 12595.32353513
0.04100000 1570147.26778888 14837.89236859
0.04200000 1564782.58226006 12111.41774858
0.04300000 1559306.11411058 13378.84708009
0.04400000 1553721.69178025 13633.90847856
0.04500000 1548028.52359328 12817.67677092
0.04600000 1542227.39250426 10872.70362259
0.04700000 1536321.37326192 11061.51440193
0.04800000 1530310.50606999 12372.56101725
0.04900000 1524197.81286395 13717.78095430
0.05000000 1517982.59944566 15096.33765447
0.05100000 1511668.31648225 16507.41878497
0.05200000 1505253.29322454 21540.17562984
0.05300000 1498742.74061088 16995.74347083
0.05400000 1492135.10302404 13541.12669142
0.05500000 1485434.58376810 17468.71152002
0.05600000 1478639.18099746 16435.07526372
0.05700000 1471754.49572087 16645.54412359
0.05800000 1464778.64662063 15555.94995346
0.05900000 1457713.91381277 14431.36842078
0.06000000 1450562.93085728 14599.91658117
0.06100000 1443327.68402889 16107.53770649
0.06200000 1436007.95589185 20355.41372625
0.06300000 1428607.22181179 15086.09296769
