# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 249.69761198
0.00100000 1664582.20827995 649.18707665
0.00200000 1664376.53895396 823.86641287
0.00300000 1664033.91558765 998.42038492
0.00400000 1663554.19298729 1621.96539979
0.00500000 1662937.83169441 1945.63734009
0.00600000 1662184.59635306 1919.82328695
0.00700000 1661295.07653893 2192.90959217
0.00800000 1660268.80190159 2465.49927492
0.00900000 1659107.01408060 2488.66062751
0.01000000 1657808.99249562 3008.92345130
0.01100000 1656375.90609034 4472.21514116
0.01200000 1654807.23567900 3872.24910126
0.01300000 1653104.41713089 4165.82331490
0.01400000 1651266.61033605 5201.49005315
0.01500000 1649295.63144359 4749.97163007
0.01600000 1647190.36556969 4620.36918197
0.01700000 1644952.90527813 4441.37304349
0.01800000 1642582.83241178 5617.63353963
0.01900000 1640080.81286007 5412.26692665
0.02000000 1637447.48350303 6705.34774827
0.02100000 1634684.52721157 7012.79693969
0.02200000 1631790.15700763 6192.64392719
0.02300000 1628767.20493445 7622.63086606
0.02400000 1625615.64445374 11582.51199487
0.02500000 1622336.60437324 12021.51478744
0.02600000 1618930.46861822 9179.33617691
0.02700000 1615398.27085840 8820.07496286
0.02800000 1611739.71357063 7712.17488311
0.02900000 1607957.61936397 8682.97154324
0.03000000 1604052.12375727 10442.37980565
0.03100000 1600023.46582929 9216.13558724
0.03200000 1595872.49333864 7899.56920587
0.03300000 1591602.41723368 9740.60724252
0.03400000 1587210.88312126 9166.14327295
0.03500000 1582701.56611119 9401.24773683
0.03600000 1578073.76815377 13137.46472701
0.03700000 1573329.57783148 9864.77690922
0.03800000 1568470.36044033 11010.66243986
0.03900000 1563497.31171432 10319.08273519
0.04000000 1558409.21519210 12459.48225282
0.04100000 1553210.19531608 11742.26962104
0.04200000 1547900.35201477 14975.93660052
0.04300000 1542479.97134655 14252.51559681
0.04400000 1536952.53771830 12449.31613369
0.04500000 1531317.82258961 10566.09346682
0.04600000 1525576.18618060 15057.43765758
0.04700000 1519730.73193342 12036.26795669
0.04800000 1513781.58369576 15576.81322099
0.04900000 1507731.56988208 12438.78603052
0.05000000 1501580.34074599 13784.50816994
0.05100000 1495330.96387494 17495.37309234
0.05200000 1488981.81373191 15388.62776205
0.05300000 1482538.40701637 13209.41782231
0.05400000 1475998.89120744 17047.78798845
0.05500000 1469367.34108601 12342.68624090
0.05600000 1462642.10941164 13756.14968094
0.05700000 1455828.48578667 16465.42094283
0.05800000 1448924.72025874 14105.28281033
0.05900000 1441933.08618448 16870.61789631
0.06000000 1434856.19933922 13128.93483732
0.06100000 1427695.56213725 18588.59708770
0.06200000 1420451.66266495 18792.57637549
0.06300000 1413127.83272790 14922.63061132
0.06400000 1405721.89444219 15076.36802296
0.06500000 1398240.40556691 20763.87099396
0.06600000 1390680.91780572 16771.61265346
0.06700000 1383046.68932107 18339.19995865
0.06800000 1375340.51476233 21352.16249116
0.06900000 1367562.90601561 17231.29342255
0.07000000 1359713.97661682 17377.14543491
0.07100000 1351798.21421893 23359.07423579
0.07200000 1343814.56366748 20600.67822610
0.07300000 1335767.76059212 20757.83197222
0.07400000 1327657.14573343 16429.75794842
0.07500000 1319484.99026554 28580.04622877
0.07600000 1311251.80164126 21202.94262655
0.07700000 1302962.46039999 15244.66150148
0.07800000 1294615.83528836 16875.31820437
0.07900000 1286213.64952901 16978.02097012
0.08000000 1277759.82362393 17077.26084385
0.08100000 1269254.87231374 18734.20279433
0.08200000 1260698.94327241 17265.27283829
0.08300000 1252095.80470031 20509.33024353
0.08400000 1243445.76750933 25366.29484785
0.08500000 1234752.69585154 19113.97262909
0.08600000 1226016.17330209 15999.51181279
0.08700000 1217238.98779907 16067.55539344
0.08800000 1208420.49679447 22585.38014578
0.08900000 1199566.68710412 22671.81145116
0.09000000 1190676.24610941 16252.73152287
0.09100000 1181751.50880280 26093.07454025
0.09200000 1172793.78309946 21268.61625585
0.09300000 1163806.21674615 16409.66842725
0.09400000 1154787.28469242 19746.86349629
0.09500000 1145741.70443000 21448.28571506
0.09600000 1136669.69833539 21500.10835469
0.09700000 1127575.07876542 19890.42532453
0.09800000 1118458.02083545 18270.01262936
0.09900000 1109320.57678364 21631.75226446
0.10000000 1100162.49276911 16667.46254928
0.10100000 1090986.87766883 21699.73001741
0.10200000 1081795.72679056 18385.11924157
0.10300000 1072589.76213483 18405.64118405
0.10400000 1063371.68425932 20097.72577800
0.10500000 1054144.45951317 26817.43631176
0.10600001 1044904.06724974 25156.06660272
0.10700001 1035658.68285547 16777.67145178
0.10800001 1026404.91270784 21816.23744631
0.10900001 1017147.32845883 18461.22488042
0.11000001 1007886.29754819 23493.83070169
0.11100001 998623.29823969 21809.93386022
0.11200001 989361.67237069 18446.64924977
0.11300001 980099.02073508 20111.63285236
0.11400001 970840.95663962 23445.81020678
0.11500001 961587.16723552 16731.61749776
0.11600001 952338.62177131 23398.96103881
0.11700001 943098.68067301 25039.27115109
0.11800001 933865.52880527 21670.35061656
0.11900001 924642.83690289 18307.92903301
0.12000001 915431.52688285 18276.59129513
0.12100001 906234.54202405 19900.91148034
0.12200001 897050.60405870 28135.99352182
0.12300001 887883.19751174 18166.09107697
0.12400001 878731.78923900 24714.33273682
0.12500001 869598.83247566 18078.96057906
0.12600001 860487.04410124 22949.19054763
0.12700001 851395.93007108 16346.80262773
0.12800001 842325.89590991 16299.00685402
0.12900001 833279.76149125 21123.64294940
0.13000001 824258.61327938 22675.35552012
0.13100001 815262.37431757 22599.07408135
0.13200001 806294.24561755 19302.68515002
0.13300001 797355.64740397 16026.84926837
0.13400001 788444.95977529 20755.81454463
0.13500001 779565.65200286 20674.08206586
0.13600001 770717.57986335 17422.07171427
0.13700001 761903.00149676 17348.53216212
0.13800001 753121.16541294 20413.35015112
0.13900001 744376.68542243 18758.29335725
0.14000001 735666.63770491 21783.09016975
0.14100001 726994.53450571 15484.98431529
0.14200001 718359.45215737 21572.33536575
0.14300001 709766.15306112 21463.32948094
0.14400001 701208.96786118 19826.68450150
0.14500001 692696.59232495 19721.07291378
0.14600001 684223.78593001 18104.56222978
0.14700001 675797.07634649 15002.69580267
0.14800001 667411.58535562 14916.64963645
0.14900001 659070.63522034 17794.90799053
0.15000001 650775.80735462 14740.07273206
0.15100001 642527.64260879 16114.59403699
0.15200001 634327.14475976 16013.58952509
0.15300001 626174.87973498 20250.49656623
0.15400001 618069.26468976 18681.14440683
0.15500001 610015.21925057 19984.09952576
0.15600001 602009.19237437 24101.43915417
0.15700001 594057.70202408 15487.08502271
0.15800001 586153.45516867 18173.68873528
0.15900001 578304.51490055 15267.23991400
0.16000001 570505.95568744 17911.03532425
0.16100001 562764.09369446 19145.23537122
0.16200001 555074.04715147 19000.18553092
0.16300001 547440.10927190 25587.35191529
0.16400001 539860.91174056 14697.71401601
0.16500001 532338.00890890 18557.30386668
0.16600001 524871.09441163 13148.02153577
0.16700001 517460.34019882 19560.00178304
0.16800001 510106.34061206 21983.03378664
0.16900001 502812.01470687 14103.87767849
0.17000001 495575.24603180 19067.25849142
0.17100001 488397.02077675 20161.02996969
0.17200001 481277.79366955 18733.73900325
0.17300001 474218.16080062 13614.80403954
0.17400001 467219.25745116 15943.85791349
