# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 328.13292544
0.00100000 1682663.83806424 555.27907975
0.00200000 1682456.44383083 1059.94759318
0.00300000 1682110.94839582 1009.26660499
0.00400000 1681627.20408688 1639.58658629
0.00500000 1681005.67243193 1815.48619809
0.00600000 1680246.10941469 1940.68433538
0.00700000 1679349.13698767 4433.48190590
0.00800000 1678314.25055506 2718.86920069
0.00900000 1677142.71798105 2515.71418451
0.01000000 1675833.78897279 4977.22656816
0.01100000 1674388.67000844 3918.06965841
0.01200000 1672806.84823912 4566.76289592
0.01300000 1671089.71154457 5263.93282353
0.01400000 1669236.46589834 4506.93865772
0.01500000 1667248.92416480 6002.09639426
0.01600000 1665125.92260443 4670.67842170
0.01700000 1662869.66588525 5387.69795915
0.01800000 1660479.61940286 6152.07726672
0.01900000 1657956.48442762 5471.25664549
0.02000000 1655301.01673130 6257.03812629
0.02100000 1652514.76464924 5998.62886765
0.02200000 1649596.00871373 6260.21713748
0.02300000 1646547.49391063 6520.32837268
0.02400000 1643369.29013551 9860.21619041
0.02500000 1640062.55732759 8954.74197198
0.02600000 1636627.59606925 6628.34206725
0.02700000 1633065.49228641 8230.65045810
0.02800000 1629375.96912089 12758.01442329
0.02900000 1625561.78689070 10241.03972762
0.03000000 1621623.12297369 8294.60265527
0.03100000 1617560.25680364 10870.00542588
0.03200000 1613374.06762554 9583.44240309
0.03300000 1609067.63545508 9026.86985105
0.03400000 1604638.71299834 8424.35363194
0.03500000 1600090.97768667 11232.63918206
0.03600000 1595423.69702938 11510.98250603
0.03700000 1590639.04951150 9973.30730168
0.03800000 1585738.25277269 13914.85381205
0.03900000 1580722.72699861 9484.33680121
0.04000000 1575591.05417912 14534.82814833
0.04100000 1570347.36054235 17807.73989423
0.04200000 1564991.93323426 11103.61828143
0.04300000 1559525.06890700 14410.01230558
0.04400000 1553949.99375757 13635.91182850
0.04500000 1548266.75177945 17092.86573386
0.04600000 1542475.58926737 14136.78943281
0.04700000 1536579.66635574 12169.71152353
0.04800000 1530579.09157137 13499.70821578
0.04900000 1524476.72829202 16007.00639215
0.05000000 1518272.19117231 15099.21764432
0.05100000 1511968.55439797 16510.69738316
0.05200000 1505564.19969866 19150.77751262
0.05300000 1499064.63742745 13356.66654214
0.05400000 1492468.13449313 12312.86268376
0.05500000 1485778.69613082 16224.70411862
0.05600000 1478994.70745119 16439.02694043
0.05700000 1472121.34931179 16649.69323790
0.05800000 1465157.12618615 12966.64117219
0.05900000 1458103.86375210 18372.10954136
0.06000000 1450964.86759723 21242.12665403
0.06100000 1443741.18227101 20140.19043386
0.06200000 1436433.28916238 20361.44282564
0.06300000 1429044.73117097 19206.36208494
0.06400000 1421573.18381689 13860.33919042
0.06500000 1414025.30032038 13998.85112801
0.06600000 1406398.70404680 15547.73840069
0.06700000 1398696.36733774 15693.37397596
0.06800000 1390921.54610537 17275.24641127
0.06900000 1383074.41919961 17426.73849782
0.07000000 1375155.18021252 17574.48402610
0.07100000 1367168.37026373 16241.96099947
0.07200000 1359113.00869074 16370.51695659
0.07300000 1350993.81174584 19494.84161693
0.07400000 1342810.03090923 22659.92033353
