# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 306.16431016
0.00100000 1700843.10409329 561.27823768
0.00200000 1700633.85895961 841.81378684
0.00300000 1700285.27173551 1326.22255920
0.00400000 1699797.20384961 1657.30233673
0.00500000 1699170.12644897 1682.17849177
0.00600000 1698403.76994435 2496.65364346
0.00700000 1697498.79941016 2648.09823714
0.00800000 1696454.65405931 2519.23526764
0.00900000 1695272.65700908 4322.94546017
0.01000000 1693952.02733353 2795.02096579
0.01100000 1692493.98225530 3351.13823077
0.01200000 1690898.03599474 3297.25131475
0.01300000 1689165.52872084 4256.69732012
0.01400000 1687295.69387571 4176.05702747
0.01500000 1685290.38496600 6067.04565604
0.01600000 1683148.38706975 5579.63715257
0.01700000 1680871.92565612 6353.69616400
0.01800000 1678460.44339438 6697.05747049
0.01900000 1675914.72045799 6033.29326589
0.02000000 1673235.44469336 7378.96864489
0.02100000 1670424.22393843 6614.88022670
0.02200000 1667479.29278914 6903.36458578
0.02300000 1664403.40254042 8388.59353064
0.02400000 1661196.65181730 8721.28281971
0.02500000 1657860.32458505 7758.78667341
0.02600000 1654394.40594644 12060.53577098
0.02700000 1650800.35696780 6933.36181682
0.02800000 1647077.65252044 7881.26692874
0.02900000 1643229.12367798 8133.98453567
0.03000000 1639255.00517660 9909.29696178
0.03100000 1635155.56094851 9418.49646444
0.03200000 1630931.61133572 12109.66777192
0.03300000 1626586.36981515 10784.26812903
0.03400000 1622117.51051304 11070.95252007
0.03500000 1617528.69346345 9608.12088286
0.03600000 1612819.24454280 10741.37666505
0.03700000 1607991.40178046 10998.66169684
0.03800000 1603046.21580870 12191.16703543
0.03900000 1597985.30071978 9587.91224834
0.04000000 1592807.16659967 10775.34098137
0.04100000 1587515.92323528 11001.48585812
0.04200000 1582111.94861275 15306.93381296
0.04300000 1576595.48118268 12486.63679057
0.04400000 1570969.81850472 12724.85612086
0.04500000 1565234.78401061 14040.15666495
0.04600000 1559390.96112795 15391.18950182
0.04700000 1553441.29392791 20132.60010563
0.04800000 1547386.06545427 12510.61692129
0.04900000 1541228.09282726 13871.05348111
0.05000000 1534966.86110528 12916.74673768
0.05100000 1528605.69551825 27423.18745508
0.05200000 1522142.75498143 12101.03546603
0.05300000 1515583.66399387 17186.71955090
0.05400000 1508926.74133262 13693.51081617
0.05500000 1502175.94153360 17665.58989652
0.05600000 1495329.60931466 15342.08250749
0.05700000 1488393.16561919 14243.92325986
0.05800000 1481364.88893391 17043.10384297
0.05900000 1474246.61044707 17248.68614784
0.06000000 1467041.75016348 16108.11916935
0.06100000 1459751.58544590 20363.53556859
0.06200000 1452376.13383995 20587.43265951
0.06300000 1444919.17130362 16645.46963168
0.06400000 1437378.52876555 18218.77370414
0.06500000 1429760.60324116 14154.63063421
0.06600000 1422063.23475666 20008.43064919
0.06700000 1414289.36601178 18753.47787096
0.06800000 1406442.28018267 16012.34610940
0.06900000 1398521.96730899 26432.06641966
0.07000000 1390528.95205889 16290.04743621
0.07100000 1382467.50285359 19409.84464918
0.07200000 1374336.90591128 15048.98982473
0.07300000 1366141.77225520 18197.00925907
0.07400000 1357881.24971425 15276.16477519
0.07500000 1349557.99043932 15384.96181214
0.07600000 1341172.22542818 20137.70190887
0.07700000 1332728.86804832 23389.39273094
0.07800000 1324226.91154871 20399.71652908
0.07900000 1315668.36694518 15788.02114386
0.08000000 1307056.77787041 20644.96277494
0.08100000 1298392.77782882 20761.30149157
0.08200000 1289676.63666124 20873.41734385
0.08300000 1280912.18321417 22595.29197234
0.08400000 1272099.38361574 25950.82864386
0.08500000 1263242.73864223 17925.41530284
0.08600000 1254341.36900986 18006.07119755
0.08700000 1245398.18060897 18083.18243159
0.08800000 1236412.70407192 23108.55452437
0.08900000 1227391.06639173 19883.73620948
0.09000000 1218331.48376087 19956.27064146
0.09100000 1209236.63750635 18356.21301974
0.09200000 1200107.94898145 23438.10934489
0.09300000 1190948.62182944 18471.61399260
0.09400000 1181757.09894011 21892.05128674
0.09500000 1172537.64902062 16884.54293952
0.09600000 1163291.16983567 28774.00843849
0.09700000 1154021.20241635 22053.34621497
0.09800000 1144728.13150271 23798.89897291
0.09900000 1135413.76427532 20437.44871798
0.10000000 1126077.84601173 20472.09620324
0.10100000 1116723.84217950 20503.05070671
0.10200000 1107353.76599344 23952.06308505
0.10300000 1097967.94714844 23979.62109374
0.10400000 1088569.61521286 24002.96114467
0.10500000 1079161.34767054 24022.13272937
0.10600001 1069739.62781017 22320.11838450
0.10700001 1060311.49123762 22330.16105627
0.10800001 1050875.18904227 20618.17217934
0.10900001 1041434.38950373 20620.40188269
0.11000001 1031989.91751754 29210.47599026
0.11100001 1022542.85522050 24050.20908691
0.11200001 1013096.19529044 17171.98131858
0.11300001 1003648.71131642 17162.39377153
0.11400001 994205.20411607 20580.04869420
0.11500001 984765.72344296 20561.90927371
0.11600001 975331.30493870 20540.47824929
0.11700001 965904.88182394 20515.82065613
0.11800001 956485.19450464 29024.54459425
0.11900001 947075.63777828 18752.09851126
0.12000001 937677.19794925 18720.72613889
0.12100001 928293.20891635 22084.09648046
0.12200001 918921.32500871 20344.91909417
0.12300001 909566.55527891 16917.93872527
0.12400001 900227.25745254 23630.96662156
