# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1628779.37420970 268.74859674
0.00100000 1628712.28698305 586.33643724
0.00200000 1628510.96846443 1025.96194262
0.00300000 1628175.60162796 1074.59593535
0.00400000 1627706.02626163 1342.85752269
0.00500000 1627102.69476381 2343.02797320
0.00600000 1626365.39928340 2390.75723428
0.00700000 1625494.71575693 2535.77186197
0.00800000 1624490.10760672 2193.06173786
0.00900000 1623352.94011608 3165.53836855
0.01000000 1622082.38792559 3479.36687234
0.01100000 1620679.62231461 3208.94579190
0.01200000 1619144.15145036 5998.92934414
0.01300000 1617477.36508469 4415.71340144
0.01400000 1615678.47872952 5089.38743362
0.01500000 1613749.16357562 5422.19743106
0.01600000 1611688.46673309 6986.66981562
0.01700000 1609498.34425965 6083.90401422
0.01800000 1607178.43835904 6412.64225761
0.01900000 1604729.35360726 5295.60710586
0.02000000 1602151.78675853 7065.48969922
0.02100000 1599447.34572719 6861.62942427
0.02200000 1596614.15565348 5508.31908726
0.02300000 1593655.18519399 7458.30660620
0.02400000 1590570.36500560 8946.95871112
0.02500000 1587360.76784293 6190.70727732
0.02600000 1584026.71447774 11547.55527671
0.02700000 1580569.25511001 8629.90852816
0.02800000 1576988.16600091 8917.86848771
0.02900000 1573286.06284025 9203.72389020
0.03000000 1569463.30266855 8027.80516215
0.03100000 1565519.90605932 9017.39507382
0.03200000 1561456.97577043 8502.13362466
0.03300000 1557277.28543415 7942.11452185
0.03400000 1552978.72210224 11414.39413412
0.03500000 1548564.77852034 11707.15026623
0.03600000 1544035.08470016 11997.15316255
0.03700000 1539391.43698246 11406.89107558
0.03800000 1534635.13263546 10773.13912968
0.03900000 1529767.30326537 10096.46466912
0.04000000 1524786.93988423 14066.16017224
0.04100000 1519697.97056155 12446.32695599
0.04200000 1514500.65625403 10745.38265463
0.04300000 1509195.15441682 9960.68848151
0.04400000 1503784.99782255 12180.65904806
0.04500000 1498269.60577155 13439.47898823
0.04600000 1492649.61679305 13680.13437385
0.04700000 1486928.02195408 11776.47048158
0.04800000 1481104.89717537 11974.73365082
0.04900000 1475183.32230214 13276.65051871
0.05000000 1469162.24908556 15734.72842041
0.05100000 1463045.39444960 11411.75460831
0.05200000 1456830.74581729 16214.52695656
0.05300000 1450524.07123763 14099.09462970
0.05400000 1444123.10470070 15488.22102019
0.05500000 1437632.01973239 14491.33143491
0.05600000 1431049.56257489 13459.02176407
0.05700000 1424380.37179814 21066.58668225
0.05800000 1417623.06115724 16309.75408016
0.05900000 1410779.71274727 13966.71980853
0.06000000 1403852.99648403 14129.78106974
0.06100000 1396844.19422979 15588.78193609
0.06200000 1389753.97124551 15759.81077059
0.06300000 1382585.44925167 14600.10302673
0.06400000 1375336.59223365 16091.43888168
0.06500000 1368014.07463680 21669.34395589
0.06600000 1360614.87936444 17776.43423063
0.06700000 1353142.59216926 16562.46610326
0.06800000 1345599.80196525 18105.04618292
0.06900000 1337987.36651616 18263.52840802
0.07000000 1330304.98612806 21251.62314858
0.07100000 1322557.27425480 21425.42884645
0.07200000 1314742.99202373 20155.01101192
0.07300000 1306867.17548890 24660.58475696
0.07400000 1298928.61588846 20458.12665900
0.07500000 1290930.14549419 17659.92521813
0.07600000 1282871.69236966 22225.75311226
0.07700000 1274758.41424318 20880.54380436
0.07800000 1266589.04109144 16509.98892488
0.07900000 1258365.45321710 15100.38614687
0.08000000 1250091.11824822 21264.05091892
0.08100000 1241766.48759894 24437.96562253
0.08200000 1233392.66702143 19962.46125248
0.08300000 1224971.91502518 16978.11153907
0.08400000 1216505.88991626 23265.67623671
0.08500000 1207997.54479903 20258.11977730
0.08600000 1199446.39945377 15652.77624779
0.08700000 1190856.12961356 25150.88263847
0.08800000 1182224.85946835 18939.24313814
0.08900000 1173559.28283366 20595.96638112
0.09000000 1164857.64041928 19080.36904638
0.09100000 1156122.83591953 25527.19341640
0.09200000 1147355.36942541 22407.85141775
0.09300000 1138558.88856897 19264.41729986
0.09400000 1129731.79156246 24148.01817954
0.09500000 1120878.41577879 20982.84492963
0.09600000 1111999.73839323 17797.55664961
0.09700000 1103098.24471430 22701.76294349
0.09800000 1094175.02149901 17873.34981655
0.09900000 1085232.11070136 16278.48242597
0.10000000 1076268.91558667 17936.02232173
0.10100000 1067288.20305861 16329.51027480
0.10200000 1058292.47792048 17985.68150824
0.10300000 1049282.23100494 16368.80357368
0.10400000 1040260.36852135 22937.74220500
0.10500000 1031229.55219131 22955.17091180
0.10600001 1022185.68770634 19687.29727158
0.10700001 1013137.10351978 19695.38621924
0.10800001 1004080.25939114 18058.38431501
0.10900001 995019.78374300 19701.39264537
0.11000001 985955.61967191 19699.39420829
0.11100001 976889.86193092 18052.92549830
0.11200001 967825.10858154 21326.02727156
0.11300001 958760.02220352 16394.79715156
0.11400001 949698.77412168 26211.68739992
0.11500001 940642.07056787 19640.60735829
0.11600001 931590.35134810 16349.41143608
0.11700001 922547.08869834 21227.80951067
0.11800001 913510.20741601 16306.15797037
0.11900001 904483.93266789 22792.99617682
0.12000001 895468.85677397 16252.76051603
0.12100001 886467.62870283 24333.53755420
0.12200001 877479.27681864 17808.44276201
0.12300001 868506.73551896 19385.07125010
0.12400001 859550.29131988 24174.85308243
0.12500001 850611.82115407 17684.22059508
0.12600001 841694.00877904 19241.12594740
0.12700001 832796.57289097 22385.57293426
0.12800001 823919.50899793 23914.26487573
0.12900001 815066.31819070 15893.79395383
0.13000001 806236.72276832 17426.80758405
0.13100001 797432.28996998 17368.07609424
0.13200001 788655.12334359 17307.03749763
0.13300001 779906.83742137 15676.12817119
0.13400001 771185.78875282 18739.81555019
0.13500001 762495.85961416 23332.37440427
0.13600001 753835.80179030 18589.59174866
0.13700001 745208.90684533 16968.40760898
0.13800001 736614.03051845 19965.92423871
0.13900001 728055.75767877 15289.17163226
0.14000001 719531.33424259 21305.32381169
0.14100001 711043.88704995 15145.23550846
0.14200001 702592.47236462 19591.79201594
0.14300001 694182.11954533 16493.76793837
0.14400001 685807.16157290 20882.82905494
0.14500001 677475.97847782 19287.74201711
0.14600001 669183.40363734 17706.59369554
0.14700001 660936.28754270 20541.90078592
0.14800001 652729.19334538 18965.04760740
0.14900001 644565.82346893 21754.09756845
0.15000001 636447.42198564 15857.08826696
0.15100001 628374.93632586 15759.64414667
0.15200001 620348.88895069 17084.40920786
0.15300001 612370.17998014 16974.90219008
0.15400001 604437.12508459 15458.48020354
0.15500001 596554.38938050 15355.31070732
0.15600001 588718.48534908 18023.61727959
0.15700001 580936.58262998 17898.65695559
0.15800001 573200.32856878 15037.91132977
0.15900001 565518.33290838 20358.66094564
0.16000001 557885.67910192 16167.52774352
0.16100001 550308.30819302 18721.48952846
0.16200001 542781.96737694 18579.42762037
0.16300001 535310.25329478 13168.63285271
0.16400001 527892.34713631 16984.93707096
0.16500001 520529.10070633 14257.29274145
0.16600001 513221.42808899 16713.05659479
0.16700001 505968.22842063 16575.51994567
0.16800001 498770.34399949 22758.89187129
0.16900001 491631.15754683 15043.91413128
0.17000001 484547.91722406 14914.38559641
0.17100001 477522.29476452 14784.09094403
0.17200001 470554.51226462 17095.24623786
0.17300001 463645.07280943 21782.04654923
0.17400001 456794.60566553 14389.03075800
0.17500001 450002.58295717 13068.07562625
0.17600001 443267.59906353 12945.63084206
0.17700001 436595.25099267 15154.22187770
0.17800001 429980.92890376 13853.98618363
0.17900001 423426.91137090 14862.28529112
0.18000001 416933.80779829 12451.72875805
0.18100001 410502.30545980 19051.41289631
0.18200001 404128.68762215 14421.33289903
0.18300001 397818.50638892 10979.79129501
0.18400001 391568.05286999 15212.41957264
0.18500001 385379.56996473 12902.50861196
0.18600001 379252.49977749 14893.24636987
0.18700001 373186.34803610 15785.78326772
0.18800001 367182.00100202 12491.53226427
0.18900001 361241.01468365 10295.36940491
0.19000001 355357.79449989 11199.10142281
0.19100001 349541.72938667 10066.80228199
0.19200001 343783.15622619 10947.77512732
0.19300001 338089.61556267 11806.08993332
0.19400001 332457.02761094 9724.36851713
0.19500001 326887.06759173 12493.62431374
0.19600001 321377.60438760 12345.72125596
0.19700001 315931.28556961 12198.10751230
0.19800001 310546.59832891 9269.81639820
0.19900001 305224.71153290 12819.43849023
0.20000001 299962.71481762 10852.65153501
0.20100001 294764.38635416 13397.04199297
0.20200001 289626.48915221 10582.95241381
0.20300001 284550.65948613 12190.15082855
0.20400001 279536.36207691 9455.31789416
0.20500001 274582.56498179 11029.98215667
0.20600001 269690.63709223 9211.28414528
0.20700001 264859.36183876 10742.69622398
0.20800001 260089.12219221 10599.93267600
0.20900001 255381.38605509 11262.31965741
0.21000001 250731.71510293 7935.65915814
0.21100001 246142.64360648 11741.00465507
0.21200001 241613.42065263 7719.54915479
0.21300001 237144.27678228 7612.33164459
0.21400001 232735.44653493 9757.43405727
0.21500001 228386.52584075 7399.72378708
0.21600001 224095.39919987 8023.73614770
0.21700001 219863.72078842 10065.36161358
0.21800001 215690.75199038 7793.98569168
0.21900001 211574.92756478 7680.17023373
0.22000001 207516.95577988 10318.78111405
0.22100001 203518.83980822 10843.48429770
0.22200001 199577.19312347 9346.20039590
0.22300001 195692.30178858 9862.89247652
0.22400001 191862.88795649 12303.20827198
0.22500001 188093.07093465 7651.62648745
0.22600001 184376.92950509 6905.83822118
0.22700001 180717.91501875 9888.88477746
0.22800001 177113.62284922 9734.16517212
0.22900001 173564.06259113 9580.73670811
0.23000001 170069.22584734 6482.18884973
0.23100001 166630.36451792 6958.48435135
0.23200001 163243.60823025 6275.90081522
0.23300001 159911.29507510 7296.75273937
0.23400001 156632.17595257 9938.31203423
0.23500001 153404.81992411 6516.63705859
0.23600001 150230.53417542 6942.90446530
0.23700001 147108.18297328 6302.11485665
0.23800001 144037.11763821 5680.10400272
0.23900001 141017.55516797 7614.94833925
0.24000001 138048.28184766 7984.71299975
0.24100001 135130.81998759 8829.44819563
0.24200001 132262.18283130 5785.14815069
0.24300001 129443.28340755 6158.91171586
0.24400001 126672.62382425 6517.30680405
0.24500001 123951.14666188 5488.55703382
0.24600001 121278.19155324 5841.36437249
0.24700001 118653.05101823 6620.84056002
0.24800001 116074.42950854 4335.38014724
0.24900001 113542.48633928 4257.84343915
0.25000001 111057.70171778 7108.24853472
0.25100001 108617.74517951 4926.90115443
0.25200001 106224.66341465 7659.32971787
0.25300001 103876.72760284 4353.47385980
0.25400001 101572.17487750 6216.21739660
0.25500001 99312.31188983  6864.46732260
0.25600001 97096.12122091  4117.36121518
0.25700001 94922.97303348  5142.92692228
0.25800001 92792.36146075  3604.98341332
0.25900001 90704.59181119  3891.22717281
0.26000001 88659.02222503  4859.40123808
0.26100001 86652.71976122  5789.26848117
0.26200001 84689.49896207  3675.10098135
0.26300001 82765.31304792  5571.76113803
0.26400001 80881.26189254  3536.53334359
0.26500001 79037.40757834  4730.38906740
0.26600001 77231.38916917  3402.42901085
0.26700001 75465.36977383  3943.82041100
0.26800001 73736.89378544  3570.34056604
0.26900001 72045.38068165  3501.40566682
0.27000001 70391.95508445  3433.71973151
0.27100001 68774.77300341  3928.41521986
0.27200001 67194.39618087  3026.77171920
0.27300001 65649.04683147  3507.62873820
0.27400001 64138.13897319  3703.97770099
0.27500001 62664.14406830  3372.58439336
0.27600001 61222.52623645  3052.55530261
0.27700001 59816.68932532  4240.40530696
0.27800001 58442.93020733  2445.83674493
0.27900001 57103.07173112  3117.82786408
0.28000001 55795.10370946  3997.99834552
0.28100001 54519.27173150  2306.16530339
0.28200001 53275.67475227  2487.70775030
0.28300001 52063.11927222  2661.46678316
0.28400001 50881.53411268  3045.25996078
0.28500001 49730.41472328  2560.12187113
0.28600001 48608.44184804  2720.37157679
0.28700001 47516.48639366  2668.52600218
0.28800001 46452.86639480  2215.10503888
0.28900001 45419.00578823  2963.59026796
0.29000001 44412.43417021  2520.18369628
0.29100001 43434.66680817  2282.92619550
0.29200001 42483.34194727  2800.71445045
0.29300001 41559.08799056  2382.58262728
0.29400001 40661.13580448  2339.03194787
0.29500001 39790.52318065  2296.70910671
0.29600001 38944.02007779  1734.95617659
0.29700001 38122.84953437  1704.09145485
0.29800001 37326.97787954  1841.52654086
0.29900001 36555.61740504  1809.50314721
0.30000001 35807.89790894  2101.74466726
0.30100001 35084.54487265  2225.06194116
0.30200001 34383.38048210  1875.26966027
0.30300001 33705.66921608  2151.77002462
0.30400001 33050.87427336  2116.90859743
0.30500001 32416.98712872  2678.29160337
0.30600001 31805.18114505  1611.09152718
0.30700001 31215.10153269  1586.35153499
0.30800001 30645.58948878  1562.46545406
0.30900001 30096.43976408  1819.32986987
0.31000001 29568.50024409  1793.18178220
0.31100001 29058.40579778  1359.93345572
0.31200001 28569.30466052  1877.86048424
0.31300001 28098.15474759  1720.45009665
0.31400001 27647.29162436  1306.33459110
0.31500001 27214.12120228  1418.94434667
0.31600002 26798.50583341  2166.25732161
0.31700002 26400.51916432  1511.16578852
0.31800002 26020.11215263  1494.07491055
0.31900002 25656.92418033  1354.68566086
0.32000002 25309.87273633  1340.53747295
0.32100002 24979.59860038  1447.81760343
0.32200002 24665.67827551  1314.55738594
0.32300002 24366.48674906  1184.21131208
0.32400002 24083.10911993  1526.26711275
0.32500002 23814.09897158  1164.50949485
0.32600002 23560.43758733  1155.63951838
0.32700002 23320.78108141  1262.12073189
0.32800002 23096.01652216  1595.70385708
0.32900002 22883.74361750  1472.56897152
0.33000002 22686.39041166  1464.29313846
0.33100002 22500.15182638  1232.55837542
0.33200002 22328.78257066  1338.38729066
0.33300002 22169.12746208  1443.87533998
0.33400002 22022.25788297  1217.28036213
0.33500002 21886.76685221  1434.02103207
0.33600002 21763.18395691  1320.15480134
0.33700002 21650.11305178  1317.19294045
0.33800002 21549.73247915  1095.80394846
0.33900002 21458.78348258  1203.83781038
0.34000002 21379.47760163  1530.98446356
0.34100002 21310.05801362  1421.16783623
0.34200002 21251.67158779  1312.07826597
0.34300002 21201.76947250  1641.01703489
0.34400002 21162.18466102  1423.68604050
0.34500002 21131.49521565  1974.10437654
0.34600002 21111.18553131  1318.60471074
0.34700002 21097.55265138  1431.67999073
0.34800002 21094.05733412  1435.55613986
0.34900002 21098.58362953  1107.67569301
0.35000002 21111.13549707  1111.50133656
0.35100002 21131.67122685  1450.47798171
0.35200002 21159.24964436  1680.57348260
0.35300002 21194.40418758  1350.50749880
0.35400002 21237.33095257  1470.15430482
0.35500002 21286.93040174  1364.06656475
0.35600002 21342.77258373  1600.06773639
0.35700002 21405.28254048  1264.41009955
0.35800002 21474.72873277  1387.69703644
0.35900002 21549.83782687  2094.64433599
0.36000002 21631.70281004  1405.62811518
0.36100002 21718.09971596  1533.08073157
0.36200002 21811.46785961  1425.16137745
0.36300002 21908.20816287  2272.75762247
0.36400002 22011.02369788  1325.61396500
0.36500002 22118.33471123  1457.15595980
0.36600002 22230.97095192  1468.57801065
0.36700002 22347.54631656  1727.01846115
0.36800002 22469.97123508  1243.71296677
0.36900002 22595.74205560  1254.06374349
0.37000002 22724.50401803  1391.08057936
0.37100002 22857.80835797  1275.46576679
0.37200002 22995.04757531  1415.23027006
0.37300002 23135.18165809  2336.19075450
0.37400002 23279.75095235  1440.43465841
0.37500002 23426.47347392  1717.62911647
