# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097352 271.69992646
0.00100000 1646598.40297813 493.97953262
0.00200000 1646394.89316340 740.87772538
0.00300000 1646055.86695435 1086.39691089
0.00400000 1645581.16304136 1727.86028685
0.00500000 1644971.28170846 1924.61647578
0.00600000 1644225.92723959 2244.36848205
0.00700000 1643345.77045891 2760.82100911
0.00800000 1642330.22453641 2660.57507608
0.00900000 1641180.66169059 2461.77109777
0.01000000 1639896.25395986 4329.32629739
0.01100000 1638478.20996298 4128.96526888
0.01200000 1636925.99090861 3830.40698667
0.01300000 1635241.05249913 4120.80763405
0.01400000 1633422.51987046 4042.72091590
0.01500000 1631472.21655775 5090.19354232
0.01600000 1629389.03779975 5816.91912498
0.01700000 1627175.06686472 5272.04745314
0.01800000 1624829.82690374 6019.99477956
0.01900000 1622354.02433516 6327.18098041
0.02000000 1619748.37929005 7653.31143835
0.02100000 1617014.46380335 5869.76276973
0.02200000 1614150.36808192 8353.22853433
0.02300000 1611159.17280591 8120.24260056
0.02400000 1608040.69317663 7839.19873668
0.02500000 1604796.09900665 8136.31659355
0.02600000 1601425.69669426 9080.08411556
0.02700000 1597930.50538094 7382.43927298
0.02800000 1594310.38464927 10402.87573691
0.02900000 1590567.82405382 8589.06664425
0.03000000 1586703.41899212 8115.98836120
0.03100000 1582716.91947392 9116.44987565
0.03200000 1578609.68968114 9376.94198859
0.03300000 1574384.40542276 9635.23300538
0.03400000 1570038.96160375 8242.70492874
0.03500000 1565576.80076434 10144.93813743
0.03600000 1560997.64921063 9529.89108884
0.03700000 1556303.31233151 9758.02221960
0.03800000 1551495.06048710 14521.99443823
0.03900000 1546574.08263536 12063.27840321
0.04000000 1541539.29187014 13272.65391804
0.04100000 1536394.73705298 11615.14475067
0.04200000 1531140.70132760 11851.02957808
0.04300000 1525777.18544228 10070.12989135
0.04400000 1520307.96340904 13340.70299848
0.04500000 1514732.27813475 11496.81852524
0.04600000 1509050.84985227 17022.09437764
0.04700000 1503266.74949950 16235.28164966
0.04800000 1497379.89969621 12106.31705233
0.04900000 1491393.58977362 16778.17866594
0.05000000 1485306.76693251 13635.11675538
0.05100000 1479122.95574435 13844.59151070
0.05200000 1472840.39447537 11709.08168174
0.05300000 1466464.65624911 13066.20069630
0.05400000 1459993.72002427 14453.93850228
0.05500000 1453431.68338680 14650.59205198
0.05600000 1446777.15886977 16080.92887124
0.05700000 1440034.91580132 13781.13478750
0.05800000 1433203.72839169 12683.85358851
0.05900000 1426285.33124295 21822.16658724
0.06000000 1419282.67411709 18181.01190484
0.06100000 1412197.32182314 21013.49713072
0.06200000 1405029.50267450 15933.03530509
0.06300000 1397782.42564543 14760.58310495
0.06400000 1390454.24431881 14912.62246773
0.06500000 1383051.30891994 15061.42945868
0.06600000 1375571.08417992 23501.63307282
0.06700000 1368016.96702802 15349.15108838
0.06800000 1360391.47741977 16896.06294044
0.06900000 1352695.69775863 18464.29713888
0.07000000 1344929.11585400 21485.24363189
0.07100000 1337096.30541942 20216.89708486
0.07200000 1329196.38307466 14554.70107651
0.07300000 1321234.13928029 16132.26959650
0.07400000 1313208.47665663 19205.67487116
0.07500000 1305122.38200082 16366.23543742
0.07600000 1296975.36008226 17976.07933347
0.07700000 1288773.20423847 15078.64719661
0.07800000 1280514.12335992 19726.32099545
0.07900000 1272200.17443017 18319.68337106
0.08000000 1263835.04806202 18426.71586516
0.08100000 1255418.93823857 21618.31513076
0.08200000 1246953.21747066 21734.39560040
0.08300000 1238440.04631877 17164.77984756
0.08400000 1229880.95346173 17249.08118195
0.08500000 1221279.17270271 15754.50206746
0.08600000 1212634.09726025 20572.33842592
0.08700000 1203949.29503852 19070.55772892
