# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 299.63713438
0.00100000 1664582.34085845 798.99954259
0.00200000 1664377.07079747 823.86667613
0.00300000 1664035.10249741 1397.78953589
0.00400000 1663556.29718957 1871.50090545
0.00500000 1662941.12594896 1795.97648711
0.00600000 1662189.31464686 2094.35862172
0.00700000 1661301.53973730 2591.63050970
0.00800000 1660277.17964688 2465.51171587
0.00900000 1659117.66446537 2737.54426339
0.01000000 1657822.12769396 3008.94729169
0.01100000 1656391.75544495 3279.65581858
0.01200000 1654826.11633086 4194.98438882
0.01300000 1653126.52903841 5554.50538255
0.01400000 1651292.21436026 4830.02994112
0.01500000 1649324.96326305 5937.57013214
0.01600000 1647223.73509258 5460.54692594
0.01700000 1644990.52536049 5773.91700303
0.01800000 1642624.86475393 5617.77729024
0.01900000 1640127.52155839 5904.45934403
0.02000000 1637499.19948855 5158.12271172
0.02100000 1634741.50319093 5934.11192563
0.02200000 1631852.51496099 7318.85886211
0.02300000 1628835.13440017 6450.18742583
0.02400000 1625689.45514176 6705.96930824
0.02500000 1622416.60944691 8225.65258557
0.02600000 1619016.73508133 7868.42169238
0.02700000 1615491.02266869 9499.08764836
0.02800000 1611839.26922053 14724.15239957
0.02900000 1608063.96135315 7959.91697417
0.03000000 1604165.68934714 9697.18203784
0.03100000 1600144.21709893 10752.96963368
0.03200000 1596000.97820156 11850.30780895
0.03300000 1591738.53178232 9741.44026359
0.03400000 1587354.99948200 10833.69837134
0.03500000 1582853.54671633 8547.40954697
0.03600000 1578234.11915916 10511.03971935
0.03700000 1573498.43528755 9865.83564552
0.03800000 1568647.74077409 11011.90764986
0.03900000 1563683.34886159 11258.52063319
0.04000000 1558604.07580584 10543.95706142
0.04100000 1553414.01853814 10765.15964761
0.04200000 1548113.49016085 10983.86572226
0.04300000 1542702.29818361 10181.83564063
0.04400000 1537184.54319332 14526.39460781
0.04500000 1531559.30503659 11624.53566536
0.04600000 1525827.35207199 15059.91666504
0.04700000 1519991.73094090 12038.33506893
0.04800000 1514052.47489732 20030.91517489
0.04900000 1508012.62514529 11310.09521505
0.05000000 1501871.43919086 13787.18045379
0.05100000 1495632.25337340 12832.52533173
0.05200000 1489293.35835803 16575.83585098
0.05300000 1482860.43575852 16815.63812541
