# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 374.54641798
0.00100000 1664582.34909261 699.12460322
0.00200000 1664377.10088085 748.96971911
0.00300000 1664035.17906908 1098.26325731
0.00400000 1663556.42558315 1871.50104989
0.00500000 1662941.32445473 1496.64725125
0.00600000 1662189.60199442 2268.88889909
0.00700000 1661301.93300645 2990.34360369
0.00800000 1660277.70014192 3137.92498575
0.00900000 1659118.31863170 3733.01637650
0.01000000 1657822.91196941 4650.19346887
0.01100000 1656392.73859980 3577.80847115
0.01200000 1654827.27740241 3872.29599890
0.01300000 1653127.88329938 4165.88244965
0.01400000 1651293.79302099 5201.57567861
0.01500000 1649326.77098619 4750.06131196
0.01600000 1647225.76700177 5040.51107235
0.01700000 1644992.84715212 5773.92515251
0.01800000 1642627.46809384 5617.78619367
0.01900000 1640130.38224012 8364.66532686
0.02000000 1637502.41544265 6189.75941037
0.02100000 1634745.03421341 7552.52240049
0.02200000 1631856.35741279 6755.88562662
0.02300000 1628839.34477408 6450.20409891
0.02400000 1625694.04249167 6705.98823105
0.02500000 1622421.58374799 8225.67780527
0.02600000 1619022.13035073 9179.85589896
0.02700000 1615496.81474626 6785.08693270
0.02800000 1611845.50122241 8413.83390224
0.02900000 1608070.63638788 8683.58183519
0.03000000 1604172.81762680 9697.22512829
0.03100000 1600151.83868189 8448.80209700
0.03200000 1596009.11412697 11060.34367032
0.03300000 1591747.18001575 12176.86648848
0.03400000 1587364.09864157 10000.39428286
0.03500000 1582863.22115190 9402.20796782
0.03600000 1578244.33953160 10511.10778704
0.03700000 1573509.24826897 9865.90344292
0.03800000 1568659.15440187 15600.31601250
0.03900000 1563695.34061421 10320.38972599
0.04000000 1558616.64985338 13419.68997709
0.04100000 1553427.21669924 14679.88787846
0.04200000 1548127.33115175 10983.96392410
0.04300000 1542716.83952689 12218.31793620
0.04400000 1537199.74416359 13488.92838149
0.04500000 1531575.19280208 16908.59091419
0.04600000 1525843.90978457 12908.64007686
0.04700000 1520009.02615435 14227.28514649
0.04800000 1514070.44446022 12241.26011302
0.04900000 1508031.32616667 13572.28256726
0.05000000 1501890.92306941 12638.41270615
0.05100000 1495652.51401005 15165.91719855
0.05200000 1489314.38806329 13024.05493055
0.05300000 1482882.18521453 13212.48088620
0.05400000 1476353.96336998 20705.86530186
0.05500000 1469733.63256788 17284.06832529
0.05600000 1463020.02766288 18763.23273035
0.05700000 1456217.63795660 19003.64106240
0.05800000 1449325.59529795 20522.45138766
0.05900000 1442345.30832537 14279.21921934
0.06000000 1435280.22523025 13132.81467441
0.06100000 1428131.45602511 21250.59705872
0.06200000 1420899.32110849 14770.24913334
0.06300000 1413587.11009920 17641.56795887
0.06400000 1406192.91647984 15081.41973455
0.06500000 1398723.27402884 19386.30548489
0.06600000 1391175.58265707 15379.44678586
0.06700000 1383553.09367104 21168.36332382
0.06800000 1375858.58371803 17088.16440966
0.06900000 1368092.88462051 21547.46394160
0.07000000 1360255.70960649 15935.39638427
0.07100000 1352351.52184716 17526.47654404
0.07200000 1344379.50864582 22081.43446395
0.07300000 1336344.52020044 22250.13730388
0.07400000 1328245.40041468 14942.76145494
0.07500000 1320085.10470321 18058.76507880
0.07600000 1311863.31803114 18182.42644031
0.07700000 1303585.65642822 24403.12463256
0.07800000 1295250.18980752 15348.71546902
0.07900000 1286859.48235196 18530.77741503
0.08000000 1278416.88003888 21745.87214958
0.08100000 1269922.63200907 17182.05401723
0.08200000 1261378.19543497 15704.15927009
0.08300000 1252785.81229237 20520.63256842
0.08400000 1244146.65762772 25380.59300694
0.08500000 1235464.35487517 15937.49092608
0.08600000 1226738.38038356 22412.51126191
0.08700000 1217971.77848878 20900.39670030
0.08800000 1209163.66251465 17756.56921794
0.08900000 1200320.15272234 16204.32282286
0.09000000 1191439.58465738 19515.78131345
0.09100000 1182524.85240911 26110.14996788
0.09200000 1173576.96957549 18008.53944430
0.09300000 1164598.97033061 18062.93087864
0.09400000 1155589.68957128 19760.58462037
0.09500000 1146553.22069731 16510.36715407
