# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 296.39991978
0.00100000 1646598.47990803 642.17342241
0.00200000 1646395.20369949 889.05343815
0.00300000 1646056.56459851 1086.39737134
0.00400000 1645582.41025454 1234.18685459
0.00500000 1644973.21447704 1924.61873712
0.00600000 1644228.71912980 1899.08424791
0.00700000 1643349.55840999 2169.22150725
0.00800000 1642335.16017710 2438.86781583
0.00900000 1641186.91026035 3200.31461181
0.01000000 1639903.97028036 3517.59416814
0.01100000 1638487.50770279 3244.20540650
0.01200000 1636937.08081523 3511.23019229
0.01300000 1635254.04507098 4807.64710455
0.01400000 1633437.59466742 3675.23475093
0.01500000 1631489.44665066 4307.13233095
0.01600000 1629408.67634681 7063.48692773
0.01700000 1627197.19295315 6590.14892709
0.01800000 1624854.56413064 5093.91928776
0.01900000 1622381.57306448 6327.28842046
0.02000000 1619778.80977197 5612.53382975
0.02100000 1617047.97819159 5336.25856997
0.02200000 1614187.12788677 6125.84042864
0.02300000 1611199.14224308 7540.41232893
0.02400000 1608084.18745238 9648.50556466
0.02500000 1604843.19818705 8136.55538641
0.02600000 1601476.48728955 7783.17608422
0.02700000 1597985.15318901 10067.30692618
0.02800000 1594369.04485557 7629.05622950
0.02900000 1590630.60185999 10020.97325182
0.03000000 1586770.40939643 8116.33101713
0.03100000 1582788.25407555 10636.33755680
0.03200000 1578685.43538981 10158.84124463
0.03300000 1574464.70899872 8832.74742468
0.03400000 1570123.96170983 14013.35700484
0.03500000 1565666.61196998 10145.52011407
0.03600000 1561092.32991887 11263.28168088
0.03700000 1556403.01996845 12420.09667375
0.03800000 1551599.85017852 10892.23145234
0.03900000 1546684.09706948 11136.12601461
0.04000000 1541654.65881344 9481.17659105
0.04100000 1536515.45668355 10648.05260853
0.04200000 1531266.91729214 14815.00811211
0.04300000 1525908.92647334 10070.99938220
0.04400000 1520445.38074826 11289.30747635
0.04500000 1514875.42992625 13588.43323782
0.04600000 1509199.77408380 11703.84479209
0.04700000 1503421.57055807 19484.34446061
0.04800000 1497540.73794291 14309.00241682
0.04900000 1491560.40410402 12305.37390664
0.05000000 1485479.60306057 11363.91949259
0.05100000 1479302.04093127 13846.26774813
0.05200000 1473025.63122010 11710.55431393
0.05300000 1466656.18733407 14255.89880547
0.05400000 1460191.55218735 13251.23895406
0.05500000 1453635.82230414 13431.59562466
0.05600000 1446987.68380256 13608.91980121
0.05700000 1440251.93368379 20048.30785270
0.05800000 1433427.11512881 13954.41361734
0.05900000 1426515.32332787 14122.50236055
0.06000000 1419519.23703562 12988.60162569
0.06100000 1412440.43707245 14449.26634649
0.06200000 1405279.27090233 13279.88973078
0.06300000 1398038.69485297 16105.40651772
0.06400000 1390717.12739766 16271.39115151
0.06500000 1383320.96552316 16433.85383915
0.06600000 1375847.36485804 17975.44666292
0.06700000 1368299.84109262 16747.99083876
0.06800000 1360681.02400866 15491.35418347
0.06900000 1352991.78207139 17047.69725225
0.07000000 1345231.89595773 18624.73647170
0.07100000 1337405.73113690 15888.38083008
0.07200000 1329512.50030464 17469.79507241
0.07300000 1321556.91812426 23470.85196563
0.07400000 1313537.72104794 14777.30005431
0.07500000 1305458.18858798 14882.22404747
0.07600000 1297317.87022418 22476.03315532
0.07700000 1289122.10908187 16591.00232181
0.07800000 1280869.45471561 19731.79487524
0.07900000 1272562.05166922 18324.89440354
0.08000000 1264203.25181592 21504.09832217
0.08100000 1255793.46602529 20080.13846387
0.08200000 1247334.09186070 18635.17220686
0.08300000 1238827.19907128 23413.83516131
0.08400000 1230274.22958663 18823.19659621
0.08500000 1221678.52676501 23639.48060266
0.08600000 1213039.65952312 30077.31977005
0.08700000 1204360.78050070 17487.31935403
0.08800000 1195640.68846824 23942.70591102
0.08900000 1186885.80171527 16022.95907575
0.09000000 1178094.20694741 16080.98668024
0.09100000 1169268.96194694 20976.68616284
0.09200000 1160410.85479057 19425.27862192
0.09300000 1151523.28269034 24354.71857338
0.09400000 1142604.56755353 26051.38536457
0.09500000 1133659.11160102 17957.16117179
0.09600000 1124688.05686144 26182.73919453
0.09700000 1115693.81204551 18040.76978892
0.09800000 1106677.48982729 18077.57764629
0.09900000 1097641.12846022 21404.00301144
0.10000000 1088584.30346882 18141.25827044
0.10100000 1079509.52988920 16516.49658411
0.10200000 1070419.30725173 18191.77698242
0.10300000 1061314.54300519 18212.15841468
0.10400000 1052197.84476772 18229.32851820
0.10500000 1043071.72243834 21560.29351720
0.10600001 1033932.55462463 19913.54193907
0.10700001 1024788.28854808 16601.57105571
0.10800001 1015635.86351215 23247.90600988
0.10900001 1006479.46379348 19928.29432105
0.11000001 997319.10912430 18265.90034338
0.11100001 988157.25954400 23241.45983853
0.11200001 978995.94169632 19912.77839154
0.11300001 969834.38020067 19901.00241867
0.11400001 960676.39411289 16571.66857871
0.11500001 951523.04230481 18212.15188729
0.11600001 942374.59489715 24808.01237891
0.11700001 933234.45686974 18170.07573097
0.11800001 924100.68248270 19794.23755105
0.11900001 914977.42522222 26351.35108759
0.12000001 905865.37424146 18085.60304865
0.12100001 896767.11839834 27898.42636761
0.12200001 887681.75852564 21291.04798129
0.12300001 878612.28841791 19610.62720143
0.12400001 869558.90793501 17934.65332119
0.12500001 860523.75845649 19516.67976143
0.12600001 851508.98098140 16221.24685210
0.12700001 842514.61455774 22646.79390657
0.12800001 833540.99959135 24193.52865336
0.12900001 824591.20981077 20903.38815392
0.13000001 815665.41088379 17630.60868727
0.13100001 806764.64197573 15973.94066409
0.13200001 797891.45033506 23876.90277684
0.13300001 789047.06600643 15859.84677441
0.13400001 780230.26588516 20539.56271778
0.13500001 771444.64498364 17311.21864963
0.13600001 762689.32305347 17240.59296053
0.13700001 753966.96856137 15607.11698515
0.13800001 745277.06405842 26416.34678123
0.13900001 736624.18052912 17016.01937267
0.14000001 728005.15000092 21556.23350813
0.14100001 719423.48590662 18388.46516703
0.14200001 710878.08785789 21347.66998524
0.14300001 702374.23440588 18205.54101451
0.14400001 693905.68286416 16601.69424562
0.14500001 685481.47840671 18014.45410231
0.14600001 677096.06469929 16422.96582402
0.14700001 668756.43735009 17815.67233149
0.14800001 660457.45087777 19189.59214059
0.14900001 652202.15739378 16142.00415709
0.15000001 643992.38760333 26255.57088140
0.15100001 635828.60987790 21745.33948388
0.15200001 627712.17974370 24490.19184832
0.15300001 619643.24201576 15745.13552262
0.15400001 611620.24069069 19908.23977397
0.15500001 603647.90073885 15537.89769830
0.15600001 595723.22285192 18238.06732836
0.15700001 587852.66868448 23684.58513914
0.15800001 580028.16323965 16600.40681544
0.15900001 572258.45337414 15107.62388217
0.16000001 564538.72402604 19087.05516028
0.16100001 556874.78101055 16238.46938079
0.16200001 549262.09138834 14772.40464524
0.16300001 541704.36068466 13325.92790193
0.16400001 534201.29213107 14543.63086487
0.16500001 526753.33967912 17051.00641041
0.16600001 519361.24212874 15611.99967548
0.16700001 512024.38698149 14193.31667726
0.16800001 504743.23254026 15354.28985885
0.16900001 497521.37384121 13955.47519520
0.17000001 490356.15944787 12577.63608375
0.17100001 483248.77728669 14961.38285129
0.17200001 476200.05195613 16064.60951136
0.17300001 469210.18186173 13471.02495741
0.17400001 462279.84214366 18202.26964403
0.17500001 455408.38522748 15629.61651916
0.17600001 448594.88010093 15483.25301794
0.17700001 441844.23633765 20055.31083459
0.17800001 435152.52944965 16357.38435461
0.17900001 428521.55930376 12727.09091247
0.18000001 421952.22982843 19475.20608764
0.18100001 415444.94588373 18146.63609338
0.18200001 408996.23715246 13472.33668821
0.18300001 402611.65328230 14445.70680217
0.18400001 396287.23028249 19794.54808772
0.18500001 390025.67731887 10881.71691127
0.18600001 383826.11754714 11842.95541642
0.18700001 377688.02987297 11715.88324017
0.18800001 371612.30360778 11588.73023553
0.18900001 365600.64832283 13545.50466035
0.19000001 359647.64277730 12364.68654290
0.19100001 353762.14138423 15282.52522990
0.19200001 347935.31259418 12087.27333066
0.19300001 342173.70512812 9957.25528973
0.19400001 336473.72721642 10826.04268476
0.19500001 330837.24526226 9726.61547034
0.19600001 325261.96038898 10572.64052207
0.19700001 319750.26233332 10446.24156409
0.19800001 314301.10271941 10320.07719551
0.19900001 308915.30386305 11120.95146465
0.20000001 303590.11199780 18306.48461865
0.20100001 298329.23722421 12655.12684116
0.20200001 293129.56089366 14281.27288172
0.20300001 287992.71504310 10575.09299621
0.20400001 282917.92206915 10439.67181779
0.20500001 277904.40437878 11163.42045156
0.20600001 272953.35428916 10170.24246154
0.20700001 268063.90899413 10036.31322715
0.20800001 263235.92176295 9077.69119110
0.20900001 258471.26367862 9770.21422890
0.21000001 253765.50437775 10441.18217120
0.21100001 249120.77249205 13467.46959757
0.21200001 244536.88976376 8594.24939704
0.21300001 240013.53654191 14638.42628573
0.21400001 235551.45992015 8356.18843572
