# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097350 271.69992646
0.00100000 1646585.62979735 740.96355101
0.00200000 1646343.78094589 889.02566986
0.00300000 1645940.91933281 1580.10333885
0.00400000 1645376.90565365 1727.64581658
0.00500000 1644652.21831167 2368.29928811
0.00600000 1643766.78444331 2071.14623272
0.00700000 1642721.16469152 2562.64512342
0.00800000 1641515.19378931 3102.46384725
0.00900000 1640150.03586369 2706.24767486
0.01000000 1638625.12225130 3514.85103900
0.01100000 1636941.68313377 3241.14467372
0.01200000 1635099.67007585 3507.28894609
0.01300000 1633100.24132686 4458.36385546
0.01400000 1630943.36416323 5137.47182486
0.01500000 1628630.45354387 4299.58458881
0.01600000 1626160.87477549 4976.05249926
0.01700000 1623536.97055002 4821.90501884
0.01800000 1620758.65870604 4619.16238516
0.01900000 1617826.46049731 5338.82756054
0.02000000 1614741.63025849 5595.08000194
0.02100000 1611506.22666654 5317.97078911
0.02200000 1608118.77215436 6657.61201919
0.02300000 1604582.37298506 5776.49680568
0.02400000 1600896.60026599 7204.03502968
0.02500000 1597063.86276045 6851.40428415
0.02600000 1593084.40379456 7097.19134352
0.02700000 1588960.26272075 8008.36009090
0.02800000 1584691.06526840 8961.42838506
0.02900000 1580279.49341456 8533.50965625
0.03000000 1575726.84239075 9525.26920008
0.03100000 1571033.37048711 8295.05657785
0.03200000 1566200.70432577 8527.96322784
0.03300000 1561232.25509287 10350.97032845
0.03400000 1556126.62807617 9803.59820922
0.03500000 1550886.64942161 10887.22478169
0.03600000 1545513.61555240 10293.12115526
0.03700000 1540009.58782614 9655.86056223
0.03800000 1534375.51247574 13464.14574509
0.03900000 1528613.91850493 11006.02072292
0.04000000 1522724.42659199 10301.23122324
0.04100000 1516711.06668202 13377.39222840
0.04200000 1510574.63539529 14614.81027547
0.04300000 1504315.87637955 13899.87934295
0.04400000 1497938.30227995 13144.40921296
0.04500000 1491443.58693059 11320.05735079
0.04600000 1484831.43040892 10468.06207101
0.04700000 1478105.83880563 14899.30754810
0.04800000 1471267.67758269 12976.58152006
0.04900000 1464320.44026219 14277.12495712
0.05000000 1457263.67043264 14492.48787731
0.05100000 1450101.92990116 14704.03425417
0.05200000 1442833.58964947 18352.84411561
