# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 302.89193117
0.00100000 1682651.38562974 908.63176982
0.00200000 1682406.62745205 984.20790822
0.00300000 1681998.90515257 1009.19937904
0.00400000 1681428.08723456 1261.07111334
0.00500000 1680694.66610694 1663.88778530
0.00600000 1679798.55555320 2645.68283271
0.00700000 1678740.31812475 3827.52808440
0.00800000 1677519.77609019 2717.58215200
0.00900000 1676138.14552881 3771.31098865
0.01000000 1674594.79757345 3039.38968884
0.01100000 1672891.02487365 3613.44477105
0.01200000 1671026.77233132 3910.20281869
0.01300000 1669003.15352111 5257.36016547
0.01400000 1666820.16981394 6750.62198701
0.01500000 1664479.19489811 4394.22527020
0.01600000 1661979.71968649 6780.87755945
0.01700000 1659323.98400417 6272.24494090
0.01800000 1656511.91444523 4721.05916861
0.01900000 1653544.12262615 6448.82236923
0.02000000 1650421.82746283 5198.82899168
0.02100000 1647147.02895102 5979.14398618
0.02200000 1643718.24517950 7939.15948491
0.02300000 1640138.66307161 7085.39934699
0.02400000 1636407.90597073 6750.18291992
0.02500000 1632528.41054741 10186.97774706
0.02600000 1628500.20255954 9893.13918304
0.02700000 1624325.49927468 8868.81763224
0.02800000 1620003.89863834 8456.42073870
0.02900000 1615538.12310850 7996.91407656
0.03000000 1610929.48655231 8239.90470246
0.03100000 1606178.18696584 10022.55234784
0.03200000 1601285.95331297 13474.82191775
0.03300000 1596256.21950087 13839.54206108
0.03400000 1591087.18731708 10023.84974260
0.03500000 1585782.27691788 8563.22469079
0.03600000 1580342.59855946 10525.08219281
0.03700000 1574770.11086378 11669.04706117
0.03800000 1569065.79281171 14686.45650040
0.03900000 1563232.38194711 11255.27367125
0.04000000 1557269.06726480 10534.92572822
0.04100000 1551180.43826236 14658.65582125
0.04200000 1544966.94959696 13951.05220209
0.04300000 1538629.48326999 15232.43259143
0.04400000 1532171.74731938 11376.37575219
0.04500000 1525594.78172330 11579.26493131
0.04600000 1518898.93906739 19274.82843279
0.04700000 1512088.16216667 13064.44232872
0.04800000 1505162.95999450 14381.83275191
0.04900000 1498127.31299174 15730.33751862
0.05000000 1490980.41085267 11406.00067416
0.05100000 1483727.12355905 12730.37931317
0.05200000 1476365.36120562 17605.65775282
0.05300000 1468901.45245536 13087.91255151
0.05400000 1461335.24871664 15672.82127337
0.05500000 1453669.32972036 13431.90523320
0.05600000 1445904.78317513 17307.48106225
0.05700000 1438046.58840594 20017.60944500
0.05800000 1430093.51271902 15187.59381422
0.05900000 1422048.63949006 12798.43835317
0.06000000 1413915.40698871 20699.72252538
0.06100000 1405694.88138199 13072.96300777
0.06200000 1397390.01124247 14525.86984586
0.06300000 1389002.95087452 16001.31474222
0.06400000 1380533.20105547 14806.21927376
0.06500000 1371986.58460090 23090.53529896
0.06600000 1363364.16857064 17812.35369579
0.06700000 1354667.50597397 17962.89196986
0.06800000 1345899.37345293 15323.06508402
0.06900000 1337062.68211357 16846.99058339
0.07000000 1328158.35993592 19802.84207398
0.07100000 1319188.73342962 15671.96288718
0.07200000 1310157.16412934 17215.46594315
0.07300000 1301065.69407956 18774.37884525
0.07400000 1291916.94578240 15987.47295330
0.07500000 1282712.08678352 23396.66955959
0.07600000 1273452.40052804 16179.21350720
0.07700000 1264143.64929580 16269.52952929
0.07800000 1254785.36841224 17843.04877559
0.07900000 1245380.26609532 16439.02028351
0.08000000 1235931.85704580 18019.88732106
0.08100000 1226441.33511536 22627.84369454
0.08200000 1216910.53033233 18180.64417630
0.08300000 1207342.75409997 15212.51941561
0.08400000 1197739.69667162 16798.30003431
0.08500000 1188103.56405291 16859.19036537
0.08600000 1178436.42706701 16916.45570480
0.08700000 1168742.25356904 18512.87816586
0.08800000 1159020.24755819 18567.50523788
0.08900000 1149275.92358691 20169.79340632
0.09000000 1139508.68780091 15554.29431915
0.09100000 1129721.72361233 20267.20867378
0.09200000 1119917.36282744 21871.98712371
0.09300000 1110099.49386688 15652.40359906
0.09400000 1100265.53503531 15678.78461112
0.09500000 1090421.52221027 18842.48478944
0.09600000 1080568.07939284 22011.17281193
0.09700000 1070710.00036623 17313.38151987
0.09800000 1060846.63788487 20479.64530727
