# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682651.37482958 555.27496688
0.00200000 1682406.58310550 1211.33277819
0.00300000 1681998.80028410 1311.95911096
0.00400000 1681427.89123064 1513.28515961
0.00500000 1680694.36786782 2117.67498733
0.00600000 1679798.12780851 2292.92453781
0.00700000 1678739.72111731 2215.93652397
0.00800000 1677519.00388199 2491.11582594
0.00900000 1676137.18804230 3519.88824536
0.01000000 1674593.61413763 4420.92733222
0.01100000 1672889.59419128 3312.32154071
0.01200000 1671025.07670939 3258.49904245
0.01300000 1669001.13797497 3855.39279876
0.01400000 1666817.84663029 4125.37435329
0.01500000 1664476.52073894 4394.21821042
0.01600000 1661976.71213484 6357.06120810
0.01700000 1659320.57393465 4928.18232566
0.01800000 1656508.10911525 7081.57248512
0.01900000 1653539.88765053 5952.74386415
0.02000000 1650417.12437980 6758.45843006
0.02100000 1647141.84885453 5435.56834766
0.02200000 1643712.59628289 7372.05132926
0.02300000 1640132.50106660 8266.26818164
0.02400000 1636401.20078535 7977.45621758
0.02500000 1632521.13932890 7640.19928099
0.02600000 1628492.36764728 10552.63102501
0.02700000 1624317.01607256 10233.19766995
0.02800000 1619994.85834122 10570.46693543
0.02900000 1615528.46954967 7269.87844676
0.03000000 1610919.12446480 10487.08398231
0.03100000 1606167.18713572 8480.56313829
0.03200000 1601274.24062504 12682.09256986
0.03300000 1596243.77150052 13025.34977592
0.03400000 1591074.06253935 9188.45313512
0.03500000 1585768.36548617 11132.09443977
0.03600000 1580327.91805013 14910.39459587
0.03700000 1574754.65237890 10771.32232042
0.03800000 1569049.58048601 13768.41070596
0.03900000 1563215.25944660 9379.29199103
0.04000000 1557251.23000517 11492.51460999
0.04100000 1551161.72363774 9772.31931203
0.04200000 1544947.34564275 9964.91084170
0.04300000 1538609.07796421 14216.74854030
0.04400000 1532150.39016771 11376.21717533
0.04500000 1525572.55340952 15789.67666145
0.04600000 1518875.79556139 10708.07485649
0.04700000 1512064.10855672 11975.54829673
0.04800000 1505137.97119896 16594.14690456
0.04900000 1498101.37994009 13482.91304706
0.05000000 1490953.51387524 11405.79491227
0.05100000 1483699.26382894 16201.99671577
0.05200000 1476336.54682552 16431.62653190
0.05300000 1468871.62377565 16657.00499013
0.05400000 1461304.43202416 15672.49076433
0.05500000 1453637.51818263 17094.77801129
0.05600000 1445871.92204260 13598.42606137
0.05700000 1438012.69540689 17514.99544763
0.05800000 1430058.52340786 16452.82408003
0.05900000 1422012.66115642 12798.11454815
0.06000000 1413878.36822113 15524.38520835
0.06100000 1405656.81503563 18301.65258703
0.06200000 1397350.89661298 15845.95990829
0.06300000 1388962.71771297 17334.25552753
0.06400000 1380491.92266311 14805.77656298
0.06500000 1371944.23427369 17656.92312105
0.06600000 1363320.74393409 15071.51152937
0.06700000 1354622.97060916 15198.87044153
0.06800000 1345853.84154392 15322.54670321
0.06900000 1337016.07297992 15442.53636592
0.07000000 1328110.68728595 14144.37948196
0.07100000 1319139.97224202 22794.73978800
0.07200000 1310107.23150344 15780.24234271
0.07300000 1301014.72462184 15885.39053195
0.07400000 1291864.88483790 17440.17676263
0.07500000 1282658.88787420 19009.00560929
0.07600000 1273398.20585871 14707.74996718
0.07700000 1264088.34102265 23663.73485350
0.07800000 1254729.07883400 16355.39430961
0.07900000 1245322.72710686 19427.03545407
0.08000000 1235873.31263065 15015.86145287
0.08100000 1226381.69308074 18101.39463916
0.08200000 1216849.84887557 18179.73759529
0.08300000 1207281.01823254 18254.08985238
0.08400000 1197676.94330280 19851.49626705
0.08500000 1188039.73105869 18390.85590015
0.08600000 1178371.55372190 19991.07434750
0.08700000 1168676.50119865 16969.18359424
0.08800000 1158953.40216578 17019.23151009
0.08900000 1149207.99460104 20168.60125256
0.09000000 1139439.80894337 23330.03118406
0.09100000 1129651.84636823 15589.19621228
0.09200000 1119846.43717267 24994.97365213
0.09300000 1110027.62445892 18781.66828844
0.09400000 1100192.76843867 20381.07199319
0.09500000 1090347.77695043 18841.21047129
0.09600000 1080493.31678781 22009.64989759
0.09700000 1070634.31635234 20459.82274737
0.09800000 1060770.01934612 18902.92263352
0.09900000 1050903.47722456 18916.26347953
0.10000000 1041035.56525276 15771.68955528
0.10100000 1031168.33919422 18932.25159802
0.10200000 1021305.31913475 20512.91829967
0.10300000 1011447.21814077 25245.72375237
0.10400000 1001597.29386729 18930.18974466
0.10500000 991758.14190936 17345.85071811
0.10600001 981926.88155589 18911.91262864
0.10700001 972111.36853802 22047.48687595
0.10800001 962309.56960866 18880.51464427
0.10900001 952526.04962764 17288.34861443
0.11000001 942760.37461310 20406.04926900
0.11100001 933015.13736598 23511.98256841
0.11200001 923292.23162132 20344.74528155
0.11300001 913593.08438119 17184.68672628
0.11400001 903920.18348901 17151.88628929
0.11500001 894275.25123758 18672.46812509
0.11600001 884658.93696411 23288.64761228
0.11700001 875074.42401643 20135.46344490
0.11800001 865520.64520908 18539.45309356
0.11900001 856000.38766858 20030.41001491
0.12000001 846515.37530104 18437.10574253
0.12100001 837069.61082820 18382.04951973
0.12200001 827660.84948377 19851.44641010
0.12300001 818293.39892849 19786.33531831
0.12400001 808965.63139176 15168.10630328
0.12500001 799680.41731189 22670.94089906
0.12600001 790441.10298438 18069.48446572
0.12700001 781246.47312119 16499.92628990
0.12800001 772098.14096753 22410.14959776
0.12900001 762998.71475777 23805.56102245
0.13000001 753948.69455675 17778.11105562
0.13100001 744947.90772766 20649.95697560
0.13200001 736000.01604414 17619.84121470
0.13300001 727104.55269596 16076.28241799
0.13400001 718262.60688480 14544.81847514
0.13500001 709476.51654670 18815.31810593
0.13600001 700746.33275086 15840.37159872
0.13700001 692073.50374869 15758.51442342
0.13800001 683456.96659744 21375.11763829
0.13900001 674901.33602251 17007.51446981
0.14000001 666404.44264202 19732.23647721
0.14100001 657969.68154084 15416.23036558
0.14200001 649595.89849220 20900.74901978
0.14300001 641285.70105261 15236.94897570
0.14400001 633035.67133957 20652.78975164
0.14500001 624852.54749719 19157.98000999
0.14600001 616733.43441134 16318.76744435
0.14700001 608681.27339815 16215.26988831
0.14800001 600692.81883977 18795.67918825
0.14900001 592772.17244088 18672.32431286
0.15000001 584918.20769629 21197.43684707
0.15100001 577132.62684416 14474.48696423
0.15200001 569416.25092894 22215.77607829
0.15300001 561769.14000245 14274.55452106
0.15400001 554189.13393755 18038.85716094
0.15500001 546681.02739800 19188.50496723
0.15600001 539241.32551187 19048.70072271
0.15700001 531875.19281171 13865.98693103
0.15800001 524576.87917238 17515.62282228
0.15900001 517351.90388285 16141.38016303
0.16000001 510196.60682606 12321.24863644
0.16100001 503115.20838407 13448.27015492
0.16200001 496105.36153779 12129.77666220
0.16300001 489167.56635226 18050.28405051
0.16400001 482302.90145099 13130.69711190
0.16500001 475509.95312375 14208.23807013
0.16600001 468790.62839773 12917.52637537
0.16700001 462142.91428711 16304.40278586
0.16800001 455568.53127107 12703.52909431
0.16900001 449068.54835231 11451.24852369
0.17000001 442639.84980806 12489.08395207
0.17100001 436284.83362123 15758.60893454
0.17200001 430002.49392798 13390.27829324
0.17300001 423793.17455519 13273.20285389
0.17400001 417657.17917841 14252.55191255
0.17500001 411593.10524640 13039.27019002
0.17600001 405600.32761240 15076.16488939
0.17700001 399683.01374145 12805.84436510
0.17800001 393835.97754727 14804.29509524
0.17900001 388060.42748313 11525.39524063
0.18000001 382358.62861607 12457.24470873
0.18100001 376728.47783506 13370.09430992
0.18200001 371167.50982859 14263.96807651
0.18300001 365678.65434099 13120.55073756
0.18400001 360260.32526145 14995.83674742
0.18500001 354912.83773619 12872.68923282
0.18600001 349635.82775889 10788.01397516
0.18700001 344427.65513452 15540.57653388
0.18800001 339287.78113132 15390.09447924
0.18900001 334220.33675646 9525.28004760
0.19000001 329217.34733820 9432.07744689
0.19100001 324285.34967057 9339.41851180
0.19200001 319419.35365708 10171.90979785
0.19300001 314622.56772336 13733.27573006
0.19400001 309891.04838435 11783.60767164
0.19500001 305226.44614182 8973.65794062
0.19600001 300626.61030235 10660.22010508
0.19700001 296093.98401324 12311.58843709
0.19800001 291625.14974766 16539.52114958
0.19900001 287220.96339020 12063.28103250
0.20000001 282878.81191130 15351.83384797
0.20100001 278601.93531984 10129.96684700
0.20200001 274386.21550430 15039.10918259
0.20300001 270233.19895939 9096.04990689
0.20400001 266141.81341192 8183.86114923
0.20500001 262110.76537745 8909.14533629
0.20600001 258139.85544442 8015.24289041
0.20700001 254228.82117100 9518.32751457
0.20800001 250376.41994244 10989.02159073
0.20900001 246584.73594599 12427.87127916
0.21000001 242848.01933223 9991.98222777
0.21100001 239169.92389710 8366.16433342
0.21200001 235547.21968088 10536.02763441
0.21300001 231980.50491337 9680.54692769
0.21400001 228469.55385296 8841.77215212
0.21500001 225013.88669734 9477.58535577
0.21600001 221610.74855566 10098.80228914
0.21700001 218261.46717748 7137.15031414
0.21800001 214964.88475800 9180.07583763
0.21900001 211719.13730495 7685.40504755
0.22000001 208524.45537422 8295.10322700
0.22100001 205381.76280576 11626.66214218
0.22200001 202288.57077123 8119.86361470
0.22300001 199244.09955372 7364.06226772
0.22400001 196247.25922814 8610.34890579
0.22500001 193300.89882106 6552.90077990
0.22600001 190399.51389032 7131.41412999
0.22700001 187545.76477711 7055.47200456
0.22800001 184736.87773127 6345.71205016
0.22900001 181973.41227901 8161.50792668
0.23000001 179254.47686217 8074.51829212
0.23100001 176580.63328181 6145.00632882
0.23200001 173948.03838198 6687.43265187
0.23300001 171359.25556049 6616.18117010
0.23400001 168811.08051237 6545.64995645
0.23500001 166304.24073684 5887.17040052
0.23600001 163838.26073837 7571.78557815
0.23700001 161412.12157612 6338.65431410
0.23800001 159024.91026524 6841.25196319
0.23900001 156676.41875104 5640.35134182
0.24000001 154365.40848974 7812.43369320
0.24100001 152092.83671860 6625.16428084
0.24200001 149856.79451809 7647.19258599
0.24300001 147656.16445934 7565.90222478
0.24400001 145491.10720471 8554.87750831
0.24500001 143360.27143189 6347.99311929
0.24600001 141263.96383065 6803.97913977
0.24700001 139202.17696435 7249.64971925
0.24800001 137172.89565090 5635.74868443
0.24900001 135174.82571612 6082.86744499
0.25000001 133209.90401132 6519.95906028
0.25100001 131275.61551185 4962.21850111
0.25200001 129373.92602736 6382.66294252
0.25300001 127500.59004582 7286.65906585
0.25400001 125657.82069061 5767.69424258
0.25500001 123842.63744842 6657.78050422
0.25600001 122057.46340064 5175.84698039
0.25700001 120299.54562001 6983.38895365
0.25800001 118568.98768050 6448.96754507
0.25900001 116866.56445688 5013.57585242
0.26000001 115189.61698342 5411.60846193
0.26100001 113538.42962613 5800.67864406
0.26200001 111913.69613376 5739.49417779
0.26300001 110312.86435935 5678.90652593
0.26400001 108737.41628776 4322.31250196
0.26500001 107186.00319129 5132.06607564
0.26600001 105657.83846608 5077.91595696
0.26700001 104153.23341290 5024.35221759
0.26800001 102671.68247256 5385.64335895
0.26900001 101211.61484032 4099.07059501
0.27000001 99774.04749875  5678.14131186
0.27100001 98357.84014281  4414.30007451
0.27200001 96963.36441385  5161.84494885
0.27300001 95589.52873695  5893.09472552
0.27400001 94234.37634055  4664.60184961
0.27500001 92901.54346107  4230.73648944
0.27600001 91586.01857647  5327.55895273
0.27700001 90291.62502284  5647.74141247
0.27800001 89014.94871174  3725.27577989
0.27900001 87757.32766782  4422.96952379
0.28000001 86517.38067754  6199.40320586
0.28100001 85295.60256285  4690.40540692
0.28200001 84091.86199628  3926.66968176
