# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 299.63713438
0.00100000 1664569.44368967 599.24501396
0.00200000 1664325.46176398 1123.41972226
0.00300000 1663919.04533903 998.35146277
0.00400000 1663350.05322991 1871.26888099
0.00500000 1662618.97542434 1945.26427824
0.00600000 1661725.73158079 2442.73692487
0.00700000 1660670.88615124 2989.20771930
0.00800000 1659454.26118137 2464.28968190
0.00900000 1658077.04279135 2487.11567051
0.01000000 1656538.68089161 3006.61783564
0.01100000 1654840.38311207 2978.71281929
0.01200000 1652982.10694816 3545.64677486
0.01300000 1650965.02487601 4507.13471670
0.01400000 1648789.09350879 4822.70831231
0.01500000 1646455.76001576 3951.49399999
0.01600000 1643964.35760905 4192.10929930
0.01700000 1641317.27520081 4431.55684184
0.01800000 1638514.39326162 7471.62596948
0.01900000 1635556.32188547 5888.00302447
0.02000000 1632444.23131442 6170.63947350
0.02100000 1629180.22468104 5376.29498520
0.02200000 1625762.79135260 7852.43463899
0.02300000 1622195.06945497 8175.86352221
0.02400000 1618476.67381840 7890.07414463
0.02500000 1614610.11466464 10075.16757565
0.02600000 1610595.41338271 9132.07641157
0.02700000 1606434.77418182 10120.53954088
0.02800000 1602127.73834292 8363.10717768
0.02900000 1597677.20146698 12941.18592607
0.03000000 1593084.17746353 9630.19429542
0.03100000 1588349.13347917 7624.07619151
0.03200000 1583473.54288598 7838.19439830
0.03300000 1578461.12723250 9660.18254400
0.03400000 1573310.11934263 9085.86635843
0.03500000 1568023.68458160 11854.25960284
0.03600000 1562603.00856776 8672.44709834
0.03700000 1557050.02651552 9762.70411775
0.03800000 1551365.98615251 10890.58972680
0.03900000 1545553.17668650 10200.65143852
0.04000000 1539611.27327890 11362.33172332
0.04100000 1533544.53248158 11593.59720312
0.04200000 1527353.38316842 10836.57275632
0.04300000 1521039.04755924 14054.40145182
0.04400000 1514604.78272212 11245.94103400
0.04500000 1508052.09571131 10405.55994390
0.04600000 1501381.09349120 12701.68464140
0.04700000 1494595.53701439 12913.30604038
0.04800000 1487696.54782918 15308.39818943
0.04900000 1480687.33387889 12215.67107311
0.05000000 1473567.50229730 15781.90868451
0.05100000 1466341.73487963 17156.19909730
0.05200000 1459008.50312666 22038.32446674
0.05300000 1451573.59200369 15285.07063636
0.05400000 1444036.81997520 13104.63475239
0.05500000 1436401.17550132 14478.92452448
0.05600000 1428667.19132865 13436.61556145
0.05700000 1420840.39277479 14833.57439298
0.05800000 1412919.41720438 13754.77116873
0.05900000 1404907.02579061 17701.82935174
0.06000000 1396806.84482181 17893.09651811
0.06100000 1388620.32074239 19371.25437960
0.06200000 1380349.69928121 15653.16632153
0.06300000 1371997.96139645 17122.53535880
0.06400000 1363563.93338134 14624.22386944
0.06500000 1355053.46980131 16098.03597427
0.06600000 1346468.03508563 17591.60570148
0.06700000 1337808.75018900 17739.34485769
0.06800000 1329078.88360094 19258.35392484
0.06900000 1320280.96630761 18021.83603386
0.07000000 1311415.98299989 15363.23896028
0.07100000 1302486.67392621 15473.54241099
0.07200000 1293495.72641004 19829.29041480
0.07300000 1284445.51836452 15683.08051407
0.07400000 1275338.75222077 15782.31779836
0.07500000 1266176.35579198 20208.17558565
0.07600000 1256960.03723030 20325.04475486
0.07700000 1247695.04185315 18977.44247641
0.07800000 1238381.36923852 16142.30190504
0.07900000 1229021.29798413 14748.25626756
0.08000000 1219618.70455084 16300.20475098
0.08100000 1210174.41556821 17862.17521185
0.08200000 1200690.73279911 16443.46035730
0.08300000 1191170.71420549 18010.50204406
0.08400000 1181615.89441060 16572.16369698
0.08500000 1172028.84769362 18143.00741402
0.08600000 1162411.31942945 22754.20264618
0.08700000 1152767.38278664 15216.53016732
0.08800000 1143096.15485347 19838.43469917
0.08900000 1133403.43482875 18361.13650664
0.09000000 1123688.27692349 19939.84941069
0.09100000 1113954.03537471 19984.33633351
0.09200000 1104202.98535752 16943.99560645
0.09300000 1094439.24615384 20061.07232471
0.09400000 1084660.02911721 20093.32798373
0.09500000 1074871.10281244 17025.95906881
0.09600000 1065073.48148334 18596.18386086
0.09700000 1055272.07480150 15512.50022887
0.09800000 1045465.66241316 17077.68239847
0.09900000 1035657.88863025 18641.84287193
0.10000000 1025849.11121440 18649.93771893
0.10100000 1016041.68583359 20209.07008170
0.10200000 1006239.18416997 17101.03573934
0.10300000 996442.20665397 18653.39898603
0.10400000 986653.89028884 17093.77945343
0.10500000 976876.78081879 21745.27816413
0.10600001 967108.49600857 21730.92892783
0.10700001 957356.20713910 17060.08841403
0.10800001 947618.53717022 20141.63295545
0.10900001 937899.47498985 23213.01309853
0.11000001 928198.74443838 24727.21571574
0.11100001 918519.10365027 16974.23383449
0.11200001 908862.32165898 20026.78220056
0.11300001 899229.82828550 18452.19694516
0.11400001 889624.32227790 16880.62231004
0.11500001 880047.08818430 15312.82005546
0.11600001 870498.99991336 22915.88725186
0.11700001 860983.32967635 22859.10847946
0.11800001 851498.91000246 15199.25625940
0.11900001 842048.72975185 22735.31677417
0.12000001 832633.87619486 16623.53612128
0.12100001 823258.93379439 16572.20311797
0.12200001 813921.91440100 22525.29004224
0.12300001 804625.87668515 14966.04201146
0.12400001 795370.73666308 17895.84241813
0.12500001 786158.47036055 17830.07494794
0.12600001 776992.39223474 17762.04692350
0.12700001 767871.62006476 20640.39012005
0.12800001 758797.27016941 24960.63737860
0.12900001 749772.52924393 20468.79101310
0.13000001 740797.49434129 17468.00573992
0.13100001 731872.74844143 14491.08110222
0.13200001 723000.34293533 23078.17203441
0.13300001 714181.43464866 18661.56176713
0.13400001 705416.35825684 17141.61831379
0.13500001 696707.35994138 21319.24621937
0.13600001 688054.51734456 18381.37729756
0.13700001 679459.90144661 18284.26681009
0.13800001 670921.83324561 18185.33714767
0.13900001 662444.58970513 18084.73815179
0.14000001 654026.65333986 16599.19724459
0.14100001 645671.27465304 22004.47807797
0.14200001 637377.20454525 15038.91585056
0.14300001 629147.03986348 19025.40738285
0.14400001 620977.38509876 14856.88463929
0.14500001 612874.92559433 18790.74610512
0.14600001 604836.91624071 14670.32009548
0.14700001 596865.81231779 13250.42165856
0.14800001 588958.54010658 18428.51358937
0.14900001 581119.90343004 15690.23813289
0.15000001 573348.02592163 15583.60007983
0.15100001 565644.60078461 15476.03700770
0.15200001 558010.65105166 12806.34504593
0.15300001 550446.00113436 16529.89419409
0.15400001 542949.14603713 16410.63871341
0.15500001 535524.08877469 18796.89640307
0.15600001 528167.74289939 19901.36149169
0.15700001 520885.04228865 20986.45934430
0.15800001 513670.43837699 15926.35269358
0.15900001 506529.50911108 13372.37967172
0.16000001 499457.95784625 14474.29230161
0.16100001 492460.81457913 20343.55721057
0.16200001 485535.47605034 15432.74583478
0.16300001 478681.92232888 17663.36376778
0.16400001 471901.45833473 11679.56164517
0.16500001 465192.96427857 13899.96642888
0.16600001 458558.22011761 14932.94914316
0.16700001 451995.25912263 15946.39349475
0.16800001 445505.76359419 12422.92880439
0.16900001 439090.40385637 11196.80582703
0.17000001 432746.35407371 13319.93340735
0.17100001 426476.24384718 13203.70513300
0.17200001 420278.81572782 11996.85936148
0.17300001 414154.14216861 12971.30834528
0.17400001 408103.20088180 12855.25143488
0.17500001 402123.85420595 12739.28430289
0.17600001 396215.63744105 13675.38337215
0.17700001 390383.10339759 14592.52109422
0.17800001 384620.62906360 17556.00944282
0.17900001 378930.02430522 13300.44448134
0.18000001 373312.40607520 11148.97553406
0.18100001 367766.59245397 15060.04267237
0.18200001 362290.01837513 16906.26450609
0.18300001 356885.17522342 13790.04382207
0.18400001 351551.02785836 18535.52881946
0.18500001 346287.49463314 14492.13233504
0.18600001 341094.13857275 9567.69103898
0.18700001 335969.64714425 11369.21339650
0.18800001 330913.08036476 10319.52489873
0.18900001 325928.87804430 10217.87080946
0.19000001 321008.79007252 10116.59249713
0.19100001 316159.56668190 10926.47514080
0.19200001 311376.33784146 9915.77994710
0.19300001 306661.82539745 10708.63144889
0.19400001 302012.14999280 11484.01254614
0.19500001 297429.45135585 9618.86891139
0.19600001 292911.30926195 10386.63551726
0.19700001 288460.11878350 10280.71911929
0.19800001 284072.01858251 9327.50517096
0.19900001 279748.62240593 10070.95088257
0.20000001 275486.93237551 8305.93140367
0.20100001 271290.14552850 9864.11015762
0.20200001 267154.11912878 12202.26496793
0.20300001 263080.48411119 11270.36847201
0.20400001 259068.45808425 7966.35546263
0.20500001 255115.86698931 11824.62099387
0.20600001 251223.34142021 12480.77619170
0.20700001 247390.34098444 8490.43690392
0.20800001 243615.55825316 8401.08292348
0.20900001 239900.94154758 11335.32002396
0.21000001 236241.07843927 8224.73353467
0.21100001 232639.36341679 8877.51852766
0.21200001 229092.58007415 9515.36076321
0.21300001 225601.38419928 7241.80477516
0.21400001 222165.34399476 7164.83268256
0.21500001 218784.50563300 7797.48014941
0.21600001 215455.25714634 7714.37584685
0.21700001 212179.87068697 9713.59493930
0.21800001 208956.32163410 8923.48013729
