# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 271.69992646
0.00100000 1646585.41825659 592.77076465
0.00200000 1646342.93121272 889.02521101
0.00300000 1645939.00381561 1086.31978122
0.00400000 1645373.50702491 1357.43319488
0.00500000 1644646.91425535 2072.25519398
0.00600000 1643759.14912537 1898.54189453
0.00700000 1642710.79207575 3154.00485187
0.00800000 1641501.62248337 2437.63001230
0.00900000 1640132.86989335 2460.19941001
0.01000000 1638603.96736421 3244.43599547
0.01100000 1636916.12467966 3535.73898325
0.01200000 1635069.28278626 3826.06228947
0.01300000 1633064.58593241 4115.32293806
0.01400000 1630902.07469101 4403.43579687
0.01500000 1628583.12277145 5862.89950305
0.01600000 1626107.15641316 4561.23077764
0.01700000 1623476.37084672 5260.06367750
0.01800000 1620690.75387212 6466.55639893
0.01900000 1617750.94975658 5338.57837509
0.02000000 1614658.22439763 5594.79100062
0.02100000 1611414.39535358 9040.03516780
0.02200000 1608018.05018171 6102.42877769
0.02300000 1604472.57152473 6353.71167245
0.02400000 1600777.22893906 7203.49785869
0.02500000 1596934.70943587 8096.45934661
0.02600000 1592945.03292597 7096.57044627
0.02700000 1588810.28228005 8007.60418945
0.02800000 1584530.14654422 8960.51838963
0.02900000 1580107.38627604 8532.58027766
0.03000000 1575543.10938056 8058.90337491
0.03100000 1570837.72404526 10556.02999130
0.03200000 1565992.66164456 10077.16324182
0.03300000 1561011.76357852 9553.39243352
0.03400000 1555893.32827561 8168.44035034
0.03500000 1550640.19170548 9210.80316407
0.03600000 1545253.68827217 10291.39003950
0.03700000 1539735.68694569 10531.79258578
0.03800000 1534087.68295073 11666.73736877
0.03900000 1528311.78061670 9169.87110836
0.04000000 1522407.61262393 14044.21087725
0.04100000 1516379.44295380 12419.14821362
0.04200000 1510227.81670108 12663.26083052
0.04300000 1503953.76822807 9926.09533105
0.04400000 1497560.76489660 15162.80344877
0.04500000 1491050.11629695 14403.54479269
0.04600000 1484421.93723966 11511.69265844
0.04700000 1477680.17127517 10639.29772799
0.04800000 1470825.75952091 10810.56983547
0.04900000 1463861.74423933 10978.96359284
0.05000000 1456788.04774546 13373.31490105
0.05100000 1449609.43714149 15829.73579100
0.05200000 1442323.86986926 11466.47529981
0.05300000 1434937.51740585 13947.59331939
0.05400000 1427450.12806427 14131.75692685
0.05500000 1419864.49501474 14312.23477740
0.05600000 1412181.42549321 21733.47315251
0.05700000 1404406.21772741 14662.00159747
0.05800000 1396537.67019428 14831.23074997
0.05900000 1388578.26914426 18745.80750899
0.06000000 1380532.10866305 16421.43019974
0.06100000 1372400.06204083 16592.31752546
0.06200000 1364184.56568766 14180.69922318
0.06300000 1355888.87965527 14318.18723861
0.06400000 1347511.62829404 14452.06288933
0.06500000 1339058.36846814 17233.68200834
0.06600000 1330531.15422809 16046.20647077
0.06700000 1321930.35411459 14832.05926729
0.06800000 1313259.83746244 16310.68794477
0.06900000 1304522.23526221 20546.22616733
0.07000000 1295717.75550415 16559.27369079
0.07100000 1286849.75053624 13897.97795674
0.07200000 1277920.70363500 19590.52530448
0.07300000 1268932.98786517 15493.67250780
0.07400000 1259889.38113132 22678.00992315
0.07500000 1250790.73444860 19962.62105750
0.07600000 1241638.95222792 14340.93057054
0.07700000 1232438.76516182 15861.48765135
0.07800000 1223190.62033515 21742.21429608
0.07900000 1213896.52614894 18936.78669613
0.08000000 1204560.48907124 14635.41062878
0.08100000 1195183.35209811 16170.83151259
0.08200000 1185767.14782940 22144.20252483
0.08300000 1176315.40196221 16303.73223636
0.08400000 1166829.11040245 14877.07185594
0.08500000 1157311.39583189 22393.97656064
0.08600000 1147763.34936040 17973.97489489
0.08700000 1138189.55097022 19531.33361180
0.08800000 1128588.90106422 18079.99504415
0.08900000 1118967.12369020 16616.66256728
0.09000000 1109323.63109735 15142.26827579
0.09100000 1099661.33891946 22762.99078506
0.09200000 1089982.26710138 21287.35467671
0.09300000 1080291.49592541 21324.95513167
0.09400000 1070585.49476946 19832.59722269
0.09500000 1060870.07070187 15276.52973614
0.09600000 1051146.41872894 15294.18111145
0.09700000 1041419.00076422 21432.40404332
0.09800000 1031687.30004901 22980.83568910
0.09900000 1021954.56506796 15329.31919684
0.10000000 1012221.12085746 16868.66577238
0.10100000 1002489.63838402 18405.71062638
0.10200000 992763.00933991 21473.46490205
0.10300000 983042.05992895 18402.54822754
0.10400000 973330.41681870 16862.95026470
0.10500000 963630.43382158 16853.89708050
0.10600001 953939.17451501 16841.79691853
0.10700001 944264.16741260 18356.49627831
0.10800001 934604.23922250 21393.09204260
0.10900001 924963.10179677 18314.27027755
0.11000001 915340.33787807 24384.66774885
0.11100001 905738.99838311 16738.05747804
0.11200001 896160.93897014 16708.92149371
0.11300001 886607.21966643 16677.08258710
0.11400001 877080.67971614 15129.64243747
0.11500001 867582.46874076 19624.71636700
