# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682651.06717942 1009.59066428
0.00200000 1682405.35280283 1059.91540583
0.00300000 1681996.03922498 1211.03719138
0.00400000 1681422.98155766 1387.17401249
0.00500000 1680686.69915090 2571.45075148
0.00600000 1679787.09682554 1940.15417582
0.00700000 1678724.74111771 3021.70465959
0.00800000 1677499.43911259 2717.54920610
0.00900000 1676112.40861627 3268.41933652
0.01000000 1674563.07073597 3315.63502322
0.01100000 1672852.65958358 3613.36190202
0.01200000 1670981.12022063 3258.41332729
0.01300000 1668949.61329353 3504.79434249
0.01400000 1666758.17487007 5250.28848359
0.01500000 1664408.15612505 3994.57975257
0.01600000 1661898.93621909 5085.41097217
0.01700000 1659232.93370181 7615.87950733
0.01800000 1656409.99758513 5192.84557609
0.01900000 1653430.76626867 6448.38027942
0.02000000 1650296.36765738 6238.12055193
0.02100000 1647008.99728297 6522.15592495
0.02200000 1643567.04419444 6804.36787210
0.02300000 1639973.72382843 7084.68680942
0.02400000 1636228.63634073 6749.44343266
0.02500000 1632334.34690609 7639.32509241
0.02600000 1628290.82155537 7254.03594182
0.02700000 1624100.06741556 7503.34265512
0.02800000 1619762.02743232 7750.56165670
0.02900000 1615279.48549505 7268.75801847
0.03000000 1610653.27522270 8238.49188145
0.03100000 1605883.95388853 10020.71633335
0.03200000 1600973.32991428 8717.30018289
0.03300000 1595924.62891760 9767.05917924
0.03400000 1590736.26883348 10021.63895605
0.03500000 1585411.50896609 9417.34479813
0.03600000 1579951.45477469 8768.73097924
0.03700000 1574358.14427036 9871.22602109
0.03800000 1568632.83371788 12847.10350271
0.03900000 1562777.60725021 10314.33268551
0.04000000 1556792.41774305 10531.70119406
0.04100000 1550681.32162612 14653.93916882
0.04200000 1544444.98515701 10957.83767805
0.04300000 1538084.44011924 15227.03666399
0.04400000 1531602.96421010 11372.15253740
0.04500000 1525002.28611753 13679.27114208
0.04600000 1518282.25148695 11774.27940763
0.04700000 1511446.86369463 11970.65971719
0.04800000 1504496.95132014 15481.27434940
0.04900000 1497436.05301402 15723.07928852
0.05000000 1490263.64794341 11400.51743765
0.05100000 1482984.48803226 15037.46340915
0.05200000 1475596.73771922 17596.49191732
0.05300000 1468106.82134028 13080.83238794
0.05400000 1460513.99765186 15664.01335529
0.05500000 1452821.38544087 13424.07022770
0.05600000 1445029.82200200 21003.50944291
0.05700000 1437144.50324732 17504.42086663
0.05800000 1429164.07061925 12648.10261555
0.05900000 1421091.65914454 12789.82552966
0.06000000 1412930.76643262 15513.98054022
0.06100000 1404682.73535971 13063.55004932
0.06200000 1396349.76046120 14515.05643848
0.06300000 1387934.66690596 21318.67748044
0.06400000 1379436.89567053 16139.41243413
0.06500000 1370862.04362255 16285.84184005
0.06600000 1362211.29270146 16428.26895863
0.06700000 1353486.09639029 16566.67059512
0.06800000 1344689.76373065 13917.53970608
0.06900000 1335824.56313656 15428.77442659
0.07000000 1326891.65824533 16957.67618648
0.07100000 1317893.68510783 21349.87869873
0.07200000 1308833.54526756 14331.72799208
0.07300000 1299713.58199346 14426.82143610
0.07400000 1290536.51692489 15970.39014538
0.07500000 1281303.29170022 16067.54403105
0.07600000 1272015.24887883 16160.95449464
0.07700000 1262678.21254428 19205.33651331
0.07800000 1253292.04551346 16336.66257940
0.07900000 1243858.81033826 19404.19835141
0.08000000 1234382.43289325 23996.39562114
0.08100000 1224864.02364055 25611.90793599
0.08200000 1215305.70848251 19669.72381479
0.08300000 1205710.34442263 25826.31678961
0.08400000 1196080.12971679 18300.02684365
0.08500000 1186416.82070962 16835.25547620
0.08600000 1176722.91250498 23034.35209378
0.08700000 1167001.91753483 20025.75384526
0.08800000 1157253.61809497 18539.20383255
0.08900000 1147482.78706362 20138.32385886
0.09000000 1137689.80693361 23294.19989122
0.09100000 1127877.09659192 23347.05699632
0.09200000 1118046.99971958 20275.78329261
0.09300000 1108204.08334394 21875.94963321
0.09400000 1098345.42563629 23477.13457634
0.09500000 1088476.54417801 28213.31335120
0.09600000 1078598.99845457 18832.33939828
0.09700000 1068716.98959891 15710.14048568
0.09800000 1058829.96608859 22013.07602999
0.09900000 1048941.27917841 15734.11992753
0.10000000 1039051.15749460 22038.27608686
0.10100000 1029162.54042052 17320.80636991
0.10200000 1019278.16650324 17322.63325452
0.10300000 1009399.22665556 18895.95441187
0.10400000 999528.98565278 17316.84049111
0.10500000 989669.65024218 15735.74817921
0.10600001 979818.74111020 18871.30984174
0.10700001 969983.98952749 15713.74136980
0.10800001 960163.47248403 21978.14291949
0.10900001 950361.47929370 17249.06166102
0.11000001 940577.92735075 17226.68555028
0.11100001 930815.22695395 20329.00551363
0.11200001 921075.38586493 24979.56564062
0.11300001 911359.70915342 15584.25176024
0.11400001 901670.75075907 17109.20330123
0.11500001 892010.16523708 18625.17312717
0.11600001 882378.77432405 18582.89786236
0.11700001 872779.66930768 15448.20087428
0.11800001 863211.70411816 21571.66150190
0.11900001 853678.04041108 16902.82599629
0.12000001 844179.79797591 18386.23686600
0.12100001 834721.48250047 16802.94423429
0.12200001 825301.01719836 21317.52627853
0.12300001 815921.83679760 16693.76156740
0.12400001 806583.13651785 18148.12142675
0.12500001 797287.61418212 15068.73661809
0.12600001 788038.38052163 16513.34504200
0.12700001 778834.38039754 19439.70705085
0.12800001 769677.32895359 16382.58271888
0.12900001 760569.64473272 20763.55227983
0.13000001 751511.92085587 17720.65192904
0.13100001 742504.21601715 23522.53467222
0.13200001 733549.58785223 14634.31496752
0.13300001 724648.49368070 16021.97895060
0.13400001 715801.14247454 17393.96858218
0.13500001 707010.10540034 17307.60819622
0.13600001 698275.43403375 20089.38518438
0.13700001 689599.07220019 15702.17161441
0.13800001 680979.34138825 22717.47189997
0.13900001 672421.21733414 19769.18472190
0.14000001 663922.20585294 15446.15084762
0.14100001 655486.19313738 16754.22788677
0.14200001 647111.50615462 15268.59670787
0.14300001 638801.02047930 22076.96430908
0.14400001 630551.44378127 13714.49454915
0.14500001 622369.24021759 23170.80790632
0.14600001 614251.55159041 14898.67208666
0.14700001 606201.29462494 14803.43631312
0.14800001 598215.24554211 17381.14477925
0.14900001 590297.87759566 13281.70287254
0.15000001 582447.73282392 15830.93012510
0.15100001 574666.28162739 15722.87020721
0.15200001 566954.91194250 16915.10059598
0.15300001 559312.93478613 16796.16822422
0.15400001 551739.03916967 16676.31324588
0.15500001 544237.25376179 14008.66757294
0.15600001 536804.56317341 18962.62208904
0.15700001 529445.95301115 16312.23058216
0.15800001 522155.68415323 14944.09638581
0.15900001 514939.49991917 13594.40343953
0.16000001 507793.25756855 15942.17007387
0.16100001 500721.46939855 14601.03873689
0.16200001 493721.89193950 13278.65091055
0.16300001 486794.76540513 16765.21251200
0.16400001 479941.07510072 13066.39638648
0.16500001 473159.78324253 15316.18290666
0.16600001 466452.63962919 14021.56700925
0.16700001 459817.50229124 17381.10240725
0.16800001 453256.17582038 13788.05351948
0.16900001 446769.76334387 12531.89245353
0.17000001 440355.10638244 15813.15261689
0.17100001 434014.47290122 14556.84610850
0.17200001 427747.06507829 13320.04423555
0.17300001 421553.12846769 13203.04460711
0.17400001 415432.96390705 14176.65056284
0.17500001 409385.01514689 10807.76491030
0.17600001 403408.88898527 11781.55715925
0.17700001 397508.59821205 11674.82808090
0.17800001 391678.96021787 13671.55475214
0.17900001 385921.43562468 14587.83095565
0.18000001 380237.61820197 10323.45182181
0.18100001 374625.95482286 12272.74685972
0.18200001 369084.11596465 10131.35946181
0.18300001 363614.46122719 14050.06344553
0.18400001 358215.72264133 10934.53545018
0.18500001 352888.31316085 11814.70128278
0.18600001 347631.50008350 9751.06403802
0.18700001 342443.88813651 14485.37715253
0.18800001 337325.01498777 12432.11401474
0.18900001 332278.72314707 13257.92167997
0.19000001 327297.11845043 12190.18175266
0.19100001 322386.94232514 14855.59100427
0.19200001 317542.90212387 10112.15419595
0.19300001 312768.58458980 10921.87948996
0.19400001 308059.37547946 10812.88459028
0.19500001 303417.72082463 11596.62583792
0.19600001 298840.78417833 9713.82014876
