# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 328.13292544
0.00100000 1682650.95255464 555.27482753
0.00200000 1682404.89495747 908.49867204
0.00300000 1681994.99637313 1110.11673715
0.00400000 1681421.14382950 1513.27908695
0.00500000 1680683.82363126 1815.13860137
0.00600000 1679782.95532868 1763.77217490
0.00700000 1678719.08771855 2215.90928788
0.00800000 1677492.05906771 2264.61437535
0.00900000 1676103.08629968 3016.98568431
0.01000000 1674551.57158387 3039.31123366
0.01100000 1672838.78123331 3312.22093105
0.01200000 1670964.62140215 3584.21927005
0.01300000 1668930.23584318 4556.17974480
0.01400000 1666735.73033886 4500.18667141
0.01500000 1664382.39472288 3994.51792521
0.01600000 1661869.74593244 5932.87525820
0.01700000 1659199.97812488 5375.80817028
0.01800000 1656373.03940941 5664.79604968
0.01900000 1653389.66101461 4960.16920686
0.02000000 1650250.92068612 5718.11969884
0.02100000 1646958.90153594 6521.95754578
0.02200000 1643512.04688159 7938.16354709
0.02300000 1639913.84012647 6494.05910250
0.02400000 1636163.49655989 8589.85874862
0.02500000 1632263.81029681 7638.99498107
0.02600000 1628214.61061475 9231.97726444
0.02700000 1624018.07720359 7502.96386032
0.02800000 1619673.98764330 7045.58216936
0.02900000 1615185.10509176 7995.16663730
0.03000000 1610552.49583097 8237.97639484
0.03100000 1605776.75227182 11561.59314834
0.03200000 1600859.12965186 11093.95427945
0.03300000 1595803.51591184 13835.61712078
0.03400000 1590608.00236772 9185.76163751
0.03500000 1585275.85197984 8560.48999600
0.03600000 1579808.38207013 11398.31800339
0.03700000 1574207.19955484 9870.27959768
0.03800000 1568474.01697699 11928.24545114
0.03900000 1562610.83643702 12188.36508865
0.04000000 1556617.45702378 10530.51758474
0.04100000 1550497.91621546 14652.20598761
0.04200000 1544253.07799562 12948.56265971
0.04300000 1537883.82297105 12180.04044330
0.04400000 1531393.66684621 14471.67082379
0.04500000 1524783.89916916 16833.61502900
0.04600000 1518054.64495389 12842.74289333
0.04700000 1511210.15346861 13056.85633322
0.04800000 1504250.67454624 12161.86726958
0.04900000 1497180.27451311 12351.73783968
0.05000000 1489998.18951151 12538.33534860
0.05100000 1482709.42356589 11565.13404256
0.05200000 1475311.68808122 15247.34700687
0.05300000 1467811.53137358 11889.27395838
0.05400000 1460208.70982550 13251.39465963
0.05500000 1452505.80183627 13421.15423505
0.05600000 1444703.88853907 12352.21882341
0.05700000 1436808.13272390 15000.27760583
0.05800000 1428817.24847364 13909.53656336
0.05900000 1420734.13064315 16622.59010490
0.06000000 1412562.60639474 18094.92783329
0.06100000 1404303.44755923 16978.02947440
0.06200000 1395959.57149033 14511.00042394
0.06300000 1387533.50700481 21312.51566407
0.06400000 1379024.46161929 21512.78260734
0.06500000 1370438.60536791 18994.27995891
0.06600000 1361776.57241491 15054.44071242
0.06700000 1353040.25167419 16561.21345554
0.06800000 1344232.47550233 19477.92948177
0.06900000 1335356.08051978 15423.36345211
0.07000000 1326411.62620992 19776.79827291
0.07100000 1317402.33759617 17073.53509493
0.07200000 1308330.52350638 14326.21990353
0.07300000 1299199.27982878 21631.66902271
0.07400000 1290010.47610436 15963.88038993
0.07500000 1280765.70721652 17520.87569597
0.07600000 1271466.21144791 16153.97897375
0.07700000 1262117.55402800 17720.13128942
0.07800000 1252719.68277218 19298.14761812
0.07900000 1243274.79385283 20887.01751641
0.08000000 1233786.71192013 16489.56017836
0.08100000 1224256.99269335 18070.03405997
0.08200000 1214686.91966082 18147.42343130
0.08300000 1205079.97593886 15184.00840945
0.08400000 1195438.01110767 18290.20242846
0.08500000 1185763.30253950 21414.88624919
0.08600000 1176057.83910366 16882.31107298
0.08700000 1166325.52128595 16935.04736430
0.08800000 1156565.46335926 15440.14966097
0.08900000 1146783.32302803 20126.04826446
0.09000000 1136979.02758330 17071.74090112
0.09100000 1127155.12202993 23332.11212219
0.09200000 1117313.72492501 21821.13807309
0.09300000 1107459.60356806 20299.73548733
0.09400000 1097589.84887799 20332.85290606
0.09500000 1087709.89449305 15663.02321690
0.09600000 1077821.42157585 18818.76290534
0.09700000 1067928.25666070 18838.25533313
0.09800000 1058030.58329337 18854.10588076
0.09900000 1048131.04472641 18866.35969222
0.10000000 1038230.44569317 20447.94958954
0.10100000 1028331.23416006 18880.16234715
0.10200000 1018436.49984716 25175.75146040
0.10300000 1008547.16454546 17306.67015772
0.10400000 998666.59513782 25166.39938143
0.10500000 988797.47203053 20438.44470849
0.10600001 978936.44860501 20425.50996124
0.10700001 969091.84753749 17269.21753577
0.10800001 959261.74687946 20389.10938947
0.10900001 949450.20340699 17232.52200290
0.11000001 939656.96109890 17209.81805258
0.11100001 929885.05927828 18746.48367751
0.11200001 920136.06522919 23394.46055980
0.11300001 910411.37883163 15568.03531098
0.11400001 900713.52686716 18644.77088403
0.11500001 891044.31244276 15504.17176656
0.11600001 881404.31031141 18562.37564929
0.11700001 871796.75336612 20060.04423968
0.11800001 862220.58165378 16929.70191813
0.11900001 852679.12168075 24557.15986109
0.12000001 843172.84521446 21425.02300612
0.12100001 833706.89809933 18308.20434473
0.12200001 824278.63399461 19770.32396777
0.12300001 814892.21778511 18188.39515790
0.12400001 805546.48797161 18124.79683336
0.12500001 796243.98840180 16553.91329890
0.12600001 786987.85351818 19489.75511080
0.12700001 777777.37760767 16426.65898920
0.12800001 768614.25508525 17847.22384421
0.12900001 759500.32841944 17772.30852266
0.13000001 750436.60893314 16220.68806665
0.13100001 741423.21629847 14680.18037470
0.13200001 732463.02974949 18996.42957205
0.13300001 723556.45906255 17452.18261534
0.13400001 714703.87670414 18814.58044126
0.13500001 705908.16460205 15840.57996052
0.13600001 697169.13735453 20057.55702742
0.13700001 688488.17642097 14251.70592393
0.13800001 679864.33468421 17010.20645593
0.13900001 671302.15155637 16916.81501699
0.14000001 662799.68923106 16821.85690601
0.14100001 654360.05079809 18119.23066116
0.14200001 645982.17509031 19398.84563291
0.14300001 637668.68604601 16528.37312192
0.14400001 629416.22601755 19165.72498628
0.14500001 621231.49424712 13604.97036579
0.14600001 613111.55406294 18926.75456678
0.14700001 605059.29165744 21491.70705358
0.14800001 597071.63070633 20016.82736380
0.14900001 589152.58024425 14581.52704901
0.15000001 581301.19299740 17116.41443541
0.15100001 573518.52516243 15691.46758885
0.15200001 565806.53553702 12985.26060331
0.15300001 558163.94803690 16761.66415051
0.15400001 550589.88184687 14081.33689275
0.15500001 543088.21564328 12708.26484579
0.15600001 535655.66426537 16399.09893544
0.15700001 528297.55186133 16276.84834106
0.15800001 521007.90666425 13668.64307648
0.15900001 513792.93024713 13564.13399876
0.16000001 506647.69811013 12235.54248691
0.16100001 499577.63263195 12139.73704600
0.16200001 492579.66305148 25291.50399329
0.16300001 485654.64740160 14336.52586809
0.16400001 478803.51687455 13035.42636231
0.16500001 472024.83377439 16454.78648223
