# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 299.63713438
0.00100000 1664569.46794885 649.18210792
0.00200000 1664325.56489162 1198.31444467
0.00300000 1663919.26436418 1397.69223186
0.00400000 1663350.44351730 2245.52318407
0.00500000 1662619.58944769 1795.62922768
0.00600000 1661726.61504075 1919.29431851
0.00700000 1660672.10386896 2391.36792896
0.00800000 1659455.81985534 2912.34508681
0.00900000 1658079.04181204 2735.83053594
0.01000000 1656541.13106663 3006.62228271
0.01100000 1654843.36232085 3574.46181824
0.01200000 1652985.65130698 4834.98324206
0.01300000 1650969.17970796 3813.73897333
0.01400000 1648793.92476702 4080.76514470
0.01500000 1646461.27848410 6322.41159091
0.01600000 1643970.66662299 4611.33792602
0.01700000 1641324.36252804 5761.04877091
0.01800000 1638522.31905074 6537.70434719
0.01900000 1635565.18092108 6378.70449342
0.02000000 1632454.02773518 7199.12258797
0.02100000 1629191.00218128 5913.96360605
0.02200000 1625774.60615269 8974.27623369
0.02300000 1622207.98332976 7591.93370756
0.02400000 1618490.76253581 8497.07689076
0.02500000 1614625.29283252 7556.44671556
0.02600000 1610611.83210807 7827.57386207
0.02700000 1606452.35972252 12144.78039575
0.02800000 1602146.67491768 9060.13986215
0.02900000 1597697.39697348 8627.56633978
0.03000000 1593105.83628737 8148.73672717
0.03100000 1588372.25139340 11436.28073625
0.03200000 1583498.21988633 10973.64316924
0.03300000 1578487.16426987 9660.34189068
0.03400000 1573337.78470979 8260.02375085
0.03500000 1568052.96596824 11007.73232941
0.03600000 1562633.84587290 12141.66554354
0.03700000 1557082.54496003 9762.90800841
0.03800000 1551400.21685756 13613.53753295
0.03900000 1545589.19537808 13910.30340259
0.04000000 1539649.07023926 10415.72644282
0.04100000 1533584.07340326 12560.05414354
0.04200000 1527394.79107353 10836.86654542
0.04300000 1521082.31050236 12046.97245837
0.04400000 1514649.85622550 12268.66440521
0.04500000 1508099.29418340 11446.47417471
0.04600000 1501430.17074065 12702.09983495
0.04700000 1494646.76128704 12913.74861811
0.04800000 1487749.59798184 14215.44807013
0.04900000 1480742.47892730 17768.91057423
0.05000000 1473624.98046493 12400.55478806
0.05100000 1466401.31343786 13725.51693317
0.05200000 1459070.12378891 13919.52962961
0.05300000 1451637.44505233 16461.56939430
0.05400000 1444102.95928055 13105.23496662
0.05500000 1436469.45226283 13272.97835808
0.05600000 1428737.84624027 18323.56373309
0.05700000 1420913.28314662 17306.72459658
0.05800000 1412994.49305263 12505.00184740
0.05900000 1404984.46790991 13909.34688196
0.06000000 1396886.71432144 15337.81683981
0.06100000 1388702.49556636 14206.42719353
0.06200000 1380434.31978306 20872.16789076
0.06300000 1372084.78401011 15806.41745083
0.06400000 1363653.05363122 14625.17968417
0.06500000 1355145.27835356 20123.90832490
0.06600000 1346562.35496929 13532.95230063
0.06700000 1337905.35687698 20469.95291819
0.06800000 1329178.04099929 13756.99336829
0.06900000 1320382.55859968 16636.82101727
0.07000000 1311520.03506444 15364.45793027
0.07100000 1302593.10222250 15474.80677921
0.07200000 1293604.71201878 14164.97226019
0.07300000 1284557.18525164 15684.44396683
0.07400000 1275452.81710657 17218.61383787
0.07500000 1266292.96855159 15879.31456994
0.07600000 1257079.29852300 17423.11989434
0.07700000 1247816.77201094 20439.23968390
0.07800000 1238505.50226793 16143.91997915
0.07900000 1229148.01692616 19174.70996341
0.08000000 1219747.85520631 19265.91827677
0.08100000 1210306.31853539 16375.44525809
0.08200000 1200824.93963685 19435.35256003
0.08300000 1191307.55013220 18012.57100336
0.08400000 1181755.19765015 18080.85537274
