# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 299.63713438
0.00100000 1664569.40017497 499.37083191
0.00200000 1664325.28939191 1048.52496552
0.00300000 1663918.65111651 998.35122623
0.00400000 1663349.34780782 1497.01446991
0.00500000 1662617.89234131 1945.26301104
0.00600000 1661724.16727187 2617.21567001
0.00700000 1660668.74676937 2590.64335263
0.00800000 1659451.45582852 2912.33742794
0.00900000 1658073.52704125 3481.95455563
0.01000000 1656534.33130002 3006.60994113
0.01100000 1654835.15722320 3276.57375396
0.01200000 1652975.85527527 4834.95458866
0.01300000 1650957.67352772 3813.71239405
0.01400000 1648780.62838967 4451.70789400
0.01500000 1646446.01420304 6322.35297607
0.01600000 1643953.38721349 5868.91385471
0.01700000 1641304.82428731 6204.13251412
0.01800000 1638500.44971959 6070.64443938
0.01900000 1635540.83993596 9322.58320829
0.02000000 1632427.09139302 5656.36012755
0.02100000 1629161.35306354 6989.10252152
0.02200000 1625742.09092874 7291.45360908
0.02300000 1622172.56302195 8759.73223905
0.02400000 1618452.23113760 6069.19614351
0.02500000 1614583.58999036 6296.87628854
0.02600000 1610566.76574269 7175.07526956
0.02700000 1606403.88223310 7421.58627583
0.02800000 1602094.67991612 6969.11217724
0.02900000 1597641.74580847 9346.20464210
0.03000000 1593046.35532827 7407.66589277
0.03100000 1588308.89173554 7623.88303113
0.03200000 1583430.79381403 11756.97418557
0.03300000 1578415.74430248 9659.90480046
0.03400000 1573262.13128919 11563.47719852
0.03500000 1567972.98511794 11853.87631488
0.03600000 1562549.37015828 10406.57928618
0.03700000 1556993.60802535 10649.83677142
0.03800000 1551306.64095390 11797.68755045
0.03900000 1545490.93221187 9272.94602270
0.04000000 1539546.04585626 10415.02948284
0.04100000 1533476.13041868 14491.35010437
0.04200000 1527281.84151256 13791.35566868
0.04300000 1520964.33654107 13049.87461327
0.04400000 1514526.80889395 16356.89029570
0.04500000 1507970.88872597 12485.99953881
0.04600000 1501296.50145179 15876.21124089
0.04700000 1494507.67889162 10760.45578847
0.04800000 1487605.09254805 15307.45711455
0.04900000 1480592.41601131 15546.22109176
0.05000000 1473469.17498997 14653.65162764
0.05100000 1466239.93390548 17155.00802584
0.05200000 1458903.02343612 12758.10753449
0.05300000 1451464.49954010 15283.92189266
0.05400000 1443924.16841079 17868.56241736
0.05500000 1436284.77166983 15684.23043829
0.05600000 1428547.07916876 12214.07809685
0.05700000 1420716.51474479 18540.35138286
0.05800000 1412791.75155920 13753.52834361
0.05900000 1404775.56985138 18964.47107874
0.06000000 1396671.55244554 15335.45436231
0.06100000 1388481.07441118 14204.16205501
0.06200000 1380206.60459796 13042.95302312
0.06300000 1371850.95777726 15803.72377250
0.06400000 1363412.93279120 13293.27671640
0.06500000 1354898.70307142 17437.54712422
0.06600000 1346309.31496264 14883.45017329
0.06700000 1337645.99857590 15008.38880640
0.06800000 1328912.12796819 17880.51351878
0.06900000 1320110.43513944 22177.85634869
0.07000000 1311241.24634686 13964.71992754
0.07100000 1302308.05497901 15471.42041780
0.07200000 1293313.07311771 14161.77881407
0.07300000 1284258.92209476 25659.49446574
0.07400000 1275148.07094603 17214.49976451
0.07500000 1265981.78399325 18761.85091819
0.07600000 1256761.59962601 14515.59715618
0.07700000 1247492.58952470 16055.23037999
0.07800000 1238174.88073949 20541.32223478
0.07900000 1228810.71411227 16220.30218707
0.08000000 1219404.20933265 14815.76183841
0.08100000 1209956.24424309 22323.69375367
0.08200000 1200468.45117499 16440.41621031
0.08300000 1190944.53934167 15005.90189996
0.08400000 1181385.85093203 18075.20436769
0.08500000 1171794.86147243 15116.15442262
0.08600000 1162173.57374546 16683.00243441
0.08700000 1152525.74042852 18256.00858565
0.08800000 1142850.63130604 15257.05664446
