# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420643 280.65061764
0.00100000 1700830.39585037 561.27404396
0.00200000 1700583.01965648 841.78862139
0.00300000 1700170.94566654 1224.12312449
0.00400000 1699594.00593865 1402.16510818
0.00500000 1698852.75745801 2446.34806757
0.00600000 1697947.06003449 2495.98227987
0.00700000 1696877.51201747 2443.50371886
0.00800000 1695643.91342894 3204.76713169
0.00900000 1694247.52467302 3049.64567478
0.01000000 1692687.67433354 2792.93478325
0.01100000 1690965.70878377 3956.85993083
0.01200000 1689081.48164591 4611.19264707
0.01300000 1687036.22873553 3897.05386026
0.01400000 1684829.91455637 6065.38796129
0.01500000 1682463.93039133 5249.28769657
0.01600000 1679937.76170355 6425.76222577
0.01700000 1677253.62570356 5887.16049031
0.01800000 1674411.47374554 5249.28020640
0.01900000 1671412.02626375 6017.08356606
0.02000000 1668256.31993812 5780.50841007
0.02100000 1664946.52496104 7692.05329407
0.02200000 1661481.14732051 5732.11021868
0.02300000 1657863.32226439 5968.30823182
0.02400000 1654092.72097819 8063.70238245
0.02500000 1650171.78912678 7722.80432582
0.02600000 1646100.55349448 6666.70754658
0.02700000 1641881.22249718 8964.67188543
0.02800000 1637513.50901225 9972.45772722
0.02900000 1633000.14508461 9553.05128737
0.03000000 1628342.28472629 9086.15036642
0.03100000 1623540.24368570 9351.59223393
0.03200000 1618595.85137861 8813.25481668
0.03300000 1613512.48875318 13166.26251520
0.03400000 1608288.25794684 9287.86511819
0.03500000 1602926.74930080 9521.38533053
0.03600000 1597428.97596808 9752.30434898
0.03700000 1591797.04413989 14517.18971394
0.03800000 1586031.99560980 10206.11636408
0.03900000 1580136.33516158 11376.98214003
0.04000000 1574109.54020809 10648.85153296
0.04100000 1567956.03230392 12841.56049999
0.04200000 1561676.23387580 17123.78069887
0.04300000 1555271.37806759 12317.74988606
0.04400000 1548744.69487377 10454.02717590
0.04500000 1542097.78840524 12768.57028129
