# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 349.57665678
0.00100000 1664569.24062163 749.05617607
0.00200000 1664324.65113741 898.73534007
0.00300000 1663917.20912696 1098.18539714
0.00400000 1663346.78717766 1372.26115156
0.00500000 1662613.88917309 1795.62307138
0.00600000 1661718.40844123 2093.76527988
0.00700000 1660660.91318550 2789.91045010
0.00800000 1659441.21998600 3136.34403819
0.00900000 1658060.59339880 2984.50919570
0.01000000 1656518.36493710 3553.23204622
0.01100000 1654815.85782411 2978.66867377
0.01200000 1652952.93722686 4512.56171648
0.01300000 1650930.77172826 3813.65025089
0.01400000 1648749.45028656 4822.59235588
0.01500000 1646410.27947152 4741.66181602
0.01600000 1643912.75445780 4611.17548239
0.01700000 1641259.03291552 5760.81946396
0.01800000 1638449.16407237 6070.45442604
0.01900000 1635483.80724951 5397.09680745
0.02000000 1632363.98326616 5656.14145788
0.02100000 1629091.85159600 6988.80436021
0.02200000 1625665.90750940 10095.38574429
0.02300000 1622089.44536707 6423.47449604
0.02400000 1618361.88628259 8496.40029040
0.02500000 1614485.78351394 9444.74226490
0.02600000 1610461.17142975 6522.36804261
0.02700000 1606290.23146225 8095.70313736
0.02800000 1601972.69121985 7665.43967902
0.02900000 1597511.11646922 7907.68038960
0.03000000 1592906.82733395 9629.12221384
0.03100000 1588160.35708476 9147.80407773
0.03200000 1583272.89865432 13323.24205582
0.03300000 1578248.15103509 8853.97253548
0.03400000 1573084.74775783 9084.56483747
0.03500000 1567785.40735062 9312.64574970
0.03600000 1562351.58966182 11272.36724035
0.03700000 1556785.10916692 10648.41063916
0.03800000 1551087.44853875 9981.24819327
0.03900000 1545260.58573464 11125.87673253
0.04000000 1539304.49934137 14200.08466444
0.04100000 1533223.04833807 13523.02791336
0.04200000 1527017.11748661 11819.11303767
0.04300000 1520687.67624818 13047.50086785
0.04400000 1514238.09373402 19420.10445405
0.04500000 1507669.96832728 19765.55420318
0.04600000 1500983.08653623 10581.93125200
0.04700000 1494181.69116062 19364.59561805
0.04800000 1487266.18703395 17490.25117331
0.04900000 1480240.54171826 14432.34595354
0.05000000 1473104.22462919 16903.87176477
0.05100000 1465861.64869172 11433.72139242
0.05200000 1458511.26741646 13914.19813957
0.05300000 1451059.04312184 14104.29455666
0.05400000 1443504.99483909 14290.70011534
0.05500000 1435851.63504995 12061.15429706
0.05600000 1428099.97071920 14652.30638332
0.05700000 1420255.28151988 13591.84367859
0.05800000 1412316.22738076 14998.79903511
0.05900000 1404285.66025329 16430.14299235
0.06000000 1396167.34488692 21717.38406433
0.06100000 1387962.25297700 19362.07433385
