# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682650.91423543 605.75434351
0.00200000 1682404.73722502 757.08215572
0.00300000 1681994.64184465 1009.19682106
0.00400000 1681420.50389068 1513.27851100
0.00500000 1680682.83488860 1663.87607240
0.00600000 1679781.52916853 2469.27894841
0.00700000 1678717.14295473 3021.69098290
0.00800000 1677489.50058892 2717.53310569
0.00900000 1676099.88843799 2765.56493414
0.01000000 1674547.60228001 3315.60439568
0.01100000 1672833.99431710 3914.43171713
0.01200000 1670958.92613499 4235.88106347
0.01300000 1668923.55788595 4906.63547659
0.01400000 1666728.01389092 4125.15201725
0.01500000 1664373.51454410 7190.09390300
0.01600000 1661859.68103433 5085.29085130
0.01700000 1659188.60590552 4927.79038059
0.01800000 1656360.31261556 5664.75252405
0.01900000 1653375.55069993 5952.15225110
0.02000000 1650235.25605445 5198.24129172
0.02100000 1646941.64757571 7065.37998843
0.02200000 1643493.19189661 6804.06212358
0.02300000 1639893.23220155 6493.97749511
0.02400000 1636141.15633660 8589.74146244
0.02500000 1632239.56147839 7638.88149659
0.02600000 1628188.39697798 8572.41230218
0.02700000 1623989.90350115 8184.90948852
0.02800000 1619643.79798844 9863.63118209
0.02900000 1615152.70830187 8721.82502529
0.03000000 1610517.92218798 8237.79955064
0.03100000 1605740.03527490 8478.30777637
0.03200000 1600820.10518677 9508.87186277
0.03300000 1595761.99206515 9766.06384166
0.03400000 1590564.14041453 10855.60075921
0.03500000 1585229.46752679 13696.38323190
0.03600000 1579759.40233383 12274.73112340
0.03700000 1574155.71089879 12561.76315392
0.03800000 1568419.84850133 11010.30784603
0.03900000 1562553.92231048 10312.85636484
0.04000000 1556557.81583469 11487.39721317
0.04100000 1550435.44614103 13674.84126902
0.04200000 1544187.73516467 10956.01248927
0.04300000 1537815.51435519 13194.45772563
0.04400000 1531322.36450741 11370.06908452
0.04500000 1524709.66349506 12624.59660034
0.04600000 1517977.33771379 13912.26294688
0.04700000 1511129.77198296 14144.17532358
0.04800000 1504167.07521245 12161.19136893
0.04900000 1497093.56144532 11228.20223348
0.05000000 1489908.36743558 14817.13940412
0.05100000 1482616.21941309 12720.84775515
0.05200000 1475215.30168720 17591.94329243
0.05300000 1467711.71724526 13077.31201029
0.05400000 1460105.56410930 13250.45861221
0.05500000 1452399.29509391 15860.20104229
0.05600000 1444593.95044012 12351.27885263
0.05700000 1436694.75137038 16249.01839648
0.05800000 1428700.35006693 15172.79842617
0.05900000 1420613.82432408 14064.07751768
0.06000000 1412438.73434444 20678.10403686
0.06100000 1404176.02290094 27423.55900880
0.06200000 1395828.58210193 17147.75493267
0.06300000 1387398.94104330 13319.03045675
0.06400000 1378886.25889158 21510.62664469
0.06500000 1370296.84316006 24418.69088736
0.06600000 1361631.25867574 16421.27374796
0.06700000 1352891.20690426 17939.33824309
0.06800000 1344079.75275807 15302.34870144
0.06900000 1335199.70043076 18225.47676418
0.07000000 1326251.52004875 16949.49521994
0.07100000 1317238.70153682 21339.26796438
0.07200000 1308163.19653379 18621.70397503
0.07300000 1299028.38325755 20186.90202169
0.07400000 1289835.66727345 20314.91271160
0.07500000 1280587.26946144 20438.17377859
0.07600000 1271284.16920175 19088.33269544
0.07700000 1261931.83263126 17717.52376089
0.07800000 1252530.18197421 17810.98002294
0.07900000 1243081.58362653 16408.67767350
0.08000000 1233589.92015089 19484.55370282
0.08100000 1224056.69058028 21078.25720075
0.08200000 1214482.85675247 16632.34350370
0.08300000 1204872.37645084 16699.53192135
0.08400000 1195226.73877074 19810.88412502
0.08500000 1185548.34869257 19881.64674092
0.08600000 1175839.47200240 16879.17641310
0.08700000 1166103.51357100 23088.85065291
0.08800000 1156339.84077917 16980.85135933
0.08900000 1146554.39818011 20122.03063319
0.09000000 1136746.13712254 18619.90260075
0.09100000 1126919.00130899 20216.92783330
0.09200000 1117074.18856582 15583.18566270
0.09300000 1107216.81031987 18734.10931097
0.09400000 1097343.50339196 25019.43305319
0.09500000 1087460.33626042 21923.20140946
0.09600000 1077568.46504310 17246.48409373
0.09700000 1067671.96485696 26681.12365613
0.09800000 1057771.10977291 18849.48206241
0.09900000 1047868.06545249 20433.42823715
0.10000000 1037964.48413827 17297.67894163
0.10100000 1028062.05171287 20448.15517028
0.10200000 1018164.25195305 15730.63843259
0.10300000 1008271.86572866 20447.75439885
0.10400000 998388.12413383 17297.07506436
0.10500000 988516.11193337 17289.14761116
0.10600001 978652.13986967 23561.05137599
0.10700001 968804.70606028 17264.10067440
0.10800001 958971.56041621 17247.10432576
0.10900001 949157.26311579 15661.09557851
0.11000001 939361.24119646 23460.54810316
0.11100001 929586.61729640 20302.17267745
0.11200001 919834.92851850 20268.56360409
0.11300001 910107.44405942 18675.40563135
0.11400001 900407.18097142 20191.63198400
0.11500001 890735.31873894 17048.67480345
0.11600001 881092.95770357 18555.81856306
0.11700001 871482.98799802 18510.29953682
0.11800001 861904.47043593 20000.49417846
0.11900001 852360.53938162 21479.48660414
0.12000001 842852.17208690 16827.54440837
0.12100001 833383.97138706 18301.11287379
0.12200001 823953.25712208 22802.90746513
0.12300001 814564.92244205 16665.99909837
0.12400001 805217.11805439 21136.95034485
0.12500001 795912.67993116 19555.57546738
0.12600001 786654.45637525 16484.34491014
0.12700001 777442.16310490 19404.95730558
0.12800001 768277.23833353 25272.48094605
0.12900001 759161.57781826 14803.65146518
0.13000001 750096.27409108 19161.21022482
0.13100001 741081.24195931 16140.75021071
0.13200001 732119.36130682 21908.67291989
0.13300001 723211.24837171 21804.82016635
0.13400001 714357.01490421 18805.44930395
0.13500001 705559.91600422 17272.10755813
0.13600001 696819.87649926 20047.50879214
0.13700001 688137.39923463 19942.22277016
0.13800001 679512.48636447 21251.75401319
0.13900001 670948.92975105 22543.88510276
0.14000001 662445.57183806 16812.86940615
0.14100001 654004.77624693 18109.39310837
0.14200001 645625.87779618 15233.54330510
0.14300001 637311.47681121 28908.44995170
0.14400001 629058.25151104 15050.21937732
0.14500001 620872.66118262 14956.82311343
0.14600001 612752.01500300 17564.53733866
0.14700001 604699.06318630 18794.04777047
0.14800001 596710.83167138 20004.73157558
0.14900001 588791.22109426 15897.36371960
0.15000001 580939.27599381 19737.41283316
0.15100001 573156.16630343 22215.53405416
0.15200001 565443.77474462 19465.40286410
0.15300001 557800.98199583 14173.72362136
0.15400001 550226.65692063 15351.32445253
0.15500001 542724.79088841 13969.73677674
0.15600001 535292.03785669 16387.96651241
0.15700001 527933.96693882 21270.46053186
0.15800001 520644.32226868 12417.36767219
0.15900001 513429.28598707 13554.53378984
0.16000001 506284.14646079 14672.11525699
0.16100001 499214.28818724 13343.99855314
0.16200001 492216.48047622 13238.16286733
0.16300001 485291.71223181 11938.17668448
0.16400001 478440.91268884 13025.55446288
0.16500001 471662.57746522 19965.47784670
0.16600001 464958.38088366 12811.92879014
0.16700001 458327.14778263 11549.84466944
0.16800001 451769.69927202 13742.83490074
0.16900001 445287.25696651 13625.79070656
0.17000001 438877.14276786 12382.91916791
0.17100001 432541.31750068 17855.30642958
0.17200001 426279.18948071 17699.11278304
0.17300001 420090.57995426 10964.36465459
0.17400001 413976.27347513 11953.56546111
0.17500001 407934.34904056 16154.20098493
0.17600001 401964.59144678 11739.37644764
0.17700001 396070.71604720 13747.61520331
0.17800001 390248.02511029 10478.15996912
0.17900001 384497.72731101 10381.43912775
0.18000001 378821.43120517 11313.50257734
0.18100001 373217.82324044 11207.73176132
0.18200001 367683.73540356 16148.67042175
0.18300001 362222.56567499 13996.28059886
0.18400001 356832.59902484 14853.15763608
0.18500001 351514.09236047 10787.96800419
0.18600001 346266.56416885 16511.72189246
0.18700001 341088.52250031 9618.69678894
0.18800001 335979.23657440 10477.51298759
0.18900001 330943.01893794 11318.25178244
0.19000001 325972.03559350 10273.00918712
0.19100001 321072.41197530 10171.57449199
0.19200001 316239.21332228 10070.63822410
0.19300001 311475.84733451 11783.13186145
0.19400001 306778.16402401 9870.58789390
0.19500001 302147.78046215 11548.08871497
0.19600001 297582.76965104 14069.71401398
0.19700001 293085.53123305 8704.64068898
0.19800001 288652.39581652 11201.15674901
0.19900001 284284.19902766 9381.37901128
0.20000001 279978.99443690 9285.50378934
0.20100001 275738.91238474 12532.33416019
0.20200001 271560.68477974 10749.73021508
0.20300001 267445.34421618 9820.59350378
0.20400001 263391.94716533 12958.88441305
0.20500001 259399.37240588 10420.07328207
0.20600001 255467.10486311 8725.47937904
0.20700001 251595.27671182 12559.63680714
0.20800001 247782.35404615 9321.57259985
0.20900001 244030.32231384 11530.43327439
0.21000001 240333.41734070 10649.17422578
0.21100001 236695.71565559 9785.00134777
0.21200001 233113.17469944 8192.76291212
0.21300001 229587.24768013 8843.70119873
0.21400001 226116.92216715 8021.49819311
0.21500001 222702.55922769 11544.90121618
0.21600001 219340.45621480 8567.43862481
0.21700001 216032.70520562 7770.69677364
0.21800001 212777.48064622 12581.53302547
0.21900001 209573.53103121 7607.51953613
0.22000001 206420.53199598 9579.97734290
0.22100001 203319.68728084 9478.76426922
0.22200001 200268.36606335 10718.36345852
0.22300001 197265.96985759 10605.01904101
0.22400001 194311.26094940 7213.80590386
0.22500001 191407.13593204 9084.18310090
0.22600001 188547.84693384 9630.08173754
0.22700001 185736.25497315 8893.05230866
0.22800001 182969.62608479 8799.00973452
0.22900001 180248.12430678 6840.41664093
0.23000001 177571.47605284 9229.27790432
0.23100001 174939.70268792 8523.06271803
0.23200001 172349.17558623 6023.60397162
0.23300001 169802.37073777 7748.08254321
0.23400001 167296.09176328 10025.21877306
0.23500001 164831.03671885 6418.52087340
0.23600001 162406.73927810 6350.91583985
0.23700001 160022.29512011 6855.35544719
0.23800001 157676.44693526 6217.97097899
0.23900001 155369.18102414 6711.94893772
0.24000001 153099.33530309 8301.81184949
0.24100001 150867.58822352 7119.44182503
0.24200001 148672.42160190 8128.66503559
0.24300001 146512.21657165 5898.58211819
0.24400001 144387.55303796 5306.24282515
0.24500001 142297.02863158 8926.29302831
0.24600001 140240.57022948 6235.09604736
0.24700001 138218.26095623 5655.89150589
0.24800001 136228.45993523 5596.94654121
0.24900001 134269.40126821 6042.12334291
0.25000001 132343.47347522 6975.82481689
0.25100001 130447.59692858 5917.10327661
0.25200001 128584.04928258 6343.69437147
0.25300001 126748.71921533 4829.12643057
0.25400001 124943.60171252 5257.00229077
0.25500001 123165.78446975 5675.47961688
0.25600001 121417.64981825 5616.78074634
0.25700001 119696.19927749 5558.69175745
0.25800001 118001.87602605 5501.24772062
0.25900001 116335.31428206 5444.49296601
0.26000001 114693.80355556 7184.42019465
0.26100001 113077.71426062 5777.14069493
0.26200001 111487.89922085 5277.83739885
0.26300001 109921.25595290 5658.74652421
0.26400001 108379.72847355 5600.52273388
0.26500001 106861.86997470 4690.16769512
0.26600001 105366.69438502 6329.90446471
0.26700001 103894.85927552 4176.57354051
0.26800001 102445.59291493 4960.41584367
0.26900001 101017.20510201 6955.03490040
0.27000001 99611.05759780  4454.10865126
0.27100001 98225.70466126  4809.13072780
0.27200001 96861.63491995  5553.07779275
0.27300001 95517.66978722  3925.77641404
0.27400001 94192.02591492  5051.04762873
0.27500001 92888.18128170  3845.57088706
0.27600001 91601.09347582  5328.43585966
0.27700001 90334.82874323  4143.65879056
0.27800001 89085.72220825  4101.06141595
0.27900001 87855.18436013  3689.91791776
0.28000001 86641.74621909  5843.11964156
0.28100001 85446.05729049  3614.36839445
0.28200001 84267.86648376  3577.17110154
0.28300001 83106.31373330  5310.49369890
0.28400001 81960.41404786  3854.18865302
0.28500001 80831.44772728  3814.43619879
0.28600001 79717.88267340  4461.41151498
0.28700001 78620.86092661  3736.06348807
0.28800001 77537.37201010  3697.36975931
0.28900001 76470.92669575  4989.72820308
0.29000001 75418.13704894  3950.40220561
0.29100001 74380.68542636  4235.23642865
0.29200001 73357.04190528  4191.25478765
0.29300001 72347.85788659  4147.70288897
0.29400001 71351.78216783  4735.97476557
0.29500001 70370.47167244  3124.44909016
0.29600001 69401.54977657  4019.39094558
0.29700001 68446.19247793  4283.36292804
0.29800001 67504.35717085  3935.84173116
0.29900001 66575.54156474  3595.07941468
0.30000001 65658.08683281  4446.69414126
0.30100001 64754.60993572  4106.73755654
0.30200001 63862.24666714  4353.80887264
0.30300001 62983.04625262  3446.43245410
0.30400001 62115.37068819  3410.13401222
0.30500001 61260.02096619  4217.75264320
0.30600001 60415.21565132  3894.96913744
0.30700001 59582.84585066  2752.72760862
0.30800001 58761.52624912  4085.39530589
0.30900001 57951.88649771  3233.71541967
0.31000001 57153.45259517  4265.93390367
0.31100001 56365.21535133  4220.62752533
0.31200001 55589.08231565  3392.87979977
0.31300001 54822.65748543  2582.14728982
0.31400001 54068.53875194  3065.68629239
0.31500001 53323.41836004  3285.78919492
0.31600002 52590.16150428  2750.72852772
0.31700002 51866.59953306  2968.84429784
0.31800002 51153.24806823  3426.75625034
0.31900002 50450.70952137  3390.28784036
0.32000002 49758.46900235  3114.63151468
0.32100002 49075.69203304  2607.39164118
0.32200002 48404.10526071  2579.69691202
0.32300002 47740.70844584  3016.25810243
0.32400002 47088.67853299  2295.57318718
0.32500002 46445.67968442  2271.19384411
0.32600002 45812.73024702  3595.38324004
0.32700002 45189.78208870  3779.67355288
0.32800002 44577.13314966  2419.86978762
0.32900002 43972.11089771  2611.94351101
0.33000002 43378.09178089  3230.58353836
0.33100002 42792.40506400  2131.06187310
0.33200002 42217.64462487  2108.77144887
0.33300002 41651.46716319  2504.08632443
0.33400002 41095.30631257  2271.54316400
0.33500002 40547.91963723  2247.97677114
0.33600002 40009.51075765  3033.72129687
0.33700002 39480.31534461  2001.65208276
0.33800002 38961.22264839  2179.29609204
0.33900002 38450.23562174  2549.25074245
0.34000002 37948.63139315  2135.17984645
0.34100002 37456.20906929  2113.65397788
0.34200002 36973.33437838  2663.18940140
0.34300002 36498.69569100  1883.33278685
0.34400002 36033.81038072  2610.64968572
0.34500002 35577.32643635  2954.34132719
0.34600002 35130.52851570  2559.96173418
0.34700002 34691.18569176  2535.23197042
0.34800002 34261.58731730  2511.03185341
0.34900002 33840.38327086  2487.26828821
0.35000002 33428.20182934  1935.99440064
0.35100002 33025.32995585  2266.85875553
0.35200002 32629.62321103  2073.28635703
0.35300002 32243.72913138  2396.99893716
0.35400002 31865.87252721  3054.34402640
0.35500002 31496.76995894  1681.92759547
0.35600002 31135.95370918  1667.33040010
0.35700002 30783.56234361  1818.38511376
0.35800002 30439.81693635  2294.85790753
0.35900002 30104.91963182  2275.93203197
0.36000002 29778.06933732  1773.73078409
0.36100002 29458.91395962  2559.39056604
0.36200002 29149.53102268  2222.06885511
0.36300002 28846.95265340  1732.54805843
0.36400002 28552.99024458  1719.60391893
0.36500002 28266.42680617  2638.10573878
0.36600002 27988.85111657  2003.02222504
0.36700002 27718.64263769  1683.07606069
0.36800002 27457.21035178  2279.63499744
0.36900002 27203.41348174  1660.76847173
0.37000002 26956.82721339  2250.22125823
0.37100002 26717.96272855  1639.94862996
0.37200002 26487.68325169  1630.18454295
0.37300002 26264.46504341  1768.12387048
0.37400002 26048.77689535  2490.91440861
0.37500002 25840.85199034  2040.39376981
0.37600002 25640.56002020  1739.96848540
0.37700002 25447.47077389  1875.73315960
0.37800002 25261.69825096  1866.96589768
0.37900002 25083.89788630  1715.73869670
0.38000002 24912.49414662  1566.12401872
