# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 274.66737318
0.00100000 1664569.23481001 649.18201699
0.00200000 1664324.62666544 823.84071629
0.00300000 1663917.15488306 1497.52549274
0.00400000 1663346.69198524 1372.26107303
0.00500000 1662613.73682057 2543.79911802
0.00600000 1661718.19024900 2268.24542203
0.00700000 1660660.61623705 2391.35138677
0.00800000 1659440.83304917 2464.26974112
0.00900000 1658060.12013968 3233.21737248
0.01000000 1656517.77683241 3553.23078473
0.01100000 1654815.12770662 3276.53409552
0.01200000 1652952.08817334 3545.58238458
0.01300000 1650929.76240343 3466.95265396
0.01400000 1648748.30463889 4451.62061987
0.01500000 1646408.94747243 4346.51981487
0.01600000 1643911.22530212 5868.76333668
0.01700000 1641257.35932894 4874.53457587
0.01800000 1638447.24361424 7004.36228163
0.01900000 1635481.65489492 6378.37874190
0.02000000 1632361.62450825 8227.10295968
0.02100000 1629089.22443420 7526.39255812
0.02200000 1625663.07327715 7291.09921490
0.02300000 1622086.31051181 5839.51098365
0.02400000 1618358.51620088 7282.61365497
0.02500000 1614482.12611764 7555.77669531
0.02600000 1610457.23390810 7174.58730521
0.02700000 1606286.02232674 9444.96224387
0.02800000 1601968.14965985 6968.56177060
0.02900000 1597506.25752265 12220.92343116
0.03000000 1592901.66063254 10369.79028737
0.03100000 1588154.88259293 8385.45816593
0.03200000 1583267.03302790 10188.32382679
0.03300000 1578241.98537826 8049.03449649
0.03400000 1573078.17580497 8258.66080403
0.03500000 1567778.47166378 8466.00413793
0.03600000 1562344.30298282 12139.41579518
0.03700000 1556777.43501261 9760.99496895
0.03800000 1551079.34402839 12703.34041550
0.03900000 1545252.01636065 12980.11753854
0.04000000 1539295.60777035 10413.33526911
0.04100000 1533213.78495989 16420.72039829
0.04200000 1527007.46509597 9849.19860680
0.04300000 1520677.52164990 11040.11931964
0.04400000 1514227.53817715 12265.24362886
0.04500000 1507658.96928070 13523.70158283
0.04600000 1500971.64086472 11640.03561601
0.04700000 1494169.78584960 11833.82525430
0.04800000 1487253.87481077 12024.44813732
0.04900000 1480227.81931828 16652.56374247
0.05000000 1473090.98792840 14649.89055714
0.05100000 1465847.97452613 13720.33768071
0.05200000 1458497.18783441 12754.55850199
0.05300000 1451044.37888872 16454.84402369
0.05400000 1443489.87893988 11908.79205661
0.05500000 1435836.08184713 15679.33074520
0.05600000 1428083.88315428 15873.15310197
