# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682651.14329784 605.75442597
0.00200000 1682405.66632436 908.49908858
0.00300000 1681996.73663994 1311.95750132
0.00400000 1681424.22427362 1513.28185935
0.00500000 1680688.65058739 1815.14381448
0.00600000 1679789.89846858 3174.80303736
0.00700000 1678728.53738827 2618.81662716
0.00800000 1677504.38412272 2491.09411560
0.00900000 1676118.69432809 2765.59596386
0.01000000 1674570.81591634 3039.34616213
0.01100000 1672862.05349242 3914.49737561
0.01200000 1670992.27538684 3584.27858785
0.01300000 1668962.69002129 3504.82180362
0.01400000 1666773.31905548 4875.31217436
0.01500000 1664425.50325115 5193.00780138
0.01600000 1661918.74372613 5933.05018033
0.01700000 1659255.22125167 5375.98715802
0.01800000 1656434.91670237 6609.17561504
0.01900000 1653458.51166011 6944.52606233
0.02000000 1650327.09491908 7277.94281782
0.02100000 1647042.78257240 7609.33800048
0.02200000 1643604.07480120 7371.56461039
0.02300000 1640014.16617748 8265.67177377
0.02400000 1636272.59879451 7976.82928285
0.02500000 1632381.94883127 7002.91888031
0.02600000 1628342.14824225 7913.74320242
0.02700000 1624155.39767728 9550.03417574
0.02800000 1619821.51952834 7750.84632639
0.02900000 1615342.97077107 7269.04370222
0.03000000 1610721.20195226 8987.82472002
0.03100000 1605956.40009831 9250.30929020
0.03200000 1601050.20641371 9510.23866412
0.03300000 1596006.30935857 8139.63255297
0.03400000 1590822.71189849 9187.00158511
0.03500000 1585502.92144043 12842.57425671
0.03600000 1580047.90827200 9646.19292579
0.03700000 1574459.75855881 12564.18945436
0.03800000 1568739.71731643 14683.40443362
0.03900000 1562889.92980995 10315.07401444
0.04000000 1556910.30991454 17234.99792941
0.04100000 1550804.79813974 10747.07774941
0.04200000 1544574.14854975 10958.75409237
0.04300000 1538219.43952506 11167.47364932
0.04400000 1531743.98550654 13441.05409705
0.04500000 1525149.25704822 15785.29554391
0.04600000 1518435.31040344 10704.96943598
0.04700000 1511606.27227001 11971.92223317
0.04800000 1504662.49451485 13271.12381910
0.04900000 1497607.98584673 15724.88458334
0.05000000 1490442.19729375 14822.44834231
0.05100000 1483169.64895265 15039.34094097
0.05200000 1475788.53266892 12905.77131962
0.05300000 1468305.09792716 11893.27184765
0.05400000 1460719.19533851 13256.02731588
0.05500000 1453033.47626543 17087.67447801
0.05600000 1445248.84656214 13592.56603620
0.05700000 1437370.52905756 16256.66144248
0.05800000 1429397.24379850 12650.16619828
0.05900000 1421331.97690695 19187.98258443
0.06000000 1413178.14221423 16809.75478697
0.06100000 1404937.22149524 15679.10012459
0.06200000 1396611.51372267 22436.56501672
0.06300000 1388203.85423524 17324.78491088
0.06400000 1379713.32950963 22868.74950612
0.06500000 1371146.04525771 13574.34648303
0.06600000 1362502.64139798 16431.78262408
0.06700000 1353784.97068303 17951.18955135
0.06800000 1344995.96051482 16704.85061153
0.06900000 1336138.42907179 19641.23582694
0.07000000 1327212.98625601 15548.30086209
0.07100000 1318222.75591997 17084.16771691
0.07200000 1309170.18516298 22936.66271856
0.07300000 1300058.02700380 15873.70925349
0.07400000 1290888.26437420 20331.49111671
0.07500000 1281662.77590517 16072.05196319
0.07600000 1272382.56689943 16165.62127031
0.07700000 1263053.12387460 17733.26669069
0.07800000 1253674.47815445 20798.46056795
0.07900000 1244248.63412486 16424.08274080
0.08000000 1234780.11364474 24004.12653531
0.08100000 1225269.48424834 19592.05997236
0.08200000 1215718.65082045 16649.26770426
0.08300000 1206131.03104790 16716.97687489
0.08400000 1196508.05608958 18306.57411746
0.08500000 1186852.39219249 21434.55520924
0.08600000 1177166.00747358 18434.42054256
0.08700000 1167452.49554674 15410.37366485
0.08800000 1157711.44860024 17000.99342113
0.08900000 1147948.07942769 15497.29980018
0.09000000 1138162.40971344 17089.50938464
0.09100000 1128357.12531246 15571.32906087
0.09200000 1118534.16401934 23405.32848184
0.09300000 1108698.62580463 15632.65135846
0.09400000 1098846.97469868 21921.99817552
0.09500000 1088985.45984601 20385.80876651
0.09600000 1079114.75363858 17271.23244387
0.09700000 1069239.55616456 15717.82221456
0.09800000 1059359.59658794 18877.78889879
0.09900000 1049477.69325775 23613.24920865
0.10000000 1039594.37368722 26774.75435346
0.10100000 1029712.46707652 20480.98193341
0.10200000 1019834.67107945 17332.09105023
0.10300000 1009962.25729647 17330.95315047
0.10400000 1000098.45101854 17326.70647903
0.10500000 990245.42057901 15744.90292799
0.10600001 980400.81387415 18882.52056371
0.10700001 970572.18217801 18867.92410942
0.10800001 960757.83416219 17279.23046060
0.10900001 950961.79460782 15690.87034953
0.11000001 941183.85151583 18804.85423842
0.11100001 931427.07735930 18777.57076349
0.11200001 921692.73459069 17184.96184546
0.11300001 911982.72560384 17154.39587625
0.11400001 902299.05905657 21790.52330221
0.11500001 892643.92138200 20191.60645244
0.11600001 883017.62600952 24795.13610599
0.11700001 873423.59350901 17005.55816650
0.11800001 863860.55981191 16961.90289078
0.11900001 854331.71929942 18453.56600606
0.12000001 844838.06330784 19933.95504274
0.12100001 835384.19282564 16816.28459376
0.12200001 825967.89910142 36573.86029525
0.12300001 816593.23483689 19745.22534864
0.12400001 807258.67174046 15136.10080831
0.12500001 797966.94860230 19606.04885101
0.12600001 788721.59198581 19532.69114598
0.12700001 779521.44145767 20953.53733385
0.12800001 770367.94459337 16397.28247346
0.12900001 761263.36733208 14844.63636263
0.13000001 752208.91642906 16258.99649498
0.13100001 743204.39344736 14715.44768391
0.13200001 734252.72284635 17578.01101357
0.13300001 725354.16079962 14579.61931940
0.13400001 716509.26781671 14509.31335734
0.13500001 707720.80488946 20212.50714063
0.13600001 698988.53617732 22982.74415316
0.13700001 690314.11744609 20005.30406690
0.13800001 681696.50927083 17056.04746625
0.13900001 673140.16889141 21203.91632002
0.14000001 664642.86135101 19680.07605273
0.14100001 656208.05590477 13977.23224998
0.14200001 647834.70096932 13896.05499120
0.14300001 639525.35860716 15195.12323722
0.14400001 631276.67041755 16476.32187508
0.14500001 623095.08727932 17739.51797165
0.14600001 614977.98412794 18984.37126560
0.14700001 606928.12513806 13473.80501371
0.14800001 598942.50871436 17402.27541171
0.14900001 591025.01707029 13298.06351149
0.15000001 583174.64457980 15850.68758756
0.15100001 575393.11978703 14430.86012518
0.15200001 567681.06660026 23450.90596783
0.15300001 560038.52582426 15524.26866842
0.15400001 552463.62613885 15413.73589666
0.15500001 544960.99612302 17852.92307552
0.15600001 537526.84571887 13924.63359552
0.15700001 530167.02922778 22616.92653430
0.15800001 522875.05003809 14964.68463840
0.15900001 515657.03340942 13613.34632457
0.16000001 508508.83114974 15964.63550752
0.16100001 501435.04990977 13403.35951678
0.16200001 494433.11182990 13297.77917040
0.16300001 487503.49461424 11992.58653365
0.16400001 480647.26398930 14275.22441441
0.16500001 473862.96651623 17698.78263496
0.16600001 467152.87847179 15212.83420568
0.16700001 460514.61149432 12765.46563334
0.16800001 453950.01970047 11507.63354276
0.16900001 447459.82246009 12551.24861265
0.17000001 441041.53552934 14706.53069666
0.17100001 434697.08415322 19065.81501127
0.17200001 428425.44153896 12229.40480624
0.17300001 422227.29000360 12122.14606847
0.17400001 416102.90940708 13107.24226533
0.17500001 410050.36302258 11907.86310456
0.17600001 404069.38786280 11800.84702988
0.17700001 398164.15129410 11694.08167583
0.17800001 392329.43693531 14747.66423096
0.17900001 386566.59599759 18787.13745287
0.18000001 380877.35922823 15511.23118724
0.18100001 375260.31534903 12293.52851154
0.18200001 369712.46654761 11163.46845474
0.18300001 364237.02404234 12063.53080616
0.18400001 358832.27098238 12944.87478721
0.18500001 353498.61283188 11835.13411673
0.18600001 348235.59168874 12698.41145085
0.18700001 343041.52724339 11608.52583036
0.18800001 337915.67424505 13411.87374445
0.18900001 332862.65194635 12332.56183729
0.19000001 327874.19175757 11272.31524523
0.19100001 322956.85492956 10231.27364760
0.19200001 318105.66405014 10130.07535034
0.19300001 313323.89459245 18235.45152695
0.19400001 308607.30124302 12637.46958307
0.19500001 303957.88756682 10723.63478010
0.19600001 299373.29365302 11500.42561915
