# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1628779.37420969 293.18028736
0.00100000 1628699.40082567 732.91474778
0.00200000 1628459.40640276 952.64878291
0.00300000 1628059.62469673 1074.51939058
0.00400000 1627499.92978702 1464.74999247
0.00500000 1626780.80978320 1610.51306543
0.00600000 1625902.14961198 2390.07625723
0.00700000 1624864.55937575 1949.83755229
0.00800000 1623667.80286344 2411.14678905
0.00900000 1622313.12173707 2920.16374396
0.01000000 1620799.90329294 3476.61594268
0.01100000 1619129.40267713 4663.09288274
0.01200000 1617301.49067067 3153.73804508
0.01300000 1615317.39767573 4070.60002168
0.01400000 1613177.06439825 4355.57826696
0.01500000 1610881.97948396 6572.39876896
0.01600000 1608431.43695458 4921.80041710
0.01700000 1605827.66650916 5636.45536229
0.01800000 1603070.68532418 4568.75165876
0.01900000 1600161.05991316 5280.53173598
0.02000000 1597100.05364287 6540.12501551
0.02100000 1593889.58303447 6311.80303498
0.02200000 1590528.14761770 7682.25130202
0.02300000 1587019.10793390 5713.26904862
0.02400000 1583361.71793441 7125.12805559
0.02500000 1579558.67583870 6776.30702883
0.02600000 1575609.95988145 8295.58681820
0.02700000 1571517.66803334 9900.56176207
0.02800000 1567281.60298920 8862.97787136
0.02900000 1562904.20531587 8439.68309621
0.03000000 1558386.76912958 11594.39809526
0.03100000 1553729.78869290 10441.06466044
0.03200000 1548934.54742534 8433.94899918
0.03300000 1544004.74156122 9449.30945397
0.03400000 1538938.96102849 10503.25889364
0.03500000 1533739.85870200 9938.63474334
0.03600000 1528408.58796860 9330.93486077
0.03700000 1522947.36792848 11285.04051826
0.03800000 1517357.47333957 14202.46660774
0.03900000 1511640.83609580 11790.79906758
0.04000000 1505797.48186364 10186.72043685
0.04100000 1499831.23738809 10393.83095703
0.04200000 1493742.82572713 10598.10584021
0.04300000 1487533.19428608 13744.80735321
0.04400000 1481205.90493220 11997.76838715
0.04500000 1474762.37623711 14246.20521640
0.04600000 1468202.23664264 11385.90887446
0.04700000 1461529.90523297 12627.61896850
0.04800000 1454745.84572495 10692.38246357
0.04900000 1447853.31860170 13030.68047396
0.05000000 1440852.57081854 12124.77494804
0.05100000 1433747.59564065 22366.46353391
0.05200000 1426537.08023126 14743.26141124
0.05300000 1419226.67242748 11495.73658257
0.05400000 1411816.33218718 13976.98234045
0.05500000 1404308.71929659 14155.43255085
0.05600000 1396704.74413524 19106.92179138
0.05700000 1389009.30919402 13292.81970948
0.05800000 1381221.78845653 17113.33875804
0.05900000 1373344.17636548 13596.10798104
0.06000000 1365380.70607345 12493.23404424
0.06100000 1357332.40785000 13885.51118119
0.06200000 1349201.39773411 12749.95380457
0.06300000 1340991.02552609 14160.86589165
0.06400000 1332699.88258693 15592.58935548
0.06500000 1324333.69450153 20977.44670218
0.06600000 1315894.21300723 17192.15869734
0.06700000 1307381.67998363 14668.82313590
0.06800000 1298800.41068359 18819.61883173
0.06900000 1290152.71546141 18965.24580521
0.07000000 1281438.62883029 19106.25085058
0.07100000 1272661.86539556 23366.07294308
0.07200000 1263824.66696228 16606.65690185
0.07300000 1254929.45255718 20894.57636410
0.07400000 1245978.83676882 18222.44134172
0.07500000 1236973.75818832 14101.50150432
0.07600000 1227916.03803360 15600.67399459
0.07700000 1218810.56809104 19964.11804142
0.07800000 1209657.26395460 17201.32710011
0.07900000 1200458.76621130 15846.05645723
0.08000000 1191218.69334011 15920.63858334
0.08100000 1181938.01111827 17445.40586261
0.08200000 1172618.37209266 21898.64912643
0.08300000 1163263.80566491 16122.83710319
0.08400000 1153875.05283659 23539.05218276
0.08500000 1144455.10446143 17716.16584875
0.08600000 1135005.08493588 22217.72558078
0.08700000 1125529.51751772 14856.99032888
0.08800000 1116027.44065896 14898.96703251
0.08900000 1106504.48564705 22406.71688679
0.09000000 1096959.68240328 16470.85040501
0.09100000 1087396.74700237 19507.89855773
0.09200000 1077816.83946030 24056.87298711
0.09300000 1068225.68663601 16568.18117830
0.09400000 1058619.28889409 18102.39069086
0.09500000 1049003.52441297 18126.78175386
0.09600000 1039379.43445371 22684.45722330
0.09700000 1029751.62907940 22706.02448867
0.09800000 1020119.68096575 22723.16696190
0.09900000 1010486.45689626 16673.02732280
0.10000000 1000852.80448519 25776.96519173
0.10100000 991220.93437213 15165.68100916
0.10200000 981593.84829909 18198.75080347
0.10300000 971972.29367363 15162.76849458
0.10400000 962359.85644277 25767.18636847
0.10500000 952759.10301298 19693.53158585
0.10600001 943166.98593285 18165.39700381
0.10700001 933590.68235577 16636.58674246
0.10800001 924029.25279193 18129.45479298
0.10900001 914486.64464903 19615.73945095
0.11000001 904962.02403153 22601.42761403
0.11100001 895458.42311458 19556.81288143
0.11200001 885977.96369034 16519.05991068
0.11300001 876521.64367142 17986.22497494
0.11400001 867092.09897458 17948.80729388
0.11500001 857690.35103879 16416.19409189
0.11600001 848318.18033736 20843.17867243
0.11700001 838977.67247480 22274.85825324
0.11800001 829668.32510012 22214.37045081
0.11900001 820393.17677572 16243.78566527
0.12000001 811153.08093841 14722.42911253
0.12100001 801952.14996498 14675.72503571
0.12200001 792788.94715067 16089.65244043
0.12300001 783666.28482059 14576.19358441
0.12400001 774584.39810397 17428.14977851
0.12500001 765544.43715264 14468.79054396
0.12600001 756550.69637035 14412.29144501
0.12700001 747601.25664338 18660.12824520
0.12800001 738698.62110442 17152.58279043
0.12900001 729844.32415699 17078.35799021
0.13000001 721039.50186222 15585.26956736
0.13100001 712284.46584232 15513.55639732
0.13200001 703580.62024099 16843.72084259
0.13300001 694930.01152710 20952.14083529
0.13400001 686332.65711486 19457.53174654
0.13500001 677790.58849725 19357.70012016
0.13600001 669304.10407372 17880.45998341
0.13700001 660874.76870815 17784.14086452
0.13800001 652501.79300813 14965.12932833
0.13900001 644188.46423223 14880.75422551
0.14000001 635934.09474258 14795.00741193
0.14100001 627741.09681163 18719.24038978
0.14200001 619608.97784098 14619.67452170
0.14300001 611539.11815798 14530.17013279
0.14400001 603530.07646587 14439.45776055
0.14500001 595586.39352677 18260.67968693
0.14600001 587706.95974824 15550.72688853
0.14700001 579893.10905198 18023.07867960
0.14800001 572142.19872139 15344.85449366
0.14900001 564459.07967712 15240.39587034
0.15000001 556842.04435233 15134.96747961
0.15100001 549291.89042262 12523.85569257
0.15200001 541810.84661503 14921.47141988
0.15300001 534397.65100044 19751.33811302
0.15400001 527051.68408788 17155.53312665
0.15500001 519776.19499463 13379.03989056
0.15600001 512568.61415369 15692.28886291
0.15700001 505433.36851776 15572.40281900
0.15800001 498365.63283451 19017.63344657
0.15900001 491370.18200740 11792.88492481
0.16000001 484443.01060864 15209.08903596
0.16100001 477589.39100266 17408.13412378
0.16200001 470806.21892690 14964.57637501
0.16300001 464093.97784424 11416.71239393
0.16400001 457453.64888734 14718.57184781
0.16500001 450884.30523342 13472.42367643
0.16600001 444386.84780095 13358.26927558
0.16700001 437961.10369283 14347.60643440
0.16800001 431607.32157681 14223.61995415
0.16900001 425326.06502084 11930.39668716
0.17000001 419115.56795078 13975.40927323
0.17100001 412977.37341441 11720.29841095
0.17200001 406911.32207861 11615.28423724
0.17300001 400916.16544403 14649.47737714
0.17400001 394994.26816957 10368.60002912
0.17500001 389142.34083845 13355.36576832
0.17600001 383360.56605103 10178.22350936
0.17700001 377652.90898895 10083.33314625
0.17800001 372014.51640728 10987.44926105
0.17900001 366446.95959864 12862.28888944
0.18000001 360950.77678751 14699.72107901
0.18100001 355525.51808088 10676.43181229
0.18200001 350168.37075709 9612.12223134
0.18300001 344881.39339752 12374.34497966
0.18400001 339664.56447908 9425.69210957
0.18500001 334516.59776843 12132.91757425
0.18600001 329437.86852190 15709.24550263
0.18700001 324426.99762713 12808.37847145
0.18800001 319482.89539102 9963.07456349
0.18900001 314609.65971934 8966.37572564
0.19000001 309799.36047233 10650.90251628
0.19100001 305059.01330840 17571.39999681
0.19200001 300383.43059961 10435.32087211
0.19300001 295775.12358801 12049.87910436
0.19400001 291230.93724514 8518.50531695
0.19500001 286752.23995857 11802.72275443
0.19600001 282337.13175782 10011.67516525
0.19700001 277987.60776555 9081.85557489
0.19800001 273700.23947016 10620.93829457
0.19900001 269476.48797295 10509.58352763
0.20000001 265313.13595189 10398.94885510
0.20100001 261213.59876821 7914.77241675
0.20200001 257173.74855030 10180.22331752
0.20300001 253195.14286191 10072.10325910
0.20400001 249277.41972203 9964.86532439
0.20500001 245417.75669641 13650.13627265
0.20600001 241616.72093067 8252.41949346
0.20700001 237874.67290195 10390.36620350
0.20800001 234189.39609750 8810.20549765
0.20900001 230563.73846709 10894.13715755
0.21000001 226991.29669686 8621.12985609
0.21100001 223476.05103051 12791.76976570
0.21200001 220014.65841756 10544.20300313
0.21300001 216608.07826156 10429.67946136
0.21400001 213255.57536452 7565.24189371
0.21500001 209957.03109408 10884.17300649
0.21600001 206709.24299879 8746.90203103
0.21700001 203514.16361052 7320.40481118
0.21800001 200370.01390294 8556.80184830
0.21900001 197275.99913103 9114.15159078
0.22000001 194231.13653644 10945.89621706
0.22100001 191236.66843091 7641.81763183
0.22200001 188290.23823611 7557.97052017
0.22300001 185391.12951037 6229.14224610
0.22400001 182538.69192917 8008.88548710
0.22500001 179734.64574802 7311.60573478
0.22600001 176974.57956857 9038.97707890
0.22700001 174260.27280181 7151.64193398
0.22800001 171590.28686365 7662.36462225
0.22900001 168963.29548852 6995.08076403
0.23000001 166379.83285659 8071.08607357
0.23100001 163840.20778858 5701.63950069
0.23200001 161340.23590108 7330.49396485
0.23300001 158882.70631633 7807.49655764
0.23400001 156464.95775443 8273.08503254
0.23500001 154086.44567765 9818.38878295
0.23600001 151747.38343190 5934.08170977
0.23700001 149447.59350923 6935.86314281
0.23800001 147184.75129160 6859.54565839
0.23900001 144959.41861086 6784.10111187
0.24000001 142770.31141850 5677.26170209
0.24100001 140618.04457564 5614.87878550
0.24200001 138501.25169607 8077.39338099
0.24300001 136418.46118536 5492.20750712
0.24400001 134370.25039489 6419.53901628
0.24500001 132354.68535978 5372.27693289
0.24600001 130372.75926719 5313.34205528
0.24700001 128423.33659371 5732.81801674
0.24800001 126505.46890442 6142.47333323
0.24900001 124618.01443273 6075.12849099
0.25000001 122762.23814697 6008.59803036
0.25100001 120935.36538132 6399.89983875
0.25200001 119140.06345395 5425.63874638
0.25300001 117372.36670648 6707.83107463
0.25400001 115633.97470199 4422.99974161
0.25500001 113921.87389733 6124.44023048
0.25600001 112238.33458762 4326.78800306
0.25700001 110580.84106493 4707.42662686
0.25800001 108950.01457032 5079.24991959
0.25900001 107345.60991250 4605.12688314
